,Ance,Blimp-1,brk,Btk29A,CG43394,CG8147,Doc2,gt,hb,Ilp4
349.0,373,411,410,374,372,448,449,412,3037,447
352.0,1298,1261,1307,1336,1299,1345,1260,1269,1306,3035
389.0,226,225,263,187,300,301,302,264,262,339
423.0,1783,1822,1860,1859,1820,1821,1745,1784,1707,1857
426.0,597,636,634,674,635,672,710,599,673,637
428.0,2814,2816,2777,823,824,786,860,858,859,2817
433.0,1327,1365,1402,1289,1366,1364,1328,1404,1290,1326
449.0,1340,1301,1302,1303,1378,1339,1341,1263,1338,1300
451.0,1295,1257,1333,1219,1371,1294,1181,1220,1408,1409
468.0,1219,1333,1257,1295,1294,1371,1181,1408,1256,1370
479.0,2533,2570,2571,2532,2495,2494,2608,2572,2609,2940
489.0,1590,1591,1552,1553,1515,1628,1629,1818,1514,1666
490.0,535,574,536,537,612,499,573,498,459,572
491.0,1062,1100,1063,1139,1101,1138,1024,1174,1061,1023
499.0,1310,1271,1309,1272,1308,1233,1311,1348,1234,1347
503.0,1310,1271,1272,1309,1313,1351,1308,1311,1205,1233
506.0,1593,1631,2944,1669,1668,1630,1706,1555,1554,1592
507.0,1297,1334,1335,2951,1259,1372,1296,1410,1258,1221
512.0,840,839,801,813,850,876,803,802,841,878
514.0,1427,1465,1506,1503,1467,1469,1508,1505,1504,1507
517.0,1128,2977,1127,1164,1166,1089,1126,1163,1125,1205
560.0,529,226,148,187,567,224,644,186,225,606
585.0,161,163,164,160,3012,201,202,200,165,444
595.0,1130,1092,1093,1054,1055,1131,1016,1168,1017,1015
613.0,2919,2883,2845,2884,1719,1757,2885,1758,2847,1756
615.0,453,492,454,530,415,490,491,455,568,416
616.0,1636,1598,1674,1560,1522,3034,1561,1599,1485,1567
617.0,1350,1312,1388,1349,1313,1273,1311,1274,1351,1387
618.0,1340,1301,1302,1378,1263,1303,1341,1339,1300,1338
621.0,2492,2450,2491,2490,2451,2452,2413,2530,2375,2412
623.0,2193,2269,2232,2231,2155,2230,1093,2192,2194,1294
633.0,1295,1257,1333,1219,1371,1294,1181,1220,1409,1408
639.0,986,985,947,1024,1023,1022,948,1019,984,982
713.0,2692,2693,2691,2729,2655,2690,2654,2732,2730,2728
715.0,226,106,187,262,144,104,105,143,64,142
723.0,195,196,158,197,194,232,233,346,307,270
743.0,1973,1935,3027,1972,2010,2012,1934,2011,1936,2048
747.0,2330,2368,2369,2329,2331,2408,2291,2324,2285,2323
754.0,725,763,724,762,801,764,800,687,838,839
778.0,877,839,763,801,725,2986,838,876,878,800
786.0,2331,2293,2333,2294,2332,2292,2295,2291,2330,2972
787.0,1340,1301,1302,1263,1303,1378,1341,1339,1264,1300
793.0,2055,1333,1219,2093,1257,1295,2131,1294,2054,1371
817.0,1298,1336,1261,1260,1299,2988,1297,1335,1223,1259
822.0,2692,2693,2691,2655,682,2938,2729,643,2654,2732
844.0,407,408,446,483,3017,858,860,859,406,369
850.0,1130,2534,1093,1092,2572,1131,2532,2533,1054,1055
852.0,713,675,750,3029,712,674,751,637,636,635
893.0,1525,1867,1563,1487,1868,1829,1601,1866,1449,1526
898.0,2728,2727,2764,2730,2767,2729,2770,2733,2766,2768
932.0,2151,2038,2039,2152,2076,2113,2189,2036,2114,2190
933.0,105,106,144,201,142,444,442,239,200,202
940.0,1427,1465,1506,1503,1467,1469,1508,1505,1504,1507
960.0,1980,2017,1942,1979,2054,2016,1905,1941,1943,1978
971.0,1327,1365,1289,1366,1402,1364,1328,1290,1404,1326
972.0,2692,2693,2730,2770,2691,2655,2729,2732,2654,2690
976.0,1935,1973,3027,1934,1972,1936,2010,1897,2012,2011
990.0,369,408,407,406,446,444,483,371,367,409
993.0,86,46,49,88,89,47,83,87,85,53
996.0,1485,1524,1447,1486,1522,1523,1560,1448,1561,1562
997.0,1485,1522,1447,1524,1560,1523,1486,1561,1448,1484
998.0,2170,2132,2133,2094,2169,2171,2208,2018,2057,2131
1000.0,1327,1365,1366,1402,1328,1289,1364,1404,1290,758
1001.0,763,801,725,839,840,2986,802,838,764,762
1007.0,754,755,792,753,717,716,677,791,679,715
1008.0,2331,2293,2294,2333,2332,2295,2292,2972,2291,2330
1024.0,2230,2192,2155,2117,2191,2231,2268,2116,2193,2229
1031.0,498,459,497,460,458,3011,536,535,461,421
1061.0,602,639,601,678,676,638,564,677,640,600
1073.0,2579,2618,2578,2616,2656,2580,2541,2929,2543,2581
1080.0,2673,2751,2712,2750,2748,2752,2711,2713,2714,2669
1100.0,1428,1390,1351,1391,2977,1389,1127,1164,1313,1128
1110.0,1669,1707,1632,1670,1708,1668,1744,1706,1631,1746
1113.0,1865,1903,1826,1866,1788,1827,1750,1902,1941,1978
1126.0,1665,1551,1703,1589,1627,1513,1550,1475,1666,1626
1139.0,2151,2038,2039,2190,2189,2152,2115,2188,2113,2076
1140.0,2793,2830,2755,2753,2752,2792,2836,2750,2711,2797
1167.0,2608,2607,2455,2569,2493,2530,2606,2940,2492,2568
1172.0,1340,1301,1302,1378,1303,1339,1341,1263,1300,1338
1173.0,2330,2323,2324,2368,2369,2285,2329,2362,2408,2331
1174.0,1297,1335,1334,2951,1259,1372,1296,1221,1373,1410
1182.0,26,20,23,24,491,490,28,17,528,22
1202.0,1295,1257,1333,1219,1371,1294,1181,1409,1220,1408
1212.0,1669,1707,1668,1632,1744,1670,1708,1706,1631,1746
1214.0,1327,1365,1289,1366,1328,1402,1364,1290,1404,1326
1223.0,2678,2639,2679,2677,2716,2676,2680,2603,2641,2681
1224.0,811,889,849,809,888,846,808,773,807,812
1229.0,157,158,156,120,117,197,118,195,194,196
1243.0,2055,2093,2131,1219,1333,1257,1295,1294,2054,2168
1258.0,915,952,953,990,2986,914,877,954,991,1788
1259.0,1297,1335,1334,2951,1259,1372,1296,1410,1373,1221
1261.0,1878,1879,1880,1840,1841,1839,1922,1918,1960,1883
1267.0,2475,2398,2512,2400,2360,2361,2439,2323,2399,2476
