,Ama,Ance,Btk29A,CG8147,Doc3,fj,gt,hb,Ilp4,ImpE2
629.0,1297,1335,1296,1259,1334,1298,1260,1336,1372,2951
634.0,1244,1358,1282,3004,1396,2994,636,597,1320,674
640.0,491,490,568,528,492,529,530,451,453,606
647.0,2944,1593,1516,1554,1517,1555,1631,1669,1439,1556
658.0,2479,2516,2478,2517,2554,2480,2556,2555,2441,2557
668.0,1327,1290,1289,1328,1366,1252,1365,1251,1213,1291
670.0,1274,1236,1235,1273,1237,1272,1199,1197,1310,1311
675.0,491,1250,1212,528,490,568,1211,1288,529,605
678.0,2579,2578,2616,986,2656,2408,2618,2370,948,2331
679.0,491,528,1250,490,568,1212,529,605,1288,492
682.0,1264,1302,1301,1263,2992,1225,1340,1265,1226,1339
687.0,1167,1129,1205,1168,2994,1206,1166,1244,1128,1130
697.0,1890,1928,1851,1852,1814,1813,1850,1775,1396,2947
720.0,650,612,573,611,613,572,614,610,535,688
724.0,1067,1105,1106,1029,1068,1143,1144,1104,1030,1142
735.0,1277,1278,1315,1239,1316,1240,1201,1354,1353,1241
753.0,1714,1639,1677,1676,1678,1715,1752,1716,1829,1753
764.0,1212,1250,1137,1211,1099,834,1175,1288,1173,1176
770.0,1485,1523,1524,1522,1560,1561,1447,1562,1486,1600
779.0,1562,1524,1523,1485,1525,1448,1487,1600,1563,1486
806.0,1334,1259,1297,1372,1258,1296,1221,1335,2951,1714
828.0,1783,1821,1897,1896,1859,1858,1934,1935,1746,1784
838.0,2693,2690,2729,2732,2730,2770,2560,2692,2598,2728
840.0,1250,1212,1288,2944,1593,1211,1175,1137,1554,1517
847.0,1327,1289,1290,1328,1366,1365,1251,1252,1213,1326
866.0,1442,1440,1402,1783,1821,1897,1403,1859,1858,1896
870.0,2239,2201,3001,2276,2163,2200,2238,2162,2277,2240
883.0,139,178,102,140,63,101,177,137,103,179
890.0,1818,2927,1932,1931,1856,1780,1893,1894,1970,1779
896.0,2239,3001,2201,2276,2163,2200,2238,2162,2277,2275
902.0,2111,2073,2148,2112,2110,2150,2149,2035,2074,2075
907.0,1212,1250,1137,1175,1099,1176,796,1288,834,1138
918.0,754,755,716,753,792,717,679,678,677,794
947.0,1327,1289,1290,1328,1366,1365,1251,1252,1213,1326
961.0,1250,1212,1288,1175,1137,1176,1174,1213,1326,1251
964.0,1244,1282,2994,1358,1243,1320,1281,1319,3004,1396
966.0,712,675,674,840,635,877,673,636,637,878
982.0,682,643,719,607,680,681,2938,605,645,642
986.0,2049,2126,2124,2087,2088,2011,1783,2162,2048,1821
992.0,1283,1282,1206,1244,1245,2994,1321,1168,1207,1131
1023.0,1662,1624,1700,1625,1586,1701,1472,1549,1738,1510
1025.0,1274,1236,1235,1273,1272,1237,1199,1197,1310,1311
1029.0,1358,1244,1282,3004,2994,1396,1320,1397,1359,1243
1049.0,1568,1529,1606,1567,1491,1607,1530,1531,1569,1608
1058.0,978,940,1016,1004,977,939,1005,979,967,1054
1070.0,1783,1442,1821,1897,1859,1896,1858,1934,1440,1746
1071.0,2025,2024,2022,2064,2023,2026,2062,2060,2061,1987
1089.0,1295,1257,1333,1219,1294,1181,1371,1296,1332,1256
1090.0,26,24,28,492,530,454,455,32,22,453
1107.0,2782,2781,2814,2779,2817,2778,2820,2777,2741,2816
1129.0,1297,1335,1296,1334,1259,1298,1372,2951,1336,1260
1131.0,129,127,128,130,93,166,126,125,165,88
1180.0,1302,1264,1301,1265,1263,1340,2992,1225,1339,1338
1181.0,606,568,529,567,530,491,644,492,605,454
1184.0,2692,2691,2693,1290,1289,1327,1328,2690,2729,1366
1194.0,606,644,682,567,607,529,605,568,2938,643
1207.0,1283,1245,1321,1206,1207,1244,1282,1131,1169,3004
1208.0,1624,1468,1586,1662,1506,1431,1429,1469,1700,2038
1211.0,2180,2181,2141,2182,2220,2183,2179,2140,2065,2219
1222.0,1344,1306,1305,1307,1382,1343,1345,3035,1267,1269
1234.0,1295,1257,1333,1219,1294,1371,1181,1296,1332,1256
1266.0,2603,2602,2564,2563,2527,2565,2642,2525,2604,2640
1278.0,2947,1776,1814,1815,1777,1738,1890,1700,1411,1662
1296.0,134,97,132,136,2973,135,131,170,95,176
1297.0,1783,1821,1897,1442,1896,1859,1858,1934,1746,1935
