,dan,srp,twi,Doc2,fkh,Cyp310a1,Doc3,Blimp-1,ftz,sna
101,2383,2650,2404,2444,2482,2483,2522,2563,2602,2605
102,1514,1552,869,906,1210,1248,1286,1324,1476,1628
103,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
104,488,525,526,527,528,529,531,564,565,566
105,184,2957,183,220,225,227,259,262,264,265
106,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
107,162,164,129,161,163,204,206,3012,126,552
108,184,1175,1176,1212,1213,1214,1216,1250,1251,1252
109,1027,1028,1065,1066,1103,1104,1141,1142,1143,1180
110,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
111,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
112,1791,1901,1903,1904,2960,1597,1599,1635,1636,1673
113,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
114,291,328,364,365,366,367,403,404,405,442
115,2307,2308,2343,2345,2382,2384,2420,2458,977,979
116,2769,2809,2774,2811,2969,2641,2676,2678,2801,2731
117,1377,1013,1052,1091,1128,1129,1358,1395,1397,1433
118,2361,2398,2399,2400,2437,2438,2439,2440,2474,2475
119,1377,1011,1049,1077,1125,1315,1317,1335,1340,1341
120,951,1939,1979,1980,2017,2207,2244,2246,2247,2282
121,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
122,297,299,301,336,338,339,377,413,414,415
123,1205,1243,1490,1491,1492,1493,1495,1528,1529,1530
124,1028,1065,1066,1103,1104,1141,1142,1143,1180,1181
125,1205,1243,1167,1206,1207,1245,1282,1586,2994,1260
126,130,133,136,161,163,204,206,212,364,365
127,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
128,679,682,2692,2693,2696,2732,607,641,643,645
129,1377,1179,1013,1052,1091,1128,1129,1358,1395,1397
130,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
131,865,901,902,903,938,939,940,941,976,978
132,31,71,72,73,75,107,108,109,110,111
133,1377,1044,782,783,784,816,821,850,859,935
134,640,569,679,682,2692,2693,2696,2732,3016,602
135,263,303,304,340,342,298,185,224,225,227
136,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
137,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
138,2433,2510,2511,2512,2547,2550,2357,2359,2395,2396
139,602,754,792,830,868,1172,640,718,793,798
140,1283,1814,1815,865,901,902,903,938,939,940
141,1399,1323,1361,1438,1626,1627,1741,1778,981,2431
142,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
143,1396,1434,1472,775,808,635,637,673,674,707
144,900,1244,935,973,1010,1205,1243,291,328,865
145,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
146,640,569,679,682,2692,2693,2696,2732,3016,228
147,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
148,587,617,618,619,620,621,623,624,657,658
149,881,920,781,813,843,844,846,879,882,884
150,1323,1361,1438,1626,1627,1741,1778,1019,1133,1324
151,32,34,35,37,38,68,74,114,2937,31
152,759,2389,2391,2392,2393,2394,2470,2930,3006,758
153,679,682,603,640,718,607,641,643,645,680
154,671,709,2565,635,637,673,674,707,710,555
155,1205,1243,1475,1513,3004,1167,1206,1207,1245,1282
156,1323,1361,1438,1626,1627,1741,1778,1019,1133,1324
157,1324,1399,1476,1628,1742,603,1098,1099,1136,1253
158,1514,1552,487,869,906,1210,1248,1286,1324,1476
159,1514,1552,869,906,1210,1248,1286,1324,1476,1628
160,741,778,811,671,709,1396,1434,1472,813,843
161,2431,2467,2468,2469,2505,2507,2508,2539,2543,2544
162,1321,1014,1015,1055,1074,1092,1130,1131,1168,1396
163,1779,1098,1099,1136,1253,1287,1289,1290,1291,1292
164,1475,1513,1323,1361,1438,1514,1552,1626,1627,1741
165,1324,1476,1628,754,792,982,1020,1058,1096,1134
166,172,213,215,249,251,253,288,290,291,292
167,487,449,602,488,525,526,527,528,529,531
168,1029,1068,1106,2004,2179,2216,2255,2258,2998,1321
169,610,611,648,685,686,687,723,724,725,726
170,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
171,2711,2748,2751,2752,2790,2791,2794,2872,2910,2924
172,341,379,454,488,525,526,527,528,529,531
173,1510,1549,1587,1205,1243,1508,1536,1546,1396,1434
174,2731,2695,2698,2735,2984,2767,2463,2464,2465,2502
175,291,328,518,364,365,366,367,403,404,405
176,2604,2644,708,742,671,709,746,2598,2601,2642
177,2496,2532,2534,555,556,588,590,630,664,667
178,679,682,2652,2653,2604,2644,2773,2651,2687,2733
179,869,906,1210,1248,1286,830,868,982,1020,1058
180,32,34,35,37,38,68,74,114,2937,31
181,32,34,35,37,38,68,74,114,2937,22
182,1029,1068,1106,1331,1333,1369,1370,1407,1408,1409
183,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
184,184,1175,1176,1212,1213,1214,1216,1250,1251,1252
185,2431,2467,2468,2469,2505,2507,2508,2539,2543,2544
186,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
187,2004,2998,1962,1964,2252,1413,1564,2097,1014,1015
188,363,400,401,402,437,439,440,441,475,476
189,1494,1497,1535,1490,1491,1492,1493,1495,1528,1529
190,900,1283,1814,1815,1205,1243,865,901,902,903
191,1399,1742,1779,2431,2467,2468,2469,2505,2507,2508
192,341,379,454,377,413,414,415,416,417,418
193,603,2048,2124,982,1020,1058,1096,1134,2431,2467
194,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
195,936,937,974,975,899,935,973,1010,900,896
196,1031,929,931,933,963,964,965,969,970,971
197,1343,1420,1431,1456,1459,1076,1079,1117,1120,1151
198,556,482,519,520,558,633,670,672,92,445
199,2585,41,43,78,2285,2549,2587,2588,2589,2591
200,776,818,852,890,2142,2445,2484,2485,2486,2487
201,3004,1011,1049,1077,1125,1205,1243,1315,1317,1340
202,434,435,436,471,472,473,508,1028,2245,2281
203,2790,2791,2794,2885,2917,2919,2677,2711,2716,2759
204,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
205,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
206,537,572,575,576,612,614,650,577,610,611
207,2641,2676,2678,2677,2716,2721,2759,2557,2594,2595
208,263,303,304,340,341,342,379,454,225,227
209,1510,1549,1587,1205,1243,1508,1536,1546,1396,1434
210,2781,2782,2820,2825,2826,2775,2813,2815,2852,2853
211,2509,2548,2586,2623,2625,2661,2662,2663,2700,2705
212,263,303,304,340,341,342,379,454,225,227
213,363,400,401,402,437,439,440,441,475,476
214,449,263,303,304,340,341,342,379,454,298
215,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
216,2597,2604,2636,2638,2639,2644,2679,2680,2681,2939
217,555,588,590,630,664,667,2603,594,631,669
218,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
219,1205,1243,900,1283,1814,1815,289,329,865,901
220,714,751,752,789,790,289,291,328,329,332
221,1324,1399,1476,1628,1742,603,1098,1099,1136,1253
222,487,449,602,341,379,454,488,525,526,527
223,1890,1928,2193,900,1283,1814,1815,1853,1891,1929
224,2431,2467,2468,2469,2505,2507,2508,2539,2543,2544
225,1890,1928,2193,1283,1814,1815,1853,1891,1929,2004
226,2599,2677,2711,2716,2718,2759,2509,2548,2586,2590
227,935,973,1010,1205,1243,1508,1536,1546,559,595
228,341,379,454,488,525,526,527,528,529,531
229,671,709,981,2431,2467,2468,2469,2505,2507,2508
230,187,189,226,263,303,304,340,342,1907,188
231,1510,1549,1587,1205,1243,1508,1536,1546,1396,1434
232,15,32,34,35,37,38,68,74,106,114
233,2,3,4,7,2549,2587,2588,2589,2591,2626
234,1377,1037,886,1011,1049,1077,1125,1315,1317,1335
235,936,937,974,975,2145,2151,2153,2154,2190,2191
236,609,647,875,913,951,1791,1901,1903,1904,2960
237,1331,1333,1369,1370,1407,1408,1409,1445,1446,1447
238,1031,1261,1293,930,932,967,968,989,991,992
239,1514,1552,1175,1176,1212,1213,1214,1216,1250,1251
240,296,263,295,303,304,340,342,298,31,71
241,1866,1867,1868,1906,1907,1944,2096,2133,2134,2170
242,305,343,345,381,382,384,420,2978,875,884
243,331,369,370,406,407,408,409,444,446,483
244,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
245,874,909,1135,1137,1139,1140,1173,1174,1177,1178
246,2509,2548,2585,2586,2471,2549,2551,2587,2588,2589
247,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
248,377,413,414,415,416,417,418,448,450,451
249,2441,2004,2179,2216,2255,2258,2998,1321,2383,1907
250,1255,1256,1257,1294,1295,1296,1483,1484,1485,1521
251,1321,1377,523,671,709,1014,1015,1055,1074,1092
252,151,341,379,454,488,525,526,527,528,529
253,1742,2431,2467,2468,2469,2505,2507,2508,2543,2544
254,935,973,1010,930,932,936,937,967,968,974
255,1205,1243,1490,1491,1492,1493,1495,1528,1529,1530
256,488,525,526,527,528,529,531,564,565,566
257,1074,1321,771,772,810,999,1000,1037,1076,1079
258,936,937,961,962,974,975,998,1001,1002,1038
259,718,679,681,682,717,719,720,721,722,755
260,1396,1434,1472,844,846,882,1378,1417,1455,1494
261,1321,1436,1777,1474,485,600,1014,1015,1055,1074
262,1037,886,1011,1049,1077,1125,1315,1317,1340,1341
263,1169,1208,2911,2914,2921,2922,2926,961,962,998
264,2004,2998,184,225,227,262,264,265,266,300
265,1811,1883,1887,1888,1924,1926,1807,1838,1839,1840
266,559,595,596,561,636,671,709,520,558,594
267,640,569,679,682,3016,602,607,641,643,645
268,32,34,35,37,38,68,74,114,2937,31
269,746,593,632,708,742,771,772,776,810,818
270,1028,951,1027,1939,1979,1980,2017,2207,2244,2246
271,602,640,2695,2698,2735,2984,2802,2733,190,487
272,759,2389,2391,2392,2393,2394,2470,2930,3006,718
273,1890,1928,2193,1811,1883,1887,1888,1924,1926,900
274,638,676,980,1018,1056,1132,1170,2461,2611,2649
275,1179,1028,1065,1066,1103,1104,1141,1142,1143,1180
276,1902,1905,1942,1943,2056,2208,1791,1866,1867,1868
277,295,220,256,259,296,829,867,291,328,332
278,559,595,596,523,561,636,671,709,520,558
279,2004,2998,883,921,922,1835,1837,1872,1874,1875
280,966,935,973,1010,1508,1536,1546,896,897,898
281,1324,1476,1628,754,792,982,1020,1058,1096,1134
282,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
283,291,328,896,897,898,364,365,366,367,403
284,900,1244,2232,2269,935,973,1010,1205,1243,1490
285,2431,2467,2468,2469,2505,2507,2508,2543,2544,2546
286,1205,1243,1260,1475,1513,3004,1167,1206,1207,1245
287,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
288,2963,829,867,869,906,1019,1133,1210,1248,1286
289,434,435,436,471,472,473,508,305,343,345
290,1028,1065,1066,1103,1104,1141,1142,1143,1180,1181
291,1011,1049,1077,1125,1315,1317,1340,1341,1354,1375
292,1510,1549,1587,1396,1434,1472,2962,927,1035,1167
293,1842,1843,2329,2330,2368,999,1000,2179,2216,2255
294,1028,951,1027,989,991,992,993,1030,1255,1256
295,520,558,633,670,672,2963,523,556,587,617
296,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
297,1179,1028,1065,1066,1103,1104,1141,1142,1143,1180
298,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
299,3004,1013,1052,1091,1128,1129,1358,1395,1397,1433
300,1399,1742,1779,2431,2467,2468,2469,2505,2507,2508
301,989,991,992,993,1030,994,995,997,1300,1534
302,2117,2182,2183,2217,2221,2222,2224,2225,2226,2257
303,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
304,341,379,454,377,413,414,415,416,417,418
305,829,867,601,905,943,2499,2574,2963,602,830
306,1510,1549,1587,1205,1243,1508,1536,1546,1396,1434
307,1205,1243,1775,1490,1491,1492,1493,1495,1528,1529
308,377,413,414,415,416,417,418,448,450,451
309,1514,1552,869,906,1210,1248,1286,1324,1476,1628
310,1167,1206,1207,1245,1282,1586,2994,929,931,933
311,1902,1905,1942,1943,2056,2208,1331,1333,1369,1370
312,341,379,454,377,413,414,415,416,417,418
313,1039,1042,1043,1045,1046,1047,1048,1050,1051,1071
314,1323,1361,1438,1626,1627,1741,1778,1019,1133,1324
315,603,642,646,679,682,2692,2693,2696,2732,607
316,1510,1549,1587,1205,1243,1508,1536,1546,1396,1434
317,609,647,1027,3026,2496,2532,2534,613,649,651
318,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
319,1811,1883,1887,1888,1924,1926,1807,1838,1839,1840
320,2048,2124,982,1020,1058,1096,1134,759,869,906
321,1510,1549,1587,927,1035,1167,1206,1207,1232,1233
322,129,130,269,77,79,80,93,115,117,125
323,2677,2711,2716,2759,2509,2548,2586,2590,2623,2625
324,603,642,646,679,682,2692,2693,2696,2732,607
325,935,973,1010,930,932,936,937,967,968,974
326,2361,2398,2399,2400,2437,2438,2439,2440,2441,2474
327,1029,1031,1068,1070,1106,1108,1146,1147,1184,1222
328,1179,1028,1065,1066,1103,1104,1141,1142,1143,1180
329,1396,1434,1472,844,846,882,1378,1417,1455,1494
330,341,379,454,2650,2731,1779,1855,2006,2044,377
331,1514,1552,487,869,906,1175,1176,1210,1212,1213
332,3028,31,71,72,73,75,107,108,109,110
333,1396,1434,1472,1377,1399,1343,1420,1431,1456,1459
334,1014,1015,1055,1092,1130,1131,1168,1435,1739,1377
335,2117,2182,2183,2217,2221,2222,2224,2225,2226,2257
336,1490,1491,1492,1493,1495,1528,1529,1530,1531,1532
337,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
338,2383,2004,2998,1878,1879,1881,1890,1918,1919,1920
339,603,487,642,646,679,682,488,525,526,527
340,874,909,1135,1137,1139,1140,1173,1174,1177,1178
341,1028,1031,951,1027,1293,989,991,992,993,1030
342,1451,1489,1527,2885,1175,1176,1212,1213,1214,1216
343,1962,1964,1878,1879,1881,1918,1919,1920,1921,1922
344,1324,1399,1476,1628,1742,603,1098,1099,1136,1253
345,481,517,559,595,596,555,556,588,590,630
346,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
347,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
348,2048,2124,759,946,1019,1021,1022,1023,1026,1059
349,335,337,374,375,376,378,380,411,412,296
350,1510,1549,1587,1396,1434,1472,2962,927,1035,1167
351,325,326,361,362,517,552,162,164,291,328
352,1396,1434,1472,1343,1420,1431,1456,1459,1321,741
353,900,1283,1814,1815,1205,1243,865,901,902,903
354,594,669,936,937,974,975,555,587,588,590
355,523,671,709,520,558,633,670,672,804,635
356,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
357,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
358,364,365,366,367,403,404,405,442,443,478
359,523,1205,1243,1475,1513,3004,295,1323,1361,1438
360,1205,1243,1167,1179,1206,1207,1245,1282,1586,2994
361,517,518,519,364,365,366,367,403,404,405
362,603,487,642,646,679,682,2692,2693,2696,2732
363,263,303,304,340,341,342,379,454,225,227
364,263,303,304,340,342,225,227,262,264,265
365,377,413,414,415,416,417,418,448,450,451
366,2847,188,184,1175,1176,1212,1213,1214,1216,1250
367,1962,1964,1878,1879,1881,1918,1919,1920,1921,1922
368,1378,1417,1455,1565,1566,1567,1568,1571,1603,1604
369,603,487,642,646,679,682,804,449,602,607
370,341,379,454,488,525,526,527,528,529,531
371,2730,2734,2770,263,303,304,340,341,342,379
372,1028,1065,1066,1103,1104,1141,1142,1143,1180,1181
373,1508,1536,1546,927,1035,1232,1233,1234,1271,1272
374,523,520,558,633,670,672,556,587,617,618
375,2024,960,1836,1907,1989,2025,2026,2027,2028,2029
376,640,569,679,682,3016,602,607,641,643,645
377,341,379,454,377,413,414,415,416,417,418
378,517,552,555,588,590,615,616,630,664,667
379,1343,1420,1431,1456,1459,1076,1079,1117,1120,1151
380,671,675,709,711,712,713,747,748,749,750
381,935,973,1010,930,932,936,937,967,968,974
382,32,34,35,37,38,68,74,114,2937,31
383,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
384,188,1175,1176,1212,1213,1214,1216,1250,1251,1252
385,3028,2748,2751,2752,2790,2791,2794,2788,2793,2795
386,741,778,811,523,671,709,1396,1434,1472,813
387,603,642,646,679,682,1742,607,641,643,645
388,1070,1108,1146,1147,1184,1222,1039,1042,1043,1045
389,185,224,151,187,189,226,263,303,304,340
390,2634,1321,1339,1371,1373,1374,1410,1411,2641,2676
391,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
392,886,671,675,709,711,712,713,747,748,749
393,1244,930,932,967,968,1004,1005,1006,1040,1167
394,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
395,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
396,679,682,607,641,643,645,680,683,684,2431
397,32,34,35,37,38,68,74,114,2937,31
398,2048,2124,982,1020,1058,1096,1134,759,869,906
399,481,517,559,595,596,555,556,588,590,630
400,1742,2431,2467,2468,2469,2505,2507,2508,2543,2544
401,2496,2532,2534,2459,2497,2498,2535,2536,2573,2612
402,869,906,1210,1248,1286,830,868,982,1020,1058
403,556,482,519,520,558,633,670,672,92,445
404,2790,2791,2794,2872,2910,2924,2711,2718,2829,2830
405,1490,1491,1492,1493,1495,1528,1529,1530,1531,1532
406,609,647,875,913,951,1791,1901,1903,1904,2960
407,603,718,2048,2124,642,646,679,681,682,717
408,92,121,159,197,517,559,595,596,130,133
409,559,595,596,523,561,636,671,709,520,558
410,1205,1243,1490,1491,1492,1493,1495,1528,1529,1530
411,1811,1883,1887,1888,1924,1926,1807,1838,1839,1840
412,151,341,379,454,488,525,526,527,528,529
413,1171,1284,900,1244,905,943,935,973,1010,1205
414,2431,2467,2468,2469,2505,2507,2508,2543,2544,2546
415,2790,2791,2794,2885,2968,32,34,35,37,38
416,555,588,590,615,616,630,664,667,517,552
417,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
418,1811,1883,1887,1888,1924,1926,1807,1838,1839,1840
419,32,34,35,37,38,68,74,114,2937,22
420,1336,1217,1223,1332,1337,2738,2988,1013,1052,1091
421,1514,1552,869,906,1210,1248,1286,1324,1476,1628
422,559,595,596,561,636,671,709,520,558,594
423,1475,1513,1588,1205,1243,1323,1361,1438,1514,1552
424,185,224,1175,1176,1212,1213,1214,1216,1250,1251
425,191,229,267,268,305,343,345,381,382,384
426,844,846,882,556,741,778,803,805,806,807
427,1293,1205,1217,1243,1332,1255,1256,1257,1260,1294
428,92,1721,1723,172,213,215,249,251,253,288
429,1742,2431,2467,2468,2469,2505,2507,2508,2543,2544
430,2598,2601,2642,2643,2645,2682,481,517,559,595
431,795,796,797,831,832,834,835,836,870,871
432,865,901,902,903,938,939,940,941,976,978
433,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
434,1721,1723,556,1205,1243,482,519,520,558,633
435,1205,1243,1167,1206,1207,1245,1282,1586,2994,1260
436,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
437,1343,1420,1431,1456,1459,1377,1076,1079,1117,1120
438,1167,1206,1207,1245,1282,1586,2994,1013,1052,1091
439,830,868,1172,795,796,797,829,831,832,834
440,263,303,304,340,342,298,225,227,262,264
441,951,1939,1979,1980,2017,2207,2244,2246,2247,2282
442,1378,1417,1455,1565,1566,1567,1568,1571,1603,1604
443,1331,1333,1369,1370,1407,1408,1409,1445,1446,1447
444,1475,1513,1323,1361,1438,1514,1552,1626,1627,1741
445,1779,2383,3004,1013,1052,1091,1128,1129,1358,1395
446,2459,2497,2498,2535,2536,2573,2610,2612,2291,2292
447,341,379,454,486,601,449,602,524,562,563
448,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
449,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
450,996,1032,1775,954,955,956,994,995,997,1300
451,496,1205,1243,285,306,348,383,388,419,421
452,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
453,2315,2316,2318,2353,2354,2356,759,795,796,797
454,1842,1843,2329,2330,2368,553,554,557,589,592
455,291,328,364,365,366,367,403,404,405,442
456,181,228,143,182,183,188,190,487,62,106
457,517,518,519,364,365,366,367,403,404,405
458,1902,1905,1942,1943,2056,2208,2252,1029,1068,1106
459,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
460,671,709,739,743,744,777,780,815,849,889
461,1014,1015,1055,1092,1130,1131,1168,1435,1739,1019
462,92,517,47,119,120,122,123,157,158,196
463,1378,1417,1455,1565,1566,1567,1568,1571,1603,1604
464,2631,2632,2633,2670,2671,2672,2708,2590,2627,2628
465,188,2024,2709,2710,2712,2713,2714,2715,2718,2719
466,609,647,3026,648,685,686,687,723,724,725
467,1742,1175,1176,1212,1213,1214,1216,1250,1251,1252
468,1028,2738,1255,1256,1257,1294,1295,1296,1483,1484
469,130,438,305,343,345,381,382,384,420,496
470,1331,1333,1369,1370,1407,1408,1409,1445,1446,1447
471,1508,1536,1546,2962,972,1012,1201,1202,1203,1204
472,936,937,974,975,2145,2151,2153,2154,2190,2191
473,1510,1549,1587,1396,1434,1472,2962,927,1035,1167
474,1514,1552,487,869,906,1210,1248,1286,1324,1399
475,1074,804,1343,1420,1431,1456,1459,1321,587,617
476,1807,1838,1839,1840,1841,1845,1847,1851,1852,1880
477,1339,1011,1049,1077,1125,1223,1315,1317,1337,1340
478,1490,1491,1492,1493,1495,1528,1529,1530,1531,1532
479,2605,2604,2644,2296,2406,2446,2447,2449,2488,2489
480,671,709,559,595,596,708,742,635,637,673
481,813,843,1339,1013,1052,1091,1128,1129,1358,1395
482,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
483,148,32,34,35,37,38,68,74,106,114
484,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
485,1324,1399,1476,1628,1742,982,1020,1058,1096,1134
486,896,897,898,782,783,784,816,821,850,859
487,874,909,1135,1137,1139,1140,1173,1174,1177,1178
488,1039,1042,1043,1045,1046,1047,1048,1050,1051,1071
489,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
490,2509,2548,2586,517,537,572,575,576,612,614
491,2809,2725,2762,2773,2774,2802,2811,2969,2727,2733
492,263,303,304,340,341,342,379,454,335,337
