,twi,Mdr49,knrl,rau,Ama,CG8147,mfas,lok,toc,hkb
59,3019,33,16,6,2937,4,11,30,36,14
60,2908,2905,2923,2893,2903,2897,2920,2925,2913,2892
61,3019,6,4,33,11,16,2,14,9,2937
62,2925,2923,2908,2905,2920,2913,2921,2924,2903,2926
63,2908,2923,2905,2903,2893,2897,2920,2913,2925,2892
64,3019,33,6,4,16,2,11,2937,14,9
65,2908,2905,2923,2925,2920,2903,2913,2897,2893,2921
66,2893,2897,2903,2923,2892,2908,2913,2899,2889,2906
67,3019,33,16,6,2937,4,11,30,36,14
68,33,3019,16,2937,30,6,11,14,36,22
69,4,2,6,3,9,2974,2851,2891,11,2853
70,3019,33,6,4,16,11,14,2,2937,9
71,2893,2892,2889,2897,2899,2894,2896,2903,2890,2923
72,4,2,6,3019,3,9,2974,11,33,14
73,2908,2923,2905,2903,2893,2897,2920,2925,2913,2892
74,2908,2889,2851,2890,2892,2893,2891,2905,2894,2897
75,4,2,6,3,9,2974,11,3019,14,33
76,3019,33,16,6,2937,4,11,14,30,36
77,6,4,3019,33,11,2,16,14,9,2974
78,2905,2908,2925,2923,2920,2921,2924,2913,2926,2903
79,2889,2890,2851,2891,2892,2894,2893,2853,2852,2908
80,3019,33,6,4,16,11,14,2937,2,9
81,2905,2908,2923,3019,2925,2920,33,2903,2893,2897
82,2908,2905,2923,2893,2889,2897,2903,2892,2920,2925
83,2905,2908,2923,2925,2920,2903,2913,2926,2921,2924
84,2923,2920,2925,2913,2903,2908,2921,2916,2906,2924
85,2851,2891,2890,2853,2852,2854,2889,2855,2894,2813
86,2905,2908,2923,2925,2920,2903,2913,2893,2897,2921
87,2923,2920,2908,2925,2913,2903,2897,2905,2906,2893
88,2925,2920,2923,2905,2908,2921,2924,2913,2926,2916
89,2908,2923,2905,2920,2925,2903,2913,2897,2893,2921
90,2851,2891,2890,2852,2853,2889,2854,2813,2894,2892
91,2908,2923,2903,2920,2925,2913,2905,2897,2893,2906
92,2893,2892,2889,2897,2908,2903,2923,2899,2894,2896
93,2925,2920,2924,2921,2926,2923,2905,2913,2916,2908
94,4,6,2,11,3019,9,33,14,2974,16
95,2890,2889,2891,2892,2894,2851,2895,2896,2893,2854
96,2908,2889,2893,2905,2892,2923,2897,2890,2903,2894
97,4,2,6,9,3,2974,3019,11,14,33
98,3019,33,16,6,2937,4,11,14,30,36
99,2905,2908,2923,2925,2920,2913,2903,2926,2924,2921
100,4,2,6,9,2974,3,11,3019,14,7
101,3019,33,6,4,16,11,2,14,2937,9
102,2851,2891,2890,2853,2852,2854,2889,2813,2855,2894
103,2851,2891,2890,2853,2854,2852,2889,2855,2894,2813
104,2889,2892,2893,2890,2894,2897,2891,2896,2899,2908
105,2893,2897,2892,2903,2889,2923,2899,2908,2896,2902
106,2925,2920,2924,2921,2905,2923,2926,2908,2913,2916
107,2908,2923,2905,2920,2903,2925,2913,2897,2893,2906
108,2889,2890,2892,2891,2894,2893,2851,2896,2895,2899
109,2925,2920,2923,2924,2921,2905,2926,2908,2913,2916
110,4,6,2,9,2974,3,11,3019,14,7
111,2905,2908,2923,2925,2920,2926,2924,2913,2921,2903
112,2925,2920,2921,2924,2923,2913,2916,2926,2908,2905
113,2851,2891,2890,2853,2852,2889,2854,2894,2855,2813
114,2908,2923,2905,2903,2893,2897,2920,2925,2913,2892
115,3019,4,6,2,33,11,3,9,16,2974
116,2925,2905,2908,2920,2923,2924,2921,2926,2913,2916
117,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
118,3019,33,16,2937,6,30,11,4,14,36
119,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
120,33,3019,2937,16,30,36,22,11,14,6
121,2905,2908,2923,2925,2920,2903,2893,2897,2913,2892
122,4,2,6,3,9,2974,11,3019,7,42
123,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
124,2925,2920,2924,2921,2923,2926,2905,2908,2913,2916
125,3019,4,6,33,2,11,16,3,9,14
126,2908,2923,2905,2903,2920,2925,2913,2897,2893,2906
127,4,2,6,3,9,2974,11,3019,14,33
128,2889,2890,2892,2891,2894,2893,2896,2851,2895,2899
129,2905,2908,2923,2925,2920,2913,2921,2903,2924,2926
130,2905,2908,2923,2925,2920,2903,2913,2921,2926,2924
131,2905,2908,2925,2923,2920,2924,2921,2913,2926,2903
132,2893,2897,2892,2903,2923,2908,2889,2899,2913,2896
133,2908,2905,2923,2893,2889,2892,2897,2903,2920,2925
134,6,4,3019,11,2,33,9,14,16,2974
135,2893,2892,2889,2897,2890,2899,2894,2903,2896,2908
136,2851,2891,2890,2852,2853,2889,2854,2813,2894,2855
137,2,4,6,3,3019,9,2974,11,42,33
138,33,3019,16,2937,30,6,11,36,14,22
139,4,6,2,3019,11,9,33,14,2974,16
140,3019,33,6,4,16,11,2937,2,14,30
141,2889,2890,2892,2891,2894,2893,2851,2896,2895,2899
142,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
143,2905,2908,2923,2925,2920,2913,2903,2921,2924,2926
144,2908,2905,2889,2893,2892,2923,2897,2903,2890,2891
145,4,6,2,9,11,2974,3,3019,14,33
146,2889,2890,2892,2891,2894,2893,2896,2851,2895,2899
147,2908,2905,2889,2893,2892,2890,2923,2897,2851,2891
148,3019,33,16,6,2937,4,11,30,14,36
149,2908,2905,2889,2893,2892,2923,2897,2890,2903,2894
150,2851,2891,2890,2853,2854,2852,2855,2889,2894,2895
151,2893,2897,2903,2892,2923,2899,2889,2908,2913,2902
152,2890,2891,2889,2851,2894,2892,2895,2854,2855,2853
153,2889,2890,2892,2891,2893,2894,2851,2896,2895,2899
154,2905,2908,2923,2925,2920,2913,2921,2903,2924,2926
155,2908,2905,2889,2893,2892,2923,2890,2897,2851,2903
156,2891,2890,2851,2889,2854,2894,2853,2895,2892,2855
157,2891,2890,2851,2889,2854,2894,2853,2895,2855,2892
158,2890,2891,2889,2851,2894,2892,2854,2895,2853,2855
159,2851,2891,2890,2852,2853,2889,2854,2813,2894,2892
160,2908,2905,2893,2889,2923,2892,2897,2903,2890,2894
161,4,2,6,3,3019,9,2974,11,33,14
162,2889,2851,2908,2890,2891,2892,2893,2905,2894,2852
163,4,2,6,3019,3,9,11,2974,33,14
164,2851,2891,2890,2852,2853,2854,2889,2813,2894,2855
165,4,2,6,9,3,2974,11,7,14,42
166,2908,2923,2920,2905,2925,2903,2913,2897,2893,2906
167,2851,2891,2890,2852,2889,2853,2854,2813,2894,2892
168,2925,2920,2924,2921,2923,2926,2905,2908,2913,2916
169,2925,2923,2908,2920,2905,2913,2921,2903,2924,2916
170,4,2,6,9,3,2974,11,3019,14,7
171,3019,33,6,16,4,11,14,2937,2,9
172,2889,2892,2890,2893,2894,2891,2896,2899,2895,2897
173,2905,2908,2923,2925,2920,2903,2893,2897,2913,2892
174,3019,6,33,4,11,16,14,2,9,2937
175,2908,2905,2923,2893,2903,2897,2892,2889,2920,2913
176,3019,33,16,6,2937,4,11,30,14,36
177,3019,33,6,4,16,11,2937,14,2,9
178,6,3019,4,33,11,16,14,2,9,2937
179,2890,2891,2851,2889,2854,2894,2853,2892,2895,2855
180,2893,2897,2908,2903,2923,2892,2889,2899,2913,2906
181,2893,2903,2923,2897,2908,2913,2892,2906,2920,2899
182,33,3019,2937,16,30,36,22,11,14,6
183,3019,33,2937,16,30,36,6,11,4,38
184,4,2,6,9,3,2974,11,3019,14,7
185,2890,2851,2891,2889,2892,2894,2853,2854,2852,2895
186,2908,2905,2923,2889,2893,2892,2897,2903,2890,2920
187,2908,2905,2889,2893,2892,2923,2890,2897,2903,2851
188,2908,2923,2905,2920,2903,2925,2913,2897,2893,2906
189,2925,2920,2921,2924,2923,2926,2913,2916,2905,2908
190,2908,2889,2892,2905,2890,2893,2851,2891,2897,2894
191,2,4,6,3,9,2974,11,3019,42,7
192,2889,2892,2893,2890,2894,2896,2899,2897,2891,2895
193,2851,2891,2890,2853,2854,2889,2852,2894,2855,2895
194,2908,2889,2851,2890,2892,2905,2893,2891,2894,2897
195,2905,2908,2923,2925,2920,2903,2893,2897,2913,2921
196,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
197,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
198,2908,2905,2923,2893,2897,2903,2892,2889,2920,2913
199,33,3019,16,2937,30,6,11,14,36,22
200,3019,33,16,6,2937,4,11,30,14,36
201,2908,2889,2905,2851,2890,2892,2893,2891,2897,2894
202,33,3019,2937,16,30,36,22,11,14,6
203,3019,33,6,4,16,11,14,2937,2,9
204,2851,2,4,2891,2853,6,2852,2890,2854,3
205,2908,2905,2889,2893,2923,2892,2897,2903,2890,2920
206,2925,2920,2923,2913,2921,2908,2924,2905,2916,2903
207,3019,33,6,16,4,11,2937,14,30,2
208,2889,2892,2893,2890,2897,2894,2899,2908,2896,2903
209,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
210,3019,33,6,16,11,4,14,2937,9,22
211,3019,33,16,6,4,11,2937,14,30,2
212,2893,2892,2889,2897,2890,2894,2899,2903,2896,2908
213,2908,2905,2923,2925,2920,2913,2903,2921,2924,2897
214,2893,2892,2889,2897,2899,2903,2890,2894,2896,2908
215,2908,2905,2889,2923,2893,2892,2897,2903,3019,2890
216,3019,33,6,4,16,11,14,2937,2,9
217,2908,2905,2923,2925,2920,2913,2903,2921,2924,2897
218,2851,2891,2890,2889,2853,2852,2854,2894,2892,2855
219,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
220,2908,2923,2905,2903,2893,2897,2920,2925,2913,2892
221,2851,2891,2890,2889,2853,2852,2892,2894,2854,2895
222,2889,2890,2892,2893,2891,2894,2851,2897,2896,2908
223,2908,2905,2923,2893,2889,2897,2892,2903,2925,2920
224,6,4,3019,11,33,2,16,14,9,2974
225,3019,33,16,6,2937,4,11,30,14,36
226,3019,33,16,6,2937,11,4,14,30,22
227,2908,2905,2923,2893,2889,2892,2897,2903,2920,2925
228,2889,2892,2893,2890,2894,2897,2896,2899,2891,2903
229,2889,2890,2851,2908,2892,2891,2893,2894,2897,2905
230,2890,2891,2851,2889,2892,2894,2853,2854,2852,2895
231,2905,2908,2923,2925,2920,2903,2913,2893,2897,2921
232,2893,2903,2897,2923,2913,2908,2892,2906,2899,2920
233,2923,2903,2908,2920,2913,2897,2925,2893,2906,2905
234,3019,33,16,6,2937,4,11,30,36,14
235,3019,33,6,16,4,2937,11,14,30,2
236,2925,2920,2923,2908,2905,2921,2913,2924,2926,2916
237,33,3019,2937,16,30,36,22,38,11,14
238,2925,2920,2921,2924,2923,2926,2913,2916,2905,2908
239,4,2,6,9,3,2974,11,14,7,3019
240,2893,2892,2889,2897,2899,2894,2890,2896,2903,2923
241,33,3019,2937,16,30,36,22,11,6,14
242,2908,2923,2905,2925,2920,2903,2913,2897,2921,2893
243,2908,2893,2889,2892,2923,2905,2897,2903,2890,2899
244,2851,2891,2890,2853,2852,2854,2889,2855,2813,2894
245,2889,2890,2892,2891,2893,2851,2894,2908,2897,2896
246,33,3019,16,2937,30,11,6,14,22,36
247,4,2,6,9,3,2974,11,3019,14,33
248,2889,2892,2890,2894,2893,2891,2896,2899,2895,2897
249,3019,33,2937,16,30,36,6,38,11,22
250,33,3019,2937,16,30,36,22,11,14,6
251,3019,4,6,2,33,11,3,9,16,2974
252,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
253,2851,2891,2890,2853,2854,2852,2889,2855,2894,2895
254,2908,2905,2923,2893,2889,2897,2892,2903,2920,2925
255,3019,4,6,33,2,11,16,9,14,3
256,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
257,3019,33,6,4,16,11,2937,14,2,30
258,2908,2889,2905,2893,2892,2890,2923,2897,2851,2891
259,2851,2891,2852,2890,2853,2854,2813,2889,2855,2815
260,3019,33,6,4,2,16,11,14,2937,9
261,3019,33,6,16,4,2937,11,14,30,2
262,3019,33,6,16,4,2937,11,30,2,14
263,2925,2920,2921,2924,2923,2913,2916,2926,2908,2905
264,2893,2903,2923,2897,2908,2913,2892,2920,2906,2899
265,3019,33,6,4,16,11,2,2937,14,9
266,2908,2905,2923,2925,2920,2903,2913,2897,2921,2893
267,2889,2890,2892,2893,2891,2894,2896,2851,2899,2895
268,2893,2897,2892,2903,2908,2923,2889,2899,2913,2902
269,3019,33,6,4,16,11,14,2,2937,9
270,2925,2920,2921,2924,2923,2926,2913,2916,2905,2908
271,3019,6,33,4,11,16,14,2,9,2937
272,4,6,2,3019,11,9,3,2974,33,14
273,3019,33,4,6,2,11,16,9,14,3
274,2908,2923,2893,2897,2903,2905,2892,2889,2920,2913
275,33,3019,2937,16,30,36,22,11,14,6
276,33,3019,2937,16,30,36,22,11,14,6
277,2893,2892,2908,2889,2897,2903,2923,2899,2894,2890
278,2908,2893,2889,2892,2897,2923,2905,2903,2890,2894
279,2908,2905,2923,2893,2897,2903,2892,2889,2920,2925
280,2905,2908,2923,2925,2920,2913,2903,2921,2924,2926
281,2851,2890,2891,2889,2892,2894,2853,2852,2854,2893
282,4,2,6,3,9,2974,3019,11,33,14
283,2908,2905,2923,2893,2903,2897,2892,2889,2920,2913
284,2908,2889,2893,2892,2905,2890,2897,2923,2891,2903
285,2891,2890,2851,2889,2854,2894,2853,2892,2895,2855
286,2889,2908,2851,2890,2891,2892,2893,2905,2894,2852
287,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
288,2851,2891,2890,2889,2853,2854,2894,2852,2892,2895
289,2923,2920,2925,2913,2908,2903,2921,2905,2916,2897
290,2925,2920,2921,2924,2923,2926,2913,2916,2908,2917
291,3019,33,4,6,2,16,11,2937,14,9
292,2908,2905,2889,2893,2892,2890,2923,2897,2851,2891
293,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
294,2925,2920,2921,2924,2923,2913,2926,2916,2908,2905
295,2905,2908,2923,2925,2920,2903,2913,2921,2924,2926
296,2905,2908,2923,2925,2920,2903,2913,2921,2926,2924
297,2925,2920,2923,2921,2924,2926,2905,2908,2913,2916
298,4,2,6,3,9,2974,11,3019,14,7
299,2908,2905,2889,2893,2923,2892,2897,2903,2890,2851
300,2890,2889,2891,2892,2894,2851,2893,2895,2896,2854
301,2905,2908,2923,2925,2920,2926,2924,2913,2921,2903
302,3019,33,6,4,16,11,2937,14,2,30
303,2851,2891,2890,2889,2853,2852,2854,2894,2892,2813
304,2889,2892,2890,2893,2894,2891,2896,2899,2897,2895
305,6,4,3019,33,11,2,16,14,9,2974
306,2908,2905,2923,2893,2889,2892,2897,2903,2920,2925
307,2908,2905,2889,2893,2892,2890,2923,2897,2851,2891
308,2889,2892,2893,2897,2890,2894,2899,2896,2903,2908
309,2851,2891,2890,2852,2853,2854,2889,2813,2894,2855
310,2905,2908,2923,2925,2920,2903,2913,2926,2924,2921
311,33,3019,2937,16,30,36,22,11,14,6
312,2892,2893,2889,2897,2890,2894,2899,2896,2903,2891
313,2908,2905,2923,2893,2903,2897,2889,2892,2925,2920
314,2851,2890,2891,2889,2892,2852,2853,2894,2893,2854
315,2889,2890,2892,2891,2893,2894,2851,2896,2895,2899
316,2908,2905,2889,2892,2893,2890,2851,2891,2923,2897
317,2908,2905,2925,2923,2920,2913,2921,2903,2924,2926
318,2905,2908,2923,2893,2903,2897,2925,2889,2920,2892
319,3019,4,33,6,2,11,16,9,14,3
320,2891,2890,2851,2854,2853,2889,2894,2855,2852,2895
321,2905,2908,2923,2925,2920,2903,2913,2893,2897,2926
322,2923,2920,2925,2913,2908,2903,2921,2916,2906,2897
323,3019,33,16,2937,6,11,30,4,14,36
324,2889,2890,2892,2891,2894,2893,2896,2895,2851,2899
325,2905,2908,2923,2925,2920,2903,2913,2926,2897,2893
326,33,3019,16,2937,30,36,6,11,22,14
327,3019,4,6,33,2,11,16,9,3,14
328,2925,2924,2920,2921,2926,2923,2916,2913,2917,2905
329,2905,2908,2923,2925,2920,2903,2913,2921,2926,2924
330,2889,2892,2893,2890,2894,2896,2899,2897,2891,2895
331,2851,2891,2890,2853,2889,2854,2852,2894,2855,2895
332,2893,2923,2903,2897,2908,2892,2913,2920,2906,2899
333,2905,2908,2923,2925,2893,2903,2920,2897,2892,2913
334,2908,2889,2892,2893,2890,2851,2891,2905,2897,2894
335,3019,33,6,4,16,11,2937,2,14,30
336,2908,2923,2905,2925,2920,2913,2903,2897,2921,2893
337,2891,2851,2890,2854,2853,2889,2894,2852,2855,2895
338,3019,33,16,6,2937,4,11,30,14,36
339,2889,2892,2890,2893,2891,2894,2851,2897,2896,2899
340,2851,2891,2890,2854,2853,2852,2889,2894,2855,2895
341,2925,2920,2921,2923,2924,2913,2926,2916,2905,2908
342,3019,4,6,33,2,11,16,9,14,3
343,3019,33,6,16,4,2937,11,30,14,2
344,2851,2891,2890,2852,2853,2854,2813,2889,2855,2894
345,2908,2905,2923,2893,2897,2903,2889,2892,2920,2925
346,2851,2,4,2891,2890,6,2852,2889,2853,3
347,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
348,2851,2891,2890,2889,2853,2854,2894,2892,2852,2895
349,2893,2892,2889,2908,2897,2903,2923,2890,2899,2894
350,2905,2908,2923,2925,2920,2913,2903,2926,2924,2921
351,2908,2923,2905,2903,2920,2925,2897,2893,2913,2906
352,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
353,2908,2905,2889,2893,2892,2923,2897,2890,2903,2891
354,3019,33,4,6,2,11,16,3,9,14
355,2908,2889,2893,2892,2897,2890,2905,2923,2903,2894
356,2851,2891,2890,2889,2853,2852,2854,2894,2892,2895
357,2851,2891,2890,2852,2853,2854,2889,2813,2894,2855
358,2908,2905,2923,2893,2897,2903,2892,2889,2920,2913
359,2908,2889,2851,2890,2892,2891,2893,2905,2894,2897
360,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
361,2908,2905,2923,2893,2903,2897,2892,2889,2920,2925
362,6,3019,4,33,11,16,2,14,9,2974
363,2889,2892,2893,2890,2894,2897,2896,2899,2891,2903
364,2893,2892,2889,2897,2899,2903,2890,2894,2896,2908
365,3019,33,16,2937,30,6,36,11,14,22
366,3019,4,6,2,33,3,11,9,2974,16
367,3019,33,16,6,2937,4,11,30,36,14
368,3019,33,16,2937,6,30,36,4,11,38
369,2851,2891,2890,2853,2854,2889,2852,2894,2855,2895
370,2891,2851,2890,2889,2854,2853,2894,2852,2855,2895
371,2893,2892,2889,2897,2890,2894,2899,2896,2903,2908
372,2925,2920,2921,2924,2923,2926,2913,2916,2905,2917
373,2905,3019,2908,33,2923,6,2925,4,2893,2920
374,2908,2905,2923,2925,2920,2913,2921,2903,2924,2926
375,3019,33,16,2937,6,30,36,4,11,14
376,2889,2890,2892,2893,2891,2894,2851,2908,2897,2896
377,2892,2889,2893,2890,2894,2897,2899,2896,2891,2903
378,2908,2923,2905,2903,2920,2925,2897,2893,2913,2906
379,2905,2908,2923,2925,2893,2903,2920,2897,2913,2892
380,2908,2905,2889,2893,2892,2923,2897,2903,2890,2894
381,2908,2905,2923,2893,2889,2892,2897,2903,2920,2890
382,2893,2897,2903,2892,2923,2899,2889,2908,2902,2913
383,2905,2908,2923,2925,2920,2903,2893,2897,2913,2892
384,2851,2891,2890,2889,2852,2853,2854,2894,2892,2813
385,2905,2908,2925,2923,2920,2921,2913,2924,2903,2926
386,2908,2905,2893,2923,2889,2892,2897,2903,2890,2920
387,2889,2890,2892,2894,2891,2893,2896,2895,2899,2851
388,2905,2925,2908,2923,2920,2924,2921,2926,2913,2903
389,2893,2892,2889,2897,2903,2899,2894,2896,2908,2923
390,2905,2908,2923,2925,2920,2903,2913,2926,2924,2921
391,4,6,2,3019,11,9,33,2974,3,14
392,2908,2889,2905,2893,2892,2923,2897,2890,2903,2891
393,2905,2908,2923,2925,2920,2903,2913,2926,2897,2921
394,2889,2890,2892,2894,2891,2893,2896,2895,2899,2851
395,4,2,6,3,9,2974,11,3019,7,14
396,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
397,2923,2903,2893,2897,2908,2913,2920,2892,2906,2899
398,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
399,2908,2905,2893,2889,2923,2892,2897,2903,2890,2920
400,2851,2891,2890,2889,2853,2854,2852,2894,2892,2855
401,2908,2889,2890,2851,2892,2893,2891,2905,2894,2897
402,4,6,2,9,11,3,2974,3019,14,33
403,2905,2908,2923,2925,2920,2913,2903,2921,2924,2926
404,3019,33,16,6,4,11,2937,14,30,22
405,3019,33,6,4,16,11,2937,2,14,30
406,2925,2920,2921,2923,2924,2913,2916,2926,2908,2903
407,2890,2891,2851,2889,2894,2892,2854,2895,2853,2855
408,2908,2923,2903,2893,2897,2920,2913,2905,2892,2925
409,2908,2889,2893,2892,2897,2923,2903,2905,2890,2894
410,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
411,3019,33,6,4,16,11,2,2937,14,9
412,2889,2892,2893,2890,2894,2897,2891,2896,2899,2903
413,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
414,4,2,6,9,3,2974,11,14,3019,7
415,3019,33,6,4,16,11,14,2937,2,9
416,2923,2908,2920,2925,2903,2913,2905,2897,2906,2893
417,2890,2891,2889,2851,2894,2892,2854,2895,2853,2855
418,2905,2908,2923,2925,2920,2903,2913,2921,2924,2926
419,2923,2903,2908,2897,2893,2913,2920,2906,2925,2892
420,33,3019,16,2937,30,6,11,14,36,22
421,2851,2891,2890,2853,2852,2854,2889,2894,2855,2895
422,2908,2893,2889,2892,2897,2923,2905,2903,2890,2894
423,2892,2893,2889,2897,2890,2894,2899,2896,2903,2891
424,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
425,2923,2920,2925,2913,2903,2908,2921,2916,2906,2897
426,2925,2920,2923,2908,2905,2921,2913,2924,2903,2916
427,33,3019,2937,16,30,36,22,11,14,6
428,2908,2905,2889,2892,2893,2890,2851,2891,2923,2897
429,4,6,2,9,3,2974,11,3019,14,33
430,2908,2905,2923,2893,2897,2903,2892,2889,2920,2913
431,6,4,3019,11,33,2,16,14,9,2974
432,2889,2908,2892,2890,2893,2891,2851,2894,2897,2905
433,4,2,6,9,3,2974,11,3019,14,7
434,3019,33,4,6,2,11,16,3,9,14
435,2908,2905,2889,2893,2923,2892,2897,2903,2890,2851
436,2908,2905,2923,2893,2903,2897,2920,2925,2913,2892
437,2908,2905,2889,2893,2892,2890,2923,2897,2851,2891
438,2905,2908,2923,2925,2920,2903,2913,2926,2921,2924
439,2851,2891,2890,2889,2853,2854,2852,2894,2892,2895
440,2893,2892,2889,2897,2899,2894,2903,2896,2890,2923
441,2925,2920,2921,2924,2923,2913,2916,2926,2908,2905
442,3019,33,6,4,2,16,11,2937,14,9
443,33,3019,2937,30,36,16,38,22,24,14
444,2851,2891,2890,2853,2852,2854,2889,2894,2855,2813
445,3019,33,6,4,2,11,16,14,9,2937
446,3019,33,16,2937,6,4,11,30,14,36
447,2889,2892,2893,2890,2894,2897,2899,2896,2891,2903
448,2851,2891,2890,2853,2852,2854,2889,2894,2855,2813
449,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
450,2908,2889,2851,2890,2892,2905,2893,2891,2894,2897
451,2925,2920,2921,2924,2923,2926,2913,2916,2908,2905
452,2851,2891,2890,2852,2853,2889,2854,2813,2894,2892
453,2851,2891,2890,2852,2853,2854,2889,2813,2894,2855
454,3019,33,16,2937,6,30,11,4,36,14
455,2908,2905,2923,2893,2903,2897,2892,2920,2889,2913
456,2889,2892,2893,2890,2894,2891,2897,2896,2899,2851
457,2908,2905,2923,2893,2897,2903,2892,2889,2920,2925
458,33,3019,2937,16,30,36,22,11,14,38
459,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
460,2908,2905,2893,2889,2923,2892,2897,2903,2890,2920
461,2908,2905,2893,2889,2923,2892,2897,2903,2890,2894
462,2908,2923,2903,2893,2897,2920,2913,2905,2892,2925
