,Ilp4,ImpE2,peb,ImpL2,knrl,Ance,cnc,trn,ftz,Ama
56,2910,5,40,28,2961,3000,2868,2905,21,3020
57,2281,2236,2339,2288,2312,2343,2380,2358,2393,2309
58,1455,1447,1392,1541,1608,1122,913,1063,756,1382
59,1975,2222,2236,2095,2077,2052,1905,2281,2250,2164
60,2728,2954,3024,2808,2997,2967,3039,2884,2680,2872
61,1455,1447,1392,1541,913,1063,1608,1122,756,1334
62,2840,3034,3003,2879,2747,2884,2672,2854,3039,2997
63,2751,3022,3021,3002,3020,2897,3033,2995,3035,2868
64,2222,1905,2236,2095,1975,2077,1876,2039,1878,1959
65,2672,2954,2728,3024,2741,2884,2340,2385,2707,2819
66,2667,2540,2671,2757,2711,2762,2527,2636,3000,2593
67,2077,2122,2052,2046,2162,2000,2298,2236,2095,2360
68,2281,2520,2343,2339,2222,2472,2481,2524,2236,2845
69,1455,1447,913,1063,1122,1450,1539,1570,756,1334
70,2309,2400,2349,2441,2360,2472,2481,2312,2380,2520
71,55,46,40,21,82,44,67,79,53,90
72,690,970,1447,1028,913,1063,449,1258,1342,1370
73,2728,2954,3024,3039,2808,2997,2967,3033,3003,2680
74,2477,2472,2481,2733,2574,2667,2309,2400,2349,2441
75,1455,1392,1541,1608,1189,1382,1549,1236,1332,730
76,2360,2343,2281,2309,2400,2349,2441,2298,2472,2481
77,1447,1546,1304,853,1628,778,1501,1450,1539,1570
78,2439,2446,2365,2472,2481,2026,2312,2380,2281,2378
79,690,480,888,395,86,1377,82,948,923,304
80,2623,2770,2878,2880,2894,2504,2413,2827,2669,2754
81,2077,2122,2365,2052,2162,2298,2397,2046,2148,2360
82,2077,2122,2365,2052,2046,2162,2000,2397,2148,2298
83,2298,2182,2122,2000,2360,2281,2236,2581,2540,2202
84,2672,2741,2728,2676,2954,2686,2707,2747,2822,2826
85,1455,913,1063,756,1057,735,586,647,830,988
86,2365,2397,2312,2380,2077,2358,2393,2309,2400,2349
87,46,55,2728,67,96,2705,2763,2786,2651,2724
88,1953,1904,1911,2036,2229,1842,1852,2189,2214,2303
89,3039,2820,2986,3005,3010,2819,2728,3022,2806,3020
90,1455,1377,875,1304,853,1447,1392,1541,1608,1450
91,55,46,96,67,28,33,40,19,2786,83
92,46,55,96,40,1724,1780,67,114,2354,1891
93,2312,2358,2393,2365,2309,2400,2298,2360,2250,2260
94,1455,1447,1392,1541,1608,1122,1382,1189,1549,1683
95,1455,1447,1122,913,1063,1334,1264,1541,1608,756
96,2792,2733,2236,2671,2711,2581,2667,2540,2378,2440
97,913,1063,756,1344,1057,1243,893,674,735,846
98,2360,2343,2281,2309,2400,2349,2441,2472,2481,2298
99,2222,2236,2095,1905,1975,2077,1876,2039,1878,1959
100,913,1063,756,1057,735,586,647,988,830,587
101,2365,2312,2380,2358,2393,2309,2400,2349,2441,2229
102,1455,1447,1122,1304,853,98,1392,1541,1608,1189
103,913,1063,756,1455,140,1057,735,586,647,830
104,913,1063,756,1057,735,586,647,988,830,587
105,50,38,56,11,85,65,140,86,119,88
106,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
107,3033,2786,2995,55,2728,46,2954,3034,3021,3022
108,1455,1189,1122,1236,1334,1264,913,1063,730,1382
109,1796,1904,1911,1684,1739,1742,1625,1792,2668,1500
110,913,1063,1455,756,1057,735,586,647,988,830
111,2281,2236,2095,2365,2077,1905,1975,2288,2343,1876
112,2365,2312,2214,2303,2309,2400,2358,2393,2360,2162
113,1455,1447,1304,853,1392,1541,1608,1122,199,1450
114,2728,2954,3024,2680,2872,2808,2997,2967,2966,3039
115,2365,2312,2380,2358,2393,2309,2400,2349,2441,2229
116,2365,2397,2312,2380,2358,2393,2309,2400,2349,2441
117,2365,2077,2397,2312,2380,2122,2281,2052,2358,2393
118,2360,2343,2281,2309,2400,2349,2441,2298,2472,2481
119,2365,2077,2281,2397,2312,2122,2380,2052,2358,2393
120,2365,2150,2189,1763,2312,2250,2439,2446,1738,1767
121,2365,2397,2312,2380,2358,2393,2309,2400,2349,2441
122,1455,1541,1608,756,1549,794,913,1063,1057,1392
123,2365,2312,2380,2229,2358,2393,2439,2446,2214,2309
124,2365,2312,2309,2400,2358,2393,2260,2268,2397,2288
125,2439,2446,2472,2481,2312,2380,2281,2378,2827,2440
126,3033,2954,2728,3003,2778,2848,3022,2953,2989,2994
127,1455,1392,1541,1608,1447,1382,1189,1549,1122,1332
128,913,1063,1455,756,1057,1447,735,586,647,830
129,2365,2312,2380,2439,2446,1796,2358,2393,2309,2400
130,2281,2339,2365,2077,2414,2236,2095,2288,1975,2397
131,2077,2250,2026,2122,2439,2446,2150,2189,2070,2086
132,55,46,21,96,40,82,44,2354,195,85
133,2365,2397,2439,2446,2312,2380,2477,2339,2358,2393
134,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
135,55,46,40,96,67,21,2136,1402,1499,83
136,1455,853,1304,1392,1447,1541,1608,1450,1539,1570
137,1455,1541,1608,1549,1392,1189,1382,913,1063,1132
138,2309,2400,2360,2312,2303,2358,2393,2349,2441,2298
139,1455,1392,1541,1608,1447,1382,1189,1549,1122,1332
140,2162,2298,2360,2365,2077,2182,2026,2202,2229,2250
141,913,1063,756,1057,735,586,647,830,988,587
142,2365,2439,2446,2477,2397,1796,2312,2380,2472,2481
143,2640,2372,2325,2883,2046,2695,2811,2000,2709,2675
144,2770,2878,2880,2894,2504,2806,2827,2669,2916,2792
145,1455,1541,1608,1392,1189,1549,1382,1447,1122,1236
146,2237,2318,1609,2187,55,46,1780,2341,2425,2389
147,2077,2365,2122,2312,2380,2397,2052,2281,2162,2046
148,2309,2400,2349,2441,2360,2472,2481,2520,2902,2312
149,2365,2229,2312,2380,2303,2269,2214,2358,2393,2309
150,1455,1304,853,1447,114,140,913,1063,38,756
151,2354,2172,2286,2329,2180,2256,55,46,1529,1688
152,913,1063,756,735,586,647,988,587,1334,1264
153,1147,1164,2387,747,837,2432,735,2510,830,2523
154,2046,2000,2077,2640,2026,1876,1878,1959,2122,2972
155,2439,2446,2477,2365,2472,2481,2312,2380,1796,2378
156,1455,913,1063,756,1057,735,586,647,830,988
157,1455,674,140,1344,756,1447,1243,1334,913,1063
158,1455,1392,1541,1608,1447,1382,1189,1549,2494,1122
159,1455,1189,1392,1541,1608,1122,1447,1382,1236,1334
160,2873,2972,2365,2918,3007,2312,2380,2981,2507,2988
161,1455,1392,1541,1608,1382,1189,1447,1549,1332,1122
162,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
163,913,1063,756,1455,735,586,647,988,587,794
164,1455,1122,1119,1155,1479,1189,1447,1392,1541,1608
165,1455,1122,1334,1264,756,913,1063,1261,1382,1397
166,2728,2954,3024,2808,3039,2997,2967,2680,2872,3033
167,1455,1447,1392,1541,1608,1122,1382,1189,1549,1683
168,2229,2214,2303,2309,2400,2269,2349,2441,1763,2360
169,2954,2840,2983,3003,2884,2848,2897,2997,2967,3024
170,1455,1189,1122,1236,1334,1264,1392,913,1063,1541
171,2468,2339,2540,2520,2281,2402,2521,2377,3000,2675
172,96,67,756,46,55,617,672,913,1063,794
173,2439,2446,2477,1796,2365,2472,2481,2397,2312,2380
174,217,2387,2421,465,2505,408,160,161,2478,2324
175,2728,2954,3024,3039,2808,2997,2967,3033,2680,2986
176,2281,2360,2343,2397,2309,2400,2349,2441,2236,2303
177,1684,1643,1503,1752,1825,1550,923,1655,1092,1118
178,1147,1238,3,10,926,1171,839,853,1304,63
179,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
180,2354,2172,2286,2329,55,46,1529,1688,1890,2180
181,2354,55,46,2180,2256,2172,40,2286,2329,2279
182,2214,2303,2365,2309,2400,2360,2312,2202,2397,2105
183,2365,2298,2360,2397,2312,2380,2358,2393,2309,2400
184,1455,1392,1447,1541,1608,1122,1382,1189,1549,1683
185,1455,1392,1541,1608,1382,1189,2354,1549,1447,1332
186,2365,2077,38,2397,2312,2380,2281,2122,2052,2358
187,2077,2122,2052,2365,2148,2046,2162,2000,2298,2360
188,2439,2446,2477,2077,2365,1796,2339,2250,2472,2481
189,2365,2312,1699,2250,1763,1738,1767,2214,2303,2358
190,2365,2312,2380,2397,2358,2393,2309,2400,2349,2441
191,1455,913,1063,756,1447,1057,735,586,647,830
192,96,55,46,67,59,72,110,151,2117,1455
193,1455,140,913,1063,756,1057,735,586,647,830
194,2439,2446,2477,2365,2472,2481,2150,2312,2380,2189
195,2365,2312,2439,2446,2358,2393,2309,2400,2472,2481
196,2281,2236,2095,1905,1975,2365,2077,2288,1876,2343
197,2365,2397,2312,2380,2339,2358,2393,2309,2400,2349
198,2829,2978,2764,2945,2984,2947,3008,3009,2934,67
199,2281,2360,2236,2222,2343,2472,2481,2309,2400,2349
200,2360,2343,2397,2202,2229,2303,2269,2309,2400,2349
201,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
202,1796,1763,2189,1792,1980,2016,2111,2472,2481,2232
203,2498,2532,49,2436,2619,2600,2707,2488,2548,2371
204,913,1063,1455,140,756,1057,735,586,647,830
205,2439,2446,2365,2477,2397,2472,2481,2312,2380,2298
206,2893,3027,3016,3009,2895,2945,2840,2844,2928,3008
207,2380,2236,2358,2393,2349,2441,2281,2439,2446,2298
208,55,46,96,67,40,83,59,72,110,2354
209,2281,2222,2236,2095,2077,2439,2446,1975,2365,2477
210,2754,2819,2770,2540,2672,2776,2728,2820,2868,2905
211,2281,2360,2222,2343,2236,2472,2481,2520,2477,2309
212,55,46,96,2354,2244,40,67,1455,5,83
213,2728,2954,2808,3024,2997,2967,3003,3033,2680,3039
214,55,46,96,2354,40,67,83,2244,5,59
215,2439,2446,2477,2365,2472,2481,2397,2312,2380,2378
216,2360,2397,2303,2309,2400,2349,2441,2269,2365,2472
217,67,972,1337,1057,96,756,672,897,2705,855
218,1455,1392,1447,1541,1608,1377,1382,1189,1122,1501
219,2439,2446,2477,2365,2472,2481,2312,2380,2339,2378
220,2728,2954,2910,3024,3039,2808,2997,2967,2872,2680
221,913,1063,756,1057,735,586,647,830,988,587
222,49,28,5,58,92,32,8,2,40,90
223,2077,2250,2026,2122,2148,2162,2298,2360,2052,2070
224,1455,1447,1541,1608,1392,1122,1683,1549,8,1382
225,2222,2077,2236,2095,2250,2026,2122,2164,1975,2281
226,2360,2868,2472,2481,2349,2441,3031,2520,3001,2919
227,2439,2446,2477,2365,2472,2481,2916,2703,2397,2312
228,1455,1447,1392,1541,1608,1749,1784,1122,1382,1189
229,2312,2380,2358,2393,2298,2309,2400,2349,2441,2360
230,1147,1304,853,1171,1164,926,1111,1356,809,1238
231,2439,2446,2477,2365,2077,2281,2472,2481,2250,2397
232,2763,2707,40,2772,2954,2910,2651,55,2995,46
233,2686,2848,2705,2724,2672,2778,2651,2840,3003,2784
234,1975,2077,2236,2095,1905,2052,1876,2039,1878,1959
235,1975,2222,2052,2236,2095,1905,2077,2090,1876,2039
236,1904,1911,2050,2150,2189,1796,1956,1986,1792,1953
237,2365,2312,2214,2303,2358,2393,2309,2400,2162,2298
238,2365,2250,2312,1738,1767,1763,2105,2854,1871,2214
239,756,913,1063,794,1057,1397,735,586,647,830
240,55,46,96,40,90,5,28,33,67,59
241,2365,2229,2312,2380,2214,2050,2303,2269,2358,2393
242,2728,2954,2672,2819,2884,2808,2997,2967,3024,2897
243,2910,2829,2992,55,2975,40,3033,38,3022,3017
244,913,1063,140,756,1455,1057,1447,735,1304,853
245,923,1655,1028,1416,1576,948,1443,1643,1085,1548
246,2281,2360,2472,2481,2343,2761,2670,2222,2520,2754
247,1455,913,1063,756,1447,1057,735,586,647,830
248,1455,1392,1541,1608,1304,853,1189,1447,1272,1382
249,2150,2189,2365,1796,2229,1980,2016,2111,2439,2446
250,2365,2306,2252,1432,2124,2312,2307,2363,1526,1569
251,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
252,1455,1447,1392,1122,1541,1608,1189,1382,1549,1683
253,140,913,1063,1455,114,756,1057,735,586,647
254,2439,2446,2477,2077,1796,2365,2472,2481,2250,2026
255,2365,2077,2162,2148,2298,2360,2397,2312,2380,2122
256,1455,199,41,138,192,875,1447,1304,853,1377
257,2365,2298,2360,2288,2343,2397,2312,2380,1356,1905
258,2077,2439,2446,2250,2477,2026,2122,2365,1796,2472
259,1455,1189,1122,1382,1236,1334,1264,1332,913,1063
260,2077,2122,2052,2365,2046,2162,2148,2000,2298,2360
261,2222,1905,2236,2095,1975,2077,2281,1876,2039,1878
262,2077,2236,2095,2122,2281,2365,2052,1975,2164,2298
263,2365,2312,2250,1738,1767,1699,2105,1871,1763,2214
264,38,50,104,85,145,114,65,11,56,86
265,2077,2250,2026,2439,2446,2477,2122,2365,2070,2086
266,1057,1127,1146,2679,1378,1560,919,976,1067,1143
267,913,1063,756,1057,1608,970,735,586,647,830
268,2354,2244,2172,2286,2329,1780,1529,1688,1890,2055
269,2360,2309,2400,2349,2441,2472,2481,2312,2380,2520
270,2189,1763,1980,2016,2111,1699,2232,2472,2481,2229
271,2466,2429,2341,2425,2519,2426,2517,2431,2399,2394
272,1447,1683,1122,1501,1455,1546,1377,1628,459,778
273,2077,2122,2250,2026,2052,2046,2162,2000,2148,2070
274,2980,45,2947,2937,217,3028,3,10,2892,34
275,2365,2312,2214,2303,2358,2393,2309,2400,2162,2298
276,2365,2312,1767,2105,2214,1871,2303,1919,1975,1823
277,40,90,21,68,9,119,79,5,53,140
278,3020,3022,3024,3039,2967,2977,2925,3038,3000,2910
279,2026,2070,2086,2174,2150,2189,2046,1975,2000,2162
280,2439,2446,2477,2365,2250,2026,2077,2472,2481,2397
281,590,1028,690,923,970,1377,545,778,913,1063
282,1122,1455,1189,1236,1334,1264,1043,529,778,1447
283,3024,2728,3039,2954,2986,3005,3010,3022,3035,2820
284,2439,2446,2477,2365,2472,2481,2312,2380,2150,2232
285,217,26,1147,1238,408,1447,184,160,163,387
286,2439,2446,2477,2365,2250,1796,2150,2189,2472,2481
287,2281,2365,2077,2236,2095,2288,2339,2343,2397,1975
288,1455,119,1541,1608,1392,199,41,853,1304,913
289,3003,2840,2954,2966,2848,2895,2822,2826,2854,2747
290,2365,2312,2214,2358,2393,2303,2309,2400,2162,2298
291,2077,2122,2365,2052,2162,2148,2298,2046,2000,2397
292,2365,2077,2397,2312,2380,2122,2281,2052,2358,2393
293,2077,2222,2236,2095,2250,2026,2122,2281,2164,2439
294,2306,2252,1767,2105,1763,1871,1919,2124,2307,2363
295,2026,2070,2086,2174,2150,2046,2189,2000,3035,2262
296,2281,2236,2095,1905,2077,1975,2222,1876,2039,1878
297,2365,2312,2358,2393,2309,2400,2260,2268,2397,2214
298,913,1063,756,1057,735,1455,586,647,830,988
299,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
300,1447,1455,1501,1122,1683,1377,1546,756,1334,449
301,1905,2236,2095,2222,1975,2077,1876,2039,1878,1959
302,1905,2236,2095,1975,2077,1876,2039,1878,1959,2164
303,1455,1541,1608,1149,1392,1171,853,1304,1549,1432
304,46,55,5,90,40,96,28,33,2354,68
305,1749,1784,1455,1683,1122,1666,1905,1843,529,1189
306,2439,2446,2477,2365,2339,2472,2481,2397,2312,2380
307,2250,2298,2360,2365,2162,2148,2026,2229,2150,2202
308,55,46,96,67,40,83,59,72,110,5
309,1455,1392,1541,1608,1447,1304,853,199,1382,1189
310,2281,2222,2439,2446,1905,2236,2095,1975,2077,2365
311,2365,2312,2250,1738,1767,2105,2358,2393,2309,2400
312,55,46,67,96,83,59,72,110,40,2354
313,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
314,756,1683,1455,913,1063,1546,1377,1447,1541,1608
315,617,913,1063,756,1057,747,837,735,586,647
316,2365,2439,2446,2477,2077,2298,2397,2312,2380,2250
317,1796,2150,2189,2026,1792,1980,2016,2111,2232,1763
318,2365,2439,2446,2397,2477,2312,2380,2298,2360,2472
319,2077,2250,2026,2122,2052,2070,2086,2174,2150,2046
320,913,1063,140,756,1057,1455,735,586,647,830
321,2365,2312,2439,2446,2222,2358,2393,2309,2400,2472
322,3003,2996,2993,3025,3012,2831,2886,2945,3015,2775
323,2520,2281,2649,2749,2670,2754,2669,2468,2845,2819
324,735,913,1063,586,647,830,617,756,1057,988
325,2281,1975,2236,2095,1905,2222,2439,2446,2365,2077
326,2189,1796,1980,2016,2111,1792,2232,2472,2481,2229
327,2365,2312,2229,2214,2380,2303,2358,2393,2309,2400
328,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
329,1975,2281,2236,2095,1905,2052,2077,1876,2090,2039
330,46,140,55,1365,1779,1432,672,794,1754,1264
331,1455,1392,1541,1608,853,1304,1447,1377,875,1382
332,40,21,85,82,44,79,50,53,5,114
333,2365,2397,2312,2380,2358,2393,2309,2400,2349,2441
334,2365,2229,2312,2380,2214,2303,2269,2358,2393,2309
335,2077,2122,2298,2052,2046,2162,2000,2365,2148,2182
336,2250,2026,2077,2365,2439,2446,2148,2477,2162,2298
337,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
338,2077,2250,2026,2162,2298,2360,2122,2365,2148,2182
339,970,690,617,913,1063,1219,1343,814,756,1057
340,1455,913,1063,1541,1608,1189,756,1057,735,586
341,2365,2312,2802,2306,2252,1767,2105,1871,2358,2393
342,387,449,408,455,399,370,385,1122,56,491
343,1905,2236,2095,1975,2077,1876,2039,1878,1959,1755
344,913,1063,756,1057,735,586,647,988,830,587
345,3020,3021,3002,2232,3039,3031,2819,2134,3033,2876
346,1455,1189,1447,1392,1122,1236,913,1063,529,778
347,2477,2397,2472,2481,2309,2400,2349,2441,2365,2360
348,1455,913,1063,756,1541,1608,1057,735,586,647
349,404,1101,1113,79,5,82,480,804,966,28
350,2222,2236,2095,2077,2281,1975,2164,2250,2122,2026
351,2728,2860,2954,3024,2796,3039,2623,2884,2808,2997
352,2365,2077,2397,2312,2380,2122,2281,2052,2358,2393
353,2439,2446,2365,2477,2472,2481,2397,2312,2380,2378
354,2439,2446,2365,2477,2472,2481,2298,2397,2360,2312
355,2365,2312,2380,2339,2358,2393,2981,2309,2400,2349
356,913,1063,756,1057,735,586,647,830,988,587
357,1455,1392,1541,1608,1447,1382,1189,1377,1304,853
358,2763,2829,2764,2690,96,67,2844,2705,2741,2717
359,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
360,2365,2312,2380,2439,2446,2281,1975,2162,2026,1796
361,2764,2675,2714,2773,2851,2843,2696,2782,2825,2672
362,217,690,160,491,26,617,1447,80,3,10
363,55,46,96,67,83,59,72,110,1891,1818
364,55,46,96,40,67,83,2354,59,72,110
365,399,542,465,449,513,408,455,479,153,370
366,2281,2349,2441,2472,2481,2520,2792,2343,2397,2309
367,1905,2236,2095,1975,2077,1876,2039,1878,1959,1755
368,2077,2122,2052,2046,2162,2000,2365,2298,2360,2148
369,2432,2324,2478,2523,2419,2376,2564,2342,2285,2283
370,1455,1541,1608,1549,1392,1447,1382,1683,1189,1479
371,55,46,96,67,83,59,72,110,672,1891
372,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
373,2077,2365,2122,2397,2312,2380,2281,2052,2439,2446
374,3039,3035,3024,3038,2751,3000,3023,2995,2954,3007
375,1975,2222,1905,2236,2095,2052,2077,1876,2039,1878
376,1608,46,2237,2318,1455,2341,2425,1549,55,1609
377,96,55,46,67,59,72,110,83,1891,1641
378,3024,2954,2728,3039,2808,2986,3005,3010,2997,3022
379,2365,2077,2281,2397,2312,2380,2122,2052,2236,2095
380,2365,2397,2312,2380,2358,2393,2309,2400,2349,2441
381,2439,2446,2477,2365,2472,2481,2397,2339,2312,2380
382,2354,55,46,96,2172,2286,2329,40,2180,2256
383,2077,2250,2026,2122,1796,2439,2446,2365,2070,2086
384,1455,1392,1541,1608,1189,1382,1149,730,1785,1847
385,3035,3039,2672,3022,3024,5,49,2995,2728,3038
386,2981,2365,3038,2998,2972,2298,2360,2397,2745,2312
387,913,1063,756,1057,735,617,586,647,830,988
388,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
389,46,55,96,679,753,2354,694,1724,40,67
390,2309,2400,2360,2349,2441,2312,2343,2472,2481,2281
391,1455,913,1063,756,1447,1057,1334,1264,735,586
392,2365,2397,2312,2380,2298,2360,2358,2393,2309,2400
393,2281,1796,2571,2472,2481,2036,2565,2733,2309,2400
394,46,2237,2318,1608,1724,1780,1455,49,913,1063
395,1122,1455,1189,1236,1043,1334,1264,2406,778,1447
396,778,913,1063,197,101,332,90,459,132,142
397,2763,40,21,2992,2707,2772,2651,82,2995,2614
398,1455,913,1063,1447,1334,1264,1344,756,1243,140
399,3039,3038,3007,2751,3035,3000,2026,3013,3024,3002
400,1455,1392,1541,1608,913,1063,1447,1334,1382,1264
401,2439,2446,2477,2365,1796,2472,2481,2312,2380,2150
402,1455,1541,1608,1392,1549,1382,1189,1447,913,1063
403,3039,3035,3024,1796,2751,2606,2070,2086,2174,2189
404,2776,2728,2770,2754,2819,2540,2413,2672,2806,2656
405,2077,2122,2148,2162,2298,2052,2046,2000,1796,2182
406,1904,1911,2896,2895,2050,2840,1953,2673,1956,1986
407,1455,1447,1334,1264,1122,913,1063,1392,1541,1608
408,3033,3022,2728,3035,2954,2786,55,46,2778,2995
409,3012,2977,2969,3020,2984,2967,3000,3022,3011,3001
410,2077,2122,2052,2148,2162,2298,2365,2046,2360,2000
411,1975,2222,2236,2095,2052,2077,1905,2090,2250,2164
412,46,55,617,913,1063,96,756,690,1057,747
413,1796,2439,2446,2477,2365,2472,2481,2250,2397,2026
414,1334,1264,1455,1122,913,1063,1344,1243,756,1261
415,49,40,5,11,6,27,849,28,58,205
416,3003,2831,2954,2808,2694,2966,2997,2967,2763,2772
417,1455,1189,913,1063,1132,1397,756,1236,1057,1334
418,2077,2250,2222,2026,2122,2236,2095,2439,2446,2281
419,40,21,85,5,82,79,44,53,28,67
420,2281,2540,2339,2520,2438,2343,2733,2569,2309,2400
421,1455,1541,1608,1189,1392,1549,1479,1122,1334,1397
422,2829,2978,2980,161,3009,2984,2937,2975,2764,3011
423,55,46,2354,96,67,2244,40,83,85,59
424,1455,1541,1608,913,1063,756,1057,1392,735,586
425,2840,3003,2954,2966,3034,2854,2848,2879,2895,1796
426,1975,2046,2000,2640,2077,1876,1878,1959,2236,2095
427,1879,1904,1911,2050,2802,2156,2150,2189,1956,1986
428,2250,2026,2439,2446,2298,2477,2360,2070,2086,2174
429,913,1063,756,1057,735,586,647,830,988,587
430,2829,2764,2945,2984,2978,161,3009,2900,2943,67
431,1455,1447,1392,1541,1608,1122,1501,1683,1382,1189
432,2365,1118,2312,2380,1129,1092,2358,2393,2309,2400
433,1455,913,1063,1541,1608,756,1057,617,735,586
434,2298,2360,2365,2182,2148,2162,2397,2312,2380,2077
435,2818,2439,2446,2477,2365,1796,2827,2916,2298,2703
436,1796,2077,2122,2298,2148,2162,2250,50,2026,2260
437,2365,2397,2439,2446,2477,2312,2380,1796,2250,2148
438,2281,2236,2095,2365,2077,2288,1975,2343,2164,2397
439,1455,1189,1122,1119,1155,1479,1979,1236,1334,1264
440,46,55,96,85,140,1724,1780,21,1754,1923
441,2365,2312,2250,1738,1767,2214,2105,2303,1871,2358
442,2077,2122,2052,2046,2162,2000,2148,2298,2360,2236
443,2734,2802,2823,2306,2252,2365,2074,2735,2669,2845
444,1455,1392,1541,1608,913,1063,119,756,140,1382
445,2365,2312,2380,2229,2303,2269,2358,2393,2309,2400
446,2026,2150,2189,2439,2446,2070,2086,2174,2162,2365
447,55,96,46,67,672,794,768,617,850,1136
448,1455,1122,1189,1382,756,1272,1236,50,853,1119
449,2281,2339,2222,1796,2439,2446,2414,2236,2095,1905
450,2365,2312,2439,2446,2358,2393,2309,2400,2472,2481
451,2439,2446,2365,1796,2472,2481,2312,2380,2378,2440
452,1455,853,1304,1392,1447,1541,1608,1450,1539,1570
453,1455,853,1304,875,1447,1171,1230,1147,1039,98
454,2222,2236,2095,2077,1975,2250,2164,2026,1905,2122
455,2728,2954,2808,3024,2872,2680,2997,2967,3033,3039
456,46,2354,67,617,55,913,1063,2187,96,2237
