,Ama,Ance,CG43394,CG8147,cnc,croc,Cyp310a1,D,Doc2,E(spl)m5-HLH
57,1663,1701,1740,676,677,1043,1078,1081,1091,1115
58,758,795,947,948,949,986,987,988,1023,1024
59,1037,1074,998,999,1034,1038,1075,1150,1188,1190
60,134,170,171,207,209,210,211,244,245,246
61,680,681,683,717,718,719,721,793,794,1668
62,690,803,841,559,560,561,595,596,598,649
63,445,481,482,514,520,3017,584,585,620,671
64,993,996,1032,1034,1070,1075,1108,1146,1147,1150
65,323,357,358,359,360,395,396,397,398,399
66,2809,2847,2772,2774,2804,2807,2810,2811,2812,2846
67,961,883,884,885,921,922,923,960,962,998
68,2589,2591,2592,2593,2630,2631,2632,2634,2635,2509
69,947,948,949,986,987,988,1023,1024,1025,1026
70,2768,2772,830,641,754,2731,2767,2773,564,679
71,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
72,2081,1668,1741,1744,2198,2311,2119,2422,830,1077
73,134,170,171,207,209,210,211,244,245,246
74,1091,1661,1700,1738,784,1011,1013,1045,1047,1048
75,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
76,1867,1868,1905,1906,1943,1944,1946,1948,1981,1982
77,2047,2049,2084,2087,2124,2125,2126,2127,2128,2161
78,685,724,764,765,992,1030,1031,1037,1068,1069
79,680,681,683,717,718,719,721,794,641,754
80,2433,2471,2510,2511,2512,2513,2550,2552,2596,2625
81,865,979,1016,1093,1739,770,863,903,961,1014
82,660,693,694,696,697,733,735,737,769,772
83,474,478,167,199,200,201,202,203,204,205
84,880,875,914,842,881,882,918,919,920,955
85,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
86,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
87,137,17,148,151,184,185,187,189,222,223
88,880,799,800,801,837,838,839,840,876,877
89,545,516,582,167,199,200,201,202,203,204
90,834,835,836,871,872,908,910,1061,1100,1137
91,53,89,88,46,49,56,57,58,59,5
92,183,265,298,148,151,184,185,187,189,222
93,2589,2591,2592,2593,2630,2631,2632,2634,2635,803
94,873,874,909,911,912,950,1101,1102,1139,1140
95,527,565,567,569,603,604,606,607,608,640
96,713,827,828,2043,2081,2233,2234,2271,2499,826
97,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
98,2557,2594,2595,2597,2636,2939,2591,2592,2593,2630
99,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
100,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
101,900,977,1015,1283,1055,710,823,825,862,901
102,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
103,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
104,377,414,415,416,417,418,450,451,452,453
105,148,151,184,185,187,189,222,223,224,225
106,1112,1113,1116,1151,1154,1185,1187,1223,1224,1260
107,93,94,95,96,98,215,253,88,97,125
108,341,379,342,378,380,377,414,415,416,417
109,685,724,992,1030,1031,1068,1069,1106,687,723
110,947,948,949,986,987,988,1023,1024,1025,1026
111,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
112,875,914,647,799,800,801,837,838,839,840
113,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
114,133,172,249,250,288,403,134,170,171,207
115,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
116,2179,2215,2216,2217,2252,2253,2254,2687,2724,2972
117,1091,1661,1700,1738,559,560,561,595,596,598
118,1867,1868,1905,1906,1943,1944,1946,1948,1981,1982
119,1076,1080,1114,1117,1120,1121,1152,1157,1158,1195
120,2357,2359,2959,1902,1939,1978,1980,2016,2017,2054
121,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
122,2938,758,795,947,948,949,986,987,988,1023
123,1013,1052,1076,1080,1114,1117,1120,1121,1128,1129
124,803,841,875,914,989,799,800,801,837,838
125,1776,1091,1587,1658,1659,1660,1661,1692,1694,1695
126,443,407,175,212,213,406,442,444,446,483
127,947,948,949,986,987,988,1023,1024,1025,1026
128,527,565,567,569,603,604,606,607,608,640
129,1185,1187,1223,1224,1260,1261,1262,1263,1264,1298
130,1013,1052,1076,1080,1114,1117,1120,1121,1128,1129
131,770,961,1037,1074,1077,1153,1155,660,693,694
132,263,342,378,380,301,303,338,339,341,376
133,1296,1334,1372,1410,1448,991,1027,1028,1029,1065
134,873,874,909,911,912,950,1101,1102,1139,1140
135,375,263,342,378,380,336,337,412,413,265
136,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
137,1400,1402,1021,1022,1668,1741,1744,1287,1325,1326
138,1866,1941,1942,1979,2018,2057,2132,1599,1637,1638
139,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
140,901,938,939,940,976,978,1000,1001,1131,1321
141,1668,1744,1155,1690,1776,758,795,947,948,949
142,1658,1659,1660,1692,1694,1695,1696,1697,1698,1733
143,617,618,619,2965,3033,805,808,811,812,843
144,1167,1205,1245,1586,1623,1624,1625,1662,1091,1168
145,341,379,342,378,380,377,414,415,416,417
146,527,565,567,569,603,604,606,607,608,640
147,1013,1052,1076,1080,1114,1117,1120,1121,1128,1129
148,2557,2594,2595,2597,2636,2939,2596,2637,2638,2639
149,2941,675,709,711,747,748,749,786,787,824
150,947,948,949,986,987,988,1023,1024,1025,1026
151,377,414,415,416,417,418,450,451,452,453
152,1706,1175,1176,1212,1250,1253,1254,1325,1363,1364
153,340,263,342,378,380,301,303,338,339,341
154,883,884,885,921,922,923,960,673,712,750
155,1013,1052,1128,1129,900,977,1015,1091,3004,927
156,1324,1362,758,795,947,948,949,986,987,988
157,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
158,527,565,567,569,603,604,606,607,608,640
159,1324,1362,758,795,947,948,949,986,987,988
160,637,784,2941,826,3029,597,599,633,634,635
161,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
162,675,709,711,747,748,749,786,787,824,864
163,1706,1175,1176,1212,1250,1253,1254,1325,1363,1364
164,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
165,1668,1744,2938,340,341,379,526,758,795,947
166,517,519,446,483,518,521,556,558,445,480
167,1361,449,564,679,755,756,792,1323,1325,1363
168,989,2357,2359,2959,647,764,765,913,915,951
169,496,533,534,571,610,611,647,685,724,343
170,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
171,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
172,377,414,415,416,417,418,450,451,452,453
173,1663,1701,522,1091,1661,1700,1738,484,521,556
174,2198,830,758,795,947,948,949,986,987,988
175,289,327,328,329,364,365,366,367,404,405
176,1867,1868,1905,1906,1943,1944,1981,1982,2019,2020
177,2007,2083,2197,2082,2120,2158,2309,2347,2650,1283
178,2731,2653,2733,1948,1950,2026,2562,2600,2687,2724
179,873,874,909,911,912,950,1101,1102,1139,1140
180,487,488,377,414,415,416,417,418,449,450
181,28,32,34,35,37,68,73,74,106,114
182,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
183,1091,1661,1700,1738,784,1011,1013,1045,1047,1048
184,527,565,567,569,603,604,606,607,608,640
185,759,796,797,832,527,565,567,569,603,604
186,1091,1661,1700,1738,1053,1054,1092,1130,1663,1701
187,900,977,1015,1014,1053,1054,1092,1130,823,825
188,167,199,200,201,202,203,204,205,206,208
189,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
190,675,709,711,747,748,749,786,787,824,864
191,2650,1359,1398,982,1019,1096,1324,1362,1626,1702
192,341,379,377,414,415,416,417,418,450,451
193,758,795,947,948,949,986,987,988,1023,1024
194,1013,1052,1128,1129,2941,407,408,175,212,213
195,685,724,764,765,992,1030,1031,1037,1068,1069
196,1112,1113,1116,1151,1154,961,1077,1153,1155,881
197,929,930,931,932,935,966,970,1009,1046,1050
198,407,484,409,443,522,2941,445,481,482,520
199,2585,2589,2591,2592,2593,2630,2631,2632,2634,2635
200,1641,1680,1185,1187,1223,1224,1260,1261,1262,1263
201,831,1741,1013,1052,1076,1080,1114,1117,1120,1121
202,1296,1334,1372,1410,1448,1523,1562,1866,1941,1942
203,2603,2640,2642,2643,2644,2654,2655,2693,2695,2696
204,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
205,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
206,153,191,192,154,155,156,193,194,195,229
207,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
208,377,414,415,416,417,418,449,450,451,452
209,1587,2947,1776,1814,1815,1890,1928,2004,2232,2269
210,2433,2471,2510,2511,2512,2513,2550,2552,2625,2661
211,2719,2637,2638,2639,2673,2674,2675,2676,2677,2678
212,413,375,377,414,415,416,417,418,450,451
213,134,170,171,207,209,210,211,244,245,246
214,341,379,263,342,378,380,377,414,415,416
215,1013,1052,1128,1129,2941,675,709,711,745,747
216,2487,2563,2564,2565,2566,2602,2604,2645,2646,2647
217,655,692,883,884,885,921,922,923,960,1831
218,1324,1362,758,795,947,948,949,986,987,988
219,637,1053,1054,1092,1130,597,599,633,634,635
220,133,172,249,250,288,403,600,637,63,101
221,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
222,680,681,683,717,718,719,721,794,641,754
223,1014,865,979,1016,1093,900,977,1015,1017,673
224,1101,1102,1139,1140,1174,1177,1178,1215,1440,1819
225,1739,2535,2536,2575,2611,2612,998,999,1038,1840
226,2633,2668,2672,2637,2638,2639,2661,2663,2664,2665
227,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
228,2657,2658,2692,2698,2730,2734,2735,2984,3002,873
229,2007,2083,2197,2044,2121,2159,2349,830,828,829
230,340,680,681,683,717,718,719,721,793,794
231,1587,2947,1776,1814,1815,1890,1928,2004,2232,2269
232,38,17,32,34,35,37,68,74,114,9
233,86,2981,41,81,7,1,8,9,10,39
234,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
235,770,961,1037,1074,1077,1153,1155,660,693,694
236,803,841,685,724,799,800,801,837,838,839
237,993,996,1032,1034,1070,1075,1108,1146,1147,1150
238,989,991,1027,1028,1029,1065,1066,1067,1103,1104
239,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
240,183,265,148,151,184,185,187,189,222,223
241,1867,1868,1905,1906,1943,1944,1946,1948,1981,1982
242,507,509,543,544,548,579,167,199,200,201
243,409,407,446,483,484,518,333,371,372,373
244,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
245,830,641,754,981,676,677,564,679,680,681
246,2433,2471,2510,2511,2512,2513,2550,2552,2625,2509
247,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
248,1706,1175,1176,1212,1250,1253,1254,1325,1363,1364
249,2160,2383,2082,2120,2158,2309,2347,2650,906,1133
250,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
251,2043,2233,2234,2271,2499,1739,2193,2307,2382,2383
252,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
253,947,948,949,986,987,988,1023,1024,1025,1026
254,933,965,967,968,969,971,972,973,1004,1005
255,1077,1153,1155,1225,1605,1643,1690,1034,1043,1075
256,527,565,567,569,603,604,606,607,608,640
257,2179,2215,2216,2217,2252,2253,2254,2972,998,999
258,2342,1160,1653,1732,1807,1811,1838,1841,1842,1843
259,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
260,1013,1052,1076,1080,1114,1117,1120,1121,1128,1129
261,2576,2535,2536,2575,2611,2612,1249,1855,1856,1896
262,1037,1074,998,999,1034,1038,1075,1150,1188,1190
263,1037,1074,998,999,1034,1038,1075,1150,1188,1190
264,413,834,835,836,871,872,908,910,1061,1100
265,2079,2080,2118,2156,2193,2307,1851,1852,1884,1889
266,521,556,558,624,2961,445,481,482,520,553
267,527,565,567,569,603,604,606,607,608,640
268,32,34,35,37,68,74,114,36,66,31
269,2603,2640,2642,2643,2644,2487,2563,2564,2565,2566
270,989,2357,2359,2959,647,764,765,913,915,951
271,2692,2728,2730,2768,2804,2690,2691,2729,2765,2766
272,873,874,909,911,912,950,1101,1102,1139,1140
273,1053,1054,1092,1130,597,599,633,634,635,636
274,605,377,414,415,416,417,418,450,451,452
275,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
276,875,914,764,765,799,800,801,802,837,838
277,263,342,378,380,301,303,338,339,341,376
278,523,676,677,559,560,561,595,596,598,637
279,675,709,711,747,748,749,786,787,824,864
280,1003,1007,1232,1315,1389,1011,1039,1040,1042,1045
281,377,414,415,416,417,418,450,451,452,453
282,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
283,784,2941,133,172,249,250,288,403,637,175
284,1091,1661,1700,1738,784,1011,1013,1045,1047,1048
285,947,948,949,986,987,988,1023,1024,1025,1026
286,3004,1167,1205,1245,1586,1623,1624,1625,1662,2193
287,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
288,758,795,947,948,949,986,987,988,1023,1024
289,230,270,233,234,235,271,272,307,308,309
290,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
291,1658,1659,1660,1692,1694,1695,1696,1697,1698,1733
292,673,712,750,788,1014,1776,2342,2343,2345,2384
293,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
294,989,913,915,951,952,953,990,992,1030,1031
295,1893,2045,2273,870,945,1249,1855,1856,1896,1898
296,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
297,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
298,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
299,1013,1052,1128,1129,2941,675,709,711,745,747
300,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
301,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
302,961,883,884,885,921,922,923,960,962,998
303,947,948,949,986,987,988,1023,1024,1025,1026
304,377,414,415,416,417,418,450,451,452,453
305,341,379,758,795,947,948,949,986,987,988
306,1091,1661,1700,1738,784,1011,1013,1045,1047,1048
307,2383,3004,1206,1207,1243,1244,1282,1358,1395,1396
308,341,379,377,414,415,416,417,418,450,451
309,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
310,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
311,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
312,341,379,377,414,415,416,417,418,450,451
313,1043,1078,1081,1115,1118,1119,1156,1194,1077,1153
314,1627,1668,1741,1744,1324,1362,1626,1702,1740,1098
315,680,681,683,717,718,719,721,794,527,565
316,1091,1661,1700,1738,1053,1054,1092,1130,1663,1701
317,989,1739,2357,2359,2959,1930,647,649,685,688
318,1663,1701,1091,1661,1700,1738,713,714,752,789
319,1658,1659,1660,1692,1694,1695,1696,1697,1698,1733
320,759,796,797,832,527,565,567,569,603,604
321,1600,993,996,1032,1034,1070,1075,1108,1146,1147
322,153,191,192,154,155,156,193,194,195,229
323,2589,2591,2592,2593,2630,2631,2632,2634,2635,2509
324,2692,2730,680,681,683,717,718,719,721,794
325,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
326,1867,1868,1905,1906,1943,1944,1981,1982,2019,2020
327,993,996,1032,1034,1070,1075,1108,1146,1147,1150
328,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
329,1112,1113,1116,1151,1154,961,1077,1153,1155,881
330,341,379,758,795,947,948,949,986,987,988
331,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
332,31,71,72,75,107,108,109,110,111,112
333,1013,1052,1128,1129,2941,675,709,711,745,747
334,830,641,754,758,795,828,829,947,948,949
335,770,961,1037,1074,1077,1153,1155,660,693,694
336,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
337,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
338,617,618,619,675,709,711,747,748,749,786
339,680,681,683,717,718,719,721,794,527,565
340,341,379,758,795,947,948,949,986,987,988
341,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
342,1668,1744,1077,1153,1155,1690,1776,341,379,758
343,770,961,1037,1074,1077,1153,1155,660,693,694
344,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
345,559,560,561,595,596,598,637,593,594,597
346,1325,1363,1364,1401,1667,1704,1705,1742,983,1020
347,1663,1701,1091,1661,1700,1738,713,714,752,789
348,758,795,947,948,949,986,987,988,1023,1024
349,263,342,378,380,259,260,295,296,301,303
350,1034,1075,1150,1188,1190,1193,1229,1230,1494,1568
351,477,512,513,515,547,549,550,552,583,586
352,1112,1113,1116,1151,1154,1185,1187,1223,1224,1260
353,675,709,711,747,748,749,786,787,824,864
354,593,594,628,629,630,631,632,664,666,659
355,637,597,599,633,634,635,636,670,672,674
356,1706,1099,1175,1176,1212,1250,1253,1254,1325,1363
357,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
358,517,519,446,483,518,521,556,558,624,2961
359,637,784,2941,826,3029,597,599,633,634,635
360,1043,1078,1081,1091,1115,1118,1119,1156,1194,1661
361,446,483,518,132,445,480,481,482,514,520
362,2654,2655,2693,2695,2696,2732,2770,2653,2657,2658
363,377,414,415,416,417,418,450,451,452,453
364,375,263,342,378,380,336,337,412,413,265
365,2311,2654,2655,2693,2695,2696,2732,2770,2651,2652
366,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
367,770,961,1037,1074,1077,1153,1155,1225,1605,1643
368,1039,1040,1042,1167,1205,1245,1586,1623,1624,1625
369,2654,2655,2693,2695,2696,2732,2770,2731,2047,2049
370,527,565,567,569,603,604,606,607,608,640
371,341,379,340,377,414,415,416,417,418,450
372,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
373,1270,1421,1458,1461,1462,1499,1537,1541,1542,1572
374,637,597,599,633,634,635,636,670,672,674
375,695,729,766,767,580,691,728,730,731,732
376,527,565,567,569,603,604,606,607,608,640
377,377,414,415,416,417,418,450,451,452,453
378,167,199,200,201,202,203,204,205,206,208
379,929,930,931,932,935,966,970,1009,1046,1050
380,826,3029,713,827,637,673,712,750,788,863
381,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
382,377,414,415,416,417,418,450,451,452,453
383,1039,1040,1042,1034,1043,1075,1078,1081,1115,1118
384,2938,527,565,567,569,603,604,606,607,608
385,671,691,707,710,771,774,807,823,825,847
386,2941,675,709,711,747,748,749,786,787,824
387,2938,758,795,947,948,949,986,987,988,1023
388,1077,1153,1155,880,993,996,1032,1034,1043,1070
389,183,265,148,151,184,185,187,189,222,223
390,827,1600,2589,2591,2592,2593,2630,2631,2632,2634
391,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
392,675,709,711,747,748,749,786,787,824,864
393,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
394,527,565,567,569,603,604,606,607,608,640
395,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
396,413,375,377,414,415,416,417,418,450,451
397,449,23,447,448,3037,38,487,488,526,484
398,758,795,947,948,949,986,987,988,1023,1024
399,637,826,2193,2307,2382,3029,784,1167,1205,1245
400,947,948,949,986,987,988,1023,1024,1025,1026
401,902,1168,903,1053,1054,1092,1130,1814,1815,1890
402,758,795,947,948,949,986,987,988,1023,1024
403,671,707,710,823,825,862,1013,1052,1128,1129
404,2709,2711,2712,2748,2750,2751,2752,2790,2791,2792
405,1076,1080,1114,1117,1120,1121,1152,1157,1158,1195
406,647,913,915,951,952,953,990,609,687,723
407,680,681,683,717,718,719,721,793,794,2938
408,215,253,91,214,252,64,138,49,57,59
409,559,560,561,595,596,598,637,593,594,597
410,1663,1701,1091,1661,1700,1738,1055,1702,1740,1011
411,1037,1074,998,999,1034,1038,1075,1150,1188,1190
412,377,414,415,416,417,418,450,451,452,453
413,1043,1078,1081,1091,1115,1118,1119,1156,1194,1661
414,341,379,758,795,947,948,949,986,987,988
415,715,791,713,827,525,602,639,678,716,751
416,157,158,196,197,120,122,159,198,119,154
417,1706,1175,1176,1212,1250,1253,1254,1325,1363,1364
418,1037,1074,998,999,1034,1038,1075,1150,1188,1190
419,38,23,54,27,32,34,35,37,68,74
420,1112,1113,1116,1151,1154,881,882,919,920,994
421,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
422,522,484,521,556,558,407,523,445,481,482
423,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
424,680,681,683,717,718,719,721,794,526,641
425,154,155,156,193,194,195,232,157,158,196
426,805,808,811,812,843,844,846,849,887,926
427,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
428,637,826,2193,2307,2382,3029,784,1167,1205,1245
429,1324,1362,758,795,947,948,949,986,987,988
430,445,481,482,520,654,617,618,619,655,661
431,1101,1102,1139,1140,1174,1177,1178,1215,1440,1819
432,830,525,602,639,641,678,716,753,754,790
433,947,948,949,986,987,988,1023,1024,1025,1026
434,2941,713,714,752,789,827,293,407,408,676
435,1206,1207,1243,1244,1282,1358,1395,1396,1433,1434
436,1013,1052,1128,1129,2941,675,709,711,745,747
437,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
438,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
439,873,874,909,911,912,950,1101,1102,1139,1140
440,183,265,261,299,297,148,151,184,185,187
441,1939,1978,1980,2016,2017,2054,2055,2056,2091,2092
442,1043,1078,1081,1091,1115,1118,1119,1156,1194,1661
443,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
444,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
445,1043,1078,1081,1091,1115,1118,1119,1156,1194,1661
446,1037,1074,998,999,1034,1038,1075,1150,1188,1190
447,377,414,415,416,417,418,450,451,452,453
448,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
449,1039,1040,1042,1034,1043,1075,1078,1081,1115,1118
450,989,913,915,951,952,953,990,992,1030,1031
451,989,913,915,951,952,953,990,992,1030,1031
452,947,948,949,986,987,988,1023,1024,1025,1026
453,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
454,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
455,291,369,175,212,213,330,331,406,442,444
456,564,756,525,527,565,567,569,602,603,604
457,407,409,443,175,212,213,406,442,444,446
458,875,914,989,764,765,799,800,801,802,837
459,1663,1701,1740,1043,1078,1081,1091,1115,1118,1119
460,2941,675,709,711,747,748,749,786,787,824
461,675,709,711,747,748,749,786,787,824,864
462,91,46,49,57,59,92,9,10,61,86
463,1043,1078,1081,1091,1115,1118,1119,1156,1194,1661
464,2633,2668,2672,2589,2591,2592,2593,2630,2631,2632
465,32,34,35,37,68,74,114,31,38,71
466,803,841,686,685,724,799,800,801,802,837
467,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
468,875,914,989,799,800,801,837,838,839,840
469,117,153,191,192,496,533,534,571,610,611
470,989,913,915,951,952,953,990,992,1030,1031
471,1043,1078,1081,1115,1118,1119,1156,1194,889,1011
472,1000,1001,655,661,692,962,998,999,1038,1840
473,1776,1091,1587,1658,1659,1660,1661,1692,1694,1695
474,1325,1363,1364,1401,1667,1704,1705,1742,983,1020
475,961,883,884,885,921,922,923,960,962,998
476,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
477,1663,1701,1011,1045,1047,1048,1049,1079,1083,1196
478,929,930,931,932,935,966,970,1009,1046,1050
479,1225,1605,1643,1946,1948,1950,2026,2079,2080,2118
480,525,602,564,597,599,633,634,635,636,660
481,673,712,750,788,2941,826,3029,675,709,711
482,947,948,949,986,987,988,1023,1024,1025,1026
483,377,414,415,416,417,418,449,450,451,452
484,1013,1052,1128,1129,2941,675,709,711,747,748
485,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
486,745,781,782,783,785,819,820,821,822,896
487,834,835,836,871,872,908,910,1061,1100,1137
488,1076,1080,1114,1117,1120,1121,1152,1157,1158,1195
489,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
490,1939,1978,1980,2016,2017,2054,2055,2056,2091,2092
491,1627,2804,3002,758,795,947,948,949,981,982
492,263,342,378,380,301,303,338,339,341,376
493,883,884,885,921,922,923,960,229,231,269
494,1144,1182,1220,991,1027,1028,1029,1065,1066,1067
495,992,1030,1031,1068,1069,1106,994,995,997,1033
496,562,680,681,683,717,718,719,721,794,563
497,993,996,1032,1034,1070,1075,1108,1146,1147,1150
498,1794,1797,1800,1832,1833,1834,1835,1836,1837,1871
499,1039,1040,1042,1034,1043,1075,1078,1081,1115,1118
500,1013,1052,1128,1129,2941,675,709,711,745,747
501,1013,1052,1128,1129,2941,745,781,782,783,785
502,32,34,35,37,68,74,114,36,66,31
503,901,938,939,940,976,978,1131,1321,1435,289
504,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
505,675,709,711,747,748,749,786,787,824,864
506,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
507,1039,1040,1042,993,996,1032,1034,1043,1070,1075
508,901,938,939,940,976,978,1000,1001,1131,1321
509,1107,1145,1183,1184,1221,1222,1258,1259,1297,1335
510,2603,2640,2642,2643,2644,826,2641,2680,2681,2683
511,1013,1052,1128,1129,2941,675,709,711,747,748
512,686,804,805,808,811,812,843,844,846,849
