,aay,Ama,Ance,Antp,apt,Blimp-1,bmm,bowl,brk,Btk29A
266,1993,2031,2069,2068,2107,1992,2106,2145,1955,1994
267,2068,2106,2144,1992,1993,2030,2069,2183,2031,2182
268,2294,2256,2295,2219,2333,2332,2257,2181,2255,2370
269,2256,2294,2219,2181,2295,2218,2255,2180,2332,2333
270,2258,2219,2220,2182,2257,2183,2144,2296,2334,2259
271,2069,2183,2106,2068,2145,1993,2144,2031,2107,2220
272,2031,1993,2107,2069,1994,2108,2070,2032,2145,2068
273,2372,2257,2334,2333,2295,2258,2219,2294,2296,2256
274,2183,2144,2258,2220,2106,2182,2145,2069,2068,2219
275,2144,2182,2219,2143,2067,2181,2106,2258,2030,2256
276,2258,2219,2182,2257,2144,2220,2183,2296,2334,2106
277,2258,2219,2182,2257,2220,2144,2183,2296,2334,2295
278,1993,2031,2069,2068,2107,1992,2106,2145,1955,1994
279,2069,2107,2031,2145,1993,2183,2108,2068,2106,2070
280,2144,2182,2258,2183,2106,2219,2220,2068,2069,2145
281,2107,2145,2108,2222,2031,2069,2184,2183,2260,2146
282,2258,2334,2296,2257,2259,2220,2335,2372,2219,2182
283,2366,2328,2329,3015,2404,2367,2979,2368,2253,2972
284,2446,2445,2408,2407,2484,2483,2522,2370,2521,2444
285,1842,1880,1994,1956,2946,1803,1841,1804,2031,1918
286,1993,2069,2068,2106,2031,1992,2144,2183,2145,2030
287,2258,2220,2183,2296,2259,2145,2182,2144,2221,2257
288,1993,2031,2069,2068,1992,2106,2107,1955,2145,1994
289,2144,2106,2182,2030,2068,2067,2183,2219,2258,1992
290,2144,2182,2258,2219,2106,2183,2220,2257,2143,2181
291,2258,2220,2182,2219,2183,2144,2257,2296,2334,2106
292,2297,2260,2259,2298,2336,2335,2296,2222,2221,2374
293,2107,2108,2145,2222,2146,2184,2070,2031,2260,2069
294,2258,2144,2182,2219,2220,2183,2257,2106,2296,2143
295,2031,2107,2108,2070,2069,1993,2032,1994,2145,2146
296,2183,2144,2258,2220,2106,2145,2182,2069,2068,2107
297,2372,2334,2335,2257,2410,2333,2258,2296,2371,2295
298,2031,1994,1993,2032,2070,1956,2946,1955,2108,2107
299,2333,2294,2370,2332,2295,2256,2372,2257,2219,2371
300,2031,1993,2069,1994,2107,2068,1955,2108,1992,2070
301,2258,2144,2182,2219,2220,2183,2106,2257,2296,2145
302,2258,2183,2220,2144,2182,2106,2145,2219,2296,2069
303,2298,2260,2223,2146,2184,2222,2336,2185,2297,2261
304,2031,1994,1993,2032,2070,1955,1956,2946,2108,2069
305,2033,2071,2072,1995,1996,2109,2032,2070,1957,2147
306,2219,2258,2257,2182,2256,2295,2144,2181,2294,2143
307,2258,2296,2220,2259,2257,2334,2183,2219,2182,2335
308,2144,2030,2067,2106,1991,2182,1992,2029,2143,2068
309,2069,2031,2107,2145,1993,2183,2068,2108,2106,2144
310,2107,2108,2031,2070,2145,2146,2032,2069,2184,2222
311,2068,2106,2069,1993,2144,1992,2030,2183,2031,2145
312,2183,2144,2106,2069,2145,2220,2068,2182,2258,2107
313,2335,2410,2334,2373,2297,2259,2411,2296,2372,2412
314,2031,2107,2108,2070,2032,1994,1993,2069,2145,2146
315,2070,2071,2146,2032,2108,2109,2107,2033,2031,2184
316,2258,2219,2257,2182,2220,2144,2296,2334,2183,2295
317,2219,2258,2257,2182,2295,2256,2144,2181,2220,2334
318,2294,2333,2256,2295,2332,2219,2370,2257,2372,2255
319,2294,2332,2333,2370,2256,2295,2255,2408,2331,2372
320,2183,2145,2144,2220,2258,2069,2106,2182,2107,2068
321,2183,2144,2258,2220,2106,2145,2182,2069,2068,2107
322,2068,2106,2144,1992,1993,2069,2030,2183,2031,2182
323,2033,2032,1995,2070,2071,1957,1994,1956,1918,2109
324,1842,1803,1880,1841,2946,1804,1765,1879,1956,1994
325,2260,2222,2298,2259,2107,2145,2221,2184,2297,2183
326,2031,1994,2032,2070,1956,1993,2108,2946,1955,2107
327,2070,2032,2031,1994,2108,2071,1995,2033,2107,1957
328,2258,2257,2334,2219,2296,2372,2220,2295,2182,2259
329,2260,2259,2297,2298,2296,2221,2222,2336,2335,2373
330,2144,2219,2182,2258,2106,2143,2181,2067,2183,2256
331,2258,2257,2334,2219,2372,2295,2296,2333,2182,2220
332,2219,2257,2258,2295,2372,2256,2334,2333,2294,2182
333,2257,2372,2334,2258,2295,2333,2219,2296,2335,2256
334,2258,2219,2257,2182,2295,2334,2220,2296,2144,2256
335,2031,2107,2070,2108,2032,1994,1993,2069,2145,2146
336,2334,2335,2372,2296,2258,2257,2259,2410,2297,2333
337,2297,2259,2335,2260,2296,2373,2334,2298,2374,2336
338,2335,2334,2259,2296,2297,2373,2258,2410,2372,2257
339,2031,1993,1994,2069,2107,2108,2070,2032,1955,2068
340,2033,2071,2032,2070,1995,1957,2109,1994,2108,2146
341,2258,2183,2220,2144,2182,2145,2296,2106,2219,2259
342,1842,1956,1994,2032,1880,1957,1918,1843,2946,1995
343,1994,2032,1956,1842,1880,1957,1918,2070,2946,2031
344,1845,2035,1997,1959,1921,2034,1920,1883,1807,2036
345,2258,2259,2220,2296,2183,2221,2260,2145,2222,2297
346,2107,2031,2108,2070,2069,2145,2032,1993,1994,2146
347,2332,2370,2294,2408,2333,2331,2446,2293,2255,2256
348,2107,2108,2070,2146,2031,2184,2145,2222,2032,2069
349,2144,2106,2182,2183,2068,2069,2030,2258,2220,2219
350,2144,2106,2068,2069,1993,2030,1992,2183,2182,2145
351,2256,2294,2218,2255,2181,2180,2219,2142,2295,2332
352,2031,1994,2070,2032,2108,1993,2107,2069,1956,1955
353,2330,2369,2368,2406,2331,2444,2291,2292,2293,2407
354,2258,2220,2183,2182,2144,2296,2145,2259,2219,2257
355,2219,2258,2182,2144,2256,2257,2181,2295,2143,2220
356,2259,2296,2297,2260,2335,2258,2334,2221,2220,2183
357,2260,2298,2222,2184,2107,2146,2297,2259,2223,2221
358,2258,2144,2183,2220,2182,2106,2219,2145,2257,2069
359,2107,2145,2031,2069,2108,2183,2222,2070,1993,2184
360,2298,2260,2222,2184,2297,2223,2146,2336,2259,2107
361,2258,2144,2182,2183,2220,2219,2106,2145,2257,2069
362,1690,1614,1691,1728,1766,1576,1729,1577,1653,1538
363,2070,2032,2031,2108,2071,1994,2033,2107,1995,2146
364,2219,2258,2182,2144,2257,2256,2181,2220,2295,2143
365,2144,2182,2219,2106,2258,2067,2143,2183,2030,2220
366,2107,2108,2031,2145,2070,2222,2146,2069,2184,2032
367,2031,1993,1994,2032,2070,2069,2108,2107,1955,1956
368,2219,2258,2257,2182,2144,2295,2256,2220,2181,2334
369,1690,1614,1576,1728,1766,1538,1691,1652,1577,1729
370,1993,2031,1879,1955,1841,1992,1994,2946,1803,1917
371,2107,2031,2069,2145,2108,1993,2183,2070,2068,2222
372,2219,2256,2295,2294,2257,2258,2333,2181,2372,2182
373,2259,2260,2296,2297,2221,2258,2220,2222,2183,2145
374,2107,2146,2070,2108,2184,2222,2031,2071,2109,2032
375,2069,2183,2145,2106,2068,2107,2144,1993,2031,2220
376,2106,2144,2068,2069,1993,2183,1992,2030,2145,2182
377,1993,1992,2068,2069,2030,2031,2106,1955,2144,1879
378,2144,2106,2182,2183,2258,2220,2068,2219,2069,2145
379,2145,2107,2183,2069,2031,2220,2106,2068,2108,1993
380,2294,2333,2332,2370,2295,2256,2372,2257,2219,2255
381,2332,2294,2370,2333,2408,2331,2256,2295,2255,2446
382,2294,2332,2256,2333,2370,2295,2255,2331,2293,2218
383,2144,2182,2219,2106,2258,2183,2067,2143,2220,2030
384,2258,2183,2220,2144,2182,2145,2106,2296,2219,2259
385,2070,2032,2108,2071,2031,2146,2107,2033,2109,1994
386,2258,2183,2220,2144,2182,2219,2145,2106,2296,2257
387,2032,2070,1994,1995,2031,1957,2033,1956,2071,2108
388,2107,2031,2069,2145,2108,1993,2183,2070,2068,1994
389,2258,2220,2183,2296,2259,2145,2221,2182,2144,2260
390,1993,2068,2069,1992,2106,2031,2144,2030,2183,2145
391,2071,2033,2070,2032,2109,1995,2146,2108,1957,2031
392,2030,2144,1992,2106,2068,1993,2069,2067,1991,2182
393,2258,2219,2257,2182,2220,2334,2296,2295,2144,2372
394,2183,2258,2220,2145,2259,2221,2296,2107,2260,2222
395,2033,2071,2072,1996,1995,2109,2147,2034,2110,2070
396,1993,2031,2069,2068,2107,1992,1955,1994,2145,2106
397,2144,2183,2258,2182,2106,2220,2145,2069,2219,2068
398,2107,2260,2222,2145,2184,2298,2108,2146,2221,2259
399,2331,2369,2332,2408,2330,2293,2407,2370,2294,2446
400,2258,2182,2220,2144,2183,2219,2257,2106,2296,2145
401,2219,2258,2182,2144,2257,2256,2220,2181,2295,2183
402,2032,2031,2070,1994,2108,1956,2107,1993,1957,1995
403,2298,2336,2374,2299,2297,2337,2375,2260,2261,2223
404,2181,2219,2143,2256,2144,2105,2182,2067,2142,2029
405,2297,2335,2259,2373,2374,2296,2260,2334,2336,2411
406,2031,2107,2108,2070,2069,1993,2032,1994,2145,2146
407,2070,2032,2071,2033,1995,2108,2031,2109,2146,1994
408,2183,2145,2220,2258,2144,2069,2106,2107,2182,2221
409,2258,2219,2182,2144,2257,2220,2183,2295,2256,2181
410,2257,2258,2295,2219,2372,2333,2334,2256,2294,2296
411,1993,2031,2069,2068,1992,2106,1955,2107,2145,1994
412,2375,2376,2451,2452,2526,2450,2413,2489,2337,2414
413,2446,2484,2370,2409,2447,2485,2371,2445,2408,2522
414,2031,1994,1993,2946,1955,1956,2032,2070,2069,2108
415,2256,2218,2180,2142,2255,2294,2181,2104,2219,2105
416,2069,2183,2145,2106,2068,2144,2107,1993,2031,2220
417,2294,2333,2295,2256,2257,2219,2372,2370,2332,2258
418,2219,2182,2144,2258,2257,2181,2256,2143,2220,2106
419,2258,2219,2257,2182,2220,2144,2334,2296,2295,2183
420,2219,2256,2294,2181,2295,2257,2258,2182,2143,2333
421,2183,2220,2258,2259,2145,2221,2260,2296,2107,2222
422,2370,2332,2333,2446,2408,2294,2409,2371,2331,2372
423,2069,2107,2031,2145,2183,1993,2068,2106,2108,2144
424,2107,2031,2069,2145,2108,1993,2183,2068,2070,2106
425,2144,2182,2258,2106,2183,2219,2220,2068,2069,2145
426,1805,1767,1729,1691,1843,1844,1766,1690,1881,1842
427,2219,2256,2295,2257,2294,2258,2333,2372,2181,2182
428,2372,2334,2257,2333,2295,2258,2219,2296,2410,2335
429,2033,1996,2072,2071,1958,2034,1995,1919,1997,1957
430,2144,2182,2219,2106,2258,2183,2143,2067,2220,2181
431,2033,1995,1957,2032,2071,2070,1996,1919,1918,1843
432,2219,2258,2182,2144,2256,2257,2181,2295,2143,2220
433,2183,2145,2220,2258,2069,2107,2144,2106,2182,2221
