,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
533,5,6,4,7,8,13,3,12,14,15
541,3,4,11,2,5,10,12,6,13,18
545,49,41,57,33,25,17,9,1,50,42
546,22,21,23,24,20,30,14,29,13,31
553,36,37,35,38,44,28,39,43,27,45
580,56,55,54,53,64,48,47,63,46,62
587,52,53,51,54,60,44,55,59,43,61
590,36,37,35,38,44,28,39,43,27,45
602,33,41,25,49,17,57,9,1,34,42
617,49,41,57,33,25,17,9,1,50,42
630,5,6,4,7,8,13,3,12,14,15
642,52,53,51,54,60,44,55,59,43,61
646,27,28,19,35,26,29,18,34,20,36
648,30,29,31,32,28,38,22,21,37,39
677,21,22,20,23,24,29,13,19,28,12
692,64,63,62,61,56,55,54,60,53,52
693,52,53,51,54,60,44,55,59,43,61
697,56,55,54,53,64,48,47,63,46,62
698,56,55,54,53,64,48,47,63,46,62
701,6,5,7,8,4,14,13,15,16,12
704,63,64,62,61,60,55,54,56,53,52
710,63,64,62,61,60,55,54,56,53,52
726,25,33,17,9,41,49,1,57,26,34
730,17,9,25,1,33,41,49,57,18,10
734,43,44,35,51,42,45,50,34,36,52
736,7,8,6,5,4,15,14,16,13,12
739,21,22,20,23,24,29,13,19,28,12
741,22,21,23,24,20,30,14,29,13,31
756,27,28,19,35,26,29,18,34,20,36
761,52,53,51,54,60,44,55,59,43,61
770,40,39,38,37,48,32,47,31,46,30
835,1,9,17,25,33,41,49,57,2,10
839,33,41,25,49,17,57,9,1,34,42
5,40,39,38,37,48,32,47,31,46,30
7,21,22,20,23,24,29,13,19,28,12
20,21,22,20,23,24,29,13,19,28,12
35,21,22,20,23,24,29,13,19,28,12
36,33,41,25,49,17,57,9,1,34,42
49,52,53,51,54,60,44,55,59,43,61
53,30,29,31,32,28,38,22,21,37,39
63,63,64,62,61,60,55,54,56,53,52
72,64,63,62,61,56,55,54,60,53,52
89,33,41,25,49,17,57,9,1,34,42
102,7,8,6,5,4,15,14,16,13,12
115,43,44,35,51,42,45,50,34,36,52
120,33,41,25,49,17,57,9,1,34,42
121,8,7,6,5,16,15,14,4,13,12
125,35,36,43,27,34,37,26,42,44,28
128,21,22,20,23,24,29,13,19,28,12
130,34,26,42,35,33,43,27,41,25,50
139,30,29,31,32,28,38,22,21,37,39
145,49,41,57,33,25,17,9,1,50,42
146,36,37,35,38,44,28,39,43,27,45
158,56,55,54,53,64,48,47,63,46,62
159,21,22,20,23,24,29,13,19,28,12
172,52,53,51,54,60,44,55,59,43,61
194,17,9,25,1,33,41,49,57,18,10
226,21,22,20,23,24,29,13,19,28,12
227,39,40,38,37,36,47,31,46,30,48
242,29,30,28,31,32,21,37,27,20,36
258,21,22,20,23,24,29,13,19,28,12
277,36,37,35,38,44,28,39,43,27,45
291,59,60,51,58,61,50,52,62,53,42
301,30,29,31,32,28,38,22,21,37,39
319,53,54,52,55,56,61,45,51,60,44
333,27,28,19,35,26,29,18,34,20,36
337,37,38,36,39,40,45,29,35,44,28
344,7,8,6,5,4,15,14,16,13,12
360,19,20,27,11,18,21,26,10,28,12
366,34,26,42,35,33,43,27,41,25,50
368,43,44,35,51,42,45,50,34,36,52
371,34,26,42,35,33,43,27,41,25,50
372,36,37,35,38,44,28,39,43,27,45
376,21,22,20,23,24,29,13,19,28,12
383,54,53,55,56,52,62,46,61,45,63
394,17,9,25,1,33,41,49,57,18,10
395,34,26,42,35,33,43,27,41,25,50
400,43,44,35,51,42,45,50,34,36,52
409,7,8,6,5,4,15,14,16,13,12
414,7,8,6,5,4,15,14,16,13,12
435,34,26,42,35,33,43,27,41,25,50
438,3,4,11,2,5,10,12,6,13,18
452,28,29,27,30,20,36,31,19,35,21
456,21,22,20,23,24,29,13,19,28,12
459,49,41,57,33,25,17,9,1,50,42
471,22,21,23,24,20,30,14,29,13,31
484,63,64,62,61,60,55,54,56,53,52
495,34,26,42,35,33,43,27,41,25,50
497,41,49,33,57,25,17,9,1,42,50
504,59,60,51,58,61,50,52,62,53,42
506,43,44,35,51,42,45,50,34,36,52
510,7,8,6,5,4,15,14,16,13,12
549,5,6,4,7,8,13,3,12,14,15
594,17,9,25,1,33,41,49,57,18,10
610,7,8,6,5,4,15,14,16,13,12
618,5,6,4,7,8,13,3,12,14,15
627,28,29,27,30,20,36,31,19,35,21
633,7,8,6,5,4,15,14,16,13,12
649,49,41,57,33,25,17,9,1,50,42
667,22,21,23,24,20,30,14,29,13,31
679,21,22,20,23,24,29,13,19,28,12
681,21,22,20,23,24,29,13,19,28,12
683,19,20,27,11,18,21,26,10,28,12
689,21,22,20,23,24,29,13,19,28,12
700,40,39,38,37,48,32,47,31,46,30
715,21,22,20,23,24,29,13,19,28,12
724,35,36,43,27,34,37,26,42,44,28
742,41,49,33,57,25,17,9,1,42,50
744,52,53,51,54,60,44,55,59,43,61
749,4,5,3,6,12,7,11,13,14,8
781,37,38,36,39,40,45,29,35,44,28
793,28,29,27,30,20,36,31,19,35,21
814,43,44,35,51,42,45,50,34,36,52
818,22,21,23,24,20,30,14,29,13,31
823,41,49,33,57,25,17,9,1,42,50
831,29,30,28,31,32,21,37,27,20,36
843,48,47,46,45,40,56,39,55,38,54
849,35,36,43,27,34,37,26,42,44,28
12,35,36,43,27,34,37,26,42,44,28
26,36,37,35,38,44,28,39,43,27,45
45,35,36,43,27,34,37,26,42,44,28
51,52,53,51,54,60,44,55,59,43,61
67,11,12,3,19,10,13,18,2,4,20
73,52,53,51,54,60,44,55,59,43,61
77,17,9,25,1,33,41,49,57,18,10
85,52,53,51,54,60,44,55,59,43,61
101,63,64,62,61,60,55,54,56,53,52
103,17,9,25,1,33,41,49,57,18,10
105,17,9,25,1,33,41,49,57,18,10
107,35,36,43,27,34,37,26,42,44,28
132,49,41,57,33,25,17,9,1,50,42
136,35,36,43,27,34,37,26,42,44,28
141,44,45,43,46,36,52,47,35,51,37
166,3,4,11,2,5,10,12,6,13,18
168,33,41,25,49,17,57,9,1,34,42
170,36,37,35,38,44,28,39,43,27,45
180,17,9,25,1,33,41,49,57,18,10
182,36,37,35,38,44,28,39,43,27,45
197,28,29,27,30,20,36,31,19,35,21
211,49,41,57,33,25,17,9,1,50,42
214,28,29,27,30,20,36,31,19,35,21
219,35,36,43,27,34,37,26,42,44,28
235,21,22,20,23,24,29,13,19,28,12
239,1,9,17,25,33,41,49,57,2,10
245,55,56,54,53,52,47,63,46,62,48
247,6,5,7,8,4,14,13,15,16,12
257,19,20,27,11,18,21,26,10,28,12
260,22,21,23,24,20,30,14,29,13,31
268,44,45,43,46,36,52,47,35,51,37
270,35,36,43,27,34,37,26,42,44,28
279,36,37,35,38,44,28,39,43,27,45
315,36,37,35,38,44,28,39,43,27,45
322,51,52,59,43,50,53,58,42,60,44
331,49,41,57,33,25,17,9,1,50,42
338,28,29,27,30,20,36,31,19,35,21
350,21,22,20,23,24,29,13,19,28,12
403,43,44,35,51,42,45,50,34,36,52
405,17,9,25,1,33,41,49,57,18,10
411,50,42,58,51,49,43,59,41,57,34
415,19,20,27,11,18,21,26,10,28,12
421,21,22,20,23,24,29,13,19,28,12
427,21,22,20,23,24,29,13,19,28,12
447,40,39,38,37,48,32,47,31,46,30
465,52,53,51,54,60,44,55,59,43,61
475,35,36,43,27,34,37,26,42,44,28
480,19,20,27,11,18,21,26,10,28,12
481,38,37,39,40,36,30,46,29,45,31
486,41,49,33,57,25,17,9,1,42,50
531,6,5,7,8,4,14,13,15,16,12
543,7,8,6,5,4,15,14,16,13,12
551,21,22,20,23,24,29,13,19,28,12
554,22,21,23,24,20,30,14,29,13,31
561,3,4,11,2,5,10,12,6,13,18
572,4,5,3,6,12,7,11,13,14,8
584,36,37,35,38,44,28,39,43,27,45
593,28,29,27,30,20,36,31,19,35,21
601,59,60,51,58,61,50,52,62,53,42
612,22,21,23,24,20,30,14,29,13,31
614,52,53,51,54,60,44,55,59,43,61
615,7,8,6,5,4,15,14,16,13,12
623,21,22,20,23,24,29,13,19,28,12
628,30,29,31,32,28,38,22,21,37,39
640,1,9,17,25,33,41,49,57,2,10
641,54,53,55,56,52,62,46,61,45,63
650,21,22,20,23,24,29,13,19,28,12
656,35,36,43,27,34,37,26,42,44,28
664,64,63,62,61,56,55,54,60,53,52
675,21,22,20,23,24,29,13,19,28,12
684,31,32,30,29,28,39,23,22,38,24
691,43,44,35,51,42,45,50,34,36,52
695,27,28,19,35,26,29,18,34,20,36
709,5,6,4,7,8,13,3,12,14,15
716,19,20,27,11,18,21,26,10,28,12
722,21,22,20,23,24,29,13,19,28,12
733,8,7,6,5,16,15,14,4,13,12
748,52,53,51,54,60,44,55,59,43,61
769,7,8,6,5,4,15,14,16,13,12
772,29,30,28,31,32,21,37,27,20,36
779,35,36,43,27,34,37,26,42,44,28
829,33,41,25,49,17,57,9,1,34,42
832,21,22,20,23,24,29,13,19,28,12
842,61,62,60,63,64,53,59,52,54,55
2,19,20,27,11,18,21,26,10,28,12
8,1,9,17,25,33,41,49,57,2,10
31,41,49,33,57,25,17,9,1,42,50
32,29,30,28,31,32,21,37,27,20,36
43,30,29,31,32,28,38,22,21,37,39
48,28,29,27,30,20,36,31,19,35,21
74,22,21,23,24,20,30,14,29,13,31
76,17,9,25,1,33,41,49,57,18,10
78,7,8,6,5,4,15,14,16,13,12
88,49,41,57,33,25,17,9,1,50,42
98,30,29,31,32,28,38,22,21,37,39
112,27,28,19,35,26,29,18,34,20,36
117,59,60,51,58,61,50,52,62,53,42
118,45,46,44,47,48,37,53,43,36,52
124,34,26,42,35,33,43,27,41,25,50
127,21,22,20,23,24,29,13,19,28,12
150,36,37,35,38,44,28,39,43,27,45
153,59,60,51,58,61,50,52,62,53,42
181,8,7,6,5,16,15,14,4,13,12
198,30,29,31,32,28,38,22,21,37,39
208,21,22,20,23,24,29,13,19,28,12
215,51,52,59,43,50,53,58,42,60,44
218,28,29,27,30,20,36,31,19,35,21
224,42,50,34,43,41,51,35,49,33,58
276,22,21,23,24,20,30,14,29,13,31
280,52,53,51,54,60,44,55,59,43,61
290,21,22,20,23,24,29,13,19,28,12
296,51,52,59,43,50,53,58,42,60,44
313,4,5,3,6,12,7,11,13,14,8
327,29,30,28,31,32,21,37,27,20,36
328,33,41,25,49,17,57,9,1,34,42
354,28,29,27,30,20,36,31,19,35,21
369,5,6,4,7,8,13,3,12,14,15
374,41,49,33,57,25,17,9,1,42,50
378,42,50,34,43,41,51,35,49,33,58
381,59,60,51,58,61,50,52,62,53,42
386,54,53,55,56,52,62,46,61,45,63
416,61,62,60,63,64,53,59,52,54,55
423,22,21,23,24,20,30,14,29,13,31
425,61,62,60,63,64,53,59,52,54,55
437,36,37,35,38,44,28,39,43,27,45
440,17,9,25,1,33,41,49,57,18,10
442,17,9,25,1,33,41,49,57,18,10
443,28,29,27,30,20,36,31,19,35,21
453,34,26,42,35,33,43,27,41,25,50
470,7,8,6,5,4,15,14,16,13,12
494,27,28,19,35,26,29,18,34,20,36
507,53,54,52,55,56,61,45,51,60,44
509,35,36,43,27,34,37,26,42,44,28
514,22,21,23,24,20,30,14,29,13,31
524,52,53,51,54,60,44,55,59,43,61
526,42,50,34,43,41,51,35,49,33,58
544,5,6,4,7,8,13,3,12,14,15
559,52,53,51,54,60,44,55,59,43,61
565,41,49,33,57,25,17,9,1,42,50
570,21,22,20,23,24,29,13,19,28,12
571,7,8,6,5,4,15,14,16,13,12
573,30,29,31,32,28,38,22,21,37,39
574,30,29,31,32,28,38,22,21,37,39
577,17,9,25,1,33,41,49,57,18,10
578,36,37,35,38,44,28,39,43,27,45
582,22,21,23,24,20,30,14,29,13,31
595,40,39,38,37,48,32,47,31,46,30
620,11,12,3,19,10,13,18,2,4,20
624,35,36,43,27,34,37,26,42,44,28
625,49,41,57,33,25,17,9,1,50,42
629,21,22,20,23,24,29,13,19,28,12
637,21,22,20,23,24,29,13,19,28,12
643,22,21,23,24,20,30,14,29,13,31
644,40,39,38,37,48,32,47,31,46,30
651,63,64,62,61,60,55,54,56,53,52
652,21,22,20,23,24,29,13,19,28,12
660,20,21,19,22,28,12,23,27,11,29
668,8,7,6,5,16,15,14,4,13,12
713,35,36,43,27,34,37,26,42,44,28
743,37,38,36,39,40,45,29,35,44,28
767,43,44,35,51,42,45,50,34,36,52
771,41,49,33,57,25,17,9,1,42,50
780,36,37,35,38,44,28,39,43,27,45
789,22,21,23,24,20,30,14,29,13,31
790,7,8,6,5,4,15,14,16,13,12
791,62,61,63,64,60,54,53,55,56,52
811,35,36,43,27,34,37,26,42,44,28
824,52,53,51,54,60,44,55,59,43,61
838,30,29,31,32,28,38,22,21,37,39
14,39,40,38,37,36,47,31,46,30,48
15,52,53,51,54,60,44,55,59,43,61
21,41,49,33,57,25,17,9,1,42,50
39,50,42,58,51,49,43,59,41,57,34
42,1,9,17,25,33,41,49,57,2,10
57,21,22,20,23,24,29,13,19,28,12
62,21,22,20,23,24,29,13,19,28,12
66,36,37,35,38,44,28,39,43,27,45
68,30,29,31,32,28,38,22,21,37,39
99,21,22,20,23,24,29,13,19,28,12
109,28,29,27,30,20,36,31,19,35,21
129,41,49,33,57,25,17,9,1,42,50
140,52,53,51,54,60,44,55,59,43,61
142,33,41,25,49,17,57,9,1,34,42
147,52,53,51,54,60,44,55,59,43,61
171,36,37,35,38,44,28,39,43,27,45
175,35,36,43,27,34,37,26,42,44,28
188,35,36,43,27,34,37,26,42,44,28
189,52,53,51,54,60,44,55,59,43,61
192,30,29,31,32,28,38,22,21,37,39
228,36,37,35,38,44,28,39,43,27,45
237,36,37,35,38,44,28,39,43,27,45
243,5,6,4,7,8,13,3,12,14,15
249,52,53,51,54,60,44,55,59,43,61
250,7,8,6,5,4,15,14,16,13,12
253,36,37,35,38,44,28,39,43,27,45
256,59,60,51,58,61,50,52,62,53,42
281,41,49,33,57,25,17,9,1,42,50
300,52,53,51,54,60,44,55,59,43,61
307,30,29,31,32,28,38,22,21,37,39
311,17,9,25,1,33,41,49,57,18,10
312,7,8,6,5,4,15,14,16,13,12
324,28,29,27,30,20,36,31,19,35,21
332,21,22,20,23,24,29,13,19,28,12
353,22,21,23,24,20,30,14,29,13,31
355,50,42,58,51,49,43,59,41,57,34
364,34,26,42,35,33,43,27,41,25,50
379,39,40,38,37,36,47,31,46,30,48
387,49,41,57,33,25,17,9,1,50,42
428,21,22,20,23,24,29,13,19,28,12
431,21,22,20,23,24,29,13,19,28,12
436,43,44,35,51,42,45,50,34,36,52
439,28,29,27,30,20,36,31,19,35,21
448,6,5,7,8,4,14,13,15,16,12
457,36,37,35,38,44,28,39,43,27,45
487,28,29,27,30,20,36,31,19,35,21
492,35,36,43,27,34,37,26,42,44,28
502,34,26,42,35,33,43,27,41,25,50
503,21,22,20,23,24,29,13,19,28,12
512,1,9,17,25,33,41,49,57,2,10
517,36,37,35,38,44,28,39,43,27,45
542,21,22,20,23,24,29,13,19,28,12
557,35,36,43,27,34,37,26,42,44,28
567,17,9,25,1,33,41,49,57,18,10
568,6,5,7,8,4,14,13,15,16,12
581,39,40,38,37,36,47,31,46,30,48
585,7,8,6,5,4,15,14,16,13,12
589,17,9,25,1,33,41,49,57,18,10
597,4,5,3,6,12,7,11,13,14,8
606,43,44,35,51,42,45,50,34,36,52
609,1,9,17,25,33,41,49,57,2,10
611,28,29,27,30,20,36,31,19,35,21
634,21,22,20,23,24,29,13,19,28,12
655,64,63,62,61,56,55,54,60,53,52
670,33,41,25,49,17,57,9,1,34,42
674,7,8,6,5,4,15,14,16,13,12
676,7,8,6,5,4,15,14,16,13,12
678,39,40,38,37,36,47,31,46,30,48
688,52,53,51,54,60,44,55,59,43,61
714,52,53,51,54,60,44,55,59,43,61
725,52,53,51,54,60,44,55,59,43,61
728,21,22,20,23,24,29,13,19,28,12
729,44,45,43,46,36,52,47,35,51,37
731,3,4,11,2,5,10,12,6,13,18
763,41,49,33,57,25,17,9,1,42,50
774,52,53,51,54,60,44,55,59,43,61
778,21,22,20,23,24,29,13,19,28,12
783,28,29,27,30,20,36,31,19,35,21
796,37,38,36,39,40,45,29,35,44,28
800,17,9,25,1,33,41,49,57,18,10
802,7,8,6,5,4,15,14,16,13,12
815,7,8,6,5,4,15,14,16,13,12
819,7,8,6,5,4,15,14,16,13,12
821,22,21,23,24,20,30,14,29,13,31
833,21,22,20,23,24,29,13,19,28,12
6,40,39,38,37,48,32,47,31,46,30
13,5,6,4,7,8,13,3,12,14,15
18,28,29,27,30,20,36,31,19,35,21
61,63,64,62,61,60,55,54,56,53,52
70,42,50,34,43,41,51,35,49,33,58
80,7,8,6,5,4,15,14,16,13,12
81,55,56,54,53,52,47,63,46,62,48
144,37,38,36,39,40,45,29,35,44,28
154,34,26,42,35,33,43,27,41,25,50
169,17,9,25,1,33,41,49,57,18,10
178,52,53,51,54,60,44,55,59,43,61
185,28,29,27,30,20,36,31,19,35,21
186,35,36,43,27,34,37,26,42,44,28
190,22,21,23,24,20,30,14,29,13,31
196,7,8,6,5,4,15,14,16,13,12
207,4,5,3,6,12,7,11,13,14,8
212,30,29,31,32,28,38,22,21,37,39
220,49,41,57,33,25,17,9,1,50,42
240,28,29,27,30,20,36,31,19,35,21
241,8,7,6,5,16,15,14,4,13,12
244,34,26,42,35,33,43,27,41,25,50
266,19,20,27,11,18,21,26,10,28,12
273,36,37,35,38,44,28,39,43,27,45
274,29,30,28,31,32,21,37,27,20,36
285,27,28,19,35,26,29,18,34,20,36
299,36,37,35,38,44,28,39,43,27,45
303,33,41,25,49,17,57,9,1,34,42
304,59,60,51,58,61,50,52,62,53,42
309,7,8,6,5,4,15,14,16,13,12
314,4,5,3,6,12,7,11,13,14,8
316,8,7,6,5,16,15,14,4,13,12
323,28,29,27,30,20,36,31,19,35,21
339,17,9,25,1,33,41,49,57,18,10
351,17,9,25,1,33,41,49,57,18,10
357,36,37,35,38,44,28,39,43,27,45
359,41,49,33,57,25,17,9,1,42,50
362,30,29,31,32,28,38,22,21,37,39
365,28,29,27,30,20,36,31,19,35,21
370,36,37,35,38,44,28,39,43,27,45
382,52,53,51,54,60,44,55,59,43,61
393,28,29,27,30,20,36,31,19,35,21
404,43,44,35,51,42,45,50,34,36,52
455,19,20,27,11,18,21,26,10,28,12
466,61,62,60,63,64,53,59,52,54,55
472,30,29,31,32,28,38,22,21,37,39
479,17,9,25,1,33,41,49,57,18,10
485,63,64,62,61,60,55,54,56,53,52
500,36,37,35,38,44,28,39,43,27,45
511,8,7,6,5,16,15,14,4,13,12
516,49,41,57,33,25,17,9,1,50,42
521,21,22,20,23,24,29,13,19,28,12
523,52,53,51,54,60,44,55,59,43,61
527,36,37,35,38,44,28,39,43,27,45
536,52,53,51,54,60,44,55,59,43,61
537,21,22,20,23,24,29,13,19,28,12
558,33,41,25,49,17,57,9,1,34,42
566,21,22,20,23,24,29,13,19,28,12
583,21,22,20,23,24,29,13,19,28,12
596,52,53,51,54,60,44,55,59,43,61
608,28,29,27,30,20,36,31,19,35,21
613,41,49,33,57,25,17,9,1,42,50
631,5,6,4,7,8,13,3,12,14,15
647,7,8,6,5,4,15,14,16,13,12
654,3,4,11,2,5,10,12,6,13,18
682,36,37,35,38,44,28,39,43,27,45
687,4,5,3,6,12,7,11,13,14,8
690,7,8,6,5,4,15,14,16,13,12
705,52,53,51,54,60,44,55,59,43,61
718,37,38,36,39,40,45,29,35,44,28
735,19,20,27,11,18,21,26,10,28,12
740,7,8,6,5,4,15,14,16,13,12
745,21,22,20,23,24,29,13,19,28,12
752,4,5,3,6,12,7,11,13,14,8
753,36,37,35,38,44,28,39,43,27,45
755,31,32,30,29,28,39,23,22,38,24
757,43,44,35,51,42,45,50,34,36,52
758,35,36,43,27,34,37,26,42,44,28
759,52,53,51,54,60,44,55,59,43,61
782,63,64,62,61,60,55,54,56,53,52
788,21,22,20,23,24,29,13,19,28,12
798,64,63,62,61,56,55,54,60,53,52
805,39,40,38,37,36,47,31,46,30,48
812,63,64,62,61,60,55,54,56,53,52
828,27,28,19,35,26,29,18,34,20,36
841,8,7,6,5,16,15,14,4,13,12
1,7,8,6,5,4,15,14,16,13,12
9,21,22,20,23,24,29,13,19,28,12
24,42,50,34,43,41,51,35,49,33,58
25,59,60,51,58,61,50,52,62,53,42
28,21,22,20,23,24,29,13,19,28,12
55,35,36,43,27,34,37,26,42,44,28
58,3,4,11,2,5,10,12,6,13,18
69,40,39,38,37,48,32,47,31,46,30
83,59,60,51,58,61,50,52,62,53,42
87,52,53,51,54,60,44,55,59,43,61
92,11,12,3,19,10,13,18,2,4,20
94,39,40,38,37,36,47,31,46,30,48
104,11,12,3,19,10,13,18,2,4,20
106,22,21,23,24,20,30,14,29,13,31
110,27,28,19,35,26,29,18,34,20,36
113,41,49,33,57,25,17,9,1,42,50
149,44,45,43,46,36,52,47,35,51,37
152,8,7,6,5,16,15,14,4,13,12
157,17,9,25,1,33,41,49,57,18,10
161,17,9,25,1,33,41,49,57,18,10
187,4,5,3,6,12,7,11,13,14,8
217,44,45,43,46,36,52,47,35,51,37
255,35,36,43,27,34,37,26,42,44,28
261,7,8,6,5,4,15,14,16,13,12
269,29,30,28,31,32,21,37,27,20,36
283,35,36,43,27,34,37,26,42,44,28
298,52,53,51,54,60,44,55,59,43,61
305,27,28,19,35,26,29,18,34,20,36
306,17,9,25,1,33,41,49,57,18,10
336,61,62,60,63,64,53,59,52,54,55
340,63,64,62,61,60,55,54,56,53,52
352,6,5,7,8,4,14,13,15,16,12
358,1,9,17,25,33,41,49,57,2,10
375,41,49,33,57,25,17,9,1,42,50
390,7,8,6,5,4,15,14,16,13,12
396,1,9,17,25,33,41,49,57,2,10
397,52,53,51,54,60,44,55,59,43,61
401,52,53,51,54,60,44,55,59,43,61
419,52,53,51,54,60,44,55,59,43,61
424,35,36,43,27,34,37,26,42,44,28
429,33,41,25,49,17,57,9,1,34,42
450,21,22,20,23,24,29,13,19,28,12
454,63,64,62,61,60,55,54,56,53,52
467,27,28,19,35,26,29,18,34,20,36
474,36,37,35,38,44,28,39,43,27,45
478,41,49,33,57,25,17,9,1,42,50
483,41,49,33,57,25,17,9,1,42,50
488,34,26,42,35,33,43,27,41,25,50
493,6,5,7,8,4,14,13,15,16,12
528,43,44,35,51,42,45,50,34,36,52
534,22,21,23,24,20,30,14,29,13,31
552,20,21,19,22,28,12,23,27,11,29
560,59,60,51,58,61,50,52,62,53,42
562,21,22,20,23,24,29,13,19,28,12
563,43,44,35,51,42,45,50,34,36,52
586,33,41,25,49,17,57,9,1,34,42
598,43,44,35,51,42,45,50,34,36,52
599,29,30,28,31,32,21,37,27,20,36
600,3,4,11,2,5,10,12,6,13,18
604,19,20,27,11,18,21,26,10,28,12
607,21,22,20,23,24,29,13,19,28,12
621,5,6,4,7,8,13,3,12,14,15
663,7,8,6,5,4,15,14,16,13,12
665,39,40,38,37,36,47,31,46,30,48
673,31,32,30,29,28,39,23,22,38,24
680,5,6,4,7,8,13,3,12,14,15
694,21,22,20,23,24,29,13,19,28,12
707,11,12,3,19,10,13,18,2,4,20
712,7,8,6,5,4,15,14,16,13,12
723,27,28,19,35,26,29,18,34,20,36
754,21,22,20,23,24,29,13,19,28,12
760,64,63,62,61,56,55,54,60,53,52
766,59,60,51,58,61,50,52,62,53,42
795,21,22,20,23,24,29,13,19,28,12
797,5,6,4,7,8,13,3,12,14,15
799,17,9,25,1,33,41,49,57,18,10
801,36,37,35,38,44,28,39,43,27,45
809,21,22,20,23,24,29,13,19,28,12
813,52,53,51,54,60,44,55,59,43,61
834,28,29,27,30,20,36,31,19,35,21
837,29,30,28,31,32,21,37,27,20,36
845,28,29,27,30,20,36,31,19,35,21
846,6,5,7,8,4,14,13,15,16,12
851,35,36,43,27,34,37,26,42,44,28
11,41,49,33,57,25,17,9,1,42,50
17,3,4,11,2,5,10,12,6,13,18
19,17,9,25,1,33,41,49,57,18,10
22,17,9,25,1,33,41,49,57,18,10
27,21,22,20,23,24,29,13,19,28,12
29,11,12,3,19,10,13,18,2,4,20
46,35,36,43,27,34,37,26,42,44,28
52,43,44,35,51,42,45,50,34,36,52
59,29,30,28,31,32,21,37,27,20,36
60,17,9,25,1,33,41,49,57,18,10
65,52,53,51,54,60,44,55,59,43,61
71,30,29,31,32,28,38,22,21,37,39
93,21,22,20,23,24,29,13,19,28,12
96,7,8,6,5,4,15,14,16,13,12
100,17,9,25,1,33,41,49,57,18,10
116,59,60,51,58,61,50,52,62,53,42
134,36,37,35,38,44,28,39,43,27,45
135,22,21,23,24,20,30,14,29,13,31
148,21,22,20,23,24,29,13,19,28,12
151,63,64,62,61,60,55,54,56,53,52
176,35,36,43,27,34,37,26,42,44,28
177,30,29,31,32,28,38,22,21,37,39
191,30,29,31,32,28,38,22,21,37,39
193,39,40,38,37,36,47,31,46,30,48
195,60,61,59,62,52,63,51,53,54,64
221,7,8,6,5,4,15,14,16,13,12
223,17,9,25,1,33,41,49,57,18,10
231,35,36,43,27,34,37,26,42,44,28
234,52,53,51,54,60,44,55,59,43,61
238,30,29,31,32,28,38,22,21,37,39
264,35,36,43,27,34,37,26,42,44,28
