,Ama,Ance,CG14427,CG8147,croc,Cyp310a1,D,disco,Doc2,Ilp4
354,2341,2605,1381,1419,2603,2642,2567,2568,2606,2607
369,2847,2767,2768,2769,2773,2774,2881,2772,2809,2730
378,121,123,130,120,122,125,127,129,131,159
412,487,488,528,529,531,566,568,570,377,413
420,1033,1035,1037,1071,1072,1073,1074,1075,1109,1110
424,679,2730,603,640,682,718,641,680,2733,831
456,2809,426,526,569,603,606,640,645,682,718
473,865,903,941,979,1016,1017,1093,1397,1776,1814
502,32,34,35,37,38,68,74,114,2937,298
510,1381,1419,1641,1679,1680,1681,1717,2603,2642,2645
538,953,954,990,951,1901,1902,1977,2015,2960,647
544,195,230,232,270,272,347,385,386,459,498
553,754,829,677,718,753,790,655,660,661,662
556,867,1778,2045,2650,1626,1777,1816,1893,2196,2273
569,1065,1027,1028,1141,1939,2205,2244,2281,2282,2319
577,593,631,632,699,736,738,746,776,779,814
578,759,796,797,832,834,835,836,1097,1099,1100
581,935,936,937,972,973,974,975,1011,1012,1049
594,754,677,753,790,752,639,676,678,681,683
597,1209,1551,1243,944,1057,1095,1285,1437,1475,1513
601,679,831,868,981,1020,1323,1361,1399,1628,1629
637,527,565,567,604,607,608,642,643,644,646
641,2315,2316,2353,2354,2391,2392,2394,759,2352,758
659,176,214,215,252,253,293,63,101,102,139
660,1103,1104,1105,1142,1143,1341,1375,1377,1378,1379
662,709,637,938,976,977,1013,1381,1419,2941,2193
676,906,982,1019,1627,1779,1818,1855,2463,3002,2048
681,759,796,797,832,834,835,836,1097,1099,1100
685,2645,2680,2681,2682,2720,2759,781,782,2640,2641
690,341,379,487,488,528,529,531,566,568,570
722,675,711,747,748,749,709,712,713,714,597
732,759,487,488,528,529,531,566,568,570,796
733,1243,1475,1513,1514,1552,1590,1626,1893,759,3004
736,1741,2387,2424,1627,1779,1818,1855,2007,2046,2047
740,1888,1926,1964,2383,1775,2079,2080,2118,2156,2307
741,2917,57,59,94,98,2751,3028,2919,2833,2868
766,1831,1869,1870,1872,1907,1908,1909,1910,1911,1945
774,115,79,116,117,119,153,154,155,156,191
780,795,870,1026,1063,1064,1096,1098,1101,1102,1134
788,759,796,797,832,834,835,836,1097,1099,1100
807,709,637,2941,633,670,671,672,782,673,675
808,2730,2847,2318,2356,2543,2544,2733,2769,2773,2774
814,1641,1679,1680,1681,1717,2169,1107,1675,2129,2167
818,1243,2307,1130,1207,1244,1435,1472,1510,1549,1586
830,2662,2661,2699,2700,2737,2739,2740,2814,1370,1407
835,1028,991,1029,1179,1217,1255,1256,1293,1294,1331
853,2784,2669,2677,2711,2663,2665,2666,2667,2668,2671
854,679,709,641,680,603,640,682,718,520,556
860,869,871,872,907,908,910,946,983,985,1058
864,869,871,872,907,908,910,946,983,985,1058
868,1144,1409,1070,1108,1145,1146,1147,1183,1184,1185
879,523,520,556,558,212,213,251,291,369,406
885,759,796,797,832,834,835,836,1097,1099,1100
889,618,657,658,2965,181,220,259,260,754,298
924,2809,2794,2807,2811,2812,2846,2847,2848,2849,2850
939,679,831,1629,2124,2389,2431,2467,2468,2469,2470
943,869,871,872,907,908,910,946,983,985,1058
944,1460,2179,2215,2217,2252,2253,2254,2972,2043,2044
945,1457,1494,1495,1530,1531,1532,1533,1567,1568,1569
956,1010,1343,1420,1458,1459,1621,1733,1734,1735,1772
1009,1033,1035,1037,1071,1072,1073,1074,1075,1109,1110
1015,2048,2393,906,982,1019,1627,1779,1818,1855,2463
1017,1260,1262,1298,1302,1303,1336,1339,1340,1376,1381
1028,3004,938,976,977,1013,633,670,671,672,900
1030,108,109,111,144,147,31,71,72,73,75
1032,263,340,342,378,380,301,303,335,336,337
1033,341,379,377,413,414,415,416,417,418,448
1036,341,379,377,413,414,415,416,417,418,448
1039,679,2730,603,640,682,718,641,680,2733,831
1041,2318,2356,2543,2315,2316,2353,2354,2391,2392,2394
1045,675,711,747,748,749,709,712,713,714,3004
1050,639,676,678,716,2651,2652,2688,563,601,677
1087,1077,1644,1645,1646,1683,1684,1722,1763,2949,2952
1097,1033,1035,1037,1071,1072,1073,1074,1075,1109,1110
1099,32,34,35,37,38,68,74,114,2937,31
1104,637,938,976,977,1001,1013,1039,1040,1042,1043
1109,1077,1644,1645,1646,1683,1684,1722,1763,2949,2952
1114,647,685,724,878,915,917,952,2986,609,613
1120,2730,2733,2389,2431,2467,2468,2469,2470,2505,2507
1121,2043,2044,2081,2082,2119,2120,2121,2158,2159,2347
1125,2885,2809,2845,2883,2886,2918,2968,32,34,35
1134,1715,1716,1752,841,653,728,731,842,880,918
1163,869,871,872,907,908,910,946,983,985,1058
1169,869,871,872,907,908,910,946,983,985,1058
1178,526,569,603,606,640,645,682,718,720,722
1187,2318,2356,2543,2544,2124,2201,2204,2237,2238,2239
1189,869,871,872,907,908,910,946,983,985,1058
1190,2315,2316,2353,2354,2391,2392,2394,2938,758,793
1201,2209,2247,2400,2472,2478,2485,2512,2523,2553,2554
1205,370,718,709,786,787,824,333,371,679,681
1219,2048,2393,2315,2316,2353,2354,2391,2392,2394,873
1241,2721,2644,2645,2677,2680,2681,2682,2711,2714,2716
1251,2315,2316,2353,2354,2391,2392,2394,759,2352,758
1270,1641,1679,1680,1681,1717,2169,1107,1675,2129,2167
