,Ama,Ance,Blimp-1,CG8147,croc,Cyp310a1,D,disco,Doc2,Ilp4
845,1599,1637,1638,1639,1676,1677,1678,1714,1753,1790
857,795,873,874,909,911,912,947,948,949,950
862,1445,1446,1447,1483,1484,1485,1521,1522,1559,1560
865,841,878,915,917,952,953,954,2986,191,229
877,341,379,378,380,377,414,415,416,417,418
878,1028,1141,1179,1217,1255,1256,1293,1294,1331,1332
881,823,825,847,862,886,887,924,925,926,524
886,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
891,823,825,862,445,481,482,520,521,522,556
909,263,340,341,342,379,265,378,380,301,303
927,962,963,1001,1039,1040,1042,1043,1078,1080,1081
930,720,722,757,760,798,301,303,339,377,414
946,2047,2049,2086,2087,2124,2125,2126,2127,2128,2161
958,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
965,2198,2047,2049,2086,2087,2124,2125,2126,2127,2128
970,647,685,724,648,649,686,841,878,915,917
977,2198,2047,2049,2086,2087,2124,2125,2126,2127,2128
979,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
981,1451,1489,1564,1457,1495,1496,1530,1531,1532,1533
987,841,878,915,917,952,953,954,2986,229,231
995,3004,901,902,938,939,940,976,977,978,1015
1010,687,723,725,762,763,764,765,800,801,803
1013,1413,1415,1417,1418,1452,1453,1454,1455,1490,1491
1018,1413,1415,1417,1418,1452,1453,1454,1455,1490,1491
1035,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
1054,2431,2465,2467,2468,2469,2503,2504,2505,2506,2507
1064,647,685,724,484,561,597,598,599,634,635
1075,961,995,997,998,1033,1034,1037,1038,1072,1073
1077,759,796,797,834,835,836,871,872,910,946
1084,3004,829,831,1626,830,1553,1591,1629,2007,2083
1098,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
1106,961,995,997,998,1033,1034,1037,1038,1072,1073
1117,288,474,478,514,517,518,519,3017,243,172
1130,133,175,212,366,367,369,404,406,407,2973
1162,759,796,797,834,835,836,871,872,910,946
1175,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
1177,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
1198,1419,2342,1467,1469,1470,1505,1506,1507,1544,1413
1206,2767,2768,2724,2769,2804,2690,2691,2692,2728,2729
1210,951,1777,1930,2157,2196,2272,2623,2625,2745,761
1221,759,796,797,834,835,836,871,872,910,946
1228,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
1253,961,995,997,998,1033,1034,1037,1038,1072,1073
1254,120,122,159,198,541,3031,157,158,196,197
1265,487,528,529,531,566,567,568,569,570,606
1292,2638,2639,2676,2677,2678,2748,2982,2599,2556,2557
1294,2654,2655,2693,2695,2696,2732,2653,2657,2658,2690
