,Ama,Ance,CG8147,croc,Cyp310a1,D,dan,disco,Doc2,fkh
915,1415,1417,1418,1452,1453,1454,1455,1456,1460,1643
925,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
928,2605,1299,1303,1339,2529,2567,2568,2606,2607,2608
935,1632,1634,1668,1670,1671,1672,1895,1933,1935,1936
936,32,34,35,37,38,68,74,114,31,71
942,758,795,873,874,909,911,912,950,1023,1025
994,2007,2046,2047,2086,2237,2241,2280,2313,2314,2318
1002,341,379,414,415,416,417,418,451,452,453
1006,478,403,405,160,161,199,200,201,202,203
1014,1381,2487,2564,2565,2566,2603,2640,2643,2644,2645
1016,343,381,382,383,384,385,386,389,420,421
1021,349,350,351,352,353,354,355,387,388,390
1026,341,379,340,342,378,380,377,263,339,375
1051,389,426,134,170,502,503,504,97,135,211
1068,896,781,785,786,787,819,820,821,822,824
1079,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
1083,995,997,999,1033,1034,1035,1036,1037,1038,1072
1095,1632,1634,1668,1670,1671,1672,1895,1933,1935,1936
1102,998,1109,1111,1113,1116,1148,1149,1150,1151,1153
1103,1401,1439,1479,1516,1517,1518,1519,1554,1555,1556
1115,998,1109,1111,1113,1116,1148,1149,1150,1151,1153
1118,1592,1593,1594,1595,1596,1630,1631,1633,1706,1710
1122,1447,1483,1484,1217,1256,1369,1407,1445,1446,1485
1124,833,1669,2047,2086,2421,2460,2543,2544,2545,2584
1135,842,601,638,802,597,599,634,635,636,674
1137,341,379,377,335,336,337,338,340,342,374
1165,1401,1439,1479,1516,1517,1518,1519,1554,1555,1556
1193,998,1109,1111,1113,1116,1148,1149,1150,1151,1153
1216,175,213,330,331,369,370,406,407,408,212
1220,2458,2343,2382,2420,443,444,1413,1419,1433,1434
1225,896,927,929,930,931,932,933,964,965,966
1237,377,187,189,225,226,227,262,264,266,299
1240,341,379,377,340,342,378,380,263,339,375
1249,619,621,624,654,656,657,658,661,662,691
1250,759,796,797,834,835,836,871,872,910,946
1252,1590,1626,1628,1667,1704,1438,1475,1476,1477,1513
1272,445,481,482,520,521,522,556,558,559,595
1277,220,259,260,298,148,151,185,187,189,224
1284,1499,1535,1536,1537,1539,1541,1542,1543,1545,1572
1285,2289,2290,2326,2327,2364,2365,2402,2403,2404,2405
1288,1553,1591,1629,1592,1593,1594,1595,1596,1630,1631
1290,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
1291,1457,1496,1532,1645,1646,1682,1683,1684,1686,1687
