,Ama,Ance,CG14427,CG8147,croc,Cyp310a1,D,dan,Doc2,eve
651,1061,1368,1630,1631,1710,2996,1253,1254,1288,1289
664,153,154,155,156,191,192,193,194,229,231
669,759,758,796,797,1063,1064,1097,1363,1364,1401
689,341,379,263,340,342,378,380,377,414,415
692,797,1063,1064,1139,1140,1174,1177,1178,1213,1216
699,134,170,211,206,133,135,172,173,174,249
704,2124,2047,2049,2086,2087,2125,2126,2127,2128,2161
721,32,34,35,37,38,68,74,114,2937,9
727,991,1028,1029,1219,1222,951,953,1179,1180,1181
734,1062,607,643,646,684,2938,3016,947,948,949
794,1849,1887,1888,1926,1964,2002,1962,1773,1774,1813
796,800,801,803,838,839,840,841,763,802,837
804,759,682,566,567,608,640,644,796,797,872
805,1458,1459,1733,1734,1809,1810,1886,557,594,623
819,1121,807,811,844,1043,1077,1078,1080,1081,1114
827,1982,1939,1980,1299,1337,1754,1947,1984,1985,1986
842,709,786,787,824,783,784,821,848,849,886
849,1317,1354,1431,3004,1061,1368,1630,1631,1710,1775
873,1121,807,811,844,1043,1077,1078,1080,1081,1114
876,2772,2695,2725,2728,2730,2767,2768,2770,2808,681
882,1289,1291,1292,1326,1327,1328,1329,1330,1365,1366
884,718,449,450,488,489,679,717,754,755,296
895,377,414,415,416,417,418,451,452,453,454
900,830,831,792,794,832,1553,1591,718,759,793
906,1061,1368,1630,1631,1710,2996,1253,1254,1288,1289
908,1739,1606,1607,1608,1609,1682,1095,1589,1777,1816
913,133,172,249,250,407,408,2973,120,122,159
914,445,481,482,521,522,377,414,415,416,417
920,341,379,449,450,488,489,377,413,414,415
926,569,606,645,682,720,722,377,414,415,416
931,711,747,748,749,1128,2941,707,709,745,786
938,781,782,1699,1737,637,675,1660,1661,1663,1700
941,267,268,271,305,306,308,345,120,122,159
948,567,608,644,796,797,872,1253,1254,1288,1363
951,1106,2472,1146,2395,2434,2437,2439,2473,2474,2475
952,1129,1125,900,1128,1130,520,556,559,595,596
953,1402,1668,1744,2047,2049,2086,2087,2125,2126,2127
955,2661,2663,2673,2699,2700,2705,2737,2739,2740,2743
985,679,831,1741,641,1325,1361,1629,1667,1704,1705
989,843,603,671,807,811,844,635,672,674,710
1040,525,526,640,527,564,565,602,604,792,794
1046,843,603,671,807,811,844,635,672,674,710
1056,377,414,415,416,417,418,451,452,453,454
1060,1363,1364,1401,1706,682,985,1060,1062,1325,1361
1074,2485,2523,2524,2561,2562,2688,1950,1951,2210,2214
1101,2207,2244,2246,2206,2208,1901,1902,1903,2129,2172
1105,672,523,558,633,670,1243,1280,597,598,599
1108,641,1325,1361,1629,1667,1704,1705,1742,831,1741
1111,1243,1622,1849,1887,1888,1926,1964,827,2193,2307
1132,1690,1691,1121,1383,1384,1422,1613,1647,1648,1649
1158,341,379,263,340,342,378,380,377,414,415
1160,1043,1078,1080,1081,1114,1115,1117,1118,1119,1120
1170,288,403,442,443,444,121,123,130,783,784
1171,671,478,517,519,633,670,707,709,474,514
1179,679,680,682,641,603,607,643,646,681,683
1185,1457,1494,1495,1530,1531,1532,1533,1567,1568,1569
1188,641,1325,1361,1629,1667,1704,1705,1742,831,1741
1197,1901,1902,1903,2960,1597,1635,1863,1864,1865,1866
1226,802,1661,1663,1700,1701,1738,799,1666,1703,1740
1227,681,683,718,719,721,759,830,831,679,680
1230,1217,1255,1256,1257,1293,1294,1295,1332,1333,1445
1245,387,388,424,426,343,350,351,352,354,381
1263,1289,1291,1292,1326,1327,1328,1329,1330,1365,1366
1268,759,795,2201,2204,2237,2238,2239,2241,2242,2280
1273,1062,607,643,646,684,2938,3016,947,948,949
1274,407,408,2973,520,556,484,175,176,212,213
1287,641,1741,639,642,676,678,679,680,715,716
