,Ama,Antp,bun,dan,disco,Doc3,fkh,ftz,Ilp4,ImpE2
335,1683,2299,2338,2336,2301,1681,1733,1734,1772,2952
358,517,443,519,588,3033,446,480,483,514,516
362,2693,2733,2695,2730,2690,2729,2734,2770,2692,2696
367,1873,1644,1916,1567,1607,1912,1605,1646,1648,1649
387,380,684,2938,378,682,341,414,683,643,645
396,1250,1253,683,645,798,377,607,760,1292,2938
415,2875,2885,2968,2847,2882,2884,2841,2826,2886,2887
422,522,517,521,588,589,484,558,559,596,445
441,951,2282,2207,2205,2244,2243,953,1028,1939,952
442,1115,1083,1043,1045,1047,1658,1733,1734,1120,1121
452,1063,1102,1329,1213,1098,1139,3014,1026,1250,1064
465,178,139,177,215,253,216,255,172,213,290
476,998,2370,2408,2329,2295,2333,2372,2373,2410,997
478,1195,927,929,964,1269,1308,928,966,1236,925
484,1013,1050,1090,1394,1052,1009,1353,1051,1082,1319
500,973,900,1013,1279,1316,935,1009,974,975,1312
525,2996,1630,1633,1634,1706,1631,1632,1823,1520,1668
526,1128,781,816,1093,785,786,1087,1088,1089,1090
530,162,364,369,404,157,164,366,517,123,365
539,765,384,2283,2358,2363,2400,2474,2324,2362,2367
541,1635,2960,1597,1940,1180,1181,1903,1218,1369,1674
543,2815,2817,2953,2737,2814,2816,2818,2779,2781,2830
550,676,602,639,678,709,601,641,637,636,638
564,2641,2678,2601,2602,2604,2598,2599,2644,2939,2563
565,2937,38,36,2765,2769,2804,2810,2969,32,66
567,1098,3014,1063,1329,1330,1406,1442,1444,1099,1216
583,2674,2675,2637,2638,2678,2716,2717,2673,2676,2679
590,798,1824,454,1823,494,796,1558,341,342,418
591,949,1023,1613,2218,2255,2256,2294,1690,1025,1062
606,75,2937,38,36,32,71,112,2933,28,69
612,800,802,774,808,803,765,805,806,2987,807
628,988,950,1059,1061,1063,1097,1102,1329,1025,1062
631,1668,1671,1405,1744,1746,1367,1708,1670,1706,1292
638,403,476,512,442,367,401,405,439,441,438
648,1022,1023,2048,987,1366,1403,1404,1020,1024,1289
666,1214,950,1139,1291,874,1215,1252,1140,1292,873
691,1139,3014,1176,1250,1175,1212,1214,1216,1140,1213
728,1672,2013,2956,1634,1670,2011,2048,2052,1748,1785
738,829,827,830,790,828,754,866,904,864,753
748,1054,1093,1017,1132,1016,1053,752,1055,1130,1056
799,1939,2167,2207,1978,1979,1980,2016,1977,2015,1673
800,2962,1586,1588,1587,1034,1304,1306,1537,1574,1585
802,1367,1025,1062,1021,1059,1063,1097,1329,1405,1098
811,1634,2048,949,1289,2996,1022,1668,1672,2013,2050
821,781,784,1695,1697,1049,709,749,1083,1696,1698
839,752,790,715,751,789,522,517,521,788,791
851,1130,444,1125,1167,1205,1091,514,516,1128,1196
858,379,341,1289,1328,567,608,644,646,1630,455
887,1037,998,731,1074,869,728,962,833,729,768
892,1063,1098,1178,1367,451,798,528,1823,1859,487
897,187,226,184,189,227,300,304,2957,225,262
911,1358,3004,1039,1042,1282,1586,1245,1623,1281,1052
915,1685,1686,1687,1724,1643,2254,1150,1728,1417,1645
925,1405,1402,1365,1367,1401,1708,1782,1406,1442,1443
928,1578,1582,1277,1278,1298,1349,1351,1376,1110,1386
935,1520,1862,1900,1860,1936,1824,1899,1823,1859,2012
936,38,34,74,24,32,11,16,30,37,18
942,453,1744,529,2542,2934,452,2353,2431,2468,2505
994,2048,2124,988,2163,2050,2047,2011,2052,2086,986
1002,38,108,109,111,144,150,75,114,2937,379
1006,328,546,291,327,403,510,633,3009,288,289
1014,888,826,890,889,2176,2603,3029,859,2645,2682
1016,463,422,425,462,465,467,468,500,419,460
1021,353,350,422,351,462,352,354,387,388,393
1026,341,342,874,2659,2660,379,873,912,2619,1861
1051,328,291,362,168,162,353,400,404,426,437
1068,785,210,247,286,324,237,819,858,861,894
1079,1139,1478,1480,3014,1176,1250,1479,1516,1175,1212
1083,1037,997,1840,1033,2366,2369,2371,2409,2291,2370
1095,1634,1668,1671,1672,2956,2996,1709,1291,1708,1631
1102,1115,1150,1153,1155,1113,1154,1156,1190,1196,1075
1103,1783,1405,1744,1746,1367,1708,1706,1402,1743,1745
1115,2370,2408,2329,1852,2333,2372,2373,2410,2416,1802
1118,1596,2970,1593,1630,1706,1594,377,379,415,416
1122,1255,1522,1256,1977,2015,951,1483,1484,1711,1217
1124,1138,2124,1057,1059,1061,1063,1097,1329,2163,1025
1135,801,802,807,838,840,844,839,763,765,841
1137,376,414,2935,378,380,339,377,379,415,416
1165,1099,1063,1097,1329,1406,1442,1444,1098,1064,1100
1193,1115,1150,1153,1155,1113,1154,1190,1196,1226,1685
1216,1054,1052,1083,1625,1045,1047,175,1017,215,1016
1220,1159,1427,1160,1125,1431,1772,1086,1124,1419,1434
1225,1240,1242,896,934,1239,1241,931,1202,1203,1204
1237,38,34,74,184,2937,187,226,262,32,718
1240,1557,1935,1937,1972,1976,3030,2970,795,1251,1290
1249,657,658,619,621,654,656,661,622,624,655
1250,1026,1363,1364,1783,1744,1746,1401,1705,1708,1782
1252,1309,1114,1298,1146,1151,1311,1533,1071,1075,1108
1272,484,518,481,482,520,555,556,590,522,517
1277,304,225,187,226,184,148,189,224,227,264
1284,2188,2189,2115,2227,2149,2150,2151,2190,2152,2186
1285,959,1228,1230,1268,1270,1190,1193,1226,997,1229
1288,1083,1049,1079,1122,1389,1120,1159,1196,1427,1045
1290,1150,1192,1384,1154,1156,1190,1687,1688,1724,1075
1291,1733,1734,1772,2952,1995,2076,2258,2299,2338,1683
