,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
507,1153,1115,1191,1190,1154,1192,1152,1228,1116,1229
512,771,809,733,734,810,808,770,772,846,695
514,1013,1051,975,1012,1014,1052,1050,974,1090,1088
517,1011,973,1049,1050,1048,1010,1012,972,935,1088
560,304,303,265,266,342,302,340,227,380,264
585,202,201,203,164,163,204,241,200,240,3012
595,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
613,2847,2848,2884,2887,2807,2886,2882,2999,2849,2846
615,341,379,380,340,2935,416,418,378,342,417
616,1078,1040,1116,1039,1077,1079,1041,1001,1154,1002
617,1078,1040,1116,1039,1077,1079,1041,1001,1154,1002
618,1185,1223,1147,1148,1186,1224,1222,1261,1184,1109
621,668,630,706,629,705,667,591,669,666,593
623,1130,1092,1168,1131,1093,1091,1129,1055,1054,1167
633,1065,1103,1027,1066,1104,1142,1141,1028,989,1067
639,1077,1039,1115,1116,1078,1114,1076,1152,1153,1001
713,379,341,416,380,417,378,418,415,2935,340
715,34,72,68,74,69,35,73,32,71,29
723,478,479,439,441,403,515,440,401,516,477
743,263,302,339,2935,301,225,340,303,378,338
747,2990,2324,2286,2248,2985,2247,2285,2249,2209,2325
754,647,648,3026,685,686,724,609,649,611,687
778,839,801,878,877,840,838,2986,876,802,763
786,1001,1039,963,1000,1038,1040,1002,1076,1077,1078
787,1092,1054,1130,1091,1055,1093,1053,1017,1016,1168
793,1028,990,1066,991,989,1027,1029,951,953,952
817,1190,1228,1152,1151,1153,1189,1191,1115,1229,1227
822,682,643,605,607,2938,719,644,642,645,681
844,1245,1207,1283,1244,1284,1246,1282,1208,1321,1206
850,925,887,963,964,962,924,926,886,1000,1002
852,790,791,828,789,752,751,715,753,829,866
893,1800,1762,1838,1799,1761,1801,1723,1876,1763,1724
898,892,930,854,891,853,893,855,929,968,816
932,2382,2383,2420,2343,2421,2458,2344,2381,2384,2345
933,214,175,252,139,213,177,101,174,176,212
940,1279,1317,1241,1316,2967,1280,1318,1354,1355,1278
960,799,837,761,838,800,876,762,875,723,801
971,1329,1367,1291,1366,1405,1253,1330,1328,1292,1368
972,988,1026,950,987,949,912,1025,1064,911,1063
976,1367,1405,1329,1366,1406,1291,1368,1443,1404,1442
990,406,369,367,444,407,405,3017,368,408,366
993,19,54,21,60,58,17,56,52,62,23
996,1190,1228,1152,1151,1153,1189,1191,1115,1229,1227
997,1445,1407,1483,1484,1446,1408,1369,3034,1522,1521
998,2247,2246,2285,2209,2990,2985,2284,2208,2324,2248
1000,3030,1557,1595,1596,1558,1519,1594,1634,1520,1633
1001,801,839,763,802,838,800,840,878,764,876
1007,829,867,828,868,791,830,792,866,790,905
1008,2247,2246,2285,2209,2990,2985,2284,2208,2324,2248
1024,2269,2231,2308,2232,2270,2307,2306,2230,2193,2345
1031,463,502,500,464,462,501,465,538,540,503
1061,485,486,523,484,524,562,447,522,487,561
1073,1291,1253,1329,1328,1366,1367,1292,2943,1290,1330
1080,2752,2753,2751,2714,2790,2715,2750,2791,2792,3028
1100,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
1110,1668,1706,1630,1631,1667,1669,1629,1744,1593,1705
1113,2131,2132,2169,2168,2093,2206,2170,2055,2130,2208
1126,1667,1629,1705,1666,1704,1706,1668,1591,1630,1743
1139,972,1010,934,935,973,971,933,1011,897,1009
1140,2845,2884,2883,2918,2881,2885,2882,2879,2847,2886
1167,778,779,740,741,739,777,816,703,817,780
1172,1001,1039,963,1000,1038,1040,1002,1076,1077,1078
1173,2322,2360,2284,2323,2321,2283,2285,2245,2359,2398
1174,1259,1297,1221,1258,1260,1298,1296,1335,1222,1183
1182,34,72,68,74,69,35,73,32,71,29
1202,1230,1268,1192,1191,3035,1231,1193,1267,1154,1153
1212,1367,1405,1329,1366,1406,1291,1368,1443,1404,1442
1214,949,987,911,950,988,986,948,912,1025,873
1223,2597,2939,2596,2634,2559,2635,2636,2560,2598,2599
1224,403,440,442,441,404,478,479,365,402,405
1229,116,79,115,117,77,80,118,154,78,156
1243,951,989,913,990,952,1028,1027,875,914,915
1258,951,989,913,990,952,1028,1027,875,914,915
1259,1147,1185,1146,1109,1184,1148,1222,1223,1108,1145
1261,2210,2172,2173,2985,2211,2248,2135,2134,2209,2212
1267,2471,2433,2547,2395,2509,2472,2510,2585,2548,2396
