,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
555,1052,1014,1090,1053,1015,1051,1013,1128,976,1091
571,38,36,35,32,30,74,28,37,2937,34
608,2632,2633,2631,2594,2595,2593,2670,2671,2634,2557
614,711,712,749,673,635,750,748,788,710,713
624,2943,1215,3038,1253,1254,1177,1292,1291,1216,1330
644,367,366,368,406,405,404,369,329,328,444
649,3016,646,569,607,644,608,570,645,684,606
653,796,759,834,758,795,720,797,835,757,721
654,408,369,371,407,446,409,406,370,483,372
657,567,529,605,604,606,642,568,644,566,491
665,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
672,909,947,871,908,946,910,948,984,985,870
714,519,556,557,480,481,518,558,482,555,594
716,607,645,644,682,3016,2938,605,646,569,683
739,2632,2633,2631,2594,2595,2593,2670,2671,2634,2557
745,43,80,81,41,44,2966,78,83,79,119
746,181,183,218,182,220,256,145,141,221,184
749,1821,1783,1859,1858,1860,1820,1745,1822,1897,1784
750,684,646,683,722,608,3016,645,570,721,760
752,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
757,606,568,644,569,567,531,605,530,529,3016
761,414,452,377,453,413,375,415,490,416,450
768,2383,2382,2384,2421,2344,2345,2343,2422,2420,2458
773,1138,1100,1176,1099,1139,3014,1137,1061,1062,1101
790,1013,1051,975,1012,1014,1052,1050,974,1090,1088
801,1052,1014,1090,1053,1015,1051,1013,1128,976,1091
809,2621,2582,2660,2622,2620,2583,2659,2581,2544,2697
813,1181,1143,1219,1220,1182,1180,1218,1257,1105,1144
845,2209,2208,2985,2247,2171,2172,2246,2170,2210,2990
857,1211,1249,1173,1210,1248,1250,1212,1172,1287,1288
862,1890,1852,1928,1891,1853,1851,1929,1814,1815,1966
865,2029,2067,2028,2104,2066,2105,2030,1991,2106,2068
877,380,341,342,340,379,418,303,2935,417,304
878,1016,1054,978,979,1017,977,1015,1092,940,941
881,478,479,439,441,403,515,440,401,516,477
886,453,415,492,490,414,452,491,454,416,377
891,131,132,169,168,130,170,134,93,95,167
909,863,825,901,900,864,862,902,787,938,939
927,1165,1127,1203,1204,2977,1202,1164,1240,1166,1089
930,34,72,68,74,69,35,73,32,71,29
946,950,912,988,949,911,874,987,1026,873,836
958,1860,1822,1898,1859,1861,1821,1784,1823,1936,1899
965,2355,2394,2393,2356,2317,2354,2432,3006,2318,2392
970,801,839,763,802,838,800,840,878,764,876
977,2355,2394,2393,2356,2317,2354,2432,3006,2318,2392
979,415,416,453,454,492,414,377,379,417,378
981,737,775,738,699,814,736,776,813,700,774
987,446,483,484,409,408,407,522,447,371,445
995,3004,1321,1359,1358,1320,1396,1283,1397,1282,1319
1010,598,559,597,636,560,561,596,599,634,521
1013,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
1018,1230,1268,1192,1191,3035,1231,1193,1267,1154,1153
1035,1975,1937,2013,1974,2014,2050,1976,1899,2051,1938
1054,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
1064,1835,1797,1873,1834,1872,1874,1759,1796,1836,1912
1075,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
1077,1631,1593,1669,1668,1670,1632,1630,2989,1707,1706
1084,133,170,173,135,172,134,174,208,210,132
1098,3038,1292,1254,2943,1330,1216,1253,1291,1368,1215
1106,1015,977,1053,1054,1052,1014,1016,1091,976,1092
1117,288,289,287,249,290,250,3009,251,286,326
1130,367,366,368,406,405,404,369,329,328,444
1162,1633,1595,1671,2996,1634,1672,2956,1594,1709,3030
1175,835,873,797,834,872,874,836,796,759,911
1177,1596,1634,1558,3030,1595,1672,1633,1520,1557,1519
1198,2193,2155,2232,2194,2230,2192,2231,2156,2195,2117
1206,2772,2734,2810,2808,2736,2733,2773,2771,2695,2984
1210,1814,2947,1852,1815,1776,1777,1775,1813,1890,2945
1221,1137,1099,1175,1176,1174,1136,1138,1098,1061,1212
1228,1898,1936,1860,1861,1899,1859,1897,1935,1974,1822
1253,1013,1051,975,1012,1014,1052,1050,974,1090,1088
1254,478,479,439,441,403,515,440,401,516,477
1265,3016,646,569,607,644,608,570,645,684,606
1292,2670,2671,2669,2631,2708,2632,2633,2668,2709,2707
1294,755,717,754,792,793,794,830,753,679,718
