,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
1073,758,757,720,719,796,795,681,2938,756,759
1080,1300,1338,1262,1263,1299,1301,2988,1261,1376,1339
1100,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
1110,2996,2956,1594,1632,1633,1670,1595,1671,1708,2989
1113,3029,826,751,788,750,827,789,713,787,864
1126,565,640,527,603,604,566,564,641,642,678
1139,927,965,889,926,928,966,964,1002,1003,1004
1140,2919,2917,2883,2922,2879,2915,2918,2921,2914,2924
1167,1041,1003,1079,1040,1078,1080,1042,1002,1117,965
1172,1009,1047,971,1010,1048,1008,1046,933,1086,1084
1173,1890,1852,1928,1891,1853,1851,1929,1814,1815,1966
1174,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
1182,38,36,35,32,30,74,28,37,2937,34
1202,1181,1143,1219,1220,1182,1180,1218,1257,1105,1144
1212,2010,3027,2048,2047,1971,2009,1972,2086,2011,1973
1214,606,568,644,569,567,531,605,530,529,3016
1223,1185,1223,1147,1148,1186,1224,1222,1261,1184,1109
1224,707,744,745,746,706,669,782,705,783,708
1229,153,192,154,155,115,191,193,156,117,194
1243,1890,1852,1928,1891,1853,1851,1929,1814,1815,1966
1258,1756,1794,1718,1719,1757,1755,1717,1832,1795,1681
1259,878,839,840,916,2986,879,841,877,801,802
1261,2343,2381,2382,2991,2344,2380,2305,2420,2383,2342
1267,712,711,635,675,750,674,713,673,749,637
