,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
957,707,744,745,746,706,669,782,705,783,708
988,446,483,484,409,408,407,522,447,371,445
1003,2285,2247,2323,2284,2324,2990,2322,2246,2362,2985
1038,633,670,595,672,671,594,632,710,708,631
1042,148,149,224,186,151,2957,113,111,188,146
1047,2688,2651,2649,2726,2687,2650,2652,2613,2689,2724
1052,828,866,829,789,790,791,867,904,827,751
1053,1898,1936,1860,1861,1899,1859,1897,1935,1974,1822
1057,2459,2498,2497,2458,2496,2460,2535,2421,2461,2534
1069,445,483,3017,482,520,521,407,522,481,446
1088,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
1091,2383,2382,2384,2421,2344,2345,2343,2422,2420,2458
1096,2621,2582,2660,2622,2620,2583,2659,2581,2544,2697
1116,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
1136,2241,2242,2279,2240,2318,2280,2203,2278,2317,2204
1145,709,671,747,2941,708,746,710,670,748,785
1155,3016,646,569,607,644,608,570,645,684,606
1168,633,670,595,672,671,594,632,710,708,631
1183,288,289,287,249,290,250,3009,251,286,326
1191,758,757,720,719,796,795,681,2938,756,759
1215,263,302,339,2935,301,225,340,303,378,338
1217,595,672,633,594,557,596,634,558,632,670
1218,75,2933,150,152,76,112,110,114,113,149
1239,602,601,564,678,639,525,640,563,638,527
1271,1631,1593,1669,1668,1670,1632,1630,2989,1707,1706
1281,1013,1051,975,1012,1014,1052,1050,974,1090,1088
1283,451,489,488,452,450,528,490,449,566,526
