,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
600,157,120,158,118,156,197,122,117,119,194
611,870,908,832,831,833,871,869,793,907,909
625,259,257,298,296,258,260,295,297,294,219
643,1055,1093,1017,1056,1092,1054,1132,1130,1094,1018
645,2349,2387,2350,2348,2388,2311,2426,2386,2351,2310
646,1879,1841,2946,1917,1878,1916,1880,1840,1842,1803
650,1077,1039,1115,1116,1078,1114,1076,1152,1153,1001
663,3038,1292,1254,2943,1330,1216,1253,1291,1368,1215
673,961,923,999,1000,962,960,998,1038,885,924
674,133,170,173,135,172,134,174,208,210,132
683,2949,1342,1380,1343,1341,1381,1303,1304,1305,1418
706,2559,2560,2521,2596,2597,2558,2598,2939,2522,2485
729,2103,2142,2140,2104,2065,2141,2027,2102,2105,2066
742,1038,1076,1000,1037,999,1001,1039,961,1114,1075
759,718,680,717,681,756,679,641,643,755,794
760,187,226,224,185,262,188,189,2957,264,300
769,1914,2997,1875,1876,1915,1952,1877,1913,1953,1838
771,1250,1212,1288,1251,1249,1211,1213,1173,1174,1175
781,2220,2221,2258,2183,2182,2219,2222,2145,2260,2296
789,299,261,301,297,338,300,336,298,339,225
831,1995,1957,2032,2033,1996,1994,1956,1919,2070,1958
841,2875,2838,2873,2834,2874,2839,2835,2876,2837,2877
846,847,885,848,809,884,846,886,922,810,924
856,1629,1667,1591,1630,1628,1666,1668,1592,1705,1590
859,1055,1093,1017,1056,1092,1054,1132,1130,1094,1018
863,1612,1574,1650,1573,1611,3020,1575,1613,1536,1535
869,364,2995,363,326,325,362,402,365,440,400
871,3038,1292,1254,2943,1330,1216,1253,1291,1368,1215
872,608,570,646,3016,684,569,532,683,531,645
874,988,1026,950,987,949,912,1025,1064,911,1063
901,229,230,191,231,268,270,193,269,232,192
929,988,1026,950,987,949,912,1025,1064,911,1063
949,2219,2181,2258,2256,2182,2220,2257,2180,2295,2218
950,1077,1039,1115,1116,1078,1114,1076,1152,1153,1001
962,215,216,253,252,251,290,254,177,213,3009
968,1191,1153,1230,1229,1268,1192,1228,1190,1115,1154
973,2013,1975,2051,2050,2014,2052,2088,2089,1974,1937
984,1037,1075,999,1038,1074,1076,1036,1114,1113,1112
991,2616,2579,2656,2617,2577,2578,2694,2615,2618,2654
1022,988,1026,950,987,949,912,1025,1064,911,1063
1027,1516,1478,1554,1517,1477,1515,1440,1479,1439,2944
1034,2885,2886,2968,2883,2884,2845,2922,2888,2887,2847
1043,1077,1039,1115,1116,1078,1114,1076,1152,1153,1001
1062,259,257,298,296,258,260,295,297,294,219
1063,92,91,94,93,130,129,128,53,55,57
1066,646,3016,684,608,683,645,607,570,569,722
1067,2359,2397,2321,2959,2360,2358,2398,2322,2435,2283
1081,569,3016,531,570,606,644,608,532,493,646
1092,2599,2939,2600,2637,2598,2561,2636,2638,2597,2601
1127,1037,1075,999,1038,1074,1076,1036,1114,1113,1112
1138,231,270,268,229,230,308,269,232,271,191
1141,684,646,683,722,608,3016,645,570,721,760
1144,1683,1645,1720,1721,2952,1682,1644,1758,1684,1607
1146,1558,1520,1596,3030,1519,1482,1557,1634,1595,1481
1147,1176,1214,1138,1137,1175,3014,1099,1213,1139,1100
1151,1251,1213,1289,1250,1288,1290,1326,1175,1252,1212
1153,1291,1253,1329,1328,1366,1367,1292,2943,1290,1330
1154,1292,1330,3038,1368,2943,1291,1329,1253,1254,1406
1156,533,571,572,610,495,534,609,535,496,573
1164,870,908,832,831,833,871,869,793,907,909
1186,369,408,406,368,370,331,407,371,367,446
1196,2467,2468,2429,2542,2504,2930,2431,2505,2430,2543
1246,682,643,605,607,2938,719,644,642,645,681
1247,187,226,224,185,262,188,189,2957,264,300
1262,2963,1133,1171,1172,1095,1209,1134,1210,2932,1170
1276,1613,1575,1651,1652,1614,1650,1612,1576,1537,1688
1279,1032,1070,994,995,993,1033,1071,1031,1108,955
1282,2219,2181,2258,2256,2182,2220,2257,2180,2295,2218
1286,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
