,brk,zen,CG43394,Btk29A,kni,twi,tkv,hkb,h,Ilp4
377,453,415,492,414,416,490,454,452,377,491
381,1079,1078,1116,1117,1041,1154,1077,1040,1080,1039
392,747,748,709,710,671,786,785,749,2941,673
393,1121,1083,1159,1122,1160,1120,1158,1198,1082,1045
403,2478,2477,2479,2439,2516,2441,2440,2476,2480,2514
417,1479,1556,1518,1517,1480,1555,1441,2970,1442,2989
430,400,363,361,362,401,402,438,399,364,323
431,1061,1062,1100,1023,1099,1138,1024,1060,985,1137
443,1714,1713,1675,1676,1752,1637,1751,1638,1677,1715
447,484,485,447,486,523,522,446,524,448,409
453,1138,1176,1099,1100,1137,3014,1139,1061,1214,1175
458,2364,2402,2365,2363,2326,2325,2287,2327,2401,2362
463,1046,1045,1007,1084,1008,1083,1047,1009,969,1044
466,846,884,808,845,809,847,807,883,771,922
472,2181,2180,2143,2219,2182,2142,2218,2256,2141,2105
475,1115,1152,1153,1077,1114,1190,1116,1154,1076,1191
501,241,203,240,202,242,201,239,204,205,280
516,317,318,279,278,316,281,280,277,282,356
520,311,3032,348,312,310,273,272,349,313,347
522,884,845,846,883,807,922,808,847,882,809
533,461,499,500,498,462,423,460,537,538,536
562,1154,1153,1192,1115,1191,1116,1230,1077,1117,1155
572,2553,2515,2554,2516,2552,2592,2591,2590,2514,2477
593,1092,1054,1130,1091,1053,1015,1055,1129,1093,1016
620,1168,1130,1167,1206,1129,1131,1169,1091,2994,1092
680,605,644,682,567,642,607,643,606,604,3016
686,1001,963,1000,1038,1039,1076,962,1002,1040,925
694,518,480,519,556,517,555,441,481,479,557
698,673,710,635,711,671,672,634,748,597,712
705,1266,1229,1304,1228,1227,2992,1265,1267,1342,1190
737,2027,2065,2104,2103,2066,1989,2102,2026,2142,2064
744,1010,972,971,1009,933,934,1048,973,1011,935
756,2289,2288,2251,2290,2979,2326,2327,2328,2287,2250
758,1442,1403,1404,1441,1480,1479,1365,1366,1518,1405
767,1127,1164,1089,1126,1165,2977,1088,1202,1125,1204
791,1138,1176,1099,1137,1100,1061,1139,1175,3014,1214
795,934,897,972,896,935,933,973,859,895,1010
798,1442,1403,1404,1441,1480,1479,1365,1366,1518,1405
803,814,852,815,813,776,851,737,853,777,775
810,1612,1650,1574,3020,1575,1613,1611,1573,1536,1537
812,294,257,293,255,332,295,259,330,292,217
816,2667,2666,2629,2668,2628,2706,2630,2704,2665,2669
823,948,910,947,909,986,871,911,872,985,873
824,385,386,424,387,384,347,422,349,383,348
826,1148,1186,3007,1109,1185,1147,1110,1149,1224,2936
829,329,366,368,367,328,291,330,331,327,369
832,704,742,667,703,705,666,741,665,743,780
833,2372,2334,2335,2410,2333,2371,2373,2370,2296,2411
843,1213,1175,1214,1251,1252,1176,1290,1137,1212,1250
848,392,393,394,432,353,431,430,391,395,354
855,2097,2135,2096,2134,2174,2173,2059,2058,2136,2095
861,2364,2287,2326,2325,2365,2363,2288,2402,2286,2327
867,2989,1632,1555,1593,1594,2970,1631,2944,1670,2996
880,29,66,68,27,69,25,34,26,28,32
905,2391,2353,2392,2390,2315,2430,2428,2354,2352,2314
919,728,690,727,689,766,2987,691,729,653,726
923,817,779,818,816,855,856,854,780,778,741
934,1154,1116,1192,1115,1153,1117,1077,1191,1155,1078
937,1052,1090,1051,1013,1014,1089,1128,1053,975,1088
959,1115,1154,1153,1116,1077,1192,1191,1078,1152,1117
963,1123,1160,1122,1085,1161,1162,1198,1124,1084,1121
974,1150,1111,1188,1149,1112,1187,1113,1226,3007,1189
999,1004,1003,1042,965,1041,966,1005,1080,967,1043
1004,2293,2255,2294,2292,2332,2217,2331,2256,2295,2218
1020,870,908,871,832,831,833,869,909,907,946
1037,2403,2440,2441,2442,2993,2402,2365,2478,2401,2480
1044,605,644,567,606,682,607,642,643,569,3016
1048,1137,1175,1176,1174,1099,1213,1214,1212,1136,1138
1059,72,71,31,70,107,110,69,73,34,109
1065,745,783,784,782,707,746,744,2941,821,820
1072,1009,971,1010,1047,1048,1008,933,972,1046,970
1078,107,109,144,31,147,108,106,112,111,110
1082,749,788,787,786,748,750,711,825,826,3029
1112,2216,2178,2139,2177,2215,2179,2140,2254,2217,2141
1123,1403,1365,1441,1404,1442,1327,1402,1366,1479,1480
1143,1244,2994,1282,1206,1207,1245,1243,1283,1205,1281
1150,1202,1201,1164,1163,1240,1239,1125,1165,1278,1203
1152,682,643,2938,719,607,605,642,644,681,645
1161,1523,1485,1524,1562,1522,1560,1561,1447,1486,1448
1176,784,822,783,2941,821,785,745,860,823,746
1195,1160,1122,1123,1161,1085,1198,1121,1084,1083,1159
1200,2556,2517,2555,2554,2518,2557,2519,2594,2479,2592
1203,1239,1238,1276,1201,1277,1200,1278,1314,1163,1237
1209,1339,1377,1301,1378,1340,1338,1376,1414,1415,1416
1213,2428,2466,2389,2429,2390,2391,2430,2504,2427,2353
1231,147,111,108,146,109,145,112,186,144,149
1232,2935,378,339,340,263,341,376,379,377,416
1236,87,85,124,125,127,88,126,46,162,84
1244,2139,2177,2178,2138,2101,2176,2216,2215,2063,2102
1256,968,930,1006,969,931,1007,967,929,893,892
1260,1201,1163,1202,1164,1239,1240,1125,1200,1278,1238
1293,591,554,592,630,553,629,590,593,668,666
1295,985,947,986,948,1024,1023,909,910,984,1062
