,brk,zen,CG43394,exex,CG11208,cnc,dpn,toc,h,Ilp4
1079,1252,1290,1253,1214,1215,1328,1213,1291,1251,1289
1083,1687,1725,1724,1686,1649,1762,1726,1763,3020,1764
1095,1441,1403,1479,1480,1442,1478,1365,1404,1517,1440
1102,1266,1304,1265,2992,1227,1342,1303,1229,1228,1267
1103,1669,1631,1670,1707,1632,1668,1708,1593,1706,2956
1115,2062,2100,2023,2061,2024,2025,2101,2138,2063,2099
1118,1365,1403,1327,1402,1364,1441,1440,1404,1366,1326
1122,499,498,536,537,461,500,497,538,574,459
1124,2941,709,747,785,746,784,708,748,671,822
1135,739,778,777,740,701,776,816,741,702,738
1137,339,2935,378,263,376,338,301,377,340,337
1165,1159,1121,1158,1120,1197,1196,1083,1160,1198,1122
1193,1193,1231,1155,1194,1192,1232,1230,1270,3035,1154
1216,204,167,205,165,203,168,3012,206,166,169
1220,1048,1049,1011,1010,1086,1087,1009,1047,1050,973
1225,273,274,312,3010,311,272,237,236,235,275
1237,31,70,107,67,105,106,144,71,72,69
1240,1289,1251,1288,1326,1327,1290,1213,1250,1328,1252
1249,519,480,556,481,557,518,558,482,555,443
1250,719,758,2938,681,720,682,643,757,756,796
1252,1273,1311,1310,1272,1235,1348,1349,1350,1234,1274
1272,516,515,479,517,478,477,439,518,553,554
1277,67,70,104,69,29,105,27,31,64,72
1284,2796,2797,2836,2757,2835,2874,2758,2794,2795,2837
1285,1872,1910,1873,1835,1871,1834,1911,1948,1833,1909
1288,1077,1039,1078,1114,1115,1076,1116,1001,1040,1152
1290,1266,1304,1265,2992,1227,1342,1303,1229,1228,1267
1291,202,240,201,241,203,239,200,242,204,238
