,brk,zen,CG11208,croc,kni,danr,tkv,ftz,htl,ImpL2
538,915,952,914,953,2986,990,877,954,991,876
544,997,1034,1035,959,996,998,1036,1072,1073,958
553,786,748,747,749,824,785,787,788,709,711
556,482,520,445,481,521,3017,558,559,483,596
569,1240,1202,1201,1278,1239,1203,1241,1163,1164,1165
577,514,475,477,476,552,513,515,512,437,438
578,947,985,986,948,1024,909,1023,910,984,1062
581,359,397,396,434,435,358,398,436,433,395
594,678,716,639,640,641,679,677,602,676,603
597,981,943,980,3025,1019,982,905,1018,942,1020
601,985,1024,986,1023,947,948,1062,1061,909,984
637,377,414,375,376,413,378,415,452,416,453
641,985,1023,1024,947,1061,1022,1062,986,984,1060
659,177,216,252,178,179,215,254,214,139,217
660,163,164,161,162,3012,123,202,201,160,125
662,940,902,901,978,903,939,941,864,865,863
676,339,376,378,2935,338,263,377,301,337,375
681,1176,1137,1175,1138,1099,1214,1213,1174,1100,3014
685,2369,2368,2406,2367,2330,2407,2408,2331,2329,2366
690,1137,1176,1138,1099,1175,1100,1061,1214,1174,3014
722,976,975,1014,937,938,1013,977,939,974,1052
732,1138,1176,1137,1099,1100,1175,1061,1214,3014,1139
733,240,241,239,201,202,203,200,242,238,278
736,1017,1018,979,1055,1056,1016,980,1054,941,3025
740,1082,1081,1044,1043,1120,1119,1083,1045,1005,1006
741,52,17,54,15,51,2981,13,19,20,21
766,1115,1152,1153,1114,1190,1077,1151,1191,1116,1154
774,554,592,553,591,516,590,517,630,555,593
780,1099,1137,1061,1098,1136,1138,1174,1176,1175,1100
788,1214,1176,1252,1213,1175,3014,1215,1138,1137,1177
807,518,517,479,480,516,441,555,556,519,478
808,925,887,964,926,963,962,888,924,849,886
814,2345,2307,2308,2344,2346,2384,2383,2306,2269,2305
818,901,863,902,940,939,864,900,978,938,825
830,1153,1115,1190,1191,1152,1228,1154,1229,1192,1151
835,1072,1073,2936,1035,1034,1110,1112,1033,997,1074
853,2990,2286,2324,2248,2285,2325,2247,2249,2985,2287
854,515,477,552,516,514,553,476,439,478,517
860,947,985,986,948,1024,909,1023,910,984,1062
864,986,1024,985,948,947,1023,1062,987,1025,949
868,1153,1191,1115,1192,1154,1190,1230,1228,1152,1229
879,515,477,552,516,514,553,476,439,478,475
885,1176,1214,1175,1138,3014,1213,1137,1252,1215,1139
889,511,550,512,513,549,548,588,586,474,475
924,2404,2442,2405,2993,2443,3015,2367,2403,2441,2480
939,1023,1061,985,1062,1060,1024,1099,1022,1100,1098
943,2468,2467,2431,2930,2505,2506,2429,2542,2430,2469
944,1001,963,1039,1000,1038,1076,1002,1040,962,1077
945,1076,1114,1075,1038,1152,1077,1037,1039,1115,1113
956,972,1010,934,973,935,971,933,1011,1009,1048
1009,1574,1612,1573,1535,1536,1611,1650,1497,1575,1537
1015,1214,1252,1176,1215,1213,3014,1177,1175,1290,1253
1017,2941,747,709,785,746,784,748,708,786,671
1028,241,240,242,203,239,279,280,202,278,201
1030,378,416,2935,379,377,341,415,340,376,339
1032,414,453,452,490,415,413,377,492,451,375
1033,262,300,226,187,185,225,223,261,301,264
1036,378,2935,339,376,377,263,416,340,379,341
1039,832,833,870,794,795,757,793,871,831,756
1041,1019,981,3025,1057,1020,982,980,943,1058,1056
1045,356,357,394,319,355,358,393,354,320,396
1050,750,3029,751,713,788,826,752,789,712,749
1087,1085,1047,1086,1084,1123,1124,1122,1009,1048,1046
1097,975,974,1013,937,1012,1014,976,936,1051,938
1099,26,66,23,24,28,20,22,21,32,62
1104,971,970,1008,933,1009,1046,932,1010,972,895
1109,967,1004,966,1005,929,1042,1006,968,928,1003
1114,462,464,463,425,500,423,461,426,465,424
1120,985,984,947,1022,1023,946,1060,909,1024,986
1121,977,1015,1016,1054,978,1053,939,1014,976,1052
1125,31,70,107,71,72,110,69,109,67,106
1134,2995,327,326,365,328,364,289,404,366,325
1163,1137,1176,1138,1099,1175,1100,1061,1214,1174,3014
1169,1023,985,1061,1062,1024,1060,986,1022,1100,947
1178,1040,1002,1001,963,1039,964,1078,1003,1041,965
1187,2807,2846,2882,2809,2844,2848,2847,2805,2843,2884
1189,871,909,910,872,947,833,948,908,870,834
1190,795,757,758,796,833,834,832,756,720,794
1201,2057,2018,2056,2094,2019,2017,2095,1981,1980,2055
1205,202,164,163,201,203,3012,204,161,200,165
1219,1099,1061,1100,1138,1062,1137,1023,1098,1060,1176
1241,2152,2190,2153,2114,2151,2115,2154,2228,2113,2076
1251,871,833,870,908,832,909,872,795,910,831
1270,2153,2229,2228,2191,2190,2152,2154,2268,2227,2151
