,aay,apt,Btk29A,CG14427,D,eve,Ilp4,lok,odd,run
329,1116,1077,1078,1115,1154,1039,1153,1079,1114,1040
335,1995,1957,2032,2033,1996,1994,1956,1919,2070,1958
358,548,511,586,549,510,547,550,512,509,473
362,2729,2730,2692,2693,2691,2767,2768,2690,2728,2770
367,1916,1878,1954,1917,1915,1877,1879,1953,1839,1992
387,684,646,683,722,608,3016,645,570,721,760
396,1250,1212,1288,1251,1249,1211,1213,1173,1174,1175
415,2881,2882,2841,2843,2918,2845,2878,2807,2880,2805
422,590,553,552,589,591,554,551,514,515,629
441,1980,1979,2018,2017,1941,1981,1942,1978,2056,1943
442,806,844,767,769,807,805,768,843,845,882
452,1250,1212,1288,1251,1249,1211,1213,1173,1174,1175
465,177,178,139,140,214,252,179,216,141,101
476,2214,2252,2177,2176,2215,2253,2175,2213,2290,2138
478,967,929,1005,1004,966,1006,968,930,928,1042
484,1321,1283,1359,3004,1360,1322,1284,1245,1397,1282
500,973,1011,935,1012,974,972,1010,1050,936,897
525,3016,646,607,645,644,569,683,608,684,570
526,1361,1323,1399,1398,3008,1360,1322,1400,1362,1285
530,133,135,173,134,170,174,172,210,208,2973
539,384,2978,385,347,383,386,346,382,345,420
541,1904,1942,1905,1867,1866,1941,1943,1865,1980,1829
543,2820,2782,2781,2817,2783,2818,2819,2779,2745,2780
550,335,334,336,374,296,373,297,295,337,333
564,158,157,194,156,195,197,196,120,155,118
565,988,1026,950,987,949,912,1025,1064,911,1063
567,1026,1064,988,1025,987,1102,1063,950,949,1101
583,2674,2982,2675,2673,2712,2636,2710,2635,2637,2713
590,796,759,834,758,795,720,797,835,757,721
591,1100,1062,1063,1138,1101,1139,1024,1025,1061,1099
606,38,36,35,32,30,74,28,37,2937,34
612,770,808,733,769,771,846,731,807,809,732
628,950,912,988,949,911,874,987,1026,873,836
631,1670,1708,1669,1632,2956,2996,1707,1631,1746,2989
638,403,440,402,365,404,442,478,441,479,439
648,1077,1039,1115,1116,1078,1114,1076,1152,1153,1001
666,950,912,988,949,911,874,987,1026,873,836
691,835,873,797,834,872,874,836,796,759,911
728,1644,1682,1606,1645,1605,1607,1683,1643,1568,1569
738,830,792,868,829,831,793,791,869,755,753
748,1017,1055,979,1018,1016,1054,1056,1092,1093,941
799,1866,1904,1867,1829,1828,1865,1827,1942,1905,1791
800,1175,1213,1137,1176,1174,1212,1214,1251,1250,1099
802,1059,1021,1097,1098,1060,1058,1136,1096,1022,1135
811,949,987,911,950,988,986,948,912,1025,873
821,782,745,783,707,744,820,784,746,781,743
839,824,786,785,825,747,823,787,862,748,749
851,444,3017,405,443,406,442,407,481,367,445
858,379,341,416,380,417,378,418,415,2935,340
887,833,871,872,870,832,795,909,908,910,834
892,451,489,488,452,450,528,490,449,566,526
897,226,187,189,264,188,262,225,224,185,227
911,1039,1001,1077,1078,1076,1040,1038,1114,963,1002
915,2200,2162,2161,2950,3001,2163,2199,2238,2123,2085
925,1364,1326,1402,1363,1325,1327,1365,1288,1440,1287
928,2995,365,364,326,327,328,440,402,404,363
935,2316,2279,2278,2317,2315,2277,2241,2240,2354,2318
936,74,35,37,73,34,38,32,72,68,114
942,2540,2541,2501,2934,2539,2502,2578,2576,2503,2538
994,2094,2133,2056,2132,2057,2095,2055,2170,2018,2134
1002,72,69,71,70,34,31,73,68,110,29
1006,121,159,123,122,161,120,84,160,197,162
1014,888,926,850,889,849,887,851,812,927,925
1016,3011,419,3024,458,421,457,381,459,420,496
1021,388,389,350,426,349,427,387,351,390,428
1026,2735,2984,2659,2698,2658,2697,2696,2695,2734,2620
1051,422,421,460,383,423,459,3011,385,458,420
1068,319,356,318,320,281,317,355,357,358,282
1079,1139,1101,3014,1138,1178,1100,1177,1063,1140,1176
1083,921,959,960,998,922,997,883,958,1036,923
1095,950,988,949,987,912,911,1026,1025,873,874
1102,1152,1190,1151,1115,1114,1153,1228,1113,1189,1075
1103,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
1115,2332,2294,2331,2293,2333,2295,2255,2330,2370,2292
1118,187,226,224,185,262,188,189,2957,264,300
1122,1750,1712,1713,1788,1751,1675,1711,1674,1749,1789
1124,716,679,677,754,678,639,641,753,717,676
1135,805,804,842,843,767,766,806,844,803,880
1137,380,341,340,379,342,2935,303,418,416,378
1165,1097,1059,1135,1096,1134,1136,1058,1098,1021,1173
1193,1154,1116,1192,1115,1153,1117,1077,1191,1155,1078
1216,637,675,638,714,674,599,676,636,712,601
1220,785,2941,747,823,822,824,784,786,709,748
1225,896,934,858,859,857,897,895,933,972,935
1237,2847,2848,2884,2887,2807,2886,2882,2999,2849,2846
1240,3022,1870,1908,1832,1869,1907,1831,1793,1871,1833
1249,656,619,694,657,618,2965,655,620,617,693
1250,755,717,754,792,793,794,830,753,679,718
1252,387,349,424,388,386,425,426,385,350,348
1272,481,482,443,519,480,558,3017,520,557,518
1277,225,302,300,226,301,264,263,262,265,299
1284,2189,2151,2227,2190,2188,2226,2113,2150,2228,2265
1285,959,997,921,958,996,998,960,1034,1035,883
1288,709,671,747,2941,708,746,710,670,748,785
1290,1404,1442,1366,1403,1365,1480,1441,1405,1367,1327
1291,1995,1957,2032,2033,1996,1994,1956,1919,2070,1958
