,CG11208,zen,CG43394,brk,erm,twi,Traf4,hkb,h,Kr
796,768,767,769,730,806,731,729,770,807,805
804,832,833,795,757,794,756,870,871,793,758
805,1014,1052,1015,1053,977,976,1090,1013,975,1051
819,2187,2224,2186,2225,2262,2149,2185,2147,2148,2188
827,1123,1085,1122,1160,1084,1161,1124,1162,1086,1047
842,518,480,517,479,519,441,516,556,555,443
849,1733,1695,1771,1732,1734,1770,1772,1657,1694,1809
873,1001,963,1039,1000,1038,1002,1040,1076,962,964
876,2766,2765,2804,2764,2728,2806,2842,2767,2802,2803
882,1745,1707,1746,1783,1784,1708,1669,1744,1821,1822
884,124,125,85,87,162,84,126,123,127,83
895,186,146,111,2957,184,145,148,147,149,183
900,2755,2757,2794,2756,2792,2796,2793,2758,2719,2754
906,1214,1175,1176,1213,1137,1252,1138,1251,3014,1212
908,1345,1307,1346,1384,1383,1269,1344,1422,1306,1382
913,101,102,176,139,63,140,103,2973,214,175
914,514,552,477,515,475,553,476,513,516,589
920,411,410,373,448,3037,412,374,372,409,447
926,528,529,491,566,490,568,489,451,567,604
931,628,627,666,665,626,629,704,589,590,664
938,1619,1581,1657,1618,1656,1620,1658,1543,1580,1694
941,281,280,282,243,318,279,245,317,278,283
948,961,923,962,1000,924,885,999,925,963,960
951,2323,2285,2324,2362,2322,2361,2360,2284,2990,2325
952,1238,1200,1276,1239,1201,1237,1163,1277,1199,1162
953,492,454,455,530,453,491,415,490,568,493
955,62,25,21,23,60,27,19,66,61,100
985,901,939,863,938,900,940,902,978,976,977
989,161,121,160,123,159,163,162,198,200,164
1040,669,706,708,746,707,631,670,745,744,668
1046,701,738,739,776,700,663,777,737,699,702
1056,410,411,448,373,372,3037,409,447,412,374
1060,1057,1095,1094,1096,1019,1133,3025,1132,1056,1058
1074,1574,1612,1536,1575,1537,1650,1613,1573,1535,1499
1101,2985,2247,2209,2990,2172,2248,2210,2246,2285,2208
1105,1158,1196,1159,1121,1120,1197,1157,1119,1234,1195
1108,869,907,831,908,906,868,870,945,946,944
1111,1850,1813,1812,1888,1775,1851,2980,1889,1849,1811
1132,1113,1075,1151,1152,1114,1150,1112,1037,1190,1189
1158,107,31,109,71,110,70,144,112,2933,72
1160,1884,1845,1883,1807,1846,1922,1808,1882,1920,1847
1170,245,246,243,282,244,207,171,283,281,280
1171,669,631,706,593,630,668,708,632,670,707
1179,719,681,758,2938,757,720,643,682,756,680
1185,2181,2182,2143,2219,2180,2144,2220,2142,2105,2183
1188,565,527,566,564,640,604,603,526,489,602
1197,915,2986,914,952,953,877,954,990,916,991
1226,1192,1230,1191,1154,1193,1153,1268,1231,1155,3035
1227,2967,1280,1242,1241,1203,1279,1204,1243,1318,1281
1230,2097,2135,2096,2174,2136,2059,2058,2173,2134,2095
1245,467,468,429,430,504,505,506,431,2958,466
1263,3001,2239,2276,2163,2200,2238,2201,2162,2277,2275
1268,453,490,452,492,414,415,491,451,528,454
1273,948,986,947,910,985,909,1024,911,949,871
1274,2958,505,467,504,542,468,544,543,506,580
1287,1491,1529,3021,1530,1568,1492,1567,1453,1606,1528
