,aay,bmm,CG10479,cnc,disco,ftz,knrl,Nek2,odd,srp
533,438,399,400,476,437,401,475,436,361,477
562,1569,1531,1607,1606,1608,1568,1570,1530,1532,1645
572,599,636,600,638,637,561,674,598,601,562
593,2485,2523,2522,2484,2560,2447,2486,2598,2524,2445
620,1179,1141,1217,1180,1218,1255,1103,1142,1256,1219
680,379,341,416,380,417,378,418,415,2935,340
686,847,885,848,809,884,846,886,922,810,924
694,407,3017,483,406,408,445,369,446,444,371
698,1246,1208,1284,1247,1245,1209,2932,1207,1322,1171
705,2024,2023,2062,2061,2025,2100,1986,1985,2022,1947
737,1950,1988,1913,1912,1949,1951,1911,2971,2997,2026
744,1279,1317,1241,1316,2967,1280,1318,1354,1355,1278
756,2680,2681,2679,2717,2643,2642,2718,2641,2720,2716
758,1596,1634,1558,3030,1595,1672,1633,1520,1557,1519
767,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
791,1861,1823,1899,1898,1860,1900,1822,1862,1937,1785
795,1050,1088,1012,1011,1049,1051,1013,973,1126,1087
798,1251,1213,1289,1250,1288,1290,1326,1175,1252,1212
803,2450,2451,2412,2449,2413,2375,2488,2411,2452,2489
810,1075,1113,1037,1114,1074,1112,1076,1152,1151,1150
812,63,137,102,65,138,103,101,176,136,142
816,2869,2870,2866,2868,2871,2867,2872,2904,2833,2907
823,2124,2087,2048,2086,2950,2162,2049,2011,2126,2047
824,462,423,500,463,425,464,461,426,499,424
826,1411,1449,1373,3039,1450,1488,1412,2951,1487,1486
829,633,670,595,672,671,594,632,710,708,631
832,782,744,783,781,820,743,745,707,819,705
833,2044,2006,2082,2005,2043,2045,2007,1968,1967,2120
843,1668,1706,1630,1631,1667,1669,1629,1744,1593,1705
848,841,879,840,803,842,880,878,804,918,916
855,1449,1411,1487,1488,1486,3039,1448,1373,1450,1524
861,2485,2523,2522,2484,2560,2447,2486,2598,2524,2445
867,1630,1668,1592,1593,1629,1631,1591,2944,1667,1706
880,14,11,18,16,13,12,6,22,15,9
905,832,794,833,870,793,757,795,756,831,871
919,537,499,574,538,575,536,576,500,612,535
923,1090,1128,1052,1089,1051,2977,1053,1091,1013,1014
934,1682,1644,1720,1681,1683,1643,1605,1645,1606,1719
937,1315,1277,1353,1316,1354,1352,1314,1278,1391,1392
959,956,994,918,919,957,955,917,995,880,993
963,1533,1495,1571,1570,1572,1532,1534,1494,1457,1609
974,739,701,777,740,778,776,702,738,663,816
999,1683,1645,1720,1721,2952,1682,1644,1758,1684,1607
1004,1939,1977,1940,1978,2960,2016,2931,1901,2015,1903
1020,1604,1642,1566,1567,1565,1605,1603,1643,1529,1528
1037,2603,2642,2641,2604,2640,2602,2643,2565,2680,2678
1044,1290,1252,1213,1251,1289,1328,1214,1253,1175,1327
1048,1213,1175,1251,1214,1252,1290,1250,1212,1176,1289
1059,114,76,73,37,110,71,2933,74,75,72
1065,896,934,858,859,857,897,895,933,972,935
1072,2977,1166,1204,1165,1128,1127,1129,1242,1205,1203
1078,187,226,224,185,262,188,189,2957,264,300
1082,1130,1092,1168,1131,1093,1091,1129,1055,1054,1167
1112,2103,2142,2140,2104,2065,2141,2027,2102,2105,2066
1123,1214,1176,1252,3014,1215,1213,1177,1175,1290,1138
1143,359,397,358,396,321,360,434,398,357,435
1150,1049,1087,1011,1048,1050,1086,1088,1126,1124,1010
1152,1251,1213,1289,1250,1288,1290,1326,1175,1252,1212
1161,1903,1941,1940,1978,1902,1865,1904,1979,1942,1939
1176,1666,1704,1628,1627,1667,1665,1629,1703,1742,1705
1195,1237,1275,1199,1274,1238,1236,1276,1312,1161,1200
1200,2548,2549,2509,2586,2587,2510,2585,2433,2588,2511
1203,973,1011,935,1012,974,972,1010,1050,936,897
1209,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
1213,683,645,722,684,721,646,760,607,2938,3016
1231,74,35,37,73,34,38,32,72,68,114
1232,301,299,300,263,225,339,338,261,302,2935
1236,121,159,123,122,161,120,84,160,197,162
1244,768,730,769,731,767,729,806,693,770,692
1256,343,381,344,305,382,420,419,306,345,3024
1260,1243,1281,1205,1242,2994,1244,1280,1282,2967,1167
1293,698,2955,660,699,736,623,661,622,700,659
1295,1557,3030,2970,1594,1519,1595,1556,1481,1518,1596
