0,htl,sna,twi,brk,NetA,nub,zen,Doc3,eve,oc
293,927,961,963,964,965,966,967,1609,1647,1648
299,1009,1013,1015,1016,1045,1047,1048,1241,1240,1203
306,1359,1436,1169,1208,1009,1013,1015,1166,1204,2977
311,1483,1484,1485,1521,1522,1523,1560,1788,1826,1750
330,1671,1708,1709,1746,341,377,379,569,3016,606
342,2158,2386,2387,2424,2425,2462,2463,1744,1782,1745
351,153,155,156,193,195,312,158,657,695,694
361,158,197,133,170,210,211,212,397,359,398
385,2795,2834,2835,2838,2839,2875,737,584,583,622
398,1102,1025,1026,1064,1063,1101,1140,1139,1178,987
401,1168,1167,1131,1130,1169,1206,1093,1092,1129,1207
406,876,875,839,838,914,877,915,2986,952,913
421,1026,1102,1401,1402,1405,1406,1440,3014,1139,1138
436,1009,1013,1015,1016,1045,1047,1048,891,929,890
437,1199,1200,1237,1161,1236,1238,1198,1274,1275,1160
446,996,1032,1070,927,961,963,964,2325,2324,2362
459,1009,1013,1015,1016,1045,1047,1048,1244,1282,2994
464,2511,2547,2549,2550,2551,2588,2589,2439,2478,2477
467,1102,1140,1101,1063,1139,1064,1025,1100,1178,1062
471,1075,1037,1076,1114,1038,1113,1074,1152,999,1112
480,2476,2634,2474,2708,2746,2749,2786,889,888,851
488,1003,1041,1042,1071,1072,1073,1076,1225,1263,1262
519,339,263,301,2935,376,378,338,299,225,302
523,158,197,541,579,153,155,156,3031,236,3010
524,1141,1179,1370,1408,2512,1143,1103,2206,2244,2167
529,1417,1613,1427,1433,1434,1435,1464,1282,1320,1281
536,158,197,153,155,156,193,195,161,163,160
548,1671,1708,1709,1746,758,950,988,1555,2989,2944
551,1191,1153,1115,1190,1192,1228,1229,1230,1154,1268
561,2888,2919,2922,2968,2881,2911,2845,2835,2834,2795
570,2160,2161,2426,2427,2429,2431,2464,1253,2943,1215
579,763,801,800,838,839,802,764,876,725,840
584,158,197,120,121,122,123,157,359,358,321
588,1009,1013,1015,1016,1045,1047,1048,1204,1166,2977
602,1107,1145,1146,1147,1184,1043,1075,1186,1224,1148
604,927,961,963,964,965,966,967,1198,1160,1236
622,1102,1178,1139,1177,1140,3014,1216,1101,1215,1254
636,41,80,81,44,42,2827,2851,234,196,3031
652,310,347,384,387,422,424,425,804,766,2987
667,2479,2480,2481,2485,2517,2518,2519,740,778,739
688,2932,2963,1170,1133,1208,1132,1246,1171,1209,1095
695,927,961,963,964,965,966,967,1116,1078,1077
700,737,739,769,772,773,774,775,672,595,634
702,1362,1140,1026,1102,1401,1402,1405,1252,1290,1253
707,2479,2480,2481,2485,2517,2518,2519,2182,2181,2219
708,2873,2876,2878,100,138,19,54,121,122,123
709,1359,1436,1009,1013,1015,1016,1045,1170,1133,2932
710,1107,1145,1146,1147,1184,1413,1418,2062,2100,2025
718,310,347,384,387,422,424,425,573,535,574
719,598,559,520,521,560,596,558,482,561,522
730,1389,1429,1466,1043,1075,1077,1078,2028,2066,1990
731,759,835,836,873,874,797,796,834,798,760
751,1003,1041,1042,1071,1072,1073,1076,1200,1238,1161
762,751,790,332,371,290,330,331,479,441,518
763,2033,2035,2070,2071,2072,2073,2075,2155,2192,2193
765,2160,2161,2426,2427,2429,2431,2464,1935,1936,1973
782,1055,1017,1016,1015,1092,1054,1130,1093,1091,1053
784,1108,1222,1221,1258,1259,1297,1065,1110,1072,1071
785,417,454,418,415,456,455,494,493,492,530
797,1779,1671,1708,1709,1746,1627,2198,911,948,949
836,1179,1217,1255,1256,1218,1293,1294,1180,1219,1332
837,2686,2687,2724,2762,2796,2798,2799,1049,1050,1048
875,1026,1102,1140,1021,1022,1023,1024,1253,2943,1215
888,1079,1155,1117,1156,1154,1193,1194,1192,1118,1116
894,37,74,114,76,73,110,71,2933,72,75
903,1246,1474,1169,1208,1511,2962,2497,1282,1281,1244
912,1009,1013,1015,1016,1045,1047,1048,1697,1736,1659
917,607,645,646,683,3016,644,569,682,2938,605
921,1417,1613,1043,1075,1077,1078,1079,1269,1270,1231
922,120,197,121,122,157,158,123,159,196,84
957,927,961,963,964,965,966,967,886,887,924
988,165,167,166,3012,204,164,203,202,163,201
1003,1370,1333,1408,1332,1331,1293,1294,1369,1255,1256
1038,1169,1208,1165,1166,1167,1168,1197,2115,2077,2076
1042,1026,1102,1025,1063,1064,987,1101,988,1024,949
1047,2727,2764,2801,2803,2725,2763,2802,1038,1001,1000
1052,1257,1143,1141,1179,1065,1104,1217,1297,1335,1336
1053,758,950,988,1026,1102,835,836,1478,1479,1516
1057,1141,1065,1104,1103,1066,1142,1027,1067,1028,1105
1069,445,481,482,484,520,521,522,661,623,624
1088,1043,1081,1080,1082,1044,1005,1120,1119,1006,1042
1091,1471,1472,1502,1503,1504,1539,1576,1321,1283,3004
1096,1026,1102,758,950,988,1140,835,1405,1367,1443
1116,1009,1013,1015,1016,1045,1047,1048,1123,1160,1161
1136,120,121,122,123,157,159,160,325,287,286
1145,1009,1013,1015,1016,1045,1047,1048,1281,1243,1280
1155,1140,1026,1102,835,836,873,874,1442,1480,1443
1168,737,739,769,772,773,774,775,511,512,548
1183,120,121,122,123,157,159,160,248,209,284
1191,2160,2161,2426,2427,2429,2431,2464,1708,1746,1670
1215,415,454,455,417,456,492,530,418,493,494
1217,310,347,384,387,422,424,425,726,687,764
1218,341,377,379,413,414,415,416,264,226,189
1239,1520,1558,1441,1443,1477,1478,1480,1364,1402,1326
1271,1140,1026,1102,835,836,873,874,1252,1290,1213
1281,1389,1429,1466,1427,1433,1434,1435,1659,1621,1697
1283,607,645,646,683,684,719,720,797,798,836
