0,htl,sna,twi,brk,NetA,nub,zen,Doc3,eve,oc
279,2569,2608,2609,2487,1165,1166,1167,930,893,892
285,1026,1102,1140,758,950,988,2697,1327,1328,1289
302,1413,1418,1421,2141,2179,2180,2181,1607,1569,1645
305,1437,1476,1438,1514,1477,1439,1401,1399,1400,1515
326,993,996,1032,1070,989,991,992,2212,2137,2174
348,758,950,988,2160,2161,2426,2427,1481,1519,1518
373,1045,1082,1120,1044,1083,1081,1043,1121,1119,1007
383,1009,1047,1048,1045,1046,1008,971,1084,1010,970
384,1026,950,987,1025,988,949,1063,1064,1024,986
411,1043,1075,1077,1078,1079,1080,1081,1912,2971,1950
414,1671,1708,1709,1746,1026,1102,1444,2943,3038,1215
418,2182,2181,2219,2143,2180,2256,2218,2142,2220,2258
455,120,121,122,123,157,159,160,324,285,323
462,136,61,99,137,138,100,292,2976,10,7
494,1103,1105,1106,1142,1144,1180,1181,1260,1222,1223
496,752,714,789,751,713,715,790,675,750,3029
515,2244,2282,2207,2167,2206,2205,2243,2129,2168,2245
542,1179,1256,1218,1217,1294,1255,1219,1180,1257,1293
546,2182,2293,1459,1460,1495,1533,1003,1273,1311,1312
547,158,197,153,155,156,193,195,353,392,393
555,1417,1613,1043,1075,1077,1078,1079,1200,1238,1162
571,36,38,28,2937,33,30,16,22,3019,24
608,2828,2795,2834,2835,2838,2839,2875,2861,2860,2862
614,2567,2605,2606,2607,2648,2521,2523,1315,1277,1314
624,981,1665,1703,1741,1627,1171,1209,715,753,790
644,1055,1017,1093,1092,1130,1131,1054,1132,1056,1168
649,758,950,988,2160,2161,2426,2427,1519,1557,1481
653,2199,2200,2201,2236,2237,2238,2239,1214,1176,1213
654,179,254,216,177,178,252,215,139,217,214
657,1026,1102,758,950,988,1401,1402,1291,1329,1253
665,1043,1075,1077,1078,1079,1080,1081,1197,1235,1234
672,1021,1022,1023,1024,1025,1059,1060,1137,1175,1174
714,138,28,32,34,35,36,37,27,29,104
716,646,645,607,683,684,3016,608,644,2938,569
739,229,267,268,269,270,305,306,535,574,573
745,41,117,614,44,115,80,81,232,270,233
746,292,215,253,293,126,84,124,94,92,93
749,3002,835,836,873,874,912,759,1708,2956,1746
750,758,950,988,1671,1708,1709,1746,1442,1404,1480
752,1043,1075,1077,1078,1079,1080,1081,1083,1045,1082
757,835,836,873,874,912,758,950,1176,1214,3014
761,758,950,988,1671,1708,1709,1746,1327,1365,1289
768,865,900,901,902,903,929,930,1055,1056,1017
773,1024,948,911,986,949,910,873,987,947,872
790,1015,1016,977,978,1054,939,1053,976,1014,1052
801,1017,1055,1009,1013,1015,1016,1045,1120,1158,1119
809,1026,1102,1671,1708,1709,1746,1401,1519,1557,1481
813,1103,1105,1106,1142,1144,1180,1181,1683,1645,2952
845,1445,2182,2293,1450,993,996,1032,2175,2176,2137
857,1138,1139,1214,1176,3014,1252,1215,1177,1213,1175
862,1141,1179,1180,1142,1103,1218,1104,1217,1143,1065
865,458,459,3011,421,419,381,420,3024,383,460
877,454,417,415,418,455,456,492,494,493,530
878,1257,1065,1104,1217,1219,1255,1256,1145,1107,1184
881,2479,2480,2481,2485,2517,2518,2519,778,741,779
886,2160,2161,2426,2427,2429,2431,2464,1291,1253,1329
891,1009,1013,1015,1016,1045,1047,1048,899,861,900
909,2888,2919,2922,2968,2881,2911,2879,2810,2772,2771
927,1043,1075,1077,1078,1079,1080,1081,1304,1342,1266
930,28,32,34,35,36,37,38,112,2933,150
946,873,950,949,911,987,986,948,910,1024,1025
958,1140,1026,1102,835,836,873,874,986,1024,948
965,2198,1438,2160,2161,2426,2427,2429,3027,1973,1972
970,2439,2475,2477,2478,2513,2514,2515,803,2987,804
977,1671,1708,1709,1746,2160,2161,2426,1935,1936,1974
979,1746,1708,1745,1707,1784,1783,1669,1821,1822,1744
981,1454,1455,1379,1416,1378,1417,1341,1340,1377,1415
987,382,383,384,420,385,2978,421,422,424,347
995,1016,1015,978,979,940,941,977,1017,1054,939
1010,685,687,723,724,725,762,951,496,497,534
1013,1193,1231,1230,3035,1192,1270,1232,1268,1269,1155
1018,1003,1041,1042,1071,1072,1073,1076,1379,1380,1418
1035,1405,1406,1367,1329,1368,1291,1330,1366,1292,1404
1054,1708,1632,1631,1746,1670,2956,2996,1669,1707,2989
1064,2472,2510,1143,2511,2547,2549,2550,1033,1071,1032
1075,1043,1075,1077,1078,1079,1080,1081,1307,1345,1269
1077,949,948,988,950,1026,987,986,1025,911,1024
1084,979,940,903,941,902,978,865,942,901,864
1098,1026,1102,1401,1402,1405,1406,1440,1252,1214,1290
1106,1197,1158,1196,1159,1157,1120,1121,1234,1119,1195
1117,120,121,122,123,157,159,160,281,280,282
1130,120,121,122,123,157,159,160,481,482,443
1162,1026,1102,1140,1401,1402,1405,1406,1177,3014,1215
1175,1520,1558,835,836,873,874,912,2970,1594,2989
1177,1671,1708,1709,1746,1026,1102,1520,1631,1669,1593
1198,1425,1431,1468,1995,2003,2034,2036,1578,1539,1577
1206,2765,2842,2809,2846,2999,2727,2764,2834,2833,2795
1210,1445,1449,1487,1488,1525,1526,1334,1068,1067,1029
1221,1026,1102,1399,1140,1021,1022,1023,873,911,910
1228,2160,2161,2426,2427,2429,2431,2464,1669,1631,1670
1253,1043,1075,1077,1078,1079,1080,1081,998,960,959
1254,158,197,541,579,120,121,122,85,83,47
1265,607,645,646,683,684,719,720,910,872,871
1292,737,739,769,772,773,774,775,2561,2562,2598
1294,2693,2695,2733,2734,2736,2770,2691,1481,1519,1557
