"ADMP"	"APLNRB"	"AXIN2"	"BAMBIA"	"BMP2B"	"BMP4"	"BMP7A"	"CDX4"	"CHD"	"CST3"	"EVE1"	"FGF8A"	"FOXB1A"	"FOXD3"	"FOXD5"	"FOXI1"	"GATA2A"	"GATA5"	"GSC"	"HER1"	"HES6"	"ID3"	"ISM1"	"LHX1A"	"LFT1"	"LFT2"	"MIXL1"	"NDR1"	"NDR2"	"NOG1"	"NOTO"	"OSR1"	"OTX1A"	"OTX1B"	"SEBOX"	"SNAI1A"	"SOX3"	"SP5L"	"SZL"	"TA"	"TBX16"	"TPH1B"	"VED"	"VENT"	"VOX"	"WNT8A"	"WNT11"
0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0
0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0
0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0
0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1
0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0
1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1
1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1
1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0
1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1
1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1
1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1
