"","Ilp4","CG8147","tsh","fkh","dan","ImpE2","apt","knrl","Cyp310a1","CG43394"
"1203","975","937","1205","973","1315","1316","1279","976","936","974"
"1209","1504","1205","1167","1201","1229","1230","1270","1231","1190","1458"
"1213","683","760","719","720","794","721","757","2938","645","988"
"1231","379","341","454","417","145","494","380","74","456","455"
"1232","340","2935","263","415","416","301","414","339","342","378"
"1236","208","437","438","206","168","205","201","365","134","238"
"1244","2030","2068","2067","2070","1685","2022","2104","2027","2219","2024"
"1256","422","384","2978","382","424","343","462","420","497","460"
"1260","1237","1274","1235","2967","1239","1125","1238","1241","1202","1203"
"1293","896","934","898","824","891","784","741","929","703","862"
"1295","1520","3030","1557","1558","874","1213","1824","1823","1672","2956"
"131","","","","","","","","","",""
"132","","","","","","","","","",""
"133","","","","","","","","","",""
"134","","","","","","","","","",""
"135","","","","","","","","","",""
"136","","","","","","","","","",""
"137","","","","","","","","","",""
"138","","","","","","","","","",""
"139","","","","","","","","","",""
"140","","","","","","","","","",""
"141","","","","","","","","","",""
"142","","","","","","","","","",""
"143","","","","","","","","","",""
"144","","","","","","","","","",""
"145","","","","","","","","","",""
"146","","","","","","","","","",""
"147","","","","","","","","","",""
"148","","","","","","","","","",""
"149","","","","","","","","","",""
"150","","","","","","","","","",""
"151","","","","","","","","","",""
"152","","","","","","","","","",""
"153","","","","","","","","","",""
"154","","","","","","","","","",""
"155","","","","","","","","","",""
"156","","","","","","","","","",""
"157","","","","","","","","","",""
"158","","","","","","","","","",""
"159","","","","","","","","","",""
"160","","","","","","","","","",""
"161","","","","","","","","","",""
"162","","","","","","","","","",""
"163","","","","","","","","","",""
"164","","","","","","","","","",""
"165","","","","","","","","","",""
"166","","","","","","","","","",""
"167","","","","","","","","","",""
"168","","","","","","","","","",""
"169","","","","","","","","","",""
"170","","","","","","","","","",""
"171","","","","","","","","","",""
"172","","","","","","","","","",""
"173","","","","","","","","","",""
"174","","","","","","","","","",""
"175","","","","","","","","","",""
"176","","","","","","","","","",""
"177","","","","","","","","","",""
"178","","","","","","","","","",""
"179","","","","","","","","","",""
"180","","","","","","","","","",""
"181","","","","","","","","","",""
"182","","","","","","","","","",""
"183","","","","","","","","","",""
"184","","","","","","","","","",""
"185","","","","","","","","","",""
"186","","","","","","","","","",""
"187","","","","","","","","","",""
"188","","","","","","","","","",""
"189","","","","","","","","","",""
"190","","","","","","","","","",""
"191","","","","","","","","","",""
"192","","","","","","","","","",""
"193","","","","","","","","","",""
"194","","","","","","","","","",""
"195","","","","","","","","","",""
"196","","","","","","","","","",""
"197","","","","","","","","","",""
"198","","","","","","","","","",""
"199","","","","","","","","","",""
"200","","","","","","","","","",""
"201","","","","","","","","","",""
"202","","","","","","","","","",""
"203","","","","","","","","","",""
"204","","","","","","","","","",""
"205","","","","","","","","","",""
"206","","","","","","","","","",""
"207","","","","","","","","","",""
"208","","","","","","","","","",""
"209","","","","","","","","","",""
"210","","","","","","","","","",""
"211","","","","","","","","","",""
"212","","","","","","","","","",""
"213","","","","","","","","","",""
"214","","","","","","","","","",""
"215","","","","","","","","","",""
"216","","","","","","","","","",""
"217","","","","","","","","","",""
"218","","","","","","","","","",""
"219","","","","","","","","","",""
"220","","","","","","","","","",""
"221","","","","","","","","","",""
"222","","","","","","","","","",""
"223","","","","","","","","","",""
"224","","","","","","","","","",""
"225","","","","","","","","","",""
"226","","","","","","","","","",""
"227","","","","","","","","","",""
"228","","","","","","","","","",""
"229","","","","","","","","","",""
"230","","","","","","","","","",""
"231","","","","","","","","","",""
"232","","","","","","","","","",""
"233","","","","","","","","","",""
"234","","","","","","","","","",""
"235","","","","","","","","","",""
"236","","","","","","","","","",""
"237","","","","","","","","","",""
"238","","","","","","","","","",""
"239","","","","","","","","","",""
"240","","","","","","","","","",""
"241","","","","","","","","","",""
"242","","","","","","","","","",""
"243","","","","","","","","","",""
"244","","","","","","","","","",""
"245","","","","","","","","","",""
"246","","","","","","","","","",""
"247","","","","","","","","","",""
"248","","","","","","","","","",""
"249","","","","","","","","","",""
"250","","","","","","","","","",""
"251","","","","","","","","","",""
"252","","","","","","","","","",""
"253","","","","","","","","","",""
"254","","","","","","","","","",""
"255","","","","","","","","","",""
"256","","","","","","","","","",""
"257","","","","","","","","","",""
"258","","","","","","","","","",""
"259","","","","","","","","","",""
"260","","","","","","","","","",""
"261","","","","","","","","","",""
"262","","","","","","","","","",""
"263","","","","","","","","","",""
"264","","","","","","","","","",""
"265","","","","","","","","","",""
"266","","","","","","","","","",""
"267","","","","","","","","","",""
"268","","","","","","","","","",""
"269","","","","","","","","","",""
"270","","","","","","","","","",""
"271","","","","","","","","","",""
"272","","","","","","","","","",""
"273","","","","","","","","","",""
"274","","","","","","","","","",""
"275","","","","","","","","","",""
"276","","","","","","","","","",""
"277","","","","","","","","","",""
"278","","","","","","","","","",""
"279","","","","","","","","","",""
"280","","","","","","","","","",""
"281","","","","","","","","","",""
"282","","","","","","","","","",""
"283","","","","","","","","","",""
"284","","","","","","","","","",""
"285","","","","","","","","","",""
"286","","","","","","","","","",""
"287","","","","","","","","","",""
"288","","","","","","","","","",""
"289","","","","","","","","","",""
"290","","","","","","","","","",""
"291","","","","","","","","","",""
"292","","","","","","","","","",""
"293","","","","","","","","","",""
"294","","","","","","","","","",""
"295","","","","","","","","","",""
"296","","","","","","","","","",""
"297","","","","","","","","","",""
"298","","","","","","","","","",""
"299","","","","","","","","","",""
"300","","","","","","","","","",""
"301","","","","","","","","","",""
"302","","","","","","","","","",""
"303","","","","","","","","","",""
"304","","","","","","","","","",""
"305","","","","","","","","","",""
"306","","","","","","","","","",""
"307","","","","","","","","","",""
"308","","","","","","","","","",""
"309","","","","","","","","","",""
"310","","","","","","","","","",""
"311","","","","","","","","","",""
"312","","","","","","","","","",""
"313","","","","","","","","","",""
"314","","","","","","","","","",""
"315","","","","","","","","","",""
"316","","","","","","","","","",""
"317","","","","","","","","","",""
"318","","","","","","","","","",""
"319","","","","","","","","","",""
"320","","","","","","","","","",""
"321","","","","","","","","","",""
"322","","","","","","","","","",""
"323","","","","","","","","","",""
"324","","","","","","","","","",""
"325","","","","","","","","","",""
"326","","","","","","","","","",""
"327","","","","","","","","","",""
"328","","","","","","","","","",""
"329","","","","","","","","","",""
"330","","","","","","","","","",""
"331","","","","","","","","","",""
"332","","","","","","","","","",""
"333","","","","","","","","","",""
"334","","","","","","","","","",""
"335","","","","","","","","","",""
"336","","","","","","","","","",""
"337","","","","","","","","","",""
"338","","","","","","","","","",""
"339","","","","","","","","","",""
"340","","","","","","","","","",""
"341","","","","","","","","","",""
"342","","","","","","","","","",""
"343","","","","","","","","","",""
"344","","","","","","","","","",""
"345","","","","","","","","","",""
"346","","","","","","","","","",""
"347","","","","","","","","","",""
"348","","","","","","","","","",""
"349","","","","","","","","","",""
"350","","","","","","","","","",""
"351","","","","","","","","","",""
"352","","","","","","","","","",""
"353","","","","","","","","","",""
"354","","","","","","","","","",""
"355","","","","","","","","","",""
"356","","","","","","","","","",""
"357","","","","","","","","","",""
"358","","","","","","","","","",""
"359","","","","","","","","","",""
"360","","","","","","","","","",""
"361","","","","","","","","","",""
"362","","","","","","","","","",""
"363","","","","","","","","","",""
"364","","","","","","","","","",""
"365","","","","","","","","","",""
"366","","","","","","","","","",""
"367","","","","","","","","","",""
"368","","","","","","","","","",""
"369","","","","","","","","","",""
"370","","","","","","","","","",""
"371","","","","","","","","","",""
"372","","","","","","","","","",""
"373","","","","","","","","","",""
"374","","","","","","","","","",""
"375","","","","","","","","","",""
"376","","","","","","","","","",""
"377","","","","","","","","","",""
"378","","","","","","","","","",""
"379","","","","","","","","","",""
"380","","","","","","","","","",""
"381","","","","","","","","","",""
"382","","","","","","","","","",""
"383","","","","","","","","","",""
"384","","","","","","","","","",""
"385","","","","","","","","","",""
"386","","","","","","","","","",""
"387","","","","","","","","","",""
"388","","","","","","","","","",""
"389","","","","","","","","","",""
"390","","","","","","","","","",""
"391","","","","","","","","","",""
"392","","","","","","","","","",""
"393","","","","","","","","","",""
"394","","","","","","","","","",""
"395","","","","","","","","","",""
"396","","","","","","","","","",""
"397","","","","","","","","","",""
"398","","","","","","","","","",""
"399","","","","","","","","","",""
"400","","","","","","","","","",""
"401","","","","","","","","","",""
"402","","","","","","","","","",""
"403","","","","","","","","","",""
"404","","","","","","","","","",""
"405","","","","","","","","","",""
"406","","","","","","","","","",""
"407","","","","","","","","","",""
"408","","","","","","","","","",""
"409","","","","","","","","","",""
"410","","","","","","","","","",""
"411","","","","","","","","","",""
"412","","","","","","","","","",""
"413","","","","","","","","","",""
"414","","","","","","","","","",""
"415","","","","","","","","","",""
"416","","","","","","","","","",""
"417","","","","","","","","","",""
"418","","","","","","","","","",""
"419","","","","","","","","","",""
"420","","","","","","","","","",""
"421","","","","","","","","","",""
"422","","","","","","","","","",""
"423","","","","","","","","","",""
"424","","","","","","","","","",""
"425","","","","","","","","","",""
"426","","","","","","","","","",""
"427","","","","","","","","","",""
"428","","","","","","","","","",""
"429","","","","","","","","","",""
"430","","","","","","","","","",""
"431","","","","","","","","","",""
"432","","","","","","","","","",""
"433","","","","","","","","","",""
"434","","","","","","","","","",""
"435","","","","","","","","","",""
"436","","","","","","","","","",""
"437","","","","","","","","","",""
"438","","","","","","","","","",""
"439","","","","","","","","","",""
"440","","","","","","","","","",""
"441","","","","","","","","","",""
"442","","","","","","","","","",""
"443","","","","","","","","","",""
"444","","","","","","","","","",""
"445","","","","","","","","","",""
"446","","","","","","","","","",""
"447","","","","","","","","","",""
"448","","","","","","","","","",""
"449","","","","","","","","","",""
"450","","","","","","","","","",""
"451","","","","","","","","","",""
"452","","","","","","","","","",""
"453","","","","","","","","","",""
"454","","","","","","","","","",""
"455","","","","","","","","","",""
"456","","","","","","","","","",""
"457","","","","","","","","","",""
"458","","","","","","","","","",""
"459","","","","","","","","","",""
"460","","","","","","","","","",""
"461","","","","","","","","","",""
"462","","","","","","","","","",""
"463","","","","","","","","","",""
"464","","","","","","","","","",""
"465","","","","","","","","","",""
"466","","","","","","","","","",""
"467","","","","","","","","","",""
"468","","","","","","","","","",""
"469","","","","","","","","","",""
"470","","","","","","","","","",""
"471","","","","","","","","","",""
"472","","","","","","","","","",""
"473","","","","","","","","","",""
"474","","","","","","","","","",""
"475","","","","","","","","","",""
"476","","","","","","","","","",""
"477","","","","","","","","","",""
"478","","","","","","","","","",""
"479","","","","","","","","","",""
"480","","","","","","","","","",""
"481","","","","","","","","","",""
"482","","","","","","","","","",""
"483","","","","","","","","","",""
"484","","","","","","","","","",""
"485","","","","","","","","","",""
"486","","","","","","","","","",""
"487","","","","","","","","","",""
"488","","","","","","","","","",""
"489","","","","","","","","","",""
"490","","","","","","","","","",""
"491","","","","","","","","","",""
"492","","","","","","","","","",""
"493","","","","","","","","","",""
"494","","","","","","","","","",""
"495","","","","","","","","","",""
"496","","","","","","","","","",""
"497","","","","","","","","","",""
"498","","","","","","","","","",""
"499","","","","","","","","","",""
"500","","","","","","","","","",""
"501","","","","","","","","","",""
"502","","","","","","","","","",""
"503","","","","","","","","","",""
"504","","","","","","","","","",""
"505","","","","","","","","","",""
"506","","","","","","","","","",""
"507","","","","","","","","","",""
"508","","","","","","","","","",""
"509","","","","","","","","","",""
"510","","","","","","","","","",""
"511","","","","","","","","","",""
"512","","","","","","","","","",""
"513","","","","","","","","","",""
"514","","","","","","","","","",""
"515","","","","","","","","","",""
"516","","","","","","","","","",""
"517","","","","","","","","","",""
"518","","","","","","","","","",""
"519","","","","","","","","","",""
"520","","","","","","","","","",""
"521","","","","","","","","","",""
"522","","","","","","","","","",""
"523","","","","","","","","","",""
"524","","","","","","","","","",""
"525","","","","","","","","","",""
"526","","","","","","","","","",""
"527","","","","","","","","","",""
"528","","","","","","","","","",""
"529","","","","","","","","","",""
"530","","","","","","","","","",""
"531","","","","","","","","","",""
"532","","","","","","","","","",""
"533","","","","","","","","","",""
"534","","","","","","","","","",""
"535","","","","","","","","","",""
"536","","","","","","","","","",""
"537","","","","","","","","","",""
"538","","","","","","","","","",""
"539","","","","","","","","","",""
"540","","","","","","","","","",""
"541","","","","","","","","","",""
"542","","","","","","","","","",""
"543","","","","","","","","","",""
"544","","","","","","","","","",""
"545","","","","","","","","","",""
"546","","","","","","","","","",""
"547","","","","","","","","","",""
"548","","","","","","","","","",""
"549","","","","","","","","","",""
"550","","","","","","","","","",""
"551","","","","","","","","","",""
"552","","","","","","","","","",""
"553","","","","","","","","","",""
"554","","","","","","","","","",""
"555","","","","","","","","","",""
"556","","","","","","","","","",""
"557","","","","","","","","","",""
"558","","","","","","","","","",""
"559","","","","","","","","","",""
"560","","","","","","","","","",""
"561","","","","","","","","","",""
"562","","","","","","","","","",""
"563","","","","","","","","","",""
"564","","","","","","","","","",""
"565","","","","","","","","","",""
"566","","","","","","","","","",""
"567","","","","","","","","","",""
"568","","","","","","","","","",""
"569","","","","","","","","","",""
"570","","","","","","","","","",""
"571","","","","","","","","","",""
"572","","","","","","","","","",""
"573","","","","","","","","","",""
"574","","","","","","","","","",""
"575","","","","","","","","","",""
"576","","","","","","","","","",""
"577","","","","","","","","","",""
"578","","","","","","","","","",""
"579","","","","","","","","","",""
"580","","","","","","","","","",""
"581","","","","","","","","","",""
"582","","","","","","","","","",""
"583","","","","","","","","","",""
"584","","","","","","","","","",""
"585","","","","","","","","","",""
"586","","","","","","","","","",""
"587","","","","","","","","","",""
"588","","","","","","","","","",""
"589","","","","","","","","","",""
"590","","","","","","","","","",""
"591","","","","","","","","","",""
"592","","","","","","","","","",""
"593","","","","","","","","","",""
"594","","","","","","","","","",""
"595","","","","","","","","","",""
"596","","","","","","","","","",""
"597","","","","","","","","","",""
"598","","","","","","","","","",""
"599","","","","","","","","","",""
"600","","","","","","","","","",""
"601","","","","","","","","","",""
"602","","","","","","","","","",""
"603","","","","","","","","","",""
"604","","","","","","","","","",""
"605","","","","","","","","","",""
"606","","","","","","","","","",""
"607","","","","","","","","","",""
"608","","","","","","","","","",""
"609","","","","","","","","","",""
"610","","","","","","","","","",""
"611","","","","","","","","","",""
"612","","","","","","","","","",""
"613","","","","","","","","","",""
"614","","","","","","","","","",""
"615","","","","","","","","","",""
"616","","","","","","","","","",""
"617","","","","","","","","","",""
"618","","","","","","","","","",""
"619","","","","","","","","","",""
"620","","","","","","","","","",""
"621","","","","","","","","","",""
"622","","","","","","","","","",""
"623","","","","","","","","","",""
"624","","","","","","","","","",""
"625","","","","","","","","","",""
"626","","","","","","","","","",""
"627","","","","","","","","","",""
"628","","","","","","","","","",""
"629","","","","","","","","","",""
"630","","","","","","","","","",""
"631","","","","","","","","","",""
"632","","","","","","","","","",""
"633","","","","","","","","","",""
"634","","","","","","","","","",""
"635","","","","","","","","","",""
"636","","","","","","","","","",""
"637","","","","","","","","","",""
"638","","","","","","","","","",""
"639","","","","","","","","","",""
"640","","","","","","","","","",""
"641","","","","","","","","","",""
"642","","","","","","","","","",""
"643","","","","","","","","","",""
"644","","","","","","","","","",""
"645","","","","","","","","","",""
"646","","","","","","","","","",""
"647","","","","","","","","","",""
"648","","","","","","","","","",""
"649","","","","","","","","","",""
"650","","","","","","","","","",""
"651","","","","","","","","","",""
"652","","","","","","","","","",""
"653","","","","","","","","","",""
"654","","","","","","","","","",""
"655","","","","","","","","","",""
"656","","","","","","","","","",""
"657","","","","","","","","","",""
"658","","","","","","","","","",""
"659","","","","","","","","","",""
"660","","","","","","","","","",""
"661","","","","","","","","","",""
"662","","","","","","","","","",""
"663","","","","","","","","","",""
"664","","","","","","","","","",""
"665","","","","","","","","","",""
"666","","","","","","","","","",""
"667","","","","","","","","","",""
"668","","","","","","","","","",""
"669","","","","","","","","","",""
"670","","","","","","","","","",""
"671","","","","","","","","","",""
"672","","","","","","","","","",""
"673","","","","","","","","","",""
"674","","","","","","","","","",""
"675","","","","","","","","","",""
"676","","","","","","","","","",""
"677","","","","","","","","","",""
"678","","","","","","","","","",""
"679","","","","","","","","","",""
"680","","","","","","","","","",""
"681","","","","","","","","","",""
"682","","","","","","","","","",""
"683","","","","","","","","","",""
"684","","","","","","","","","",""
"685","","","","","","","","","",""
"686","","","","","","","","","",""
"687","","","","","","","","","",""
"688","","","","","","","","","",""
"689","","","","","","","","","",""
"690","","","","","","","","","",""
"691","","","","","","","","","",""
"692","","","","","","","","","",""
"693","","","","","","","","","",""
"694","","","","","","","","","",""
"695","","","","","","","","","",""
"696","","","","","","","","","",""
"697","","","","","","","","","",""
"698","","","","","","","","","",""
"699","","","","","","","","","",""
"700","","","","","","","","","",""
"701","","","","","","","","","",""
"702","","","","","","","","","",""
"703","","","","","","","","","",""
"704","","","","","","","","","",""
"705","","","","","","","","","",""
"706","","","","","","","","","",""
"707","","","","","","","","","",""
"708","","","","","","","","","",""
"709","","","","","","","","","",""
"710","","","","","","","","","",""
"711","","","","","","","","","",""
"712","","","","","","","","","",""
"713","","","","","","","","","",""
"714","","","","","","","","","",""
"715","","","","","","","","","",""
"716","","","","","","","","","",""
"717","","","","","","","","","",""
"718","","","","","","","","","",""
"719","","","","","","","","","",""
"720","","","","","","","","","",""
"721","","","","","","","","","",""
"722","","","","","","","","","",""
"723","","","","","","","","","",""
"724","","","","","","","","","",""
"725","","","","","","","","","",""
"726","","","","","","","","","",""
"727","","","","","","","","","",""
"728","","","","","","","","","",""
"729","","","","","","","","","",""
"730","","","","","","","","","",""
"731","","","","","","","","","",""
"732","","","","","","","","","",""
"733","","","","","","","","","",""
"734","","","","","","","","","",""
"735","","","","","","","","","",""
"736","","","","","","","","","",""
"737","","","","","","","","","",""
"738","","","","","","","","","",""
"739","","","","","","","","","",""
"740","","","","","","","","","",""
"741","","","","","","","","","",""
"742","","","","","","","","","",""
"743","","","","","","","","","",""
"744","","","","","","","","","",""
"745","","","","","","","","","",""
"746","","","","","","","","","",""
"747","","","","","","","","","",""
"748","","","","","","","","","",""
"749","","","","","","","","","",""
"750","","","","","","","","","",""
"751","","","","","","","","","",""
"752","","","","","","","","","",""
"753","","","","","","","","","",""
"754","","","","","","","","","",""
"755","","","","","","","","","",""
"756","","","","","","","","","",""
"757","","","","","","","","","",""
"758","","","","","","","","","",""
"759","","","","","","","","","",""
"760","","","","","","","","","",""
"761","","","","","","","","","",""
"762","","","","","","","","","",""
"763","","","","","","","","","",""
"764","","","","","","","","","",""
"765","","","","","","","","","",""
"766","","","","","","","","","",""
"767","","","","","","","","","",""
"768","","","","","","","","","",""
"769","","","","","","","","","",""
"770","","","","","","","","","",""
"771","","","","","","","","","",""
"772","","","","","","","","","",""
"773","","","","","","","","","",""
"774","","","","","","","","","",""
"775","","","","","","","","","",""
"776","","","","","","","","","",""
"777","","","","","","","","","",""
"778","","","","","","","","","",""
"779","","","","","","","","","",""
"780","","","","","","","","","",""
"781","","","","","","","","","",""
"782","","","","","","","","","",""
"783","","","","","","","","","",""
"784","","","","","","","","","",""
"785","","","","","","","","","",""
"786","","","","","","","","","",""
"787","","","","","","","","","",""
"788","","","","","","","","","",""
"789","","","","","","","","","",""
"790","","","","","","","","","",""
"791","","","","","","","","","",""
"792","","","","","","","","","",""
"793","","","","","","","","","",""
"794","","","","","","","","","",""
"795","","","","","","","","","",""
"796","","","","","","","","","",""
"797","","","","","","","","","",""
"798","","","","","","","","","",""
"799","","","","","","","","","",""
"800","","","","","","","","","",""
"801","","","","","","","","","",""
"802","","","","","","","","","",""
"803","","","","","","","","","",""
"804","","","","","","","","","",""
"805","","","","","","","","","",""
"806","","","","","","","","","",""
"807","","","","","","","","","",""
"808","","","","","","","","","",""
"809","","","","","","","","","",""
"810","","","","","","","","","",""
"811","","","","","","","","","",""
"812","","","","","","","","","",""
"813","","","","","","","","","",""
"814","","","","","","","","","",""
"815","","","","","","","","","",""
"816","","","","","","","","","",""
"817","","","","","","","","","",""
"818","","","","","","","","","",""
"819","","","","","","","","","",""
"820","","","","","","","","","",""
"821","","","","","","","","","",""
"822","","","","","","","","","",""
"823","","","","","","","","","",""
