,croc,Ilp4,Ance,Cyp310a1,twi,Doc3,Doc2,cnc,aay,cad
84,277,278,279,508,993,1296,2245,2284,2285,2322
85,831,869,871,872,907,908,910,946,983,985
86,865,903,979,1016,1017,1093,2382,2420,2458,673
87,61,100,137,138,17,19,60,63,64,65
88,1070,1107,1108,1145,1146,1147,1183,1373,1410,1412
89,199,200,201,202,203,204,206,208,236,237
90,831,869,871,872,907,908,910,946,983,985
91,46,47,83,87,53,88,89,17,19,41
92,183,113,146,148,149,181,184,186,220,221
94,793,795,870,1063,1064,1096,1098,1101,1102,1134
95,831,869,871,872,907,908,910,946,983,985
96,865,903,979,1016,1017,1093,2382,2420,2458,673
97,2124,2163,2950,341,379,527,529,566,567,570
98,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
99,957,958,959,960,994,995,997,998,999,1034
100,341,379,1478,1743,1858,2086,340,377,413,414
101,901,902,938,940,1054,1245,3004,867,1323,1361
102,758,830,1026,1177,1216,1406,1442,2539,2543,2544
103,831,869,871,872,907,908,910,946,983,985
104,377,413,414,415,416,417,418,448,449,450
105,31,71,72,73,75,106,107,108,109,110
106,788,826,827,863,2496,2532,2534,3029,750,751
107,57,59,92,93,94,95,99,46,61,91
108,1627,1019,295,341,379,1478,1741,1743,1779,1855
109,501,1065,1069,1103,1104,1105,1106,1141,1142,1143
110,873,874,906,909,911,912,945,947,948,949
111,2169,2208,2247,2547,1010,1033,1035,1037,1071,1072
112,951,952,953,989,990,991,992,1027,1028,1029
113,873,874,906,909,911,912,945,947,948,949
114,133,172,364,365,367,403,405,478,199,200
115,901,902,938,940,1054,1245,635,637,674,675
116,2762,2725,2767,2768,2556,2557,2594,2595,2597,2638
117,560,595,1129,1167,1168,1205,1206,1207,1243,1244
118,2553,2554,2555,2592,2599,2601,2640,2641,2643,2644
119,857,858,859,860,861,891,892,893,894,896
120,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
121,968,1083,1086,1122,1124,1156,745,746,778,779
122,873,874,906,909,911,912,945,947,948,949
123,901,902,938,940,1054,1245,635,637,674,675
124,951,952,953,989,990,991,992,1027,1028,1029
125,2766,2769,2771,2773,2774,2808,2812,2844,2846,2848
126,92,251,407,409,443,446,483,517,518,519
127,1478,1743,1858,2086,1441,1443,1632,1634,1668,1670
128,720,756,757,759,794,796,797,798,832,834
129,865,903,979,1016,1017,1093,2382,2420,2458,673
130,901,902,938,940,1054,1245,635,637,674,675
131,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
132,295,332,342,378,380,333,334,371,372,373
133,172,362,400,401,402,2474,2475,2476,2480,2517
134,873,874,906,909,911,912,945,947,948,949
135,342,378,380,263,340,295,335,336,337,338
138,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
139,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
142,957,958,959,960,994,995,997,998,999,1034
143,251,136,290,291,292,524,2973,3009,364,365
144,786,787,823,824,825,862,864,900,1130,133
145,1133,2963,295,341,379,1095,793,795,870,1019
146,645,681,683,718,719,721,722,564,569,603
147,786,787,823,824,825,862,864,900,1130,560
148,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
149,901,902,938,940,1054,1245,635,637,674,675
150,1019,873,874,906,909,911,912,945,947,948
151,486,1475,32,34,35,37,68,74,114,377
152,377,413,414,415,416,417,418,448,449,450
153,2691,340,2730,2734,873,874,906,909,911,912
154,865,903,979,1016,1017,1093,2382,2420,2458,2637
155,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
156,1019,981,1133,2963,873,874,906,909,911,912
157,831,869,871,872,907,908,910,946,983,985
158,720,756,757,759,794,796,797,798,832,834
159,873,874,906,909,911,912,945,947,948,949
161,1593,1630,1704,527,567,604,608,644,1478,1596
162,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
163,296,529,566,570,113,146,148,149,181,184
164,1019,981,1133,2963,873,874,906,909,911,912
165,1480,1482,1557,1823,1861,1897,1934,3030,340,793
166,407,409,443,446,483,517,518,519,215,212
167,1593,1630,1704,527,567,604,608,644,1478,1596
168,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
169,501,1179,2587,2623,2624,2625,2626,2627,2628,2663
170,1019,981,1133,2963,873,874,906,909,911,912
171,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
172,529,566,570,301,303,377,413,414,415,416
173,901,902,938,940,1054,1245,447,1323,1361,1399
174,2730,2734,2691,2767,2768,2762,2804,2693,2695,2733
175,364,365,249,288,328,366,404,474,171,209
176,2593,2553,2554,2555,2588,2589,2592,2630,1070,1107
177,3004,939,976,977,978,1013,1015,1052,1053,1055
178,2762,2691,2556,2557,2594,2595,2597,2638,2724,2763
179,793,795,870,1063,1064,1096,1098,1101,1102,1134
180,32,34,35,37,68,74,114,2937,22,28
181,32,34,35,37,68,74,114,2937,22,28
182,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
183,1625,1663,1700,1701,1738,1664,1739,1740,1776,1814
184,1133,2963,793,795,870,1019,1063,1064,1096,1098
185,831,869,871,872,907,908,910,946,983,985
186,901,902,938,940,1054,1245,635,637,674,675
187,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
188,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
189,1179,788,826,827,863,2496,2532,2534,3029,750
190,901,902,938,940,1054,1245,598,635,637,674
192,341,379,1444,1481,1520,1558,1821,1824,1857,1859
193,873,874,906,909,911,912,945,947,948,949
194,901,902,938,940,1054,1245,635,637,674,675
195,765,803,840,841,1065,1069,1103,1104,1105,1106
196,2169,2208,2247,2547,1010,1033,1035,1037,1071,1072
197,968,1083,1086,1122,1124,1156,745,746,778,779
198,445,481,482,484,520,521,522,556,558,559
199,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
200,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
201,786,787,823,824,825,862,864,900,1130,829
202,2169,2208,2247,2547,1065,1069,1103,1104,1105,1106
203,3028,1994,2374,2375,2412,2413,2416,2450,2451,2452
206,132,129,130,131,135,154,156,191,343,344
207,2637,2678,2723,2759,1775,2599,2601,2640,2641,2643
208,32,34,35,37,68,74,114,377,413,414
209,788,826,827,863,2496,2532,2534,3029,750,751
210,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
211,1993,1995,2031,2032,2033,2034,2035,2037,2040,2070
212,32,34,35,37,68,74,114,377,413,414
213,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
214,341,379,529,566,570,263,377,413,414,415
215,786,787,823,824,825,862,864,900,1130,788
216,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
217,593,594,629,632,1915,1917,1946,1947,1950,1952
218,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
219,939,976,977,978,1013,1015,1052,1053,1055,1091
220,474,205,207,240,241,242,243,244,245,280
222,564,603,607,640,641,642,643,646,679,680
223,941,1014,1397,2636,2679,2720,865,903,979,980
224,793,795,870,1063,1064,1096,1098,1101,1102,1134
225,750,2232,2269,2307,2308,851,881,882,884,885
226,2590,2593,2637,2669,2670,2671,2678,2708,2723,2746
227,786,787,823,824,825,862,864,900,1130,788
228,873,874,906,909,911,912,945,947,948,949
229,867,2650,829,905,942,943,1056,1398,2421,2460
230,873,874,906,909,911,912,945,947,948,949
231,788,826,827,863,2496,2532,2534,3029,1589,2538
232,38,21,54,485,523,9,10,11,14,16
233,41,49,81,86,48,445,481,482,484,520
236,761,763,764,799,800,801,838,839,1980,673
237,2169,2208,2247,2547,993,1070,1107,1108,1145,1146
238,1179,951,952,953,989,990,991,992,1027,1028
239,341,379,342,378,380,377,413,414,415,416
240,31,71,72,73,75,105,106,107,108,109
242,2588,2589,2630,2636,2679,2720,2551,205,207,240
243,92,251,407,409,443,446,483,517,518,519
244,873,874,906,909,911,912,945,947,948,949
245,565,2160,2161,2198,2199,2200,2387,2388,2389,2393
246,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
247,717,754,755,760,792,1100,1210,1439,758,830
248,1323,1361,1399,1438,981,868,1020,1248,1286,1288
250,1179,951,952,953,989,990,991,992,1027,1028
251,1778,1739,1775,1776,1814,1815,2004,2947,2998,1741
252,873,874,906,909,911,912,945,947,948,949
253,873,874,906,909,911,912,945,947,948,949
254,1,2,3,4,5,6,7,8,9,10
255,1739,1776,1814,1815,2004,2947,2998,865,903,979
257,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
258,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
259,341,379,1478,1743,1858,2086,377,413,414,415
260,523,1513,1626,212,213,330,331,369,406,408
261,980,1018,1057,1095,1285,1359,3025,1019,3008,873
262,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
263,2879,2881,2764,2793,2795,2796,2798,2802,2830,2832
264,32,34,35,37,68,74,114,2937,31,38
265,968,1083,1086,1122,1124,1156,745,746,778,779
266,750,2232,2269,2307,2308,595,788,818,826,827
267,565,2160,2161,2198,2199,2200,2387,2388,2389,2393
268,32,34,35,37,68,74,114,2937,22,28
269,2639,2772,2599,2601,2640,2641,2643,2644,2645,2680
270,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
271,2730,2734,2691,873,874,906,909,911,912,945
273,1625,1663,1700,1701,1738,1664,1739,1740,1776,1814
274,447,524,563,1437,1703,485,486,562,676,714
275,761,763,764,799,800,801,838,839,1980,685
276,951,952,953,989,990,991,992,1027,1028,1029
277,1778,2043,2120,2045,2083,290,867,1626,1702,1777
278,595,2383,559,561,596,598,635,637,674,675
279,635,637,674,675,709,711,747,748,749,2941
280,968,1083,1086,1122,1124,1156,745,746,778,779
281,377,413,414,415,416,417,418,448,449,450
282,341,379,1478,1743,1858,2086,377,413,414,415
283,370,333,334,371,372,373,410,133,172,364
284,1129,1167,1168,1205,1206,1207,1243,1244,2994,212
285,1019,2693,2695,2770,981,1133,2963,873,874,906
286,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
287,865,903,979,1016,1017,1093,2382,2420,2458,673
288,1019,2693,2695,2770,981,1133,2963,873,874,906
289,229,267,268,269,270,305,306,307,309,310
292,865,903,979,1016,1017,1093,2382,2420,2458,673
293,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
295,523,445,481,482,484,520,521,522,556,558
296,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
297,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
298,341,379,1444,1481,1520,1558,1821,1824,1857,1859
299,901,902,938,940,1054,1245,3004,867,1323,1361
300,758,830,1026,1177,1216,1406,1442,2539,2543,2544
301,1979,770,1951,1984,1986,1987,1988,1989,1990,2021
302,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
303,793,795,870,1063,1064,1096,1098,1101,1102,1134
304,527,529,566,567,570,604,608,644,3016,377
305,1019,981,1133,2963,873,874,906,909,911,912
306,1209,1247,786,787,823,824,825,862,864,900
307,901,902,938,940,1054,1245,3004,867,1323,1361
308,1513,1589,295,341,379,1444,1481,1520,1558,1741
309,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
310,941,1014,1397,865,903,979,980,1016,1017,1018
311,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
312,341,379,342,378,380,377,413,414,415,416
313,968,1083,1086,1122,1124,1156,745,746,778,779
314,1133,2963,793,795,870,1019,1063,1064,1096,1098
315,831,869,871,872,907,908,910,946,983,985
316,901,902,938,940,1054,1245,635,637,674,675
317,1636,1673,1674,1711,1712,647,649,688,690,1065
318,901,902,938,940,1054,1245,635,637,674,675
319,1657,1695,1696,1697,1698,1730,1735,1736,1768,1771
321,1739,1776,1814,1815,2004,2947,2998,865,903,979
322,191,153,155,192,193,194,195,229,232,267
323,2593,230,231,233,234,235,271,272,308,346
324,717,754,755,760,792,1100,1210,1439,758,830
325,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
326,1070,1107,1108,1145,1146,1147,1183,1373,1410,1412
327,1599,1675,1676,1677,1715,1752,1411,1448,1523,1562
328,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
329,941,1014,1397,865,903,979,980,1016,1017,1018
330,1627,1019,295,341,379,1478,1741,1743,1779,1855
331,873,874,906,909,911,912,945,947,948,949
332,370,31,71,72,73,75,106,107,108,109
333,901,902,938,940,1054,1245,3004,867,1323,1361
334,750,1587,1928,2232,2269,2307,2308,2383,2045,2083
335,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
339,564,603,607,640,641,642,643,646,679,680
340,341,379,793,795,870,1063,1064,1096,1098,1101
342,867,2650,829,905,942,943,1056,1398,2421,2460
343,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
344,873,874,906,909,911,912,945,947,948,949
346,981,1057,1285,831,869,871,872,907,908,910
348,1019,873,874,906,909,911,912,945,947,948
350,941,1014,1397,865,903,979,980,1016,1017,1018
351,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
353,786,787,823,824,825,862,864,900,1130,788
354,631,935,936,937,969,971,972,973,974,975
355,786,787,823,824,825,862,864,900,1130,829
356,831,869,871,872,907,908,910,946,983,985
357,831,869,871,872,907,908,910,946,983,985
358,407,409,443,446,483,517,518,519,215,212
359,901,902,938,940,1054,1245,3004,867,1323,1361
360,939,976,977,978,1013,1015,1052,1053,1055,1091
361,407,409,443,446,483,517,518,519,215,160
362,2730,2734,2160,2161,2198,2199,2200,2387,2388,2389
363,32,34,35,37,68,74,114,377,413,414
364,342,378,380,263,340,295,335,336,337,338
365,2725,2730,2734,2691,2762,873,874,906,909,911
366,867,1019,1323,1361,1399,1438,2650,3008,982,1289
367,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
368,212,213,330,331,369,406,408,442,444,445
369,2772,2804,2767,2768,2765,2806,2807,2810,2811,2840
370,720,756,757,759,794,796,797,798,832,834
371,340,341,379,377,413,414,415,416,417,418
372,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
373,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
374,597,599,633,634,636,670,671,672,707,710
375,857,858,859,860,861,891,892,893,894,896
376,564,603,607,640,641,642,643,646,679,680
377,529,566,570,301,303,377,413,414,415,416
378,171,209,248,286,287,324,325,361,363,437
379,551,584,585,588,617,618,619,620,621,2965
380,788,826,827,863,2496,2532,2534,3029,750,751
381,968,1083,1086,1122,1124,1156,745,746,778,779
382,486,1475,32,34,35,37,68,74,114,377
383,3004,935,936,937,969,971,972,973,974,975
384,793,795,870,1063,1064,1096,1098,1101,1102,1134
385,2383,635,637,674,675,709,711,747,748,749
386,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
387,793,795,870,1063,1064,1096,1098,1101,1102,1134
388,1070,1107,1108,1145,1146,1147,1160,1183,1373,1410
390,865,903,979,1016,1017,1093,2382,2420,2458,2590
391,2124,2163,2950,2049,2084,2087,2088,2089,2090,2123
392,786,787,823,824,825,862,864,900,1130,788
393,578,3031,290,368,133,158,159,172,196,197
394,564,603,607,640,641,642,643,646,679,680
395,341,379,342,378,380,377,413,414,415,416
396,32,34,35,37,68,74,114,377,413,414
397,447,15,20,38,52,485,486,523,1475,11
398,793,795,870,1063,1064,1096,1098,1101,1102,1134
399,939,976,977,978,1013,1015,1052,1053,1055,1091
400,873,874,906,909,911,912,945,947,948,949
401,786,787,823,824,825,862,864,900,1130,788
402,793,795,870,1063,1064,1096,1098,1101,1102,1134
403,939,976,977,978,1013,1015,1052,1053,1055,1091
404,2639,3028,2599,2601,2640,2641,2643,2644,2645,2680
405,935,936,937,969,971,972,973,974,975,1001
406,685,687,723,724,725,762,837,875,876,878
407,873,874,906,909,911,912,945,947,948,949
408,92,136,215,292,61,91,100,137,138,253
409,523,560,595,3004,1129,1167,1168,1205,1206,1207
410,901,902,938,940,1054,1245,635,637,674,675
411,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
412,377,413,414,415,416,417,418,448,449,450
413,786,787,823,824,825,862,864,900,1130,788
414,341,379,1478,1743,1858,2086,377,413,414,415
415,829,788,826,827,863,2480,2496,2532,2534,3029
416,120,122,157,119,154,156,121,123,158,159
417,377,413,414,415,416,417,418,448,449,450
418,3028,1994,2374,2375,2412,2413,2416,2450,2451,2452
419,15,20,38,52,11,14,16,17,18,19
420,865,903,979,1016,1017,1093,2382,2420,2458,2637
421,341,379,793,795,870,1063,1064,1096,1098,1101
422,445,481,482,484,520,521,522,556,558,559
424,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
425,191,153,155,192,193,194,195,229,232,267
427,941,1014,1397,1065,1069,1103,1104,1105,1106,1141
429,341,379,1478,1743,1858,2086,377,413,414,415
430,445,481,482,484,520,521,522,556,558,559
431,873,874,906,909,911,912,945,947,948,949
432,786,787,823,824,825,862,864,900,1130,829
434,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
435,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
436,939,976,977,978,1013,1015,1052,1053,1055,1091
437,935,936,937,969,971,972,973,974,975,1001
438,941,1014,1397,865,903,979,980,1016,1017,1018
439,873,874,906,909,911,912,945,947,948,949
440,265,151,183,185,187,188,189,190,222,223
441,951,952,953,989,990,991,992,1027,1028,1029
442,1625,1663,1700,1701,1738,1664,1739,1740,1776,1814
443,647,1447,1483,1484,1485,1521,1522,1524,1559,1560
444,1019,981,1133,2963,873,874,906,909,911,912
445,901,902,938,940,1054,1245,3004,867,1323,1361
446,957,958,959,960,994,995,997,998,999,1034
447,447,1513,38,485,486,523,1475,1551,11,14
448,1593,1630,1704,831,869,871,872,907,908,910
450,1411,1486,1637,1678,1714,1716,1754,3039,1636,1673
452,793,795,870,1063,1064,1096,1098,1101,1102,1134
453,831,869,871,872,907,908,910,946,983,985
454,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
455,212,213,330,331,369,406,408,442,444,514
456,569,606,301,303,525,645,681,683,718,719
457,251,407,409,443,446,483,517,518,519,92
458,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
459,901,902,938,940,1054,1245,1323,1361,1399,1437
460,753,786,787,823,824,825,862,864,900,1130
461,901,902,938,940,1054,1245,3004,867,1323,1361
462,92,136,215,292,61,91,100,137,138,253
463,3004,939,976,977,978,1013,1015,1052,1053,1055
464,2593,2553,2554,2555,2588,2589,2592,2630,1070,1107
465,32,34,35,37,68,74,114,2937,523,31
466,726,343,344,345,347,381,382,383,384,385
467,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
469,165,166,168,160,161,205,207,240,241,242
470,951,952,953,989,990,991,992,1027,1028,1029
471,1246,1284,1322,1360,1436,935,936,937,969,971
472,968,1083,1086,1122,1124,1156,631,745,746,778
473,865,903,979,1016,1017,1093,2382,2420,2458,673
474,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
475,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
476,993,1296,2245,2284,2285,2322,2360,2396,2397,2434
477,968,1083,1086,1122,1124,1156,745,746,778,779
478,1547,1504,1737,1813,1852,1887,1889,1962,1966,2002
480,728,525,602,645,681,683,718,719,721,722
481,788,826,827,863,2496,2532,2534,3029,750,751
482,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
483,32,34,35,37,68,74,114,377,413,414
484,901,902,938,940,1054,1245,635,637,674,675
485,341,379,1478,1743,1858,2086,377,413,414,415
486,857,858,859,860,861,891,892,893,894,896
487,831,869,871,872,907,908,910,946,983,985
488,205,207,240,241,242,243,244,245,280,579
492,342,378,380,263,340,295,335,336,337,338
493,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
494,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
495,1636,1673,1674,1711,1712,941,1014,1381,1396,1397
496,2273,2311,526,565,2197,2201,2237,2238,2239,2240
497,2395,2433,2473,993,1296,2245,2284,2285,2322,2360
498,3028,788,826,827,863,2496,2532,2534,2673,2677
500,901,902,938,940,1054,1245,635,637,674,675
501,598,595,597,599,631,633,634,636,670,671
502,32,34,35,37,68,74,114,2937,113,146
504,341,379,1478,1743,1858,2086,377,413,414,415
505,901,902,938,940,1054,1245,635,637,674,675
508,445,481,482,484,520,521,522,556,558,17
509,955,956,996,1032,1184,1221,1222,1258,1259,1297
510,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
511,786,787,823,824,825,862,864,900,1130,788
513,423,425,462,463,464,465,500,154,156,191
515,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
516,120,122,157,119,154,156,121,123,158,159
518,831,869,871,872,907,908,910,946,983,985
519,295,342,378,380,332,183,263,340,333,334
520,423,425,462,463,464,465,500,343,344,345
521,867,2383,2650,865,903,979,1016,1017,1093,2382
522,1209,1247,786,787,823,824,825,862,864,900
523,121,123,162,163,164,169,3012,120,122,126
524,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
525,981,1057,1285,831,869,871,872,907,908,910
526,1625,1663,1700,1701,1738,1626,901,902,938,940
527,957,958,959,960,994,995,997,998,999,1034
528,113,146,148,149,181,184,186,220,221,259
529,1587,1625,1663,1700,1701,1738,1928,786,787,823
530,251,407,409,443,446,483,517,518,519,92
531,935,936,937,969,971,972,973,974,975,1001
532,786,787,823,824,825,862,864,900,1130,788
533,133,172,364,365,367,403,405,478,199,200
534,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
535,1132,1169,1170,1208,720,756,757,759,794,796
536,364,365,290,423,425,462,463,464,465,500
537,786,787,823,824,825,862,864,900,1130,788
538,685,687,723,724,725,762,837,875,876,878
539,954,1182,1220,1371,877,879,914,915,916,917
540,901,902,938,940,1054,1245,3004,867,1323,1361
541,647,1447,1483,1484,1485,1521,1522,1524,1559,1560
542,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
543,3028,2911,1994,2374,2375,2412,2413,2416,2450,2451
544,229,267,268,269,270,305,306,307,309,310
545,31,71,72,73,75,106,107,108,109,110
546,786,787,823,824,825,862,864,900,1130,788
547,290,368,133,172,364,365,367,403,405,478
548,1441,1443,1632,1634,1668,1670,1671,1672,1708,1709
549,2917,2673,2677,2709,2711,2712,2714,2715,2717,2718
550,2383,635,637,674,675,709,711,747,748,749
551,957,958,959,960,994,995,997,998,999,1034
552,981,1246,1284,1322,1360,1436,3004,602,831,867
553,786,787,823,824,825,862,864,900,1130,829
554,340,793,795,870,1063,1064,1096,1098,1101,1102
555,1426,1427,1467,1469,1699,663,665,1381,1396,1415
556,1778,867,1626,1702,1777,1816,2005,2044,2650,1741
557,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
558,1451,1453,1455,1456,1457,1489,1490,1491,1492,1493
559,831,869,871,872,907,908,910,946,983,985
561,2914,3028,2741,2743,2744,2780,2781,2782,2783,2784
562,941,1014,1397,865,903,979,980,1016,1017,1018
563,865,903,979,1016,1017,1093,2382,2420,2458,673
564,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
565,1019,981,1133,2804,2963,873,874,906,909,911
566,564,603,607,640,641,642,643,646,679,680
567,758,830,1026,1177,1216,1406,1442,2539,2543,2544
568,2911,2699,2737,2738,2739,2740,2775,2776,2777,2778
569,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
570,867,1019,1323,1361,1399,1438,2650,3008,982,1289
571,447,38,485,486,523,1475,2,3,4,7
572,523,3004,32,34,35,37,68,74,114,377
573,92,251,407,409,443,446,483,517,518,519
574,1129,1167,1168,1205,1206,1207,1243,1244,2994,474
575,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
576,720,756,757,759,794,796,797,798,832,834
577,968,1083,1086,1122,1124,1156,745,746,778,779
578,720,756,757,759,794,796,797,798,832,834
579,761,763,764,799,800,801,838,839,1980,685
580,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
581,935,936,937,969,971,972,973,974,975,1001
582,939,976,977,978,1013,1015,1052,1053,1055,1091
583,2636,2679,2720,2556,2557,2593,2594,2595,2597,2637
584,370,333,334,371,372,373,410,133,172,364
586,92,136,215,292,61,91,100,137,138,253
