,croc,CG8147,twi,gt,Doc2,Doc3,aay,Mes2,kni,sna
333,901,902,938,940,1054,1245,3004,2383,865,903
334,2204,1587,1928,2232,2269,2307,2308,2383,2049,2084
335,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
336,927,929,930,965,966,967,970,1163,1195,900
337,831,869,871,872,907,908,910,946,983,985
338,3004,939,976,977,978,1013,1015,1052,1053,1055
339,564,603,607,640,641,642,643,646,679,680
340,795,870,1063,1064,1096,1098,1101,1102,1134,1139
341,1179,685,687,723,724,725,762,837,875,876
342,942,1056,2421,2460,2461,2649,867,2650,828,865
343,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
344,873,874,906,909,911,912,945,947,948,949
345,786,787,823,824,825,862,864,788,789,790
346,981,1057,1285,831,869,871,872,907,908,910
347,901,902,938,940,1054,1245,865,903,979,1016
348,1019,873,874,906,909,911,912,945,947,948
349,295,340,342,378,380,183,263,332,333,334
351,1955,2173,2210,2213,2214,2248,2249,2250,2251,2288
352,2496,2532,2534,828,865,866,903,904,979,1016
354,935,936,937,969,971,972,973,974,975,1001
355,786,787,823,824,825,862,864,788,789,790
356,831,869,871,872,907,908,910,946,983,985
357,831,869,871,872,907,908,910,946,983,985
358,212,213,330,331,369,406,407,408,409,442
359,635,637,674,675,709,711,747,748,749,901
360,939,976,977,978,1013,1015,1052,1053,1055,1091
361,212,213,330,331,369,406,407,408,409,442
362,2730,2734,2693,2695,2733,2770,565,2654,2655,2657
364,340,342,378,380,263,295,335,336,337,338
365,2725,2691,2730,2734,2689,2726,2727,2693,2695,2733
366,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
367,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
368,1587,1625,1663,1700,1701,1738,1928,445,481,482
369,2804,2772,2730,2734,2765,2806,2807,2810,2811,2842
370,720,756,757,794,798,645,681,683,717,718
371,341,379,340,342,378,380,377,413,414,415
372,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
373,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
374,597,598,599,633,634,636,670,671,672,707
375,857,858,859,860,861,891,892,893,894,896
376,564,603,607,640,641,642,643,646,679,680
377,529,566,570,301,303,377,413,414,415,416
378,121,123,162,163,164,169,171,209,248,286
379,931,932,933,962,963,964,1000,1125,1161,1162
381,968,1083,1086,1122,1124,1156,901,902,938,940
382,447,486,32,34,35,37,38,68,74,114
383,3004,935,936,937,969,971,972,973,974,975
384,793,795,870,1063,1064,1096,1098,1101,1102,1134
385,635,637,674,675,709,711,747,748,749,2941
386,523,3004,720,756,757,794,798,525,602,645
387,793,795,870,1063,1064,1096,1098,1101,1102,1134
389,265,151,183,185,187,188,189,190,222,223
392,786,787,823,824,825,862,864,788,789,790
393,158,159,196,197,198,578,941,994,995,997
394,564,603,607,640,641,642,643,646,679,680
395,341,379,340,342,378,380,377,413,414,415
396,32,34,35,37,38,68,74,114,377,413
398,795,870,1063,1064,1096,1098,1101,1102,1134,1139
400,873,874,906,909,911,912,945,947,948,949
401,900,1130,901,902,938,940,1054,1245,2496,2532
402,795,870,1063,1064,1096,1098,1101,1102,1134,1139
403,597,598,599,633,634,636,670,671,672,707
404,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
405,935,936,937,969,971,972,973,974,975,1001
406,685,687,723,724,725,762,837,875,876,878
407,873,874,906,909,911,912,945,947,948,949
409,523,3004,720,756,757,794,798,525,602,645
410,901,902,938,940,1054,1245,865,903,979,1016
411,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
412,377,413,414,415,416,417,418,448,449,450
413,900,1130,901,902,938,940,1054,1245,2496,2532
414,1478,1743,1858,2086,341,379,873,874,906,909
415,788,826,827,863,2480,3029,750,751,786,787
416,120,122,157,119,154,156,121,123,158,159
417,377,413,414,415,416,417,418,448,449,450
418,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
420,865,903,979,1016,1017,1093,2382,2420,2458,901
421,795,870,1063,1064,1096,1098,1101,1102,1134,1139
422,251,445,481,482,484,520,521,522,556,558
423,1891,295,341,379,1480,1482,1557,1627,1823,1861
424,2730,2734,717,754,755,760,792,565,868,1020
425,191,229,267,268,269,270,305,306,307,309
426,597,598,599,633,634,636,670,671,672,707
427,941,1014,1397,1065,1069,1103,1104,1105,1106,1141
428,560,595,786,787,823,824,825,862,864,1129
430,251,445,481,482,484,520,521,522,556,558
431,873,874,906,909,911,912,945,947,948,949
433,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
435,1129,1167,1168,1205,1206,1207,1243,1244,2994,900
436,939,976,977,978,1013,1015,1052,1053,1055,1091
437,935,936,937,969,971,972,973,974,975,1001
438,941,1014,1397,865,903,979,980,1016,1017,1018
439,873,874,906,909,911,912,945,947,948,949
440,265,151,183,185,187,188,189,190,222,223
441,951,952,953,990,1977,1978,2015,2053,2055,2091
442,901,902,938,940,1054,1245,865,903,979,1016
443,1447,1483,1484,1485,1521,1522,1524,1559,1560,1561
444,1019,981,1133,2963,873,874,906,909,911,912
446,2610,994,995,997,998,999,1034,1036,1038,1149
447,447,486,32,34,35,37,38,68,74,114
448,1593,1630,1704,1478,1596,1628,1629,1631,1667,1705
449,968,1083,1086,1122,1124,1156,901,902,938,940
450,941,1014,1070,1107,1108,1145,1146,1147,1182,1183
451,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
452,795,870,1063,1064,1096,1098,1101,1102,1134,1139
453,831,869,871,872,907,908,910,946,983,985
454,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
455,212,213,330,331,369,406,407,408,409,442
456,526,569,606,301,303,525,645,681,683,718
457,251,92,136,290,291,292,2973,3009,212,213
458,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
459,901,902,938,940,1054,1245,900,939,968,976
460,786,787,823,824,825,862,864,753,788,789
461,901,902,938,940,1054,1245,3004,2383,865,903
462,92,136,292,215,251,61,63,91,137,138
463,3004,939,976,977,978,1013,1015,1052,1053,1055
464,2593,2553,2554,2555,2588,2589,2592,2630,2171,2172
465,523,54,215,445,481,482,484,520,521,522
466,726,79,343,344,345,347,381,382,383,384
467,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
468,989,991,992,1027,1028,1029,1030,1031,1066,1067
469,205,207,240,241,242,243,244,245,280,579
470,989,991,992,1027,1028,1029,1030,1031,1066,1067
471,1436,935,936,937,969,971,972,973,974,975
472,968,1083,1086,1122,1124,1156,901,902,938,940
473,865,903,979,1016,1017,1093,2382,2420,2458,942
474,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
475,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
476,993,1296,994,995,997,998,999,1034,1036,1038
478,1547,1504,1737,1813,1852,1887,1889,1962,1966,2002
479,1775,1160,2003,2036,2038,2039,2041,2219,2257,2258
480,595,728,86,314,364,365,559,561,596,597
481,788,826,827,863,3029,750,751,2496,2532,2534
482,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
483,32,34,35,37,38,68,74,114,377,413
484,901,902,938,940,1054,1245,865,903,979,1016
485,1478,1743,1858,2086,341,379,873,874,906,909
486,857,858,859,860,861,891,892,893,894,896
487,831,869,871,872,907,908,910,946,983,985
488,931,932,933,962,963,964,1000,1125,1161,1162
489,1479,1515,1516,1518,1556,2944,2970,1476,1477,1480
490,501,191,229,267,268,269,270,305,306,307
491,1019,981,1133,2963,873,874,906,909,911,912
492,340,342,378,380,263,295,335,336,337,338
494,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
495,941,1014,1381,1396,1397,1415,1417,1419,1433,1434
496,752,565,2273,2311,525,602,645,681,683,717
497,993,1296,2395,2433,2473,996,1032,1184,1221,1222
498,788,826,827,863,2673,2677,2709,2711,2712,2714
499,968,1083,1086,1122,1124,1156,901,902,938,940
500,901,902,938,940,1054,1245,865,903,979,1016
501,3004,939,976,977,978,1013,1015,1052,1053,1055
502,32,34,35,37,38,68,74,114,2937,113
503,1129,1167,1168,1205,1206,1207,1243,1244,2994,133
504,1478,1743,1858,2086,341,379,873,874,906,909
505,901,902,938,940,1054,1245,865,903,979,1016
506,1593,1630,1704,1478,1596,1628,1629,1631,1667,1705
507,968,1083,1086,1122,1124,1156,1065,1069,1103,1104
508,1129,1167,1168,1205,1206,1207,1243,1244,2994,19
509,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
510,1955,2173,2210,2213,2214,2248,2249,2250,2251,2288
511,900,1130,901,902,938,940,1054,1245,2496,2532
512,635,637,674,675,709,711,747,748,749,2941
514,1587,1625,1663,1700,1701,1738,1928,900,1130,1435
515,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
516,120,122,157,119,154,156,121,123,158,159
517,786,787,823,824,825,862,864,788,789,790
518,720,756,757,794,798,564,603,607,640,641
519,295,340,342,378,380,183,263,332,333,334
520,423,425,462,463,464,465,500,343,344,345
522,786,787,823,824,825,862,864,1209,1247,788
523,121,123,162,163,164,169,171,209,248,286
524,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
525,981,1057,1285,831,869,871,872,907,908,910
526,1625,1663,1700,1701,1738,901,902,938,940,1054
528,113,146,148,149,181,184,186,220,221,259
529,1587,1625,1663,1700,1701,1738,1928,900,1130,1435
530,251,212,213,288,328,330,331,366,369,404
531,935,936,937,969,971,972,973,974,975,1001
533,133,172,364,365,367,403,405,478,160,161
534,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
535,759,796,797,829,832,834,835,836,981,1097
536,120,122,157,364,365,290,423,425,462,463
537,900,1130,901,902,938,940,1054,1245,2496,2532
538,685,687,723,724,725,762,837,875,876,878
539,954,877,879,914,915,916,917,951,952,953
540,901,902,938,940,1054,1245,3004,2383,865,903
541,647,1597,1635,1749,1750,1787,1788,1825,1826,1863
542,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
543,1994,2482,2486,2528,2884,2766,2769,2771,2773,2774
544,191,229,267,268,269,270,305,306,307,309
545,31,71,72,73,75,106,107,108,109,110
546,786,787,823,824,825,862,864,445,481,482
547,290,368,133,172,364,365,367,403,405,478
548,1441,1443,1632,1634,1668,1670,1671,1672,1708,1709
549,2917,2673,2677,2709,2711,2712,2714,2715,2717,2718
550,635,637,674,675,709,711,747,748,749,2941
551,994,995,997,998,999,1034,1036,1038,1149,1186
553,786,787,823,824,825,862,864,788,789,790
554,341,379,793,340,342,378,380,720,756,757
555,1426,1427,1467,1469,1699,1381,1396,1415,1417,1419
556,1778,867,1626,1702,1816,2044,2650,1741,1779,1855
557,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
558,1451,1453,1455,1456,1457,1489,1490,1491,1492,1493
559,831,869,871,872,907,908,910,946,983,985
560,301,303,151,185,187,188,189,190,222,223
561,2881,2914,2587,2623,2624,2625,2626,2627,2628,2663
562,941,1014,1397,865,903,979,980,1016,1017,1018
563,865,903,979,1016,1017,1093,2382,2420,2458,942
564,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
565,1019,981,1133,2963,873,874,906,909,911,912
566,564,603,607,640,641,642,643,646,679,680
567,758,830,1026,1177,1216,1406,1442,2539,2543,2544
569,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
570,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
571,2,3,4,7,32,34,35,37,38,68
572,523,445,481,482,484,520,521,522,556,558
574,1129,1167,1168,1205,1206,1207,1243,1244,2994,900
575,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
576,720,756,757,794,798,645,681,683,717,718
577,745,746,778,779,781,815,816,850,968,1083
578,759,796,797,832,834,835,836,1097,1099,1135
579,761,763,764,799,800,801,838,839,1980,685
581,935,936,937,969,971,972,973,974,975,1001
