,oc,CG8147,twi,Cyp310a1,Ance,disco,Doc3,Mes2,knrl,tsh
62,647,690,951,952,953,954,990,1597,1635,1749
63,175,9,10,49,214,252,2973,173,174,212
64,1775,1657,1695,1696,1697,1698,1735,1736,2001,2039
65,389,391,426,427,428,429,430,431,433,466
66,2809,2847,2772,2885,2968,2766,2769,2771,2773,2774
67,1071,1109,1110,1148,1452,1147,994,999,1001,1002
68,2590,2593,2637,2669,2670,2671,2678,2708,2746,2749
69,873,874,906,909,911,912,945,947,948,949
70,2767,2768,2762,2804,2725,2731,2772,2730,2734,2690
71,259,2201,2204,2237,2238,2239,2240,2241,2242,2274
72,980,1018,1359,3025,867,942,1019,1627,1778,2650
74,938,940,968,1054,1083,1086,1122,1124,1156,1245
75,873,874,906,909,911,912,945,947,948,949
76,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
77,2730,2734,793,873,874,906,909,911,912,945
78,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
79,1323,1361,1399,1438,565,868,1020,1248,1286,1288
80,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
81,865,903,1017,901,902,979,1016,1093,1739,1776
82,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
83,939,976,977,978,1015,1052,1053,1091,1128,367
84,1713,1751,1753,1789,1790,1791,1827,1904,1941,2245
85,831,869,871,872,907,908,910,946,983,985
86,865,903,1017,2004,2947,901,902,979,1016,1071
87,61,63,65,102,137,138,216,217,113,146
89,439,475,476,511,544,545,546,548,581,1125
90,831,869,871,872,907,908,910,946,983,985
91,46,84,85,87,53,88,89,19,49,56
92,183,113,146,148,149,181,184,186,220,221
93,1179,989,991,992,1027,1028,1029,1030,1031,1066
94,795,870,1063,1064,1096,1098,1101,1102,1134,1139
95,720,756,757,794,798,527,564,567,603,604
96,865,903,1017,2004,2947,901,902,979,1016,1071
97,2124,2163,2950,3001,873,874,906,909,911,912
98,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
99,995,997,998,1034,1036,1038,1149,1186,1187,1188
100,873,874,906,909,911,912,945,947,948,949
101,1626,938,940,1054,1245,1625,1663,1700,1701,1738
102,341,758,830,1026,1177,1216,1406,1442,1444,1481
103,831,869,871,872,907,908,910,946,983,985
104,377,413,414,417,418,448,450,451,452,453
105,31,75,106,107,108,111,144,145,150,71
106,827,863,994,999,1265,1587,1813,1887,1889,1890
107,46,57,59,92,93,94,95,97,99,100
108,2124,2163,2950,3001,379,527,529,564,566,567
109,501,1065,1069,1103,1104,1105,1106,1141,1142,1143
110,873,874,906,909,911,912,945,947,948,949
111,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
112,951,952,953,990,1597,1635,1749,1750,1787,1788
113,873,874,906,909,911,912,945,947,948,949
114,367,403,405,478,133,328,330,331,365,366
115,938,940,1054,1245,1625,1663,1700,1701,1738,901
116,2556,2557,2594,2595,2597,2638,2762,2725,1010,1033
117,1167,1168,1205,1206,1207,1243,1244,1435,1472,1510
118,2553,2554,2555,2592,2599,2601,2640,2641,2939,2477
119,930,1163,1547,900,927,929,965,966,967,970
121,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
122,793,873,874,906,909,911,912,945,947,948
123,938,940,1054,1245,1625,1663,1700,1701,1738,901
124,989,991,992,1027,1028,1029,1030,1031,1066,1067
125,1587,1813,1887,1889,1890,1928,1962,1966,2002,2374
126,251,92,136,290,2973,212,213,288,364,61
127,873,874,906,909,911,912,945,947,948,949
128,720,756,757,794,798,377,413,414,417,418
129,2004,2947,979,1016,1093,1160,1730,1739,1768,1771
130,2004,2947,938,940,968,1054,1083,1086,1122,1124
131,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
132,295,341,486,32,34,35,37,38,68,74
133,931,932,933,1162,1164,1165,1166,1200,1201,1202
134,2730,2734,793,873,874,906,909,911,912,945
135,340,342,378,380,295,335,336,337,339,341
136,831,869,871,872,907,908,910,946,983,985
137,341,793,340,342,378,380,720,756,757,794
138,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
139,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
140,709,711,747,748,749,901,902,2941,597,598
141,980,1018,1359,3025,2045,2083,2124,2163,2197,2349
142,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
143,524,445,481,482,484,522,556,558,559,561
144,901,902,367,403,405,478,786,823,824,862
145,379,295,341,447,377,413,414,417,418,448
146,525,526,569,606,645,681,683,718,719,721
147,901,902,445,481,482,484,522,556,558,786
148,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
149,709,711,747,748,749,901,902,2941,786,823
151,32,34,35,37,38,68,74,114,2937,71
153,2691,2730,2734,338,374,379,2725,2935,377,413
154,2637,2678,2483,2487,2523,2524,2525,2527,2562,2564
155,3004,1167,1168,1205,1206,1207,1243,1244,1435,1472
156,1019,1627,981,1133,2963,295,341,873,874,906
157,831,869,871,872,907,908,910,946,983,985
159,341,873,874,906,909,911,912,945,947,948
160,786,823,824,862,827,863,787,825,864,898
161,831,869,871,872,907,908,910,946,983,985
163,1475,529,566,570,296,303,2313,447,1171,1550
164,1019,1627,981,1133,2963,295,341,873,874,906
165,341,793,340,342,378,380,720,756,757,794
166,330,331,369,406,407,408,409,442,443,444
167,720,756,757,794,798,527,564,567,603,604
169,501,191,229,267,268,269,270,305,306,307
170,1019,1627,981,1133,2963,873,874,906,909,911
171,925,2673,2677,2709,2711,2712,2714,2715,2748,2750
172,529,566,570,303,377,413,414,417,418,448
173,938,940,968,1054,1083,1086,1122,1124,1156,1245
175,328,365,366,404,288,327,329,364,474,121
176,2593,2553,2554,2555,2588,2589,2592,2630,1637,1678
177,3004,969,1003,1004,1005,1006,1007,1008,1009,1013
178,2556,2557,2594,2595,2597,2638,2762,2517,2519,2558
179,795,870,1063,1064,1096,1098,1101,1102,1134,1139
180,486,31,75,106,107,108,111,144,145,150
181,32,34,35,37,38,68,74,114,2937,11
182,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
183,901,902,938,939,940,976,977,978,1015,1052
184,720,756,757,794,798,1475,377,413,414,417
185,831,869,871,872,907,908,910,946,983,985
186,901,902,865,903,1017,938,939,940,976,977
187,1167,1168,1205,1206,1207,1243,1244,1435,1472,1510
188,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
189,1179,827,863,994,999,1265,1587,1813,1887,1889
190,938,940,1054,1245,1625,1663,1700,1701,1738,901
191,1094,1891,1892,829,1133,1893,2963,379,795,867
192,341,379,415,416,449,487,491,492,340,342
193,873,874,906,909,911,912,945,947,948,949
194,938,940,968,1054,1083,1086,1122,1124,1156,1245
196,1071,1109,1110,1148,1452,994,999,1001,1002,1010
197,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
198,524,709,711,747,748,749,750,2941,445,481
199,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
200,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
201,900,1130,829,1513,1626,938,940,1054,1245,1587
202,1147,993,1032,1070,1071,1107,1108,1109,1110,1145
204,831,869,871,872,907,908,910,946,983,985
205,936,937,975,1050,1051,1088,1089,1090,1126,939
206,344,345,347,381,382,383,384,385,386,419
207,1775,1657,1695,1696,1697,1698,1735,1736,2001,2039
208,377,413,414,417,418,448,450,451,452,453
209,1853,2004,2612,2947,1587,1813,1887,1889,1890,1928
210,2826,2813,2587,2623,2624,2625,2626,2627,2628,2663
211,1957,1992,1993,2031,2032,2108,2637,2678,850,1915
212,32,34,35,37,38,68,74,114,2937,71
213,158,578,2673,2677,2709,2711,2712,2714,2715,2748
214,341,263,379,415,416,449,487,491,492,529
215,900,927,929,965,966,967,970,1130,1195,1853
216,2639,2643,2644,2645,2680,2681,2682,2683,2685,2722
218,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
219,939,976,977,978,1015,1052,1053,1091,1128,901
221,831,869,871,872,907,908,910,946,983,985
222,527,564,567,602,603,604,607,608,640,641
223,941,1010,1014,1033,1035,1037,1072,1073,1074,1075
225,881,919,920,922,923,961,994,999,1265,1890
226,2590,2593,2637,2669,2670,2671,2678,2708,2746,2749
227,901,902,786,823,824,862,900,925,927,929
228,793,341,873,874,906,909,911,912,945,947
229,867,942,1777,1778,2650,829,865,903,905,943
231,827,863,994,999,1265,1587,1813,1887,1889,1890
232,32,34,35,37,38,68,74,114,2937,54
233,41,81,86,2587,2623,2624,2625,2626,2627,2628
234,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
235,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
236,763,839,761,764,765,799,800,801,803,840
237,993,1070,1107,1108,1145,1146,1183,1296,1373,1410
238,1179,989,991,992,1027,1028,1029,1030,1031,1066
239,379,795,870,1063,1064,1096,1098,1101,1102,1134
240,31,75,106,107,108,111,144,145,150,179
241,2477,2513,2514,2515,2516,2471,2472,2510,2511,2512
242,2636,2588,2589,2630,2551,1641,1679,1680,1681,1717
243,370,257,258,296,328,330,331,365,366,369
244,873,874,906,909,911,912,945,947,948,949
245,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
246,2826,2587,2623,2624,2625,2626,2627,2628,2663,2664
247,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
248,1323,1361,1399,1438,981,1437,1513,1626,1703,868
249,1890,1133,2963,995,997,998,1034,1036,1038,1149
250,1179,989,991,992,1027,1028,1029,1030,1031,1066
251,2004,2947,979,1016,1093,1160,1730,1739,1768,1771
252,379,377,413,414,417,418,448,450,451,452
253,873,874,906,909,911,912,945,947,948,949
254,964,1000,1161,1194,1198,1199,1232,1233,1234,1235
255,979,1016,1093,1739,1776,1814,1815,2382,2420,2458
256,720,756,757,794,798,527,564,567,603,604
257,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
258,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
259,341,379,415,416,449,487,491,492,340,342
260,900,1130,829,1513,1626,520,521,523,787,825
261,980,1018,1057,1071,1095,1109,1110,1148,1285,1359
262,1071,1109,1110,1148,1160,1452,1730,1768,1771,1772
263,2793,2830,2831,2745,2789,2819,2868,2870,2872,2910
264,32,34,35,37,38,68,74,114,2937,71
267,565,527,564,567,602,603,604,607,608,640
268,32,34,35,37,38,68,74,114,2937,11
269,2772,2639,2643,2644,2645,2680,2681,2682,2683,2685
270,647,764,800,1065,1069,1103,1104,1105,1106,1141
271,2691,2730,2734,2725,2693,2695,2733,2770,793,341
272,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
273,938,940,968,1054,1083,1086,1122,1124,1156,1245
274,1209,1437,1703,2385,2423,486,524,563,600,601
275,761,799,801,1065,1069,1103,1104,1105,1106,1141
276,913,647,690,951,952,953,954,990,1597,1635
277,676,713,714,715,1957,1992,1993,2031,2032,2108
278,559,561,595,596,659,661,691,693,694,695
279,709,711,747,748,749,2941,673,712,597,598
280,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
281,377,413,414,417,418,448,450,451,452,453
282,873,874,906,909,911,912,945,947,948,949
283,133,172,212,213,288,364,370,160,161,199
284,445,481,482,484,522,556,558,1129,1623,330
285,1019,1627,981,1133,2963,873,874,906,909,911
286,1129,1623,523,939,976,977,978,1015,1052,1053
288,1019,1627,981,1133,2963,873,874,906,909,911
289,191,229,267,268,269,270,305,306,307,309
290,761,799,801,1065,1069,1103,1104,1105,1106,1141
291,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
292,865,903,1017,2004,2947,901,902,979,1016,1071
293,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
294,913,687,689,725,762,837,875,876,879,916
295,2383,941,1014,1397,2152,3004,2193,2343,2345,2384
296,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
298,758,830,1026,1177,1216,1406,1442,1444,1481,1520
299,1626,938,940,1054,1245,1625,1663,1700,1701,1738
300,758,830,1026,1177,1216,1406,1442,1444,1481,1520
301,2107,2184,2220,2221,2222,2298,961,1010,1033,1035
302,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
303,795,870,1063,1064,1096,1098,1101,1102,1134,1139
304,415,416,449,487,491,492,527,529,564,566
305,1019,1627,981,1133,2963,295,341,873,874,906
306,1247,1551,900,1130,1209,1437,1513,1589,1703,938
307,901,902,938,939,940,976,977,978,1015,1052
308,295,341,486,340,342,378,380,332,379,415
309,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
310,941,1010,1014,1033,1035,1037,1072,1073,1074,1075
311,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
312,379,341,377,413,414,417,418,448,450,451
314,1133,2963,1095,1475,795,870,1019,1063,1064,1096
315,720,756,757,794,798,415,416,449,487,491
316,901,902,938,939,940,968,976,977,978,1001
317,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
318,901,902,938,939,940,968,976,977,978,1001
320,759,796,797,832,834,835,836,1097,1099,1135
321,865,903,1017,1147,2004,2947,901,902,979,1016
322,191,229,267,268,269,270,305,306,307,309
323,2593,195,1637,1678,1714,1716,1754,2171,2172,2209
324,717,754,755,760,792,720,756,757,794,798
325,994,999,1265,1813,1887,1889,1962,1966,2002,2374
326,1637,1678,1714,1716,1754,2171,2172,2209,2478,2990
327,1147,993,1032,1070,1071,1107,1108,1109,1110,1145
328,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
329,1071,1109,1110,1148,1452,939,941,976,977,978
330,341,873,874,906,909,911,912,945,947,948
331,873,874,906,909,911,912,945,947,948,949
332,71,72,73,109,110,112,147,152,2933,31
333,938,940,968,1054,1083,1086,1122,1124,1156,1245
334,2383,2049,2084,2087,2088,2089,2090,2123,2125,2126
335,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
336,927,929,965,966,967,970,1195,968,1083,1086
337,831,869,871,872,907,908,910,946,983,985
338,523,939,976,977,978,1015,1052,1053,1091,1128
339,527,564,567,603,604,607,608,640,641,642
341,913,1179,687,689,725,762,837,875,876,879
342,867,1777,1778,2650,829,905,943,1056,1398,1626
343,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
344,341,873,874,906,909,911,912,945,947,948
345,786,823,824,862,925,133,827,863,655,660
346,981,486,1057,1285,1475,415,416,449,487,491
347,938,940,1054,1245,1625,1663,1700,1701,1738,901
348,1019,1627,981,1133,2963,873,874,906,909,911
349,295,340,342,378,380,332,263,333,334,371
350,941,1014,1397,979,980,1016,1018,1093,1359,1739
351,441,477,479,480,512,513,515,516,547,549
352,1853,2004,2612,2947,1587,1813,1887,1889,1890,1928
353,900,1130,938,940,1054,1245,1587,1625,1663,1700
354,936,937,975,1050,1051,1088,1089,1090,1126,939
356,831,869,871,872,907,908,910,946,983,985
357,831,869,871,872,907,908,910,946,983,985
358,330,331,369,406,407,408,409,442,443,444
359,709,711,747,748,749,901,902,2941,786,823
360,939,976,977,978,1001,1002,1015,1039,1040,1052
361,330,331,369,406,407,408,409,442,443,444
362,2730,2734,2693,2695,2733,2770,565,2654,2655,2657
363,31,75,106,107,108,111,144,145,150,486
364,340,342,378,380,338,374,379,2935,263,377
365,2725,2691,2730,2734,2762,602,2689,2726,2727,2693
366,1741,1779,1855,867,942,1019,1323,1361,1399,1438
367,1071,1109,1110,1148,1452,994,999,1001,1002,1010
369,2804,2772,2730,2734,2765,2806,2807,2810,2811,2840
370,720,756,757,794,798,377,413,414,417,418
372,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
373,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
374,597,598,599,633,634,636,671,672,697,699
375,925,655,660,692,891,898,928,883,160,161
377,529,566,570,377,413,414,417,418,448,450
378,123,162,163,164,169,170,171,209,211,248
379,658,964,1000,1161,1194,1198,1199,1232,1233,1234
380,827,863,750,883,786,788,823,824,826,862
381,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
383,936,937,975,1050,1051,1088,1089,1090,1126,939
384,793,720,756,757,794,798,379,795,870,1063
385,709,711,747,748,749,2941,597,598,599,633
387,793,379,795,870,1063,1064,1096,1098,1101,1102
388,1147,1032,1070,1071,1107,1108,1109,1110,1145,1146
389,151,183,185,187,188,189,190,222,223,224
390,2004,2947,979,1016,1070,1093,1107,1108,1145,1146
391,2124,2163,2950,3001,2049,2084,2087,2088,2089,2090
392,787,825,864,786,788,789,790,823,824,826
393,159,196,197,198,367,403,405,478,615,616
394,527,564,567,603,604,607,608,640,641,642
395,379,377,413,414,417,418,448,450,451,452
396,32,34,35,37,38,68,74,114,2937,71
397,15,20,32,34,35,37,38,68,74,114
398,795,870,1063,1064,1096,1098,1101,1102,1134,1139
399,597,598,599,633,634,636,671,672,707,710
400,873,874,906,909,911,912,945,947,948,949
401,900,1130,938,940,1054,1245,1587,1625,1663,1700
402,795,870,1063,1064,1096,1098,1101,1102,1134,1139
403,133,597,598,599,633,634,636,655,660,671
404,2639,2480,2673,2677,2709,2711,2712,2714,2715,2748
405,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
406,913,687,689,725,762,837,875,876,879,916
407,793,341,873,874,906,909,911,912,945,947
408,92,136,113,146,148,149,181,184,186,220
409,560,523,3004,720,756,757,794,798,1475,377
410,938,940,1054,1245,1625,1663,1700,1701,1738,901
411,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
412,415,416,449,487,491,492,335,336,337,339
413,786,823,824,862,900,925,927,929,962,963
414,873,874,906,909,911,912,945,947,948,949
415,788,826,3029,2693,2695,2770,829,2651,2688,751
416,120,122,157,121,159,196,197,198,326,437
417,377,413,414,417,418,448,450,451,452,453
418,994,999,1265,1813,1887,1889,1962,1966,2002,2374
419,52,15,19,20,32,34,35,37,38,68
420,2004,2947,979,1016,1093,1160,1730,1739,1768,1771
421,379,795,870,1063,1064,1096,1098,1101,1102,1134
422,524,709,711,747,748,749,750,2941,445,481
423,1133,2963,1095,1475,32,34,35,37,38,68
424,717,754,755,760,792,565,868,1020,1248,1286
426,670,732,733,737,773,775,805,806,807,808
427,939,941,976,977,978,1014,1015,1052,1053,1091
428,133,655,660,692,172,212,213,288,364,21
429,341,873,874,906,909,911,912,945,947,948
430,635,637,674,675,677,752,520,521,787,817
431,873,874,906,909,911,912,945,947,948,949
432,900,1130,829,1513,1626,938,940,1054,1245,1587
433,1741,1779,1855,982,1289,1324,1326,1327,1330,1362
434,560,520,521,787,825,864,1167,1168,1205,1206
435,1129,1623,939,976,977,978,1015,1052,1053,1091
436,939,976,977,978,1001,1002,1015,1039,1040,1052
437,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
438,2004,2947,941,1010,1014,1033,1035,1037,1072,1073
439,873,874,906,909,911,912,945,947,948,949
440,265,341,262,263,264,266,297,298,299,302
441,951,952,953,990,1597,1635,1749,1750,1787,1788
442,938,940,968,1054,1083,1086,1122,1124,1156,1245
443,989,991,992,1027,1028,1029,1030,1031,1066,1067
445,1626,938,940,1054,1245,1625,1663,1700,1701,1738
446,995,997,998,1034,1036,1038,1149,1186,1187,1188
447,486,415,416,449,487,491,492,295,296,335
449,1737,938,940,968,1054,1083,1086,1122,1124,1156
450,1070,1107,1108,1145,1146,1182,1183,1220,1371,1373
451,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
452,795,870,1063,1064,1096,1098,1101,1102,1134,1139
453,831,869,871,872,907,908,910,946,983,985
455,330,331,369,406,407,408,409,442,443,444
456,301,525,526,569,606,645,681,683,718,719
457,251,291,292,3009,328,330,331,365,366,369
458,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
459,938,940,1054,1245,1625,1663,1700,1701,1738,1437
461,1626,938,940,1054,1245,1625,1663,1700,1701,1738
462,92,136,215,251,292,113,146,148,149,181
463,939,976,977,978,1001,1002,1015,1039,1040,1052
464,2593,2553,2554,2555,2588,2589,2592,2630,1637,1678
465,523,21,215,31,75,106,107,108,111,144
466,689,80,344,345,347,381,382,383,384,385
467,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
468,989,991,992,1027,1028,1029,1030,1031,1066,1067
469,507,205,207,240,241,242,243,244,245,280
470,989,991,992,1027,1028,1029,1030,1031,1066,1067
471,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
472,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
473,2004,2947,1777,979,1016,1093,1160,1730,1739,1768
475,1071,1109,1110,1148,1452,1147,994,999,1001,1002
476,994,999,1265,1032,1071,1109,1110,1148,1452,957
477,1737,938,940,968,1054,1083,1086,1122,1124,1156
478,925,927,929,962,963,965,966,967,970,1195
479,1775,1657,1695,1696,1697,1698,1735,1736,2001,2039
480,559,561,595,596,728,525,328,365,366,404
484,938,940,1054,1245,1625,1663,1700,1701,1738,901
485,873,874,906,909,911,912,945,947,948,949
487,831,869,871,872,907,908,910,946,983,985
488,964,1000,1161,1194,1198,1199,1232,1233,1234,1235
489,759,796,797,832,834,835,836,1097,1099,1135
490,501,191,229,267,268,269,270,305,306,307
491,1019,1627,981,1133,2963,873,874,906,909,911
492,338,374,379,2935,340,342,378,380,377,413
493,2717,2718,2719,2753,2754,2755,2756,2757,2758,2760
494,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
496,525,602,565,2273,2311,562,677,752,753,526
497,993,1296,1448,1523,1562,1600,2395,2433,2473,996
498,523,827,863,445,481,482,484,522,556,558
499,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
500,938,940,1054,1245,1625,1663,1700,1701,1738,901
501,3004,2383,670,732,733,737,773,775,805,806
502,113,146,148,149,181,184,186,220,221,2957
503,367,403,405,478,1129,1623,133,328,330,331
504,341,873,874,906,909,911,912,945,947,948
506,831,869,871,872,907,908,910,946,983,985
507,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
508,520,521,1167,1168,1205,1206,1207,1243,1244,1435
509,1032,955,956,994,996,999,1184,1221,1222,1258
510,770,1071,1109,1110,1148,1452,957,1641,1679,1680
511,901,902,786,823,824,862,900,1129,1130,1623
512,709,711,747,748,749,804,2941,597,598,599
513,837,875,876,2016,2017,2054,2056,2093,2587,2623
514,900,1130,938,940,1054,1245,1587,1625,1663,1700
515,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
516,120,122,157,156,123,158,162,163,164,169
517,787,825,864,786,788,789,790,823,824,826
519,295,183,332,31,75,106,107,108,111,144
520,423,425,462,463,464,465,500,344,345,347
521,938,940,968,1054,1083,1086,1122,1124,1156,1245
522,786,823,824,862,925,1209,133,655,660,692
523,123,162,163,164,169,170,171,209,211,248
524,647,2826,764,800,1065,1069,1103,1104,1105,1106
525,981,1057,1285,1475,32,34,35,37,38,68
526,901,902,938,939,940,976,977,978,1015,1052
527,995,997,998,1034,1036,1038,1149,1186,1187,1188
528,259,113,146,148,149,181,184,186,220,221
529,900,1130,938,940,1054,1245,1587,1625,1663,1700
530,251,212,213,288,364,92,136,290,2973,61
531,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
532,901,902,786,823,824,862,900,925,927,929
533,367,403,405,478,133,328,330,331,365,366
536,120,122,157,288,364,290,123,133,158,162
537,901,902,786,823,824,862,900,1129,1130,1623
538,685,723,724,878,877,914,687,725,762,837
539,954,879,916,917,955,956,765,803,840,913
541,951,952,953,990,1597,1635,1749,1750,1787,1788
542,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
543,1994,2482,2486,2528,1813,1887,1889,1962,1966,2002
544,191,229,267,268,269,270,305,306,307,309
545,31,75,106,107,108,111,144,145,150,71
546,445,481,482,484,522,556,558,786,823,824
547,133,290,172,212,213,288,364,160,161,199
548,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
549,2917,2673,2677,2709,2711,2712,2714,2715,2748,2750
550,709,711,747,748,749,2941,597,598,599,633
551,994,999,1265,1032,1071,1109,1110,1148,1452,957
552,981,1626,1246,1284,1322,1360,1436,3004,831,867
553,787,825,864,717,754,755,760,792,829,1513
555,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
556,867,942,1778,2650,829,865,903,905,943,1017
558,994,999,1265,1032,1071,1109,1110,1148,1452,957
559,831,869,871,872,907,908,910,946,983,985
560,151,185,187,188,189,190,222,223,224,225
561,2881,2766,2769,2771,2773,2774,2808,2812,2826,2844
562,1071,1109,1110,1148,1452,939,941,976,977,978
563,865,903,1017,942,901,902,979,1016,1093,1739
564,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
565,1019,1627,981,1133,2963,873,874,906,909,911
567,758,830,1026,1177,1216,1406,1442,1444,1481,1520
568,2483,2487,2523,2524,2525,2527,2562,2564,2602,618
569,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
570,1741,1779,1855,2654,2655,2657,2658,2692,2696,2698
571,32,34,35,37,38,68,74,114,2937,2
572,523,212,213,445,481,482,484,522,556,558
573,251,92,136,290,2973,212,213,288,364,61
574,1890,964,1000,1161,1167,1168,1194,1198,1199,1205
