,croc,oc,disco,Cyp310a1,run,Doc3,Mes2,aay,knrl,tsh
253,873,874,906,909,911,912,945,947,948,949
255,901,902,938,940,1054,1245,1625,1663,1700,1701
256,720,756,757,794,798,527,564,567,603,604
258,931,932,933,1125,1162,1164,1165,1166,1200,1201
259,793,873,874,906,909,911,912,945,947,948
261,1641,1679,1680,1681,1717,1718,1719,1720,1721,1723
262,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
263,1813,1887,1889,1962,1966,2002,2374,2375,2412,2413
264,32,34,35,37,68,74,114,2937,31,38
265,930,1163,1547,900,927,929,965,966,967,970
266,445,481,482,484,520,521,522,556,558,559
268,32,34,35,37,68,74,114,2937,31,38
270,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
272,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
273,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
274,598,635,637,674,675,709,711,747,748,749
275,761,763,799,801,839,1980,764,765,800,803
279,635,637,674,675,677,709,711,747,748,749
280,1737,901,902,938,940,968,1054,1083,1086,1122
281,32,34,35,37,68,74,114,2937,31,38
282,831,869,871,872,907,908,910,946,983,985
283,439,475,476,511,544,545,546,548,581,199
284,931,932,933,1125,1162,1164,1165,1166,1200,1201
285,1019,1627,873,874,906,909,911,912,945,947
286,367,403,405,478,560,786,787,823,824,825
287,2004,2947,1777,865,903,979,1016,1017,1093,1160
288,867,1019,1627,1778,2650,980,1018,1359,3025,873
289,229,267,268,269,270,305,306,307,309,310
290,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
291,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
292,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
293,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
294,837,875,876,913,2016,2017,2054,2056,2093,2931
296,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
297,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
298,758,830,1026,1177,1216,1406,1442,1444,1481,1520
299,901,902,938,940,1054,1245,1625,1663,1700,1701
300,1133,2963,795,870,1019,1063,1064,1096,1098,1101
301,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
302,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
303,795,870,1063,1064,1096,1098,1101,1102,1134,1139
304,527,529,564,566,567,570,603,604,607,608
305,1019,1627,981,1133,2963,873,874,906,909,911
306,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
307,1626,635,637,674,675,709,711,747,748,749
308,295,341,379,342,378,380,486,332,377,413
309,831,869,871,872,907,908,910,946,983,985
310,1890,994,995,997,998,999,1034,1036,1038,1149
311,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
312,341,379,342,378,380,377,413,414,415,416
313,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
315,527,564,567,603,604,607,608,640,641,642
316,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
317,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
318,2004,2947,901,902,938,940,968,1054,1083,1086
319,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
320,759,796,797,832,834,835,836,1097,1099,1135
321,2004,2947,865,903,979,1016,1017,1070,1093,1107
323,230,231,233,234,235,271,272,308,346,954
324,717,754,755,760,792,1100,1210,1439,1476,1477
326,1637,1678,1714,1716,1754,2171,2172,2209,2478,2990
327,993,1070,1107,1108,1145,1146,1147,1160,1183,1296
328,1179,989,991,992,1027,1028,1029,1030,1031,1066
329,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
330,1133,2963,1095,1475,32,34,35,37,68,74
331,873,874,906,909,911,912,945,947,948,949
332,32,34,35,37,68,74,114,2937,31,38
335,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
336,962,963,964,1000,1161,1194,1198,1199,1232,1233
337,831,869,871,872,907,908,910,946,983,985
338,931,932,933,1125,1162,1164,1165,1166,1200,1201
340,1133,2963,1095,1475,32,34,35,37,68,74
341,1179,951,952,953,990,1597,1635,1749,1750,1787
342,1587,1813,1887,1889,1890,1928,1962,1966,2002,2374
343,1357,1464,1465,1466,1617,1619,1620,1621,1641,1656
344,873,874,906,909,911,912,945,947,948,949
345,560,786,787,823,824,825,862,864,445,481
346,1475,486,1171,1550,377,413,414,415,416,417
347,900,1130,901,902,938,940,1054,1245,1587,1625
348,793,1133,2963,295,341,379,795,870,1019,1063
349,295,342,378,380,332,263,340,333,334,371
350,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
351,1357,1464,1465,1466,1617,1619,1620,1621,1641,1656
352,1813,1887,1889,1962,1966,2002,2374,2375,2412,2413
353,900,1130,901,902,938,940,1054,1245,1587,1625
355,786,787,823,824,825,862,864,717,754,755
356,720,756,757,794,798,527,564,567,603,604
357,831,869,871,872,907,908,910,946,983,985
358,407,409,443,446,483,517,518,519,330,331
359,786,787,823,824,825,862,864,788,789,790
360,939,969,976,977,978,1001,1002,1003,1004,1005
361,407,409,443,446,483,517,518,519,367,403
362,2730,2734,2691,2725,2693,2695,2733,2770,793,873
363,377,413,414,415,416,417,418,448,449,450
364,332,295,333,334,371,372,373,410,105,179
365,2762,2725,2730,2734,2691,2767,2768,2724,2763,2964
366,2004,2947,1777,865,903,979,1016,1017,1093,1160
367,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
368,927,929,965,966,967,970,1195,968,1083,1086
370,720,756,757,794,798,377,413,414,415,416
371,340,341,379,377,413,414,415,416,417,418
372,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
373,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
374,697,699,729,731,732,733,734,735,737,766
375,891,925,928,886,887,890,927,929,965,966
376,527,564,567,603,604,607,608,640,641,642
377,529,566,570,151,185,187,188,189,190,222
379,962,963,964,1000,1161,1194,1198,1199,1232,1233
380,857,858,859,860,861,892,893,894,896,897
381,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
382,32,34,35,37,68,74,114,2937,31,38
383,931,932,933,1125,1162,1164,1165,1166,1200,1201
384,793,720,756,757,794,798,341,379,795,870
385,635,637,674,675,709,711,747,748,749,2941
386,133,660,889,926,172,212,213,288,364,1890
387,525,720,756,757,794,798,1475,377,413,414
388,1070,1107,1108,1145,1146,1147,1160,1183,1373,1410
389,151,185,187,188,189,190,222,223,224,225
390,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
391,2124,2163,2950,3001,527,564,567,603,604,607
392,786,787,823,824,825,862,864,788,789,790
393,941,1014,1094,1397,1587,1890,1891,1892,1928,2496
394,527,564,567,603,604,607,608,640,641,642
395,341,379,377,413,414,415,416,417,418,448
396,32,34,35,37,68,74,114,2937,31,38
397,17,19,445,481,482,484,520,521,522,556
398,1133,2963,1095,1475,795,870,1019,1063,1064,1096
399,597,599,633,634,636,670,671,672,707,710
400,873,874,906,909,911,912,945,947,948,949
401,900,1130,901,902,938,940,1054,1245,1587,1625
402,1133,2963,795,870,1019,1063,1064,1096,1098,1101
403,2636,2556,2557,2593,2594,2595,2597,2637,2638,2678
404,2639,2599,2601,2640,2641,2939,2480,2673,2677,2709
405,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
406,837,875,876,913,2016,2017,2054,2056,2093,2931
407,527,564,567,603,604,607,608,640,641,642
408,92,136,215,61,91,100,137,138,253,46
409,560,445,481,482,484,520,521,522,556,558
410,1737,901,902,938,940,968,1054,1083,1086,1122
411,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
413,927,929,965,966,967,970,1195,968,1083,1086
414,873,874,906,909,911,912,945,947,948,949
415,788,826,827,863,3029,829,750,751,791,1587
416,120,122,157,121,159,196,197,198,119,154
417,377,413,414,415,416,417,418,448,449,450
418,927,929,965,966,967,970,1195,968,1083,1086
419,32,34,35,37,68,74,114,2937,15,20
421,377,413,414,415,416,417,418,448,449,450
422,553,554,555,557,587,589,590,591,592,623
423,32,34,35,37,68,74,114,295,341,379
425,229,267,268,269,270,305,306,307,309,310
426,697,699,729,731,732,733,734,735,737,766
427,989,991,992,1027,1028,1029,1030,1031,1066,1067
428,660,889,926,199,200,201,202,203,204,206
429,1893,341,379,795,870,1063,1064,1096,1098,1101
430,553,554,555,557,587,589,590,591,592,623
431,795,870,1063,1064,1096,1098,1101,1102,1134,1139
432,786,787,823,824,825,862,864,717,754,755
433,717,754,755,760,792,1513,1100,1210,1323,1361
434,367,403,405,478,560,786,787,823,824,825
435,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
436,939,969,976,977,978,1001,1002,1003,1004,1005
437,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
438,1890,994,995,997,998,999,1034,1036,1038,1149
439,873,874,906,909,911,912,945,947,948,949
440,265,341,379,529,566,570,2938,262,263,264
441,951,952,953,990,1597,1635,1749,1750,1787,1788
442,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
443,951,952,953,990,1597,1635,1749,1750,1787,1788
444,1019,1627,873,874,906,909,911,912,945,947
445,900,1130,829,1513,1626,901,902,938,940,1054
446,994,995,997,998,999,1034,1036,1038,1149,1186
447,447,38,485,486,523,377,413,414,415,416
448,981,32,34,35,37,68,74,114,527,564
449,1737,901,902,938,940,968,1054,1083,1086,1122
450,1070,1107,1108,1145,1146,1147,1183,1373,1410,1411
451,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
452,1893,795,870,1063,1064,1096,1098,1101,1102,1134
453,720,756,757,794,798,377,413,414,415,416
454,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
455,330,331,369,406,408,442,444,514,3017,212
457,524,445,481,482,484,520,521,522,556,558
458,989,991,992,1027,1028,1029,1030,1031,1066,1067
459,901,902,938,940,1054,1245,1625,1663,1700,1701
460,786,787,823,824,825,862,864,788,789,790
461,901,902,938,940,1054,1245,1625,1663,1700,1701
462,46,126,57,59,92,93,94,95,99,61
463,3004,939,969,976,977,978,1001,1002,1003,1004
464,2593,2553,2554,2555,2588,2589,2592,2630,1637,1678
465,32,34,35,37,68,74,114,2937,31,38
466,689,344,345,347,381,382,383,384,385,386
467,565,868,1020,1248,1286,1288,1325,1363,1364,1368
468,989,991,992,1027,1028,1029,1030,1031,1066,1067
469,507,129,130,131,165,166,168,125,127,128
470,989,991,992,1027,1028,1029,1030,1031,1066,1067
471,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
472,655,692,962,963,964,1000,1161,1194,1198,1199
474,1513,1209,1247,1475,1551,1100,1210,1323,1361,1399
475,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
476,994,995,997,998,999,1034,1036,1038,1149,1186
477,745,746,778,779,781,815,816,1737,2565,2566
478,927,929,965,966,967,970,1195,968,1083,1086
479,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
480,728,328,365,366,404,559,561,595,596,597
481,788,826,827,863,3029,750,751,791,1587,1928
482,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
483,377,413,414,415,416,417,418,448,449,450
484,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
485,1893,341,379,795,870,1063,1064,1096,1098,1101
486,891,925,928,886,887,890,927,929,965,966
487,2693,2695,2770,720,756,757,794,798,527,564
488,962,963,964,1000,1161,1194,1198,1199,1232,1233
489,759,796,797,832,834,835,836,1097,1099,1135
490,230,231,233,234,235,271,272,308,346,954
491,2804,2765,2806,2807,2810,2811,2840,2842,2999,793
492,342,378,380,295,335,336,337,338,339,341
493,439,475,476,511,544,545,546,548,581,857
494,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
495,989,991,992,1027,1028,1029,1030,1031,1066,1067
496,523,526,560,525,720,756,757,794,798,340
497,993,1296,1448,1523,1562,1600,2395,2433,2473,996
498,1775,829,2809,2847,788,818,826,827,863,1504
499,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
500,1737,901,902,938,940,968,1054,1083,1086,1122
501,2004,2947,133,597,599,633,634,636,670,671
503,439,475,476,511,544,545,546,548,581,931
504,873,874,906,909,911,912,945,947,948,949
505,1737,901,902,938,940,968,1054,1083,1086,1122
506,831,869,871,872,907,908,910,946,983,985
507,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
508,931,932,933,1125,1162,1164,1165,1166,1200,1201
509,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
511,1,2,3,4,5,6,7,8,9,10
512,804,597,599,633,634,636,670,671,672,697
513,685,687,723,724,725,762,878,647,649,688
514,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
515,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
516,120,122,157,121,159,196,197,198,119,154
517,786,787,823,824,825,862,864,788,789,790
518,527,564,567,603,604,607,608,640,641,642
519,105,179,486,22,28,30,36,66,332,256
520,501,423,425,462,463,464,465,500,229,267
521,1626,901,902,938,940,1054,1245,1625,1663,1700
522,786,787,823,824,825,862,864,891,925,928
523,123,162,163,164,169,3012,120,122,126,129
524,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
525,32,34,35,37,68,74,114,2937,31,38
526,901,902,938,940,1054,1245,1625,1663,1700,1701
527,618,619,621,962,963,964,1000,1161,1194,1198
528,257,258,219,255,259,113,146,148,149,181
529,900,1130,901,902,938,940,1054,1245,1587,1625
530,132,123,162,163,164,169,3012,57,59,92
531,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
532,927,929,965,966,967,970,1195,968,1083,1086
533,367,403,405,478,133,328,330,331,365,366
534,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
535,3004,1129,1167,1168,1205,1206,1207,1243,1244,1435
536,288,364,120,122,157,249,250,251,133,170
537,900,1130,901,902,938,940,1054,1245,1587,1625
539,954,957,958,959,960,1755,1757,1758,1759,1760
540,3004,602,981,1626,597,599,633,634,636,670
541,951,952,953,990,1597,1635,1749,1750,1787,1788
542,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
543,1994,2482,2486,2528,883,1813,1887,1889,1962,1966
545,32,34,35,37,68,74,114,2937,22,28
546,857,858,859,860,861,892,893,894,896,897
547,439,475,476,511,544,545,546,548,581,368
548,341,379,377,413,414,415,416,417,418,448
549,2674,2675,2676,2710,2713,2982,2631,2632,2633,2635
550,597,599,633,634,636,670,671,672,707,710
551,994,995,997,998,999,1034,1036,1038,1149,1186
552,981,1626,1246,1284,1322,1360,1436,3004,831,867
554,526,720,756,757,794,798,340,377,413,414
555,935,936,937,971,972,973,974,975,1011,1012
557,930,1163,1547,900,927,929,965,966,967,970
558,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
559,3004,939,976,977,978,1013,1015,1052,1053,1055
560,113,146,148,149,181,184,186,220,221,2957
561,2766,2769,2771,2773,2774,2808,2812,2844,2846,2848
562,2004,2947,941,1010,1014,1033,1035,1037,1071,1072
563,865,903,979,1016,1017,1093,1739,1776,1814,1815
564,2643,2644,2645,2680,2681,2682,2683,2685,2722,2599
565,981,1057,1285,1475,831,869,871,872,907,908
566,527,564,567,603,604,607,608,640,641,642
567,829,1133,1513,1589,1853,2612,2963,758,830,1026
568,2926,2661,2662,2699,2700,2737,2738,2739,2740,2775
570,1019,1627,873,874,906,909,911,912,945,947
571,9,10,2974,2976,8,38,55,90,2928,2981
572,523,3004,525,720,756,757,794,798,1475,377
573,92,251,61,91,100,137,138,253,123,162
574,962,963,964,1000,1161,1194,1198,1199,1232,1233
575,935,936,937,971,972,973,974,975,1011,1012
576,720,756,757,794,798,1475,377,413,414,415
579,761,763,799,801,839,1980,764,765,800,803
