,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
1044,1252,3030,1290,1557,1519,1481,1443,1405,1367,1329
1048,1213,1216,1178,1140,1102,1064,1254,1026,1175,1251
1059,150,152,112,109,107,31,70,67,104,64
1065,934,896,972,1010,1048,1086,1124,1162,1200,1238
1072,1166,1502,1464,1540,1578,1616,1654,1692,1730,1768
1078,146,148,186,145,182,143,180,103,102,63
1082,1130,1738,1700,1662,1624,1586,1092,1054,1016,1776
1112,1040,2291,1002,2292,2293,964,2329,1078,1116,1154
1123,1213,1216,1178,1140,1102,1064,1254,1026,1175,1251
1143,1165,1472,1510,1548,1434,1396,1358,1127,1089,1203
1150,577,616,578,615,654,617,618,2965,619,657
1152,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
1161,1978,1940,2016,2931,2015,1939,1977,2053,2092,2054
1176,1669,1706,1707,1668,1744,1782,1820,1858,1896,1745
1195,1205,1308,1167,1346,1384,1422,1460,1498,1536,1574
1200,2548,2509,2549,2585,2550,2586,2942,2624,2625,2513
1203,1003,1662,1624,1700,1738,1586,1776,2947,1814,1852
1209,1201,1504,1239,1542,1580,1618,1656,1694,1466,1428
1213,2935,757,756,378,377,794,793,831,869,907
1231,108,109,144,106,105,107,31,70,142,65
1232,2935,225,378,377,340,303,304,414,452,490
1236,247,511,548,510,286,512,513,551,589,590
1244,1001,1032,1039,1070,1108,1146,963,1147,1185,1223
1256,422,343,381,460,459,458,3011,419,3024,498
1260,1181,1218,1143,1180,1105,1067,1029,1219,1257,991
1293,1205,889,1167,1168,1130,1092,1054,1016,978,940
1295,3030,1520,1482,1444,1406,1368,1330,1292,3038,1557
