,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
1029,1282,1280,1320,1318,1356,1244,2994,2967,1242,1394
1049,1153,1155,1115,1191,1117,1079,1041,1003,965,927
1058,675,714,637,676,639,678,640,638,601,602
1070,1216,3014,1178,1140,1139,1101,1063,1102,1064,1025
1071,737,767,775,805,804,738,776,814,813,851
1089,1483,1711,1673,1635,1597,1749,1559,1521,1787,1825
1090,76,38,114,36,30,2937,73,37,74,35
1107,2673,2668,2712,2710,2713,2714,2715,2754,2709,2671
1129,1077,2949,1342,1380,1304,1266,1418,1456,1494,1532
1131,130,132,131,129,134,135,93,169,166,165
1180,883,922,921,960,998,959,997,1035,1073,2936
1181,263,265,264,226,187,224,148,149,111,147
1184,949,680,987,1025,1063,1101,1139,3014,1177,1215
1194,225,263,302,300,262,185,2957,184,183,181
1207,2962,2994,1244,1282,1320,1588,1626,1664,1702,1740
1208,1201,1125,1239,1163,1087,1049,1277,1315,1353,1391
1211,845,773,807,811,849,887,925,772,734,883
1222,1009,1577,1615,1653,1539,1501,1463,1425,1047,971
1234,2246,1524,1562,1600,1638,1676,1714,1752,1790,1828
1266,708,807,845,670,633,746,595,672,634,597
1278,1125,1129,1163,1091,1053,1015,977,1201,1239,1087
1296,162,163,123,125,161,164,3012,165,166,160
1297,150,152,112,109,107,31,70,67,104,64
