,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
605,1228,1146,1190,1108,1229,1070,1032,1147,1185,1223
607,2207,2244,2246,2247,2284,2322,2360,2398,2436,2285
609,763,764,725,724,685,800,838,876,877,2986
630,836,873,911,874,912,950,835,949,987,1025
632,1279,1316,1317,1241,1355,1354,1393,1431,1469,1507
635,204,475,203,202,201,200,199,236,437,474
642,1329,1062,1367,1405,1291,1253,1443,1481,1519,1557
651,1253,874,1291,1329,1367,1405,1443,1481,1519,1557
664,155,117,156,118,119,2966,83,154,115,116
669,3038,1253,1291,1292,1330,1368,1406,1444,1329,1367
689,417,492,456,454,455,453,415,416,379,341
692,1139,836,1101,1063,3014,1025,987,949,874,912
699,401,440,402,439,478,479,441,403,442,405
704,1279,1316,1317,1241,1355,1354,1393,1431,1469,1507
721,32,34,28,35,74,72,71,110,2933,37
727,1028,991,953,915,1029,1067,1105,1143,1181,1219
734,1405,1140,1367,1178,1329,1216,1291,1253,1102,1064
794,2531,2570,2608,2569,2607,2606,2567,2604,2566,2565
796,765,879,841,802,840,878,839,801,916,917
804,682,988,643,1026,1064,1102,1140,1178,1216,1254
805,1049,1011,1087,973,935,897,1125,1163,1201,1239
819,669,974,706,936,1012,898,860,1050,1088,1126
827,1032,1299,1261,2988,1337,1223,1185,1375,1413,1070
842,790,828,791,866,904,942,980,1018,753,754
849,1315,3004,1277,1353,1391,1429,1467,1505,1543,1581
873,844,1114,1076,1152,1038,1000,882,920,958,962
876,2806,2728,2969,2769,2808,2733,2695,2696,2844,2805
882,2989,3030,1632,1557,1519,1481,1443,1405,1367,1329
884,485,525,563,526,486,449,523,562,524,487
895,524,529,562,523,487,567,522,605,644,606
900,1361,1132,1323,1170,2932,1208,1246,1284,1094,1322
906,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
908,2947,1504,1814,1852,1890,1542,1580,1618,1656,1694
913,172,249,210,208,206,170,133,205,173,250
914,2961,481,482,520,521,560,561,443,562,524
920,414,415,416,379,341,380,342,453,492,490
926,759,798,796,834,872,910,948,986,1024,1062
931,1196,1697,1659,1621,1583,1234,1735,1158,1545,1507
938,1048,1049,1087,1125,1163,1201,1239,1086,1010,972
941,473,240,241,472,239,238,474,242,437,237
948,1136,1062,1098,1100,1138,1174,1024,986,948,910
951,2359,2959,2397,2357,2321,2435,2434,2396,2395,2283
952,1205,2967,1167,1242,1280,1318,1356,1394,1432,1470
953,2086,1482,1520,1444,1406,1368,1330,1292,3038,1558
955,2749,2925,2920,2788,2711,2913,2748,3028,2790,2791
985,1055,1283,1321,1093,1245,1207,1017,1131,1169,1206
989,843,847,885,923,961,999,881,919,957,844
1040,1243,2994,1281,1244,1282,1320,1206,1319,1357,1395
1046,843,842,881,919,957,844,882,920,958,806
1056,529,530,568,606,567,644,605,604,566,527
1060,910,1062,1100,1138,1024,986,948,1176,1214,872
1074,2603,2643,2642,2641,2640,2601,2600,2561,2598,2560
1101,2243,2281,2282,2244,2207,2246,2247,2284,2322,2360
1105,1395,1199,1161,1357,1237,1275,1433,1471,1509,1547
1108,2081,2119,2080,2042,2157,2196,2197,2159,2234,2233
1111,1776,2947,1814,1852,1890,1738,1700,1662,1624,1586
1132,1113,1151,1075,1189,1227,2992,1265,1303,1341,1379
1158,378,379,341,380,416,415,342,2935,377,453
1160,1737,2980,2945,1699,1661,1623,1774,1736,1698,1660
1170,362,438,325,399,436,435,434,433,470,469
1171,669,740,706,668,630,593,631,632,594,702
1179,798,831,793,869,907,945,983,1021,1059,1097
1185,998,927,960,965,922,1003,1041,1079,1117,1155
1188,906,981,944,982,1020,943,905,867,1058,1096
1197,1028,1977,1939,990,952,914,1066,1104,1142,1180
1226,1065,1108,1103,1146,1070,1032,1141,1179,1027,989
1227,749,2941,748,747,785,788,750,713,711,712
1230,2130,2132,2091,2170,2171,2131,2093,2055,2056,2017
1245,312,275,276,277,278,279,280,243,244,207
1263,2313,2315,2316,2353,2391,2430,2930,2431,2469,2470
1268,2127,2165,2166,2128,2090,2164,2126,2049,2011,2048
1273,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
1274,888,620,3033,621,660,658,698,2955,619,2965
1287,1410,1411,1449,3039,1373,1372,1334,1296,1258,1220
