,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
1008,1032,1038,1070,1108,1146,1076,1114,1152,1147,1185
1024,2229,2155,2193,2228,2192,2154,2153,2152,2191,2230
1031,91,463,92,89,88,87,85,124,84,122
1061,181,485,183,184,486,449,523,562,524,487
1073,2774,950,912,874,836,2773,2736,988,1026,1064
1080,2982,2670,2674,2675,2676,2639,2678,2671,2709,2677
1100,2967,1239,1201,1242,1163,1125,1280,1318,1356,1394
1110,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
1113,879,2131,841,2132,2170,2171,2169,2208,2209,2172
1126,338,377,378,2935,340,303,304,414,452,490
1139,1811,934,1849,1887,972,1010,896,1773,1048,1086
1140,2845,2848,2847,2999,2811,2884,2883,2810,2772,2734
1167,1076,1080,1114,1118,1152,1042,1156,1038,1000,962
1172,1073,1642,1604,1566,1528,1490,2975,1452,1414,1035
1173,1001,1032,1039,1070,1108,1146,963,1147,1185,1223
1174,1258,1259,1220,1297,1335,2951,1221,1296,1334,1372
1182,28,52,51,32,54,35,19,74,21,37
1202,992,994,1030,956,954,1068,1106,1144,1182,918
1212,1558,1026,1064,1102,1140,1178,1216,1254,1520,1482
1214,379,341,380,416,415,342,453,492,490,491
1223,2597,2636,2939,2637,2638,2599,2596,2595,2557,2556
1224,1566,844,1528,1490,2975,1452,1414,1604,1642,1376
1229,154,157,120,115,122,84,124,85,158,87
1243,951,953,989,915,1027,913,991,1029,1067,1105
1258,951,2205,989,1027,913,1065,1103,1141,1179,1217
1259,1147,1148,1185,1223,1261,1299,2988,1337,1375,1413
1261,1073,2172,1035,997,959,2210,2936,3007,1149,1187
1267,2471,1641,1679,1717,1755,1603,1565,2433,3005,1527
