,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
596,1141,1142,1179,1104,1066,1180,1218,1103,1065,1027
600,1245,1277,1207,1315,1353,1283,1321,1391,1429,1467
611,832,870,908,946,984,1022,1060,1098,1136,1174
625,255,1245,1207,1283,1321,294,257,259,3004,1359
643,1245,939,1207,901,1283,1321,863,825,787,977
645,2086,2051,2013,1975,1937,1899,1861,1823,1785,1747
646,1613,1879,1575,1537,1499,1841,1461,1423,1385,1347
650,1112,1077,1111,1074,1036,1039,1001,963,998,960
663,3038,1253,1291,1292,1330,1368,1406,1444,1329,1367
673,993,992,955,917,1030,1031,954,1068,1106,1144
674,172,133,210,170,208,206,205,173,174,175
683,2949,1033,1342,1380,1304,1266,1418,1456,1494,1532
706,2941,785,747,748,749,788,750,713,711,712
729,80,117,43,156,79,116,81,118,119,2966
742,1840,1838,1876,1802,1800,1762,1764,1726,1688,1724
759,1213,2237,1175,1251,1289,1327,1365,1403,1441,1479
760,874,339,912,950,836,988,1026,1064,1102,1140
769,1914,1800,1762,1838,1876,1724,1686,2997,1951,1989
771,1140,1367,1405,1178,1329,1216,1291,1253,1102,1064
781,1879,1922,1960,1841,2946,1956,1957,1995,2032,2070
789,75,38,36,30,2937,2933,110,71,72,34
831,1946,2252,2214,1908,1984,1983,2021,2213,2177,2139
841,2790,2791,3028,2830,2793,2788,2749,2711,2748,2747
846,847,889,885,923,961,999,1036,1074,1112,1111
856,1667,1666,1629,1704,1742,1780,1591,1705,1743,1628
859,1055,1092,1093,1054,1130,1016,1168,1017,978,940
863,537,611,573,499,650,612,613,614,577,615
869,172,237,274,210,238,239,240,241,242,273
871,3038,1292,1330,1368,1406,1444,1482,1520,1558,1254
872,608,644,570,605,606,568,530,567,529,604
874,988,874,912,950,836,1026,1064,1102,1140,1178
901,120,845,157,122,807,84,124,85,158,87
929,988,3038,1292,1330,1368,1406,1444,1482,1520,1558
949,1190,1150,1228,1188,1229,1226,1264,1302,1340,1378
950,1077,1119,1081,1043,1005,1039,1001,963,1157,1195
962,364,288,289,2995,365,404,363,405,444,3017
968,1186,1191,1224,1262,1153,1115,1148,1300,1338,1376
973,684,2011,2049,2126,2164,2048,2010,3027,1972,1934
984,1037,1840,1802,1075,1113,1151,1189,1227,2992,1265
991,2616,2620,2579,2618,2656,2617,2654,2653,2652,2651
1022,2124,988,2087,1026,1064,1102,1140,1178,1216,1254
1027,1061,836,1099,874,912,950,1137,1023,985,947
1034,2917,2885,2919,2916,2911,2909,2907,2867,2904,2901
1043,1916,1873,1835,1797,1759,1721,1878,1911,1949,1987
1062,259,38,36,30,2937,257,294,255,298,261
1063,162,437,123,125,121,159,197,196,126,127
1066,2503,2427,2426,2425,2464,2424,2462,2423,2460,2421
1067,2244,2205,2207,2167,2206,2246,2247,2284,2322,2360
1081,798,836,874,912,950,988,1026,1064,1102,1140
1092,2790,2791,3028,2830,2793,2788,2749,2711,2748,2747
1127,2188,1037,2189,1075,1113,2151,2190,1151,1189,1227
1138,829,293,332,295,330,867,905,943,981,1019
1141,603,646,3016,641,679,716,677,684,642,569
1144,2219,1691,1729,2181,2180,1653,1615,1577,1539,1501
1146,1290,1253,1291,1329,1367,1405,1252,1443,1481,1519
1147,1175,1176,1214,1213,1251,1289,1327,1365,1403,1441
1151,874,1251,912,950,836,1213,1175,1289,1327,1365
1153,1064,988,1102,1140,1178,1216,1254,1026,950,912
1154,3038,1099,1292,1330,1368,1406,1444,1061,1482,1520
1156,267,533,571,609,610,572,535,574,536,573
1164,972,973,1010,934,896,1011,935,897,1048,1086
1186,164,437,3012,163,161,165,166,160,198,3031
1196,2728,2730,2729,2727,2764,2765,2802,2800,2798,2803
1246,414,494,452,532,493,531,569,3016,646,684
1247,148,224,149,111,147,108,144,106,105,142
1262,2962,1246,1208,2932,1170,1132,1284,1094,1588,1626
1276,1075,2936,1113,3007,1149,1187,1225,1073,1035,997
1279,1032,1270,1232,1070,1194,1108,1146,1147,1185,1223
1282,2261,2648,2262,2224,2187,2225,2226,2265,2227,2266
1286,451,1444,1406,1368,1330,1292,3038,1482,1520,1558
