,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
988,407,409,3017,444,405,442,445,483,446,403
1003,2282,2320,2243,2358,2319,2281,2244,2207,2246,2247
1038,1283,938,1321,1245,1207,900,862,976,1014,1052
1042,1216,3014,1178,1140,1139,1101,1063,1102,1064,1025
1047,2471,2551,2433,2510,2511,2589,2512,2475,2590,2591
1052,1181,1190,1228,1143,1105,1229,1067,1029,1219,1257
1053,2789,2737,2828,2829,2826,2825,2787,2785,2784,2745
1057,1028,1027,989,951,913,1065,1103,1141,1179,990
1069,658,664,702,620,3033,621,660,740,625,587
1088,1153,1155,1115,1191,1117,1079,1041,1003,965,927
1091,1052,1661,1699,1623,1737,2945,1585,1547,1014,976
1096,2619,874,912,950,836,988,1026,1064,1102,1140
1116,1201,1127,1239,1163,1125,1089,1087,1049,1165,1277
1136,400,669,706,668,630,593,631,632,594,629
1145,1013,1049,1051,1087,1125,1163,1201,1239,975,937
1155,1251,379,341,380,416,415,1213,1175,342,1289
1168,671,711,710,673,712,635,674,636,599,600
1183,478,328,479,439,441,327,401,366,367,368
1191,66,32,28,35,74,26,24,22,37,18
1215,263,265,264,226,187,224,148,149,111,147
1217,541,458,3011,540,419,3024,459,498,579,580
1218,76,38,114,36,30,2937,73,37,74,35
1239,640,907,678,639,945,983,676,714,1021,1059
1271,1291,1634,1253,1329,1367,1405,1443,1481,1519,1557
1281,1118,1156,1080,1042,1194,1232,1270,1269,1307,1345
1283,452,414,490,453,415,416,379,341,380,342
