,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
1094,640,718,678,639,676,714,680,717,755,754
1119,1558,1557,1519,1481,1443,1405,1367,1329,1291,1253
1128,1859,1821,1783,1745,1897,1707,1669,1935,1973,1631
1133,1205,1150,1188,1167,1226,1264,1302,1340,1378,1416
1142,136,255,137,294,257,63,259,102,103,180
1148,1147,1148,1185,1223,1261,1299,2988,1337,1375,1413
1149,567,605,644,529,606,568,530,604,566,527
1157,1308,1298,1336,1260,1374,1346,1384,1422,1460,1498
1159,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
1166,607,567,645,529,683,722,605,644,606,568
1192,951,1028,989,1027,913,1065,1103,1141,1179,990
1199,1757,3005,1755,1717,1679,1641,1603,1565,1527,1489
1204,1013,1049,1051,1087,1125,1163,1201,1239,975,937
1233,1049,1011,1087,973,935,897,1125,1163,1201,1239
1235,1013,1049,1051,1087,1125,1163,1201,1239,975,937
1238,646,682,3016,643,680,718,717,755,754,753
1242,172,213,212,210,208,206,170,133,205,211
1248,459,2017,1979,1980,458,3011,419,3024,2056,2055
1255,1527,1532,1494,1456,1489,1451,1418,1380,2949,1342
1257,1102,2010,1064,1140,1178,1216,1254,1026,3027,1972
1264,379,1557,341,1519,1481,1443,1405,1367,1329,1291
1269,1221,1449,1411,1259,1297,1335,2951,1373,1183,1487
1275,1002,941,979,1040,964,903,865,827,1078,1116
1280,1643,1645,1605,1567,1529,1491,3021,1453,1415,1683
1289,1205,1202,1164,1167,1240,1126,1088,1050,1012,974
