,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
1095,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
1102,1153,1155,1115,1191,1117,1079,1041,1003,965,927
1103,414,1669,1707,1745,1783,1821,1859,1897,1935,1973
1115,998,1852,1890,960,1814,2947,1776,1738,1700,1662
1118,1596,377,1634,1672,1710,1748,1786,1824,1862,1900
1122,1255,1522,1484,1293,1217,1446,1408,1370,3034,1179
1124,1060,1100,1062,1138,1024,986,948,1022,984,946
1135,801,839,878,840,802,765,763,725,724,685
1137,338,2935,378,377,340,303,304,414,452,490
1165,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
1193,1153,1155,1115,1191,1117,1079,1041,1003,965,927
1216,1052,1661,1699,1623,1737,2945,1585,1547,1014,976
1220,19,51,52,54,21,23,2981,50,48,2928
1225,934,1240,972,1010,1202,1164,896,1048,1086,1124
1237,262,259,257,294,255,300,298,261,254,216
1240,379,2842,341,2804,380,416,415,342,2766,2803
1249,657,661,623,622,619,2965,618,617,654,615
1250,1519,1026,1557,1481,1443,1405,1367,1329,1291,1253
1252,1298,1282,1320,1336,1244,2994,1260,1374,1412,1222
1272,484,518,517,516,515,480,477,476,447,446
1277,225,304,303,340,2935,378,377,414,452,490
1284,2188,2189,2151,2190,2113,2150,2111,2073,2035,2149
1285,959,1796,1834,997,1035,1073,1758,1720,2936,3007
1288,1119,1196,1081,1043,1234,1005,1158,1272,1310,1120
1290,1954,2179,2216,1992,1916,1878,1840,1802,1764,1726
1291,1153,1155,1115,1191,1117,1079,1041,1003,965,927
