,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
1010,1028,1030,992,954,990,952,914,1068,1106,1144
1013,1683,1153,1115,1191,1645,1607,1569,1531,1493,1455
1018,1190,1150,1228,1188,1229,1226,1264,1302,1340,1378
1035,532,1821,1783,1745,1859,1897,1707,1669,493,531
1054,1669,1706,1707,1668,1744,1782,1820,1858,1896,1745
1064,1903,1106,1144,1182,1941,1068,1030,992,954,1865
1075,1153,1155,1115,1191,1117,1079,1041,1003,965,927
1077,1708,2049,1746,1784,1822,1860,2011,2956,1898,1936
1084,1055,1663,1625,1587,1093,1017,1701,1739,1777,1815
1098,1708,1481,1443,1746,1519,1557,1784,1822,1860,1405
1106,1190,1037,1228,1229,1075,1113,1266,1304,1342,2949
1117,403,478,479,439,441,401,440,402,442,405
1130,367,675,637,366,638,601,602,564,527,328
1162,3038,1253,1291,1292,1330,1368,1406,1444,1329,1367
1175,1821,1938,1783,1976,1900,1745,1862,1824,1786,1748
1177,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
1198,1809,1767,1805,1843,1771,1733,1847,1885,1923,1695
1206,2597,2768,2939,2599,2596,2767,2731,2770,2732,2657
1210,1891,1929,1967,2005,2043,1966,1853,1815,1777,1739
1221,1140,1026,1178,1216,1102,1064,1254,988,950,912
1228,3030,1252,1290,1557,1519,1481,1443,1405,1367,1329
1253,1075,1112,1113,1111,1074,1036,1037,1151,1189,1227
1254,83,77,78,2966,41,119,118,117,156,44
1265,567,605,644,529,606,568,530,604,566,527
1292,2982,2670,2674,2675,2676,2639,2678,2671,2709,2677
1294,29,105,106,144,108,69,27,25,62,142
