,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
524,1065,1408,1446,1103,1370,1484,1522,3034,1141,1179
529,1663,1738,1625,1587,1700,1662,1624,1586,1776,2947
536,503,158,157,120,122,84,124,85,502,87
548,2989,1592,1632,1670,1555,1517,1479,1441,1403,1365
551,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
561,2911,2926,2909,2907,2867,2904,2916,2917,2919,2901
570,2545,2203,2507,2506,2240,2278,2277,2314,2352,2202
579,801,803,839,878,840,802,765,804,805,767
584,273,312,275,274,237,238,239,240,241,242
588,1093,1017,1055,1131,1169,1206,2994,1244,1282,1320
602,1150,1145,1107,1188,1226,1264,1302,1340,1378,1416
604,2366,2369,3015,2993,2407,2446,2409,2406,2367,2368
622,1405,1367,1329,1291,1253,1443,1481,1519,1557,3030
636,465,41,78,77,466,44,464,82,45,2928
652,500,462,423,461,498,459,458,3011,419,3024
667,239,204,203,202,201,200,240,241,238,242
688,1361,1055,1093,1323,1017,1399,1285,1247,1209,1171
695,2366,2369,3015,2993,2407,2446,2409,2406,2367,2368
700,752,714,676,639,678,640,751,715,753,754
702,1214,1251,1176,1213,1175,1289,1327,1365,1403,1441
707,2603,2642,2641,2643,2640,2601,2600,2561,2598,2560
708,518,437,517,516,515,480,477,476,474,473
709,1130,1055,1093,1092,1054,1016,1168,1017,978,940
710,2172,2217,2210,2171,2170,2132,2131,2169,2208,2209
718,578,612,616,613,614,577,615,654,617,618
719,864,789,902,826,827,865,903,941,979,940
730,997,1685,1647,959,1609,1571,1035,1073,1533,1495
731,341,379,380,416,415,342,453,492,490,491
751,1043,807,1081,1119,1005,845,1157,1195,1233,1271
762,330,331,370,333,368,293,332,295,367,366
763,1298,2155,2193,1336,1260,1374,1412,1222,1184,1145
765,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
782,1130,1092,1054,1016,1168,978,940,1167,1205,902
784,1142,1283,1321,1104,1245,1207,1066,1180,1218,1028
785,415,416,379,341,380,342,453,492,490,491
797,2050,2010,2012,2088,3027,2089,1972,1934,2048,1896
836,1141,2015,1179,1103,1065,1027,989,951,913,1217
837,1245,675,1207,1283,1321,637,638,601,602,564
875,1213,1250,1212,1175,1251,1289,1327,1365,1403,1441
888,1346,1344,1306,1384,1422,1460,1498,1536,1574,1612
894,38,36,30,2937,16,14,11,6,4,2
903,1580,1583,1621,1542,1659,1697,1618,1656,1694,1504
912,942,1016,1054,1092,1130,904,866,1168,980,1018
917,798,760,721,720,797,835,873,911,949,987
921,1663,1090,1625,1587,1128,1052,1014,976,2977,1701
922,306,161,163,164,3012,165,166,160,198,3031
957,1074,808,1112,1111,1036,846,998,960,922,1150
988,437,168,167,474,473,472,475,514,552,553
1003,2281,2320,2358,2319,2243,2282,2244,2207,2246,2247
1038,1283,1321,1245,1207,3004,1359,1397,1435,1473,1511
1042,1139,3014,1101,1063,1025,987,949,1177,1215,911
1047,2551,2598,2560,2559,2561,2600,2601,2640,2589,2641
1052,1181,1217,1143,1105,1255,1293,1067,1029,1219,1257
1053,874,873,912,950,911,836,835,949,987,1025
1057,1027,1028,989,951,913,1065,1103,1141,1179,990
1069,658,664,702,620,3033,621,660,740,625,587
1088,1153,1115,1191,1077,1039,1001,963,1230,1268,1267
1091,1663,1776,1625,1587,1738,1700,1662,1624,1586,2947
1096,874,873,912,950,911,836,835,949,987,1025
1116,1163,1201,1239,1125,1087,1049,1277,1315,1353,1391
1136,400,362,325,401,439,478,479,441,442,405
1145,2941,709,785,747,748,749,788,750,713,671
1155,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
1168,671,707,710,673,744,705,667,745,635,704
1183,291,328,327,366,367,368,331,370,333,334
1191,2543,2544,2505,2468,2467,2542,2429,2583,2622,2428
1215,263,265,264,226,187,224,148,149,111,147
1217,500,542,2958,505,544,541,540,579,580,543
1218,31,32,70,107,109,28,35,74,37,26
1239,907,983,945,1021,1059,1097,1135,869,831,793
1271,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
1281,1921,1956,2946,1920,1957,1995,2032,2070,2108,2107
1283,1254,682,1216,1178,1140,1102,1064,1026,643,988
