,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
989,843,847,885,923,961,999,881,919,957,844
1040,1243,1055,1281,1093,1017,1131,1169,1206,2994,1244
1046,843,889,881,919,957,844,882,920,958,806
1056,529,494,567,605,644,606,568,530,604,566
1060,1254,871,1216,1178,1140,1102,1064,1026,909,947
1074,1916,1910,1948,1986,1872,2024,2023,1878,1954,1992
1101,2243,2281,2282,2244,2207,2246,2247,2284,2322,2360
1105,1091,1738,1700,1662,1624,1053,1586,1015,977,1129
1108,1020,1059,982,1021,1097,1135,944,906,983,945
1111,1091,1130,1053,1015,977,1092,1054,1129,1016,1168
1132,1113,1151,1075,1189,1227,2992,1265,1303,1341,1379
1158,150,152,112,109,107,31,70,67,104,64
1160,1152,1157,1195,1114,1076,1233,1271,1038,1000,1308
1170,403,476,477,440,402,515,516,517,518,480
1171,2679,2680,2681,2716,2717,2718,2719,2720,2721,2683
1179,494,798,797,835,873,911,949,987,1025,1063
1185,998,2064,2026,960,922,1036,1074,1112,1111,1150
1188,260,1246,1208,2932,1170,1132,1284,1094,1322,1360
1197,951,1977,989,1027,913,1939,1065,1103,1141,1179
1226,1065,1104,1103,1142,1066,1180,1218,1141,1179,1027
1227,1052,1013,1051,1014,976,1090,1128,2977,975,937
1230,1522,1370,1484,1408,1446,3034,1521,1559,1597,1635
1245,579,580,543,581,582,545,546,509,541,540
1263,2313,2315,2316,2353,2391,2430,2930,2431,2469,2470
1268,2391,2392,2354,2430,2930,2431,2469,2317,2279,2241
1273,1252,342,1290,380,341,379,416,415,1328,1366
1274,446,483,445,3017,444,405,442,403,440,402
1287,1599,1904,1561,1942,1637,1675,1713,1751,1789,1827
