,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
543,2815,2817,2818,2953,2856,2857,2858,2859,2779,2778
550,676,2523,2485,2524,2487,2525,714,639,678,640
564,2641,2678,2639,2676,2603,2642,2675,2674,2982,2643
565,38,2937,30,36,16,14,11,6,4,2
567,3014,1098,1136,1139,1101,1063,1025,987,949,1174
583,2716,2678,2639,2679,2717,2676,2680,2681,2675,2674
590,341,494,379,380,416,415,342,453,492,490
591,2255,2256,2218,2219,2181,2180,2258,2220,2221,2222
606,38,75,36,30,2937,2933,110,71,72,34
612,802,800,838,876,877,2986,915,953,991,1029
628,988,950,912,874,836,1026,1064,1102,1140,1178
631,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
638,442,438,405,444,3017,445,483,446,403,440
648,2949,1022,1342,1380,1304,1266,1418,1456,1494,1532
666,1214,1291,1253,1329,1367,1405,1443,1481,1519,1557
691,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
728,1783,1822,1821,1745,1784,1746,1708,1860,1859,1897
738,754,753,755,717,718,680,715,752,751,643
748,1017,1132,1170,2932,1208,1246,1284,1094,1322,1360
799,1939,2207,1977,2244,1940,2246,2247,2284,2322,2360
800,1586,2962,1624,1662,1700,1738,1776,2947,1814,1852
802,1367,1329,1405,1291,1253,1443,1481,1519,1557,3030
811,1022,2048,984,946,1060,1098,1136,1174,1212,1250
821,781,1697,1659,1621,1583,1735,1545,1507,1469,1431
839,752,715,751,753,754,755,717,718,680,643
851,444,558,557,596,559,3017,598,405,597,634
858,874,1328,1366,1404,1442,1480,1518,1556,912,950
887,845,731,807,693,655,883,921,959,997,1035
892,1178,1063,1140,1216,1101,1139,3014,1102,1064,1025
897,187,189,188,226,264,224,148,149,111,147
911,1042,1282,1320,1244,2994,1080,1118,1156,1194,1232
915,2254,1150,1188,1226,1264,1302,1340,1378,1416,1454
925,1405,1402,1367,1329,1440,1291,1253,1443,1481,1519
928,1010,972,934,896,1048,1086,1124,1162,1200,1238
935,1824,1859,1786,1897,1748,1710,1862,1900,1938,1976
936,32,30,2937,28,36,38,35,74,37,26
942,1744,1819,1782,1781,1820,1706,1668,1858,1896,1857
994,988,2048,1026,1064,1102,1140,1178,1216,1254,2010
1002,38,75,36,30,2937,2933,110,71,72,34
1006,1245,328,1207,1283,1321,327,366,367,3004,368
1014,888,2338,2339,2301,2340,2337,2303,3000,2342,926
1016,463,425,426,424,385,384,2978,345,387,349
1021,353,351,354,355,356,319,320,352,350,388
1026,2581,2659,2618,2579,2616,2656,2617,2654,2653,2652
1051,424,425,385,384,2978,345,426,387,349,306
1068,785,1009,1047,971,933,895,2941,1085,1123,1161
1079,1139,3014,1101,1063,1025,987,949,1177,1215,911
1083,1037,2366,1075,1113,3015,1151,1189,1227,2992,1265
1095,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
1102,1153,1115,1191,1077,1039,1001,963,1230,1268,1267
1103,414,1558,1520,1482,1444,1406,1368,1330,1292,3038
1115,960,998,922,1036,1074,1112,1111,1150,1188,1226
1118,1596,2970,1594,1634,1672,1710,1748,1786,1824,1862
1122,1522,2015,1484,1446,1408,1370,3034,2931,2016,1521
1124,2124,2047,2087,2009,1971,1933,1895,1857,1819,1781
1135,802,807,845,765,840,878,839,801,763,725
1137,263,265,264,226,187,224,148,149,111,147
1165,1099,1063,1101,1139,3014,1025,987,1061,949,1137
1193,1153,1115,1191,1077,1039,1001,963,1230,1268,1267
1216,1052,1083,1014,976,1045,1090,1128,2977,1121,1159
1220,1160,1124,1198,1162,1236,1274,1122,1312,1350,1388
1225,1276,1125,1238,1200,1163,1201,1239,1314,1352,1390
1237,32,14,11,28,35,74,37,26,66,24
1240,341,3030,379,380,416,415,1557,1519,1481,1443
1249,657,621,3033,660,620,658,619,2965,618,617
1250,1026,760,1064,1102,1140,1178,1216,1254,988,721
1252,1309,1071,1347,1385,1423,1461,1499,1537,1575,1613
1272,590,626,627,628,666,629,589,551,591,625
1277,14,683,11,645,607,722,644,605,606,568
1284,2189,2227,2188,2151,2190,2265,2113,2150,2111,2073
1285,1270,959,1232,997,1194,1035,1073,2936,3007,1149
1288,1083,1009,1047,971,933,1045,895,1121,1159,1197
1290,1150,1191,1188,1153,1115,1226,1264,1302,1340,1378
1291,2258,2114,2220,2221,2222,2184,2146,2219,2181,2180
