,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
636,41,44,78,77,82,45,2928,48,50,2981
652,425,462,426,424,385,384,2978,345,387,349
667,889,851,813,814,776,738,737,775,700,699
688,1285,1322,1247,1209,1171,1360,2963,1133,1095,1398
695,2182,2257,2295,2294,2143,2105,2142,2103,2144,2106
700,401,476,439,478,479,441,477,515,516,517
702,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
707,2561,2480,2598,2560,2559,2600,2601,2640,2641,2603
708,158,197,196,159,121,157,120,122,84,124
709,1395,1125,1357,1163,1433,1471,1509,1201,1239,1547
710,2161,2950,2162,2123,2200,2163,2125,2085,2084,2046
718,405,437,474,473,472,475,444,3017,514,552
719,560,559,596,558,557,561,521,520,482,481
730,1497,1494,1456,1532,1459,1418,1380,2949,1342,1304
731,798,831,793,869,907,945,983,1021,1059,1097
751,949,950,912,874,987,1025,1063,1101,1139,3014
762,496,327,534,328,495,497,366,367,368,331
763,2418,1435,1473,2417,2416,1511,2415,2453,2380,2381
765,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
782,2334,2335,2372,2333,2373,2374,2375,2413,2332,2331
784,991,1028,953,915,1029,1067,1105,1143,1181,1219
785,377,379,341,380,416,415,342,378,2935,453
797,2430,2011,2049,2391,2930,2431,2469,2126,2164,2048
836,1484,1485,1522,1523,1446,1408,1370,3034,1447,1521
837,741,743,780,781,819,742,818,856,894,932
875,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
888,986,2529,2528,1024,948,2568,1062,1100,1138,2527
894,22,24,26,66,28,32,35,74,37,18
903,1395,931,1357,1433,1471,1509,1547,1585,1623,1661
912,903,941,979,865,827,789,1017,1055,1093,1131
917,760,2540,721,720,2541,2501,2538,2499,2502,2536
921,1310,1564,1272,1602,1526,1640,1678,1716,1754,1792
922,405,437,474,473,472,475,444,3017,514,552
957,1064,1023,1102,1140,1178,1216,1254,985,1026,947
988,572,612,610,609,571,613,614,535,574,536
1003,2282,2419,2243,2457,2456,2455,2454,2492,2491,2490
1038,1015,1053,1091,977,1129,939,901,863,825,787
1042,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
1047,17,20,15,13,12,10,2976,23,21,19
1052,1729,1691,1653,1615,1577,1539,1501,1463,1425,1387
1053,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
1057,1167,1257,1219,1205,1181,1143,1105,1067,1029,991
1069,554,557,558,592,596,559,555,556,553,590
1088,846,776,808,738,770,884,922,960,998,1036
1091,1623,1660,1698,1661,1699,1737,2945,1736,1622,1584
1096,2539,2621,2576,2614,2575,2537,2578,2577,2613,2650
1116,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
1136,285,286,247,287,284,322,283,282,281,318
1145,1356,1009,1318,1280,1047,971,933,2967,1242,895
1155,2974,1325,1287,1249,1211,1363,1401,1439,1477,1515
1168,766,767,2987,805,804,806,844,882,920,958
1183,286,325,247,362,287,284,246,245,324,323
1191,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
1215,413,414,452,490,453,415,416,379,341,380
1217,2589,2627,2628,2629,2551,2590,2591,2592,2593,2594
1218,105,11,14,106,144,108,142,65,138,99
1239,3027,1897,1859,1821,1783,1745,1707,1669,2010,1972
1271,1368,1399,1406,1330,1292,1444,3038,1482,1520,1361
1281,1807,1841,1845,1879,1769,1731,1693,1655,1617,1883
1283,643,682,680,718,717,755,754,753,715,752
