,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
1062,259,2803,2801,2799,2837,2874,2835,2795,2832,2831
1063,437,162,123,125,121,159,197,196,126,127
1066,950,988,912,874,836,1026,1064,1102,1140,1178
1067,2244,2205,2207,2167,2206,2246,2247,2284,2322,2360
1081,798,494,797,835,873,911,949,987,1025,1063
1092,2639,2673,2678,2712,2676,2675,2674,2710,2982,2677
1127,2188,2189,2151,2190,2113,2150,2111,2073,2035,2149
1138,293,373,332,295,330,372,371,408,369,406
1141,684,2733,2695,2808,2769,2969,2696,2806,2844,2805
1144,1154,1077,1192,1116,1230,1268,1267,1305,1343,1381
1146,1253,1252,1291,1329,1367,1405,1290,1443,1481,1519
1147,453,1250,1212,1288,1326,1364,1402,1440,1478,1516
1151,874,2989,1632,912,950,836,1670,1555,1517,1479
1153,2774,1026,1064,1102,1140,1178,1216,1254,2773,2736
1154,1406,1444,1368,1330,1292,3038,1482,1520,1558,1254
1156,191,229,230,192,153,193,194,158,157,120
1164,1794,478,1832,479,1756,439,441,1718,1680,1642
1186,162,163,123,125,161,164,3012,165,166,160
1196,988,2728,1026,1064,1102,1140,1178,1216,1254,950
1246,760,794,756,757,721,793,831,869,907,945
1247,113,149,111,147,108,144,106,105,142,65
1262,2962,2233,2234,2195,2194,1588,1626,1664,1702,1740
1276,1075,2936,1113,3007,1149,1187,1225,1073,1035,997
1279,997,1264,1302,959,1035,1073,2936,3007,1149,1187
1282,1380,2607,2949,1342,1304,1266,1418,1456,1494,1532
1286,1744,1783,1821,1745,1782,1820,1706,1668,1859,1897
