,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
512,844,807,845,882,920,958,843,881,919,957
514,1125,1049,1087,1163,1201,1239,1277,1315,1353,1391
517,752,784,822,751,860,898,936,974,1012,1050
560,227,300,262,225,302,185,2957,184,183,181
585,201,202,200,203,204,199,236,167,168,169
595,1115,1194,1153,1191,1232,1270,1269,1307,1345,1383
613,2847,2885,2848,2999,2811,2884,2845,2883,2810,2772
615,493,494,531,532,569,3016,646,684,570,608
616,1003,1309,1347,1385,1423,1461,1499,1537,1575,1613
617,3004,1235,1197,1159,1121,1273,1311,1349,1387,1425
618,1224,1187,1262,1186,1225,1149,1148,3007,2936,1073
621,2567,2606,2607,2608,2570,2604,2566,2565,2602,2563
623,1130,2416,2417,2418,1092,1054,1016,1168,978,940
633,1065,1104,1103,1142,1066,1180,1218,1141,1179,1027
639,1077,2949,1342,1380,1304,1266,1418,1456,1494,1532
713,378,379,341,380,416,415,342,2935,377,453
715,31,107,70,109,112,150,152,67,104,64
723,198,117,156,3031,118,119,2966,83,155,160
743,38,339,36,30,2937,376,375,412,411,373
747,993,1145,1107,955,917,1031,1184,1222,1260,1298
754,687,685,724,725,763,686,649,3023,688,764
778,2167,2206,2205,2168,2129,2131,2132,2170,2171,2169
786,1037,1035,1073,997,959,2936,3007,1149,1187,1225
787,1111,1152,1112,1114,1076,1074,1036,1038,1000,998
793,2016,1028,2931,990,952,914,2015,1066,1104,1142
817,2329,2330,2331,2332,2368,2291,2292,2293,2328,2979
822,684,682,643,680,718,717,755,754,753,715
844,599,1245,636,1207,1283,1321,600,674,635,673
850,1054,789,1092,1130,1016,1168,978,940,827,865
852,829,2499,2538,2501,2502,867,905,943,981,1019
893,1800,1905,1762,1838,1876,1867,1829,1791,1943,1981
898,853,892,930,968,1006,1044,1082,1120,1158,1196
932,2188,2189,2151,2190,2113,2150,2111,2073,2035,2149
933,214,252,175,174,177,178,179,173,210,172
940,1279,1316,1317,1241,1355,1354,1393,1431,1469,1507
960,1636,1901,1863,2960,1825,1787,1674,1712,1750,1788
971,1329,1330,1292,1368,1406,1444,3038,1367,1405,1291
972,2694,986,1024,948,1062,1100,1138,910,1176,1214
976,1783,1861,1821,1745,1823,1899,1937,1859,1897,1975
990,406,442,405,444,3017,445,483,446,403,440
993,19,49,86,46,54,52,51,47,21,81
996,1190,1149,1228,1187,1225,1229,3007,2936,1073,1035
997,1522,1485,1484,1523,1446,1408,1370,3034,1447,1521
998,2247,2246,2284,2322,2360,2398,2436,2207,2244,2285
1000,1558,3030,1557,1519,1481,1443,1405,1367,1329,1291
1001,913,952,990,914,951,989,1027,1065,1103,1141
1007,754,790,791,755,717,718,680,753,715,752
1008,2325,2366,3015,2993,2403,2440,2367,2406,2369,2407
1024,2105,2061,2100,2098,2136,2142,2143,2023,2024,1986
1031,463,500,502,503,499,537,574,536,535,572
1061,790,485,791,486,449,523,562,524,487,522
1073,950,1064,1102,912,1140,1178,1216,874,836,1254
1080,2751,2752,2750,2753,2792,2755,2756,2715,2754,2714
1100,2967,1125,1163,1242,1201,1239,1280,1318,1356,1394
1110,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
1113,2131,649,2132,2170,2171,2169,2208,2209,2172,2210
1126,1591,1592,1629,1667,1705,1743,1781,1819,1857,1895
1139,931,1125,1163,1201,1239,1087,1049,969,1007,1045
1140,2845,2883,2884,2847,2848,2999,2811,2810,2772,2734
1167,708,746,670,633,595,672,634,597,745,707
1172,1073,1114,1076,1152,1035,997,959,2936,3007,1149
1173,2322,2323,2360,2398,2436,2284,2246,2247,2207,2244
1174,1268,1190,1228,1267,1229,1230,1305,1343,1381,1419
1182,28,32,35,74,37,26,66,24,22,18
1202,992,1031,1030,993,955,917,954,1068,1106,1144
1212,1558,1444,1406,1368,1330,1292,3038,1482,1520,1254
1214,1249,982,1211,1020,1287,1325,1363,1401,1439,1477
1223,2597,2679,2939,2716,2717,2680,2681,2718,2719,2599
1224,842,807,845,880,918,956,994,804,805,767
1229,118,154,115,119,2966,83,117,156,155,116
1243,951,953,989,915,1027,913,991,1029,1067,1105
1258,951,953,989,915,1027,913,991,1029,1067,1105
1259,1183,1181,1143,1105,1067,1029,1219,1257,991,953
1261,2254,1954,1992,1916,1878,2215,1840,1802,1764,1726
1267,2471,2169,2433,2510,2511,2208,2209,2131,2132,2170
