,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
568,2926,2888,2968,2886,2887,2885,2922,2919,2917,2916
573,550,514,588,549,586,552,553,554,592,555
580,1153,1155,1115,1191,1117,1079,1041,1003,965,927
589,2910,2872,2871,2912,2876,2877,2878,2841,2881,2882
603,1202,1238,1200,1164,1276,1240,1314,1352,1390,1428
610,556,558,557,555,596,559,592,554,553,590
626,1199,1083,1161,1237,1275,1045,1123,1085,1121,1159
629,1291,1077,1253,1329,1367,1405,1443,1481,1519,1557
634,786,212,824,213,823,861,899,937,975,1013
640,417,453,456,415,416,379,341,380,342,454
647,1214,1253,1291,1329,1367,1405,1443,1481,1519,1557
658,824,788,786,750,713,823,861,899,937,975
668,874,873,912,950,911,836,835,949,987,1025
670,1083,1086,1045,1048,1010,972,934,896,1121,1159
675,683,646,3016,684,645,607,569,531,493,532
678,988,1024,986,948,1062,1100,1138,910,1176,1214
679,1250,3014,1212,1139,1101,1063,1025,987,949,1177
682,958,925,920,887,849,811,773,882,844,843
687,1009,1282,1320,1244,2994,1047,971,933,895,1206
697,2998,2004,1965,1964,1926,1888,1850,1812,2980,1774
720,685,686,724,725,763,687,649,3023,688,764
724,2130,2959,2357,2091,2093,2055,2056,2017,1979,1980
735,1203,1204,1242,2967,1280,1318,1356,1394,1432,1470
753,212,2947,1814,1852,1890,1776,1738,1700,1662,1624
764,981,1049,1087,1125,1163,1201,1239,943,905,867
770,1903,1141,1179,1941,1103,1065,1027,989,951,913
779,1028,993,955,917,1031,990,952,914,916,1066
806,791,755,717,790,718,680,754,753,715,752
828,947,948,986,1024,909,985,1023,1062,1100,1138
838,673,712,710,671,711,635,674,636,599,600
840,1895,2579,1933,1971,2009,2047,1857,1819,1781,1743
847,1330,1292,1368,1406,1444,3038,1482,1520,1558,1254
866,1861,1858,1896,1823,1899,1937,1820,1782,1744,1706
870,2279,2240,2241,2242,2204,2278,2317,2354,2392,2316
883,139,177,140,141,218,178,179,101,176,2973
890,2273,2318,2356,2235,2312,2280,2394,2355,2272,2310
896,2313,2315,2316,2353,2391,2430,2930,2431,2469,2470
902,784,1083,822,1045,1121,1159,1197,1235,1273,1311
907,643,983,945,907,682,1021,1059,1097,1135,869
918,981,982,1020,944,906,943,905,867,1058,1096
947,874,986,1024,948,912,950,836,1062,1100,1138
961,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
964,1052,1358,1396,1434,1014,976,1090,1128,2977,1472
966,879,841,916,917,955,993,1031,1069,1107,1145
982,529,798,567,605,644,606,568,530,604,566
986,2163,2124,2087,2125,2162,2950,2048,2010,3027,1972
992,978,942,940,904,866,980,1018,1016,1054,1092
1023,1738,1661,1699,1623,1700,1662,1624,1737,2945,1586
1025,1007,1279,1317,1241,969,1355,1393,1431,1469,1507
1029,1282,3004,1320,1244,2994,1206,1319,1357,1395,1433
1049,1946,1950,1988,1908,1984,1983,2021,2026,2064,1989
1058,675,711,637,712,638,601,602,564,527,749
1070,1402,1139,1440,1101,1063,3014,1478,1516,1554,1025
1071,2067,2104,2029,2066,2027,2065,2102,2063,2101,2138
1089,1293,1103,1255,1065,1217,1141,1179,1027,989,951
1090,37,38,36,30,2937,74,35,32,28,26
1107,2666,2665,2667,2706,2664,2668,2669,2707,2708,2746
1129,1077,2949,1342,1380,1304,1266,1418,1456,1494,1532
1131,132,49,131,86,46,134,135,169,47,81
1180,851,961,923,885,847,999,813,814,776,738
1181,414,415,416,379,341,380,342,453,492,490
1184,984,1022,946,1060,1098,1136,1174,1212,1250,1288
1194,225,263,302,300,262,185,2957,184,183,181
1207,2962,1245,1207,1283,1321,1588,1626,1664,1702,1740
1208,482,520,481,521,560,561,443,562,524,523
1211,1115,1153,1191,1077,1039,1001,963,1230,1268,1267
1222,1343,1077,1305,1267,1268,1230,1381,1419,1457,1495
1234,1409,991,1371,953,915,1029,1067,1105,1143,1181
1266,2603,708,2642,2641,670,633,746,2643,2640,2601
1278,1130,1093,1055,1092,1054,1016,1168,1017,978,940
1296,134,132,131,135,169,168,167,204,203,202
1297,758,1026,1064,1102,1140,1178,1216,1254,988,950
