,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
616,1342,1044,2949,1380,1304,1266,1418,1456,1494,1532
617,929,930,968,891,1006,1044,1082,1120,1158,1196
618,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
621,2451,2489,2450,2412,2411,2410,2371,2490,2491,2492
623,1954,2179,2216,1992,1916,1878,1840,1802,1764,1726
633,1147,1181,1143,1105,1067,1029,1185,1223,1261,1299
639,2334,2335,2372,2333,2373,2374,2375,2413,2332,2331
713,413,414,452,490,453,415,416,379,341,380
715,22,24,26,66,28,32,35,74,37,18
723,117,307,156,118,119,2966,83,155,154,115
743,413,414,452,490,453,415,416,379,341,380
747,2475,2477,2512,2511,2510,2433,2471,2476,2439,2478
754,647,685,648,3026,724,725,763,764,800,838
778,2282,1677,2243,1639,1601,1563,1525,1715,1753,1487
786,1130,1131,1169,1092,1054,1016,1168,978,940,1093
787,1064,1023,1102,1140,1178,1216,1254,985,1026,947
793,2359,2360,2397,2321,2398,2436,2322,2284,2435,2434
817,2257,2295,2294,2258,2220,2221,2222,2184,2146,2219
822,641,773,679,716,811,849,887,925,677,603
844,895,745,933,971,1009,1047,707,744,705,667
850,2381,2458,2380,2496,2421,2460,2457,2419,2456,2455
852,788,824,786,750,713,823,861,899,937,975
893,2360,2447,2486,2398,2436,2322,2284,2484,2445,2954
898,889,851,813,814,776,738,737,775,700,699
932,1852,1888,1890,1850,1814,2947,1926,1964,1776,1738
933,811,844,849,887,925,773,882,920,958,843
940,1203,1204,1242,2967,1280,1318,1356,1394,1432,1470
960,1483,1821,1783,1745,1859,1897,1707,1669,1445,1407
971,1153,1191,1115,1077,1039,1001,963,1230,1268,1267
972,921,923,961,883,959,997,1035,1073,2936,3007
976,2127,2203,2128,2090,2164,2126,2049,2011,2048,2010
990,408,479,478,439,441,401,369,371,442,405
993,41,19,78,77,44,54,52,51,21,23
996,26,66,24,22,28,32,35,74,37,18
997,1483,1486,1448,3039,1410,1372,1334,1296,1258,1220
998,1905,1941,1867,1829,1791,1903,1943,1981,1753,1715
1000,1824,1402,1786,1440,1748,1710,1862,1900,1938,1976
1001,471,506,508,507,544,505,2958,542,541,540
1007,2497,2576,2534,2495,2494,2539,2535,2536,2614,2575
1008,1130,1131,1169,1092,1054,1016,1168,978,940,1093
1024,2182,1454,1416,1378,1340,1302,1264,1492,1530,1568
1031,467,503,502,468,504,463,500,466,465,464
1061,524,485,562,523,487,522,486,449,484,447
1073,2430,2011,2049,2391,2930,2431,2469,2126,2164,2048
1080,845,848,807,886,924,962,1000,1038,1076,1114
1100,1162,1161,1199,1124,1237,1275,1200,1238,1276,1314
1110,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
1113,1905,1941,1867,1829,1791,1903,1943,1981,1753,1715
1126,1539,1578,1501,1463,1540,1502,1464,1425,1577,1615
1139,2412,2415,2453,2450,2451,2411,2410,2371,2416,2417
1140,677,714,676,639,678,640,716,679,641,603
1167,2567,2605,2644,2606,2607,2608,2570,2604,2566,2565
1172,1310,1319,1272,1234,1196,1158,1120,1082,1044,1357
1173,2362,1032,1070,1108,1146,1147,1185,1223,1261,1299
1174,1220,1222,1258,1184,1296,1334,1372,1410,3039,1448
1182,28,32,35,74,37,26,66,24,22,18
1202,1129,1147,1185,1223,1261,1299,2988,1337,1375,1413
1212,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
1214,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
1223,2681,2639,2678,2680,2676,2679,2716,2717,2675,2674
1224,805,806,767,844,882,920,958,843,881,919
1229,158,197,196,159,121,157,120,122,84,124
1243,1257,2207,1219,1181,1143,1105,1067,1029,991,953
1258,685,686,724,725,763,687,649,3023,688,764
1259,1147,1181,1143,1105,1067,1029,1185,1223,1261,1299
1261,1954,2179,2216,1992,1916,1878,1840,1802,1764,1726
1267,2554,2477,2439,2476,2475,2512,2511,2510,2433,2471
