,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
608,2711,2752,2753,2792,2755,2756,2751,2750,2749,2788
614,2685,2722,2964,2683,2721,2720,2724,2725,2681,2680
624,682,988,643,1026,1064,1102,1140,1178,1216,1254
644,1055,1054,1093,1092,1130,1016,1168,1017,978,940
649,2943,2619,1215,1177,3014,1139,1101,1063,1025,987
653,796,1026,1064,1102,1140,1178,1216,1254,988,759
654,367,330,366,293,332,295,328,327,368,331
657,1253,1593,1291,1329,1367,1405,1443,1481,1519,1557
665,1153,1113,1075,1115,1191,1037,1151,1189,1227,2992
672,1249,909,1211,1287,1325,947,1363,1401,1439,1477
714,34,37,72,71,110,2933,74,35,32,28
716,646,607,3016,645,684,683,569,531,493,532
739,571,497,609,610,496,534,495,572,535,574
745,41,961,923,78,77,885,847,999,44,1036
746,362,217,219,258,325,260,179,178,177,252
749,1250,2943,1212,1288,1326,1364,1402,1440,1478,1516
750,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
752,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
757,1593,608,1631,570,2944,1669,1707,1745,1783,1821
761,2124,2467,2087,2468,2505,2544,2429,2583,2622,2048
768,2648,978,940,1016,1054,1092,1130,1168,1167,1205
773,988,1025,987,1063,1101,1139,3014,949,1177,1215
790,1017,1055,1093,1131,1169,1206,2994,1244,1282,1320
801,1152,1113,1075,1114,1076,1038,1037,1000,1151,1189
809,1671,1251,1213,1175,1709,1747,1785,1289,1327,1365
813,2368,2447,2486,2484,2445,2330,2331,2332,2954,2449
845,2208,2172,2210,2169,2209,2131,2132,2170,2171,2055
857,1250,1139,1212,1101,1063,3014,1025,987,949,1177
862,2015,1977,1939,2931,2016,1978,1940,2053,2092,2054
865,913,572,951,989,1027,1065,1103,1141,1179,1217
877,451,492,453,415,416,379,341,380,342,489
878,1144,1104,1182,1106,1142,1066,1180,1218,1068,1030
881,886,889,924,848,962,1000,1038,1076,1114,1152
886,798,1861,1823,1899,1937,1975,2013,1785,1747,1709
891,620,445,3033,621,660,483,658,446,698,2955
909,2911,2921,2924,2909,2907,2867,2904,2916,2917,2919
927,1228,1149,1190,1187,1225,1229,3007,2936,1073,1035
930,30,34,2937,36,38,72,71,110,2933,68
946,984,1022,946,1060,1098,1136,1174,1212,1250,1288
958,1520,1823,1861,1899,1482,1937,1444,1406,1368,1330
965,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
970,840,880,918,956,994,878,839,801,842,802
977,2467,2469,2468,2505,2544,2429,2583,2431,2930,2430
979,1557,3030,1519,1481,1443,1405,1367,1329,1291,1253
981,2180,2181,2219,2258,2220,2221,2222,2184,2146,2109
987,384,2978,385,345,424,387,349,306,425,426
995,172,133,210,170,208,206,205,173,174,175
1010,761,723,799,837,875,913,951,989,1027,1065
1013,1460,1302,1264,1498,1422,1384,1346,1536,1574,1612
1018,1190,1413,1228,1375,1337,2988,1299,1261,1223,1185
1035,798,760,721,720,797,835,873,911,949,987
1054,1706,2203,1668,1744,1782,1820,1858,1896,1630,1592
1064,1357,1358,1396,1434,1395,1433,1471,1509,1547,1585
1075,1155,1153,1115,1191,1117,1079,1041,1003,965,927
1077,684,950,912,874,836,988,1026,1064,1102,1140
1084,172,1055,1093,1017,1131,1169,1206,2994,1244,1282
1098,1482,1214,1520,1444,1406,1368,1330,1292,3038,1176
1106,1037,1269,1307,1345,1383,1421,1459,1497,1535,1573
1117,239,237,240,241,238,242,274,273,3010,235
1130,367,404,366,365,2995,328,327,368,331,370
1162,3038,1253,1291,1292,1330,1368,1406,1444,1329,1367
1175,1861,1821,1783,1745,1823,1899,1937,1859,1897,1975
1177,3030,1668,1706,1744,1782,1820,1858,1896,1557,1519
1198,1809,2113,1771,1733,1847,1885,1923,1695,1961,1998
1206,2767,2768,2731,2770,2732,2657,2728,2727,2764,2765
1210,1891,992,1929,1030,954,1068,1106,1144,1182,1967
1221,1025,1026,987,1063,1101,1139,3014,949,1064,1102
1228,3030,1557,1519,1481,1443,1405,1367,1329,1291,1253
1253,1043,1075,1113,1081,1119,1005,1037,1151,1189,1227
1254,120,437,157,122,84,124,85,158,87,194
1265,1596,1594,2970,1634,1672,1710,1748,1786,1824,1862
1292,2712,2751,2673,2750,2710,2752,2753,2792,2755,2756
1294,683,2938,645,607,722,644,605,606,568,530
