,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
369,2768,2731,2767,2770,2732,2657,2728,2727,2764,2765
378,401,476,439,478,479,441,477,515,516,517
412,447,524,562,523,487,484,522,446,483,445
420,1152,1114,1076,1038,1000,962,924,886,848,1190
424,957,2731,919,881,843,844,882,920,958,2768
456,464,465,466,426,425,424,385,384,2978,345
473,1091,1127,1053,1015,977,1129,1089,1165,1203,1204
502,37,114,76,74,35,32,28,26,66,24
510,629,632,666,628,627,626,594,591,631,593
538,840,846,808,770,884,922,960,998,1036,1074
544,1147,1181,1143,1105,1067,1029,1185,1223,1261,1299
553,2596,629,666,628,627,626,591,2597,2939,2599
556,1056,1133,2963,1171,1209,1247,1285,1095,1094,1132
569,1125,1155,1163,1117,1079,1201,1239,1041,1003,965
577,817,820,779,858,896,934,972,1010,1048,1086
578,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
581,1539,1578,1501,1463,1540,1502,1464,1425,1577,1615
594,922,884,960,998,1036,1074,1112,1111,1150,1188
597,1130,1131,1169,1092,1054,1016,1168,978,940,1093
601,1631,1629,1667,1591,1593,1705,1743,1781,1819,1857
637,957,843,881,919,844,882,920,958,806,767
641,758,1064,1102,1140,1178,1216,1254,1026,988,950
659,89,97,91,92,88,87,85,124,84,122
660,2339,655,693,2338,2301,2340,731,2337,2303,3000
662,1354,1008,1046,1316,970,1278,1392,1430,1468,1506
676,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
681,2660,2619,2657,2732,2770,2731,2768,2767,2728,2727
685,2681,2639,2678,2680,2676,2679,2716,2717,2675,2674
690,1478,1514,1516,1476,1438,1554,1440,1402,1552,1590
722,1656,1694,1618,1580,1542,1504,1466,1428,1390,1352
732,2009,2432,2470,1971,2047,1933,1895,1857,1819,1781
733,1187,1193,1225,1231,1149,3007,2936,1073,1035,997
736,828,2459,2498,866,904,942,980,1018,2461,2500
740,2609,2648,2571,2610,2611,2612,2574,2573,2572,2533
741,132,57,131,94,134,59,135,169,93,130
766,889,851,813,814,776,738,737,775,700,699
774,552,369,514,408,371,553,554,592,555,556
780,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
788,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
807,896,931,934,972,1010,1048,1086,969,1007,1124
808,2689,2690,2691,2692,2693,2655,2726,2725,2724,2964
814,1851,2155,2193,1889,1813,1775,1927,2192,2154,2153
818,1999,1998,2037,2075,1961,1923,1885,1847,1809,1771
830,914,2360,952,990,2398,2436,1028,2322,2284,1066
835,1449,1445,1411,1407,1369,1373,1331,1293,1255,1217
853,848,3018,886,924,962,1000,1038,1076,1114,1152
854,617,618,2965,619,654,615,577,657,620,3033
860,1821,1440,1783,1745,1402,1478,1516,1554,1859,1897
864,1140,1178,1216,1102,1064,1254,1026,988,950,912
868,1295,1141,1179,1333,1103,1065,1371,1409,1027,989
879,585,622,623,661,624,587,625,626,627,628
885,2660,2619,2657,2732,2770,2731,2768,2767,2728,2727
889,617,618,2965,619,654,615,577,657,620,3033
924,2822,2826,2783,2825,2789,2828,2829,2787,2785,2823
939,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
943,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
944,2257,2295,2294,2258,2220,2221,2222,2184,2146,2219
945,2952,1683,1645,1607,1569,1531,1684,1646,1608,1570
956,1331,1009,1369,1407,1445,1047,971,933,895,1293
1009,1454,1456,1494,1532,1418,1380,2949,1342,1304,1266
1015,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
1017,1124,1123,1085,1162,1200,1238,1276,1314,1352,1390
1028,1162,1161,1199,1124,1237,1275,1200,1238,1276,1314
1030,303,375,304,340,2935,378,377,376,339,412
1032,303,375,304,340,2935,378,377,376,339,412
1033,448,449,486,485,523,562,524,487,522,484
1036,341,413,379,380,416,415,342,453,492,490
1039,755,756,717,757,794,718,680,754,793,831
1041,405,437,474,473,472,475,444,3017,514,552
1045,926,1088,1126,1050,1012,974,936,898,860,964
1050,676,677,714,639,678,640,716,679,641,603
1087,1470,1775,1813,1432,1394,1508,1546,1584,1622,1660
1097,1187,1193,1225,1231,1149,3007,2936,1073,1035,997
1099,28,32,35,74,37,26,66,24,22,18
1104,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
1109,1338,1339,1300,1377,1376,1415,1453,3021,1491,1529
1114,651,685,724,725,763,652,653,691,729,766
1120,2768,2731,2767,2770,2732,2657,2728,2727,2764,2765
1121,2112,2037,2074,2075,1999,1998,1961,1923,1885,1847
1125,377,379,341,380,416,415,342,378,2935,453
1134,727,728,726,690,689,2987,766,729,691,653
1163,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
1169,1098,1099,1136,1061,1174,1137,1023,985,947,909
1178,798,831,793,869,907,945,983,1021,1059,1097
1187,379,416,341,380,415,342,453,492,490,491
1189,910,833,948,986,1024,1062,1100,1138,1176,1214
1190,756,755,717,757,794,718,680,754,793,831
1201,2554,2477,2439,2476,2475,2512,2511,2510,2433,2471
1205,843,851,881,919,957,844,882,920,958,813
1219,1220,1222,1258,1184,1296,1334,1372,1410,3039,1448
1241,825,2685,2722,2964,2683,2721,2720,787,2724,2725
1251,1098,1099,1136,1061,1174,1137,1023,985,947,909
1270,2487,2525,2524,2523,2485,2564,2527,2528,2529,2568
