1,ADMP,BAMBIA,BMP4,BMP7A,CHD,EVE1,FGF8A,FOXI1,HES6,ISM1
zf3_dis_S1514_umi,20,27,28,3,4,12,5,13,21,11
zf3_dis_S1666_umi,5,13,21,34,35,29,37,33,43,52
zf3_dis_S1644_umi,7,8,15,16,23,24,31,32,39,40
zf3_dis_S1691_umi,29,6,14,20,22,27,28,30,5,13
zf3_dis_S1479_umi,11,19,1,2,9,10,17,18,20,25
zf3_dis_S1663_umi,20,27,28,3,4,12,6,14,22,30
zf3_dis_S1785_umi,5,13,21,20,27,28,29,6,14,22
zf3_dis_S1800_umi,63,64,62,55,56,61,60,54,59,50
zf3_dis_S1604_umi,7,8,15,16,23,24,31,32,39,40
zf3_dis_S1703_umi,7,8,15,16,23,24,31,32,39,40
zf3_dis_S1590_umi,3,4,12,11,19,1,2,9,10,17
zf3_dis_S1685_umi,3,4,12,11,19,33,1,2,9,10
zf3_dis_S1656_umi,5,13,21,6,14,22,30,29,20,27
zf3_dis_S1653_umi,35,60,54,43,52,42,53,59,62,41
zf3_dis_S1481_umi,5,13,21,6,14,22,30,20,27,28
zf3_dis_S1767_umi,3,4,12,11,19,1,2,9,10,17
zf3_dis_S1600_umi,35,60,54,43,52,42,53,59,62,41
zf3_dis_S1705_umi,3,4,12,33,5,13,21,11,19,6
zf3_dis_S1487_umi,7,8,15,16,23,24,31,32,39,40
zf3_dis_S1627_umi,5,13,21,6,14,22,30,29,37,20
zf3_dis_S1450_umi,3,4,12,11,19,1,2,9,10,17
zf3_dis_S1665_umi,6,14,22,30,7,8,15,16,23,24
