1,VED,SOX3,NOG1,APLNRB,BAMBIA,TPH1B,VOX,ADMP,EVE1,CST3
zf1_p6_S35_umi,35,43,36,41,42,28,34,19,20,27
zf2_dis_S271_umi,53,52,60,37,54,43,61,35,45,42
zf1_p7_S33_umi,19,20,27,11,17,18,28,3,1,2
zf2_dis_S297_umi,54,59,53,61,52,60,62,36,29,51
zf3_dis_S356_umi,17,18,28,1,2,9,10,19,20,25
zf3_dis_S1562_umi,7,15,23,8,16,24,31,32,22,30
zf3_dis_S1632_umi,28,35,43,19,20,27,36,41,42,11
zf3_dis_S1740_umi,29,28,30,41,21,43,19,20,25,26
zf3_dis_S1449_umi,28,21,30,29,20,36,22,4,12,43
zf3_dis_S1618_umi,49,57,43,35,41,42,59,30,40,22
zf3_dis_S1709_umi,53,52,60,61,59,54,44,51,43,45
zf3_dis_S365_umi,36,44,52,60,45,42,59,38,41,37
zf3_dis_S1649_umi,22,7,15,23,30,6,14,8,16,24
zf3_dis_S1669_umi,41,28,29,20,25,26,27,36,33,21
zf3_dis_S1530_umi,43,35,42,41,30,34,21,22,50,58
zf3_dis_S1451_umi,21,29,5,13,28,7,15,23,20,36
zf3_dis_S1774_umi,22,6,14,30,7,15,23,17,18,28
zf3_dis_S1577_umi,43,34,35,42,19,25,26,27,36,41
zf3_dis_S1738_umi,7,15,23,8,16,24,31,32,22,30
zf3_dis_S1493_umi,8,16,24,32,7,15,23,40,28,30
zf3_dis_S1529_umi,28,21,19,20,27,3,29,17,18,4
zf3_dis_S1492_umi,21,29,28,30,4,12,7,15,23,19
zf3_dis_S1474_umi,17,18,1,2,9,10,19,25,26,11
zf3_dis_S1498_umi,11,1,2,9,10,19,3,17,18,4
zf3_dis_S1683_umi,5,13,4,12,3,11,21,1,2,9
zf3_dis_S1610_umi,5,13,20,4,12,21,6,14,28,3
zf3_dis_S1567_umi,35,43,49,57,27,52,41,42,59,28
zf3_dis_S1564_umi,41,35,43,27,33,42,28,34,19,20
zf3_dis_S1616_umi,6,14,43,22,3,42,34,35,30,11
zf3_dis_S364_umi,28,20,36,44,52,29,19,27,59,4
zf3_dis_S1718_umi,17,18,41,42,29,33,1,2,9,10
zf3_dis_S1636_umi,8,16,24,32,7,15,23,31,22,40
zf3_dis_S354_umi,41,33,29,17,18,28,34,35,21,45
