1,NOG1,VED,SOX3,BAMBIA,APLNRB,FOXD3,VOX,ADMP,EVE1,CST3
zf2_dis_S266_umi,7,15,23,17,18,21,8,16,24,31
zf1_p5_S77_umi,28,36,19,20,27,35,11,17,18,3
zf1_p6_S52_umi,36,43,21,35,42,7,15,23,29,37
zf1_p6_S31_umi,43,42,35,41,36,50,58,34,59,27
zf2_dis_S228_umi,28,36,29,20,30,21,44,52,22,37
zf1_p8_S79_umi,34,35,3,33,43,11,42,59,1,2
zf2_dis_S1265_umi,19,11,17,18,3,1,2,9,10,20
zf2_dis_S1379_umi,50,58,49,57,42,59,43,51,53,61
zf1_p8_S8_umi,39,31,47,7,15,23,40,30,44,8
zf2_dis_S1233_umi,17,18,21,1,2,9,10,19,25,26
zf2_dis_S1182_umi,63,56,64,55,54,62,30,53,22,38
zf2_dis_S1198_umi,36,34,35,19,20,33,37,17,18,28
zf2_dis_S274_umi,8,16,24,32,7,15,23,40,31,30
zf1_p7_S28_umi,35,43,49,57,36,41,42,34,51,30
zf1_p6_S25_umi,36,21,35,19,20,27,30,3,29,37
zf1_p6_S62_umi,59,52,51,43,35,60,42,36,44,50
zf2_dis_S1199_umi,19,3,17,18,11,4,12,21,33,1
zf3_dis_S1735_umi,30,22,7,15,23,36,6,14,8,16
zf3_dis_S1612_umi,31,7,15,23,20,21,28,5,13,29
zf3_dis_S1457_umi,33,41,34,35,17,18,28,36,29,21
zf3_dis_S1796_umi,7,15,23,6,14,8,16,24,31,32
zf3_dis_S1798_umi,7,15,23,22,8,16,24,31,32,6
zf3_dis_S1660_umi,60,37,52,53,21,45,43,35,29,61
zf3_dis_S1447_umi,19,17,18,28,36,11,34,35,1,2
zf3_dis_S1580_umi,7,15,23,41,22,8,16,24,31,32
zf3_dis_S1734_umi,5,13,3,11,4,12,21,1,2,9
zf3_dis_S1789_umi,8,16,24,32,7,15,23,40,30,31
zf3_dis_S1613_umi,3,11,4,12,34,35,1,2,9,10
zf3_dis_S1791_umi,36,35,43,28,44,52,19,20,27,42
zf3_dis_S1581_umi,4,12,3,11,7,15,23,39,30,1
zf3_dis_S1720_umi,7,15,23,8,16,24,31,32,22,39
zf3_dis_S1471_umi,52,59,60,51,53,61,35,54,43,55
zf3_dis_S1597_umi,21,34,35,42,7,15,23,22,29,37
zf3_dis_S1534_umi,3,11,1,2,9,10,19,4,12,17
zf3_dis_S1469_umi,7,15,23,6,14,8,16,24,31,32
zf3_dis_S1504_umi,8,16,24,32,41,21,7,15,23,5
zf3_dis_S1508_umi,4,12,1,2,9,10,3,17,18,11
zf3_dis_S1611_umi,28,36,20,44,37,29,19,27,35,43
zf3_dis_S1615_umi,31,22,7,15,23,30,6,14,8,16
zf3_dis_S1700_umi,43,41,42,34,35,49,57,33,51,50
zf3_dis_S1489_umi,35,28,36,19,20,27,33,11,34,3
zf3_dis_S1729_umi,39,31,47,55,60,7,15,23,40,52
zf3_dis_S1737_umi,40,8,16,24,32,48,7,15,23,39
zf3_dis_S1725_umi,31,7,15,23,8,16,24,32,22,39
zf3_dis_S1742_umi,8,16,24,31,32,7,15,23,22,30
zf3_dis_S1726_umi,39,45,44,31,38,47,52,37,7,15
zf3_dis_S1731_umi,6,14,22,7,15,23,30,8,16,24
zf3_dis_S1765_umi,43,35,27,30,42,28,36,50,58,22
zf3_dis_S1521_umi,8,16,24,32,7,15,23,31,22,28
