1,VED,NOG1,SOX3,APLNRB,BAMBIA,ISM1,VOX,ADMP,EVE1,CST3
zf3_dis_S1759_umi,5,13,6,14,3,22,11,4,12,21
zf3_dis_S1724_umi,8,16,24,32,7,15,23,40,30,31
zf3_dis_S1524_umi,28,20,4,12,36,11,3,29,1,2
zf3_dis_S1764_umi,35,43,41,42,59,27,34,50,58,51
zf3_dis_S355_umi,27,35,43,49,57,11,36,33,41,42
zf3_dis_S1523_umi,21,30,29,7,15,23,39,40,22,28
zf3_dis_S1657_umi,21,29,30,28,36,7,15,23,22,35
zf3_dis_S1773_umi,8,16,24,31,32,4,7,12,15,23
zf3_dis_S1794_umi,40,8,16,24,32,48,7,15,23,39
zf3_dis_S1614_umi,30,43,22,35,50,58,42,59,6,14
zf3_dis_S1780_umi,21,28,36,35,3,29,19,20,27,30
zf3_dis_S1488_umi,20,30,4,12,21,28,36,22,5,13
zf3_dis_S1751_umi,8,16,24,32,7,15,23,31,40,22
zf3_dis_S1689_umi,41,53,35,43,33,27,42,34,54,49
zf3_dis_S1519_umi,37,36,21,30,35,29,22,38,28,45
zf3_dis_S1631_umi,7,15,23,30,8,16,24,31,32,21
zf3_dis_S1701_umi,7,15,23,22,41,8,16,24,31,32
zf3_dis_S347_umi,17,18,28,36,1,2,9,10,19,20
zf3_dis_S1595_umi,5,13,22,21,6,14,20,27,30,29
zf3_dis_S1586_umi,7,15,23,8,16,24,31,32,22,30
zf3_dis_S1629_umi,28,3,19,20,27,35,54,4,12,21
zf3_dis_S1747_umi,36,35,43,37,30,49,57,28,44,29
zf3_dis_S1640_umi,52,54,60,38,39,45,46,44,53,31
zf3_dis_S1608_umi,22,7,15,21,23,28,30,29,6,14
