1,VED,SOX3,NOG1,APLNRB,BAMBIA,VOX,ADMP,EVE1,TPH1B,FOXD3
zf3_dis_S1622_umi,21,28,29,22,7,15,23,30,6,14
zf3_dis_S1651_umi,7,15,23,8,16,24,31,32,22,39
zf3_dis_S1490_umi,28,21,20,30,29,22,4,12,6,14
zf3_dis_S1568_umi,7,15,23,30,6,14,8,16,24,31
zf3_dis_S1495_umi,1,2,9,10,17,18,11,3,19,25
zf3_dis_S1533_umi,36,43,34,35,54,37,42,59,52,60
zf3_dis_S1480_umi,28,21,19,20,27,36,3,29,30,7
zf3_dis_S1551_umi,36,37,28,35,29,19,20,27,21,11
zf3_dis_S1550_umi,43,56,64,42,48,20,27,36,8,16
zf3_dis_S1655_umi,21,7,15,23,22,8,16,24,31,32
zf3_dis_S1455_umi,31,7,15,23,22,8,16,21,24,32
zf3_dis_S1675_umi,8,16,24,32,7,15,23,43,42,6
zf3_dis_S1695_umi,27,43,35,41,3,42,19,20,25,26
zf3_dis_S1554_umi,3,11,5,13,4,12,1,2,9,10
zf3_dis_S1527_umi,19,3,17,18,28,11,4,12,21,1
zf3_dis_S1475_umi,37,5,13,20,36,44,21,45,28,29
zf3_dis_S1769_umi,8,16,24,31,32,7,15,23,39,40
zf3_dis_S1658_umi,21,36,22,29,37,5,13,28,6,14
zf3_dis_S1540_umi,7,15,23,30,8,16,24,31,32,22
zf3_dis_S1460_umi,30,21,22,19,20,27,36,3,29,37
zf3_dis_S1482_umi,28,35,43,19,20,27,36,11,42,3
zf3_dis_S1544_umi,7,15,23,39,40,17,18,8,16,24
zf3_dis_S1728_umi,21,31,28,29,7,15,23,39,30,19
zf3_dis_S1445_umi,60,59,45,53,52,51,44,43,54,46
