1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,CHD,EVE1,FGF8A,FOXD5,FOXI1
zf3_dis_S358_umi,29,27,28,35,21,37,43,41,11,19
zf3_dis_S1528_umi,29,21,37,27,28,35,13,41,11,19
zf3_dis_S1497_umi,41,1,2,9,10,17,18,25,26,27
zf3_dis_S1463_umi,11,19,1,2,9,10,17,18,25,26
zf3_dis_S1541_umi,4,5,12,13,3,21,11,19,20,29
zf3_dis_S1548_umi,5,13,27,3,21,11,19,20,29,4
zf3_dis_S1723_umi,21,6,7,8,14,15,16,22,23,24
zf3_dis_S1763_umi,21,29,28,5,13,6,7,8,14,15
zf3_dis_S349_umi,39,40,6,7,8,14,15,16,22,23
zf3_dis_S1730_umi,42,5,13,1,2,9,10,17,18,25
zf3_dis_S1779_umi,39,40,21,6,7,8,14,15,16,22
zf3_dis_S1570_umi,3,11,19,4,12,1,2,9,10,17
zf3_dis_S1477_umi,4,5,12,13,3,21,37,11,19,20
zf3_dis_S1556_umi,27,5,11,13,19,20,29,1,2,9
zf3_dis_S1491_umi,21,29,5,13,28,41,20,6,7,8
zf3_dis_S1771_umi,4,5,12,13,3,21,37,11,19,20
zf3_dis_S1465_umi,51,59,50,58,60,35,37,49,57,43
zf3_dis_S1647_umi,6,7,8,14,15,16,22,23,24,30
zf3_dis_S1476_umi,21,29,28,4,5,12,13,3,11,19
zf3_dis_S1563_umi,1,2,9,10,17,18,25,26,3,33
zf3_dis_S1630_umi,4,5,12,13,33,3,21,37,11,19
zf3_dis_S1619_umi,21,37,29,36,45,28,35,44,43,5
zf3_dis_S1748_umi,29,27,28,35,41,21,37,43,11,19
zf3_dis_S1708_umi,34,35,43,42,60,37,11,19,29,36
zf3_dis_S1624_umi,29,27,28,21,5,11,13,19,20,41
zf3_dis_S1646_umi,21,29,5,13,6,7,8,14,15,16
zf3_dis_S1503_umi,21,29,4,5,12,13,1,2,9,10
zf3_dis_S1569_umi,27,28,11,19,20,29,3,21,1,2
