1,ADMP,AXIN2,BAMBIA,BMP2B,BMP7A,CHD,EVE1,FGF8A,FOXD5,FOXI1
zf2_dis_S1248_umi,36,37,43,27,28,29,35,44,45,41
zf1_p8_S30_umi,34,1,2,9,10,33,11,17,18,25
zf1_p6_S26_umi,21,28,29,36,37,44,45,41,7,8
zf2_dis_S1307_umi,1,2,9,10,17,18,25,26,11,33
zf1_p6_S17_umi,43,51,59,35,44,45,36,37,50,58
zf3_dis_S1797_umi,21,28,29,44,45,7,8,15,16,22
zf3_dis_S1667_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S350_umi,41,17,18,25,26,27,33,1,2,9
zf3_dis_S1537_umi,6,14,7,8,15,16,22,23,24,30
zf3_dis_S1684_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1770_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1641_umi,36,37,27,28,29,35,44,45,43,19
zf3_dis_S1545_umi,4,12,1,2,9,10,3,5,13,17
zf3_dis_S1698_umi,43,35,51,59,42,52,50,58,36,37
zf3_dis_S1594_umi,1,2,9,10,42,17,18,25,26,34
zf3_dis_S1671_umi,21,28,29,7,8,15,16,22,23,24
zf3_dis_S1721_umi,43,42,35,44,45,41,51,59,15,16
zf3_dis_S1795_umi,50,58,60,49,57,51,59,42,52,61
zf3_dis_S346_umi,41,21,33,17,18,25,26,27,28,29
zf3_dis_S1605_umi,6,14,7,8,15,16,22,23,24,30
zf3_dis_S1468_umi,21,28,29,7,8,15,16,22,23,24
zf3_dis_S1510_umi,44,45,53,7,8,15,16,22,23,24
zf3_dis_S1509_umi,21,7,8,15,16,22,23,24,30,31
zf3_dis_S1654_umi,49,57,43,35,41,51,59,7,8,15
zf3_dis_S1743_umi,21,43,41,27,28,29,35,44,45,36
zf3_dis_S1517_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1694_umi,27,19,20,43,11,17,18,25,26,28
zf3_dis_S1496_umi,3,33,1,2,9,10,4,12,11,17
zf3_dis_S351_umi,41,7,8,15,16,22,23,24,30,31
zf3_dis_S1628_umi,52,53,43,35,36,44,54,55,56,51
zf3_dis_S1652_umi,21,4,12,28,29,44,45,41,3,5
zf3_dis_S1485_umi,27,28,29,35,36,37,19,20,21,43
zf3_dis_S1680_umi,21,7,8,15,16,22,23,24,30,31
zf3_dis_S1516_umi,43,41,27,28,29,35,44,45,36,37
zf3_dis_S1783_umi,21,7,8,15,16,22,23,24,30,31
zf3_dis_S1575_umi,20,21,5,13,27,28,29,4,12,41
zf3_dis_S1702_umi,21,28,29,7,8,15,16,22,23,24
zf3_dis_S1732_umi,1,2,9,10,17,18,25,26,34,33
zf3_dis_S1645_umi,19,20,21,4,12,17,18,25,26,27
