1,VED,NOG1,SOX3,APLNRB,BAMBIA,TPH1B,VOX,ADMP,EVE1,CST3
zf2_dis_S1160_umi,34,35,42,1,2,9,10,36,3,5
zf2_dis_S235_umi,19,30,17,18,28,22,11,1,2,9
zf1_p6_S84_umi,34,35,43,42,41,3,50,58,8,16
zf2_dis_S1297_umi,17,18,1,2,9,10,19,20,25,26
zf1_p7_S74_umi,36,21,43,28,35,30,37,41,3,29
zf2_dis_S1276_umi,28,19,20,27,36,11,3,29,17,18
zf2_dis_S1288_umi,35,43,19,20,27,36,41,33,42,30
zf2_dis_S1259_umi,21,5,13,29,22,6,14,17,18,28
zf1_p8_S44_umi,27,41,28,35,43,19,20,25,26,36
zf1_p6_S5_umi,3,11,1,2,9,10,19,4,12,17
zf3_dis_S1603_umi,5,13,4,12,21,20,27,6,14,3
zf3_dis_S1494_umi,19,3,17,18,11,4,12,33,1,2
zf3_dis_S1484_umi,27,49,57,43,28,35,41,42,59,29
zf3_dis_S1753_umi,21,22,29,28,37,30,6,14,5,13
zf3_dis_S1790_umi,36,37,28,35,30,29,43,22,38,19
zf3_dis_S1542_umi,56,64,63,43,42,55,41,35,50,58
zf3_dis_S1687_umi,52,36,44,60,59,28,35,53,43,51
zf3_dis_S1443_umi,43,35,41,30,42,27,36,22,21,6
zf3_dis_S1757_umi,33,19,25,26,27,3,17,18,34,35
zf3_dis_S353_umi,42,17,18,28,34,35,41,1,2,9
zf3_dis_S1555_umi,27,5,13,3,41,11,43,1,2,9
zf3_dis_S1588_umi,54,55,52,60,53,56,46,59,51,38
zf3_dis_S1558_umi,36,44,43,28,35,42,52,20,27,37
zf3_dis_S1539_umi,30,22,7,15,23,19,20,4,12,21
zf3_dis_S1560_umi,21,29,28,5,13,3,19,20,27,4
zf3_dis_S1621_umi,56,64,63,55,30,8,16,24,32,7
zf3_dis_S1710_umi,45,44,37,52,36,38,46,60,21,39
zf3_dis_S1786_umi,56,55,64,63,54,62,53,42,59,47
zf3_dis_S1715_umi,56,64,63,40,55,52,60,54,48,16
zf3_dis_S1543_umi,6,14,30,22,29,7,15,23,38,21
zf3_dis_S1607_umi,53,52,55,61,54,59,60,49,57,51
zf3_dis_S1587_umi,63,56,64,55,50,58,49,57,43,42
zf3_dis_S1547_umi,27,28,51,19,20,25,26,11,59,17
zf3_dis_S344_umi,17,18,28,1,2,9,10,19,20,25
zf3_dis_S1625_umi,37,52,21,45,36,44,43,29,28,35
zf3_dis_S1793_umi,7,15,23,8,16,24,31,32,39,40
zf3_dis_S1448_umi,43,35,42,59,27,36,50,58,51,21
zf3_dis_S1635_umi,7,15,23,22,8,16,21,24,31,32
zf3_dis_S1552_umi,33,19,25,26,27,43,17,18,34,35
zf3_dis_S1706_umi,59,52,60,51,43,35,42,21,45,53
zf3_dis_S1712_umi,8,16,24,32,7,15,23,40,31,22
zf3_dis_S345_umi,27,3,11,4,12,1,2,9,10,19
zf3_dis_S1531_umi,19,25,26,27,29,17,18,28,34,35
