1,VED,SOX3,NOG1,APLNRB,BAMBIA,VOX,ADMP,TPH1B,EVE1,CST3
zf3_dis_S1716_umi,52,36,44,43,35,42,59,31,30,51
zf3_dis_S1761_umi,41,27,35,43,28,33,42,29,19,20
zf3_dis_S1512_umi,30,22,21,6,14,17,18,28,36,7
zf3_dis_S343_umi,8,16,24,32,48,7,15,23,40,30
zf3_dis_S1606_umi,8,16,24,32,7,15,23,31,22,30
zf3_dis_S1676_umi,52,55,59,51,31,63,35,60,15,23
zf3_dis_S1739_umi,7,15,23,6,14,8,16,24,31,32
zf3_dis_S1768_umi,25,26,33,17,18,1,2,9,10,19
zf3_dis_S1593_umi,53,52,36,44,43,35,50,58,42,59
zf3_dis_S1578_umi,30,43,22,36,7,15,23,42,35,6
zf3_dis_S1626_umi,30,6,14,8,16,24,32,22,7,15
zf3_dis_S1522_umi,28,29,19,20,27,35,21,43,11,37
zf3_dis_S1483_umi,28,36,21,20,22,29,37,44,5,13
zf3_dis_S1634_umi,28,19,20,27,11,17,18,3,1,2
zf3_dis_S1670_umi,36,44,35,37,52,43,21,45,28,42
zf3_dis_S1565_umi,21,29,41,30,40,28,36,22,5,13
zf3_dis_S1714_umi,36,37,4,12,21,5,13,28,44,3
zf3_dis_S1584_umi,3,11,4,12,1,2,9,10,19,25
zf3_dis_S1674_umi,40,8,16,24,32,48,7,15,23,39
zf3_dis_S1573_umi,6,14,22,7,15,23,5,13,21,30
