1,ADMP,AXIN2,BAMBIA,BMP2B,BMP4,CHD,CST3,EVE1,FOXI1,GATA5
zf1_p8_S44_umi,27,35,41,43,19,20,28,36,33,44
zf1_p6_S5_umi,43,60,3,42,59,41,51,11,53,50
zf3_dis_S1603_umi,5,13,21,29,4,12,6,14,20,28
zf3_dis_S1494_umi,19,3,17,18,25,26,27,11,4,12
zf3_dis_S1484_umi,27,41,19,20,28,43,60,17,18,25
zf3_dis_S1753_umi,22,30,27,21,6,7,8,14,15,16
zf3_dis_S1790_umi,41,43,27,35,19,20,28,36,42,33
zf3_dis_S1542_umi,53,55,56,45,61,39,40,54,44,52
zf3_dis_S1687_umi,53,44,52,41,20,28,36,43,60,27
zf3_dis_S1443_umi,41,43,27,35,3,21,42,19,20,28
zf3_dis_S1757_umi,33,3,19,4,12,17,18,25,26,27
zf3_dis_S353_umi,17,18,25,26,27,41,1,2,9,10
zf3_dis_S1555_umi,43,60,53,42,59,13,41,51,27,35
zf3_dis_S1588_umi,54,53,55,56,45,61,46,44,52,43
zf3_dis_S1558_umi,53,44,52,20,28,36,43,60,27,35
zf3_dis_S1539_umi,22,30,21,6,7,8,14,15,16,23
zf3_dis_S1560_umi,21,27,22,30,41,29,5,13,6,7
zf3_dis_S1621_umi,53,45,61,22,30,54,44,52,38,62
zf3_dis_S1710_umi,53,45,61,44,52,43,60,37,54,42
zf3_dis_S1786_umi,54,55,56,42,53,43,41,46,63,64
zf3_dis_S1715_umi,53,45,61,44,52,43,60,22,30,54
zf3_dis_S1543_umi,6,14,27,22,30,41,11,29,5,13
zf3_dis_S1607_umi,53,20,28,27,61,54,41,29,44,52
zf3_dis_S1587_umi,43,60,42,59,41,51,53,50,58,19
zf3_dis_S1547_umi,27,19,20,28,11,29,49,57,17,18
zf3_dis_S344_umi,41,17,18,25,26,27,1,2,9,10
zf3_dis_S1625_umi,45,21,44,52,22,30,29,37,43,5
zf3_dis_S1793_umi,21,22,30,39,40,45,29,37,53,5
zf3_dis_S1448_umi,43,27,35,42,59,41,51,44,52,19
zf3_dis_S1635_umi,21,27,22,30,41,29,5,13,6,7
zf3_dis_S1552_umi,43,34,35,42,33,44,19,36,41,51
zf3_dis_S1706_umi,43,60,53,42,59,41,51,27,35,45
zf3_dis_S1712_umi,39,40,42,38,41,34,45,46,47,48
zf3_dis_S345_umi,3,27,4,11,12,1,2,9,10,19
zf3_dis_S1531_umi,19,17,18,25,26,27,33,11,29,1
